"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
02013000100,02,013,000100,86.9,1.5971,3
02016000100,02,016,000100,76,2.9207,2
02016000200,02,016,000200,79.5,1.8198,2
02020000101,02,020,000101,81.3,1.5145,3
02020000102,02,020,000102,77.6,1.2356,3
02020000201,02,020,000201,80,3.8108,2
02020000203,02,020,000203,81,2.7999,3
02020000204,02,020,000204,81.5,2.9783,2
02020000500,02,020,000500,78,1.4576,2
02020000600,02,020,000600,69.2,2.4157,1
02020000701,02,020,000701,74.3,2.5577,3
02020000702,02,020,000702,76,2.0067,3
02020000703,02,020,000703,76.7,1.3821,2
02020000801,02,020,000801,76.9,2.8635,3
02020000901,02,020,000901,69.8,1.894,3
02020000902,02,020,000902,78.3,1.25,2
02020001000,02,020,001000,72.4,2.7024,3
02020001100,02,020,001100,67.3,3.2193,3
02020001200,02,020,001200,81,0.926,2
02020001300,02,020,001300,82.3,1.84,3
02020001400,02,020,001400,74.5,3.6962,3
02020001500,02,020,001500,79.9,1.6477,3
02020001601,02,020,001601,79.5,1.8202,3
02020001602,02,020,001602,81.2,2.8652,3
02020001701,02,020,001701,76.8,1.0689,3
02020001702,02,020,001702,79.4,1.4085,3
02020001731,02,020,001731,76.7,1.6821,1
02020001801,02,020,001801,78.2,2.8817,3
02020001802,02,020,001802,73,1.7537,3
02020001900,02,020,001900,73,1.402,3
02020002000,02,020,002000,71.4,1.5687,3
02020002100,02,020,002100,79.1,1.76,2
02020002201,02,020,002201,86.7,3.8023,3
02020002202,02,020,002202,80,1.6665,2
02020002301,02,020,002301,81.1,3.0392,2
02020002302,02,020,002302,80,1.1728,2
02020002303,02,020,002303,75.8,1.0267,3
02020002400,02,020,002400,77.2,2.098,3
02020002501,02,020,002501,76.6,1.5278,1
02020002502,02,020,002502,77,1.1442,3
02020002601,02,020,002601,77.6,1.624,2
02020002602,02,020,002602,81.4,2.0953,1
02020002603,02,020,002603,81.4,1.762,2
02020002702,02,020,002702,81.1,1.4708,2
02020002711,02,020,002711,82.8,2.5575,3
02020002712,02,020,002712,75,1.0497,3
02020002811,02,020,002811,78,1.8455,1
02020002812,02,020,002812,80.8,2.0885,3
02020002813,02,020,002813,84,2.5209,3
02020002821,02,020,002821,81,1.6764,2
02020002822,02,020,002822,78.8,1.3924,3
02020002823,02,020,002823,81.1,2.8225,3
02050000100,02,050,000100,82,1.0199,1
02050000200,02,050,000200,80.2,2.7757,1
02050000300,02,050,000300,74,2.2452,3
02060000100,02,060,000100,79.9,3.4288,2
02070000100,02,070,000100,86.5,3.2984,3
02070000200,02,070,000200,80,1.9517,2
02090000100,02,090,000100,65.7,2.3761,3
02090000200,02,090,000200,77.5,1.6642,3
02090000300,02,090,000300,71,2.1548,1
02090000400,02,090,000400,83.1,3.4162,3
02090000500,02,090,000500,76.4,2.4077,3
02090000600,02,090,000600,77.3,1.4132,3
02090000700,02,090,000700,79.5,2.207,3
02090000800,02,090,000800,79.8,2.8178,2
02090000900,02,090,000900,79.9,3.1419,3
02090001000,02,090,001000,79.3,2.4888,2
02090001200,02,090,001200,83.3,3.2865,3
02090001300,02,090,001300,81.4,1.8176,2
02090001400,02,090,001400,78,2.3514,1
02090001500,02,090,001500,80.2,1.719,2
02090001600,02,090,001600,76.1,1.7583,3
02090001900,02,090,001900,81.2,2.3718,1
02100000100,02,100,000100,82.6,2.0412,3
02105000300,02,105,000300,79.3,1.146,2
02110000100,02,110,000100,80.1,1.6689,3
02110000200,02,110,000200,79.6,2.2655,2
02110000300,02,110,000300,85.2,3.6282,3
02110000400,02,110,000400,72.4,1.1916,3
02110000500,02,110,000500,83.7,3.5035,3
02110000600,02,110,000600,86,2.1285,3
02122000200,02,122,000200,80.2,1.2492,2
02122000300,02,122,000300,80.8,2.1506,2
02122000400,02,122,000400,80.2,1.6167,2
02122000500,02,122,000500,78,1.085,3
02122000600,02,122,000600,77.4,1.359,1
02122000700,02,122,000700,81.7,2.1569,3
02122000800,02,122,000800,84.2,2.9122,3
02122000900,02,122,000900,82.1,2.0979,3
02122001000,02,122,001000,76.9,1.5795,3
02122001100,02,122,001100,79.7,0.9492,2
02122001200,02,122,001200,79,2.7215,2
02122001300,02,122,001300,81.8,2.7969,3
02130000100,02,130,000100,81,1.3664,2
02130000200,02,130,000200,77.4,1.0081,3
02130000300,02,130,000300,80,2.3429,3
02130000400,02,130,000400,81,1.6593,2
02150000200,02,150,000200,81.6,2.7613,3
02150000300,02,150,000300,80.6,3.0027,3
