"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
01001020100,01,001,020100,"Under 1",0.019736,100000,1974,98224,7306016,73.1,0.0219,2.2348
01001020100,01,001,020100,"1-4",0.008884,98026,871,390364,7207792,73.5,0.0091,1.5617
01001020100,01,001,020100,"5-14",0.00618,97156,600,968553,6817428,70.2,0.0062,1.4302
01001020100,01,001,020100,"15-24",0.008613,96555,832,961393,5848875,60.6,0.0014,1.379
01001020100,01,001,020100,"25-34",0.023923,95723,2290,945785,4887483,51.1,0.0143,1.3889
01001020100,01,001,020100,"35-44",0.020311,93433,1898,924846,3941698,42.2,0.0122,1.2441
01001020100,01,001,020100,"45-54",0.017889,91536,1637,907169,3016853,33,0.0105,1.179
01001020100,01,001,020100,"55-64",0.084746,89898,7618,860889,2109683,23.5,0.023,1.1612
01001020100,01,001,020100,"65-74",0.226782,82280,18660,729499,1248794,15.2,0.0589,1.163
01001020100,01,001,020100,"75-84",0.505319,63620,32148,475459,519295,8.2,0.1316,1.1217
01001020100,01,001,020100,"85 and older",1,31472,31472,43836,43836,1.4,0.7731,1.4998
01001020200,01,001,020200,"Under 1",0.008647,100000,865,99222,7687739,76.9,0.0175,3.3453
01001020200,01,001,020200,"1-4",0.009001,99135,892,394757,7588518,76.5,0.0093,3.0841
01001020200,01,001,020200,"5-14",0.00143,98243,140,981728,7193761,73.2,0.0003,3.0314
01001020200,01,001,020200,"15-24",0.004869,98103,478,978637,6212033,63.3,0.0049,3.0356
01001020200,01,001,020200,"25-34",0.01039,97625,1014,971178,5233396,53.6,0.0075,3.0368
01001020200,01,001,020200,"35-44",0.026667,96611,2576,953225,4262218,44.1,0.0124,3.0462
01001020200,01,001,020200,"45-54",0.061996,94034,5830,911195,3308993,35.2,0.0213,3.0873
01001020200,01,001,020200,"55-64",0.133411,88205,11767,823209,2397798,27.2,0.0329,3.2094
01001020200,01,001,020200,"65-74",0.289017,76437,22092,653913,1574590,20.6,0.0678,3.5736
01001020200,01,001,020200,"75-84",0.282686,54345,15363,466641,920677,16.9,0.0825,4.5695
01001020200,01,001,020200,"85 and older",1,38983,38983,454035,454035,11.6,0.0448,6.0754
01001020400,01,001,020400,"Under 1",0.00426,100000,426,99617,7541647,75.4,0.0044,1.0216
01001020400,01,001,020400,"1-4",0.001026,99574,102,398092,7442030,74.7,0.0003,0.9709
01001020400,01,001,020400,"5-14",0.002392,99472,238,993529,7043938,70.8,0.0024,0.9717
01001020400,01,001,020400,"15-24",0.002786,99234,276,990957,6050410,61,0.0028,0.9607
01001020400,01,001,020400,"25-34",0.012019,98957,1189,983627,5059453,51.1,0.0071,0.9503
01001020400,01,001,020400,"35-44",0.025924,97768,2534,965008,4075826,41.7,0.0097,0.9008
01001020400,01,001,020400,"45-54",0.057895,95234,5514,924768,3110818,32.7,0.0135,0.8452
01001020400,01,001,020400,"55-64",0.113929,89720,10222,846092,2186050,24.4,0.0229,0.7922
01001020400,01,001,020400,"65-74",0.197795,79498,15724,716361,1339959,16.9,0.0301,0.6928
01001020400,01,001,020400,"75-84",0.32413,63774,20671,534384,623597,9.8,0.0457,0.6618
01001020400,01,001,020400,"85 and older",1,43103,43103,89213,89213,2.1,0.1995,0.8547
01001020500,01,001,020500,"Under 1",0.004949,100000,495,99555,7941656,79.4,0.0023,1.1768
01001020500,01,001,020500,"1-4",0.001067,99505,106,397808,7842101,78.8,0.0011,1.1682
01001020500,01,001,020500,"5-14",0.001028,99399,102,993478,7444293,74.9,0.001,1.1665
01001020500,01,001,020500,"15-24",0.004714,99297,468,990627,6450815,65,0.0024,1.1655
01001020500,01,001,020500,"25-34",0.007774,98829,768,984446,5460188,55.2,0.0029,1.1617
