"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
05001480100,05,001,480100,"Under 1",0.007495,100000,749,99325,7782909,77.8,0.0016,2.475
05001480100,05,001,480100,"1-4",0.010423,99251,1035,394933,7683584,77.4,0.0108,2.4904
05001480100,05,001,480100,"5-14",0.001551,98216,152,981398,7288651,74.2,0.0004,2.3762
05001480100,05,001,480100,"15-24",0.016722,98064,1640,972437,6307253,64.3,0.0171,2.3797
05001480100,05,001,480100,"25-34",0.011481,96424,1107,958702,5334816,55.3,0.0116,2.1816
05001480100,05,001,480100,"35-44",0.027125,95317,2585,940240,4376114,45.9,0.0161,2.1246
05001480100,05,001,480100,"45-54",0.039638,92731,3676,908934,3435874,37.1,0.0163,2.0706
05001480100,05,001,480100,"55-64",0.10083,89056,8980,845659,2526940,28.4,0.0255,2.0801
05001480100,05,001,480100,"65-74",0.074557,80076,5970,770910,1681281,21,0.0285,2.1925
05001480100,05,001,480100,"75-84",0.292339,74106,21664,632738,910372,12.3,0.0771,2.3086
05001480100,05,001,480100,"85 and older",1,52442,52442,277633,277633,5.3,0.1093,3.0635
05001480200,05,001,480200,"Under 1",0.012153,100000,1215,98906,7795704,78,0.0123,2.3109
05001480200,05,001,480200,"1-4",0.001887,98785,186,394766,7696798,77.9,0.0005,2.1244
05001480200,05,001,480200,"5-14",0.001826,98598,180,985083,7302032,74.1,0.0004,2.1281
05001480200,05,001,480200,"15-24",0.019589,98418,1928,974543,6316949,64.2,0.0141,2.1318
05001480200,05,001,480200,"25-34",0.009091,96490,877,960518,5342406,55.4,0.0092,1.994
05001480200,05,001,480200,"35-44",0.016502,95613,1578,948243,4381888,45.8,0.0118,1.9566
05001480200,05,001,480200,"45-54",0.038388,94035,3610,922305,3433645,36.5,0.0195,1.9261
05001480200,05,001,480200,"55-64",0.07947,90426,7186,868325,2511340,27.8,0.0237,1.889
05001480200,05,001,480200,"65-74",0.223881,83239,18636,739216,1643015,19.7,0.0445,1.9504
05001480200,05,001,480200,"75-84",0.310881,64604,20084,545617,903798,14,0.0679,2.2644
05001480200,05,001,480200,"85 and older",1,44520,44520,358181,358181,8,0.0467,3.0242
05001480300,05,001,480300,"Under 1",0.007878,100000,788,99291,7563400,75.6,0.0068,1.3709
05001480300,05,001,480300,"1-4",0.001473,99212,146,396557,7464109,75.2,0.0004,1.2808
05001480300,05,001,480300,"5-14",0.001909,99066,189,989715,7067552,71.3,0.0004,1.2824
05001480300,05,001,480300,"15-24",0.010038,98877,992,983807,6077837,61.5,0.002,1.2846
05001480300,05,001,480300,"25-34",0.015088,97884,1477,971460,5094031,52,0.0025,1.2926
05001480300,05,001,480300,"35-44",0.025119,96408,2422,951967,4122571,42.8,0.0046,1.3068
