"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
09001010101,09,001,010101,"Under 1",0.005182,100000,518,99534,8096814,81,0.0038,1.0054
09001010101,09,001,010101,"1-4",0.000644,99482,64,397799,7997280,80.4,0.0002,0.9625
09001010101,09,001,010101,"5-14",0.000731,99418,73,993814,7599481,76.4,0.0001,0.963
09001010101,09,001,010101,"15-24",0.007877,99345,783,989538,6605667,66.5,0.0056,0.9636
09001010101,09,001,010101,"25-34",0.011074,98563,1092,980168,5616129,57,0.0081,0.9049
09001010101,09,001,010101,"35-44",0.008981,97471,875,970333,4635961,47.6,0.0012,0.8079
09001010101,09,001,010101,"45-54",0.00651,96596,629,962812,3665627,37.9,0.0038,0.8135
09001010101,09,001,010101,"55-64",0.039091,95967,3751,940911,2702815,28.2,0.0104,0.809
09001010101,09,001,010101,"65-74",0.117073,92215,10796,868174,1761905,19.1,0.0235,0.8003
09001010101,09,001,010101,"75-84",0.408081,81419,33226,648065,893731,11,0.0553,0.8
09001010101,09,001,010101,"85 and older",1,48194,48194,245665,245665,5.1,0.0373,0.9687
09001010102,09,001,010102,"Under 1",0.003535,100000,353,99682,8549560,85.5,0.0008,2.1503
09001010102,09,001,010102,"1-4",0.00065,99647,65,398457,8449878,84.8,0.0002,2.1569
09001010102,09,001,010102,"5-14",0.00073,99582,73,995454,8051422,80.9,0.0001,2.1583
09001010102,09,001,010102,"15-24",0.005463,99509,544,992372,7055968,70.9,0.0039,2.1598
09001010102,09,001,010102,"25-34",0.007976,98965,789,985707,6063595,61.3,0.0023,2.156
09001010102,09,001,010102,"35-44",0.014118,98176,1386,974830,5077888,51.7,0.0083,2.1694
09001010102,09,001,010102,"45-54",0.013675,96790,1324,961282,4103058,42.4,0.0049,2.1642
09001010102,09,001,010102,"55-64",0.02894,95466,2763,940850,3141776,32.9,0.0091,2.186
09001010102,09,001,010102,"65-74",0.167785,92704,15554,849265,2200926,23.7,0.0379,2.2351
09001010102,09,001,010102,"75-84",0.126117,77149,9730,722844,1351661,17.5,0.0299,2.4824
09001010102,09,001,010102,"85 and older",1,67420,67420,628817,628817,9.3,0.0322,2.7982
09001010201,09,001,010201,"Under 1",0.012938,100000,1294,98836,8212286,82.1,0.0145,1.5597
09001010201,09,001,010201,"1-4",0.00066,98706,65,394695,8113450,82.2,0.0002,1.003
09001010201,09,001,010201,"5-14",0.000745,98641,73,986043,7718755,78.3,0.0001,1.0035
09001010201,09,001,010201,"15-24",0.005794,98568,571,982820,6732712,68.3,0.0009,1.0042
09001010201,09,001,010201,"25-34",0.0081,97996,794,975996,5749892,58.7,0.0022,1.0084
09001010201,09,001,010201,"35-44",0.004361,97203,424,969907,4773896,49.1,0.0044,1.0095
09001010201,09,001,010201,"45-54",0.010096,96779,977,962902,3803989,39.3,0.0051,0.9949
09001010201,09,001,010201,"55-64",0.022452,95802,2151,947263,2841087,29.7,0.0103,0.989
09001010201,09,001,010201,"65-74",0.121614,93651,11389,879562,1893824,20.2,0.03,0.9761
09001010201,09,001,010201,"75-84",0.320823,82262,26391,690658,1014262,12.3,0.0579,0.9401
09001010201,09,001,010201,"85 and older",1,55870,55870,323604,323604,5.8,0.0308,1.034
09001010202,09,001,010202,"Under 1",0.003103,100000,310,99721,8405004,84.1,0.0007,1.4495
09001010202,09,001,010202,"1-4",0.000605,99690,60,398638,8305284,83.3,0.0001,1.4529
09001010202,09,001,010202,"5-14",0.000663,99629,66,995963,7906646,79.4,0.0001,1.4537
09001010202,09,001,010202,"15-24",0.010271,99563,1023,990520,6910682,69.4,0.006,1.4547
09001010202,09,001,010202,"25-34",0.009058,98541,893,980944,5920162,60.1,0.0065,1.4154
09001010202,09,001,010202,"35-44",0.007633,97648,745,972755,4939218,50.6,0.0007,1.3807
09001010202,09,001,010202,"45-54",0.008394,96903,813,964961,3966463,40.9,0.0038,1.3909
