"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
11001000100,11,001,000100,"Under 1",0.004646,100000,465,99582,8559490,85.6,0.0012,1.9668
11001000100,11,001,000100,"1-4",0.002442,99535,243,397655,8459908,85,0.0025,1.9732
11001000100,11,001,000100,"5-14",0.000779,99292,77,992536,8062252,81.2,0.0002,1.967
11001000100,11,001,000100,"15-24",0.006148,99215,610,989100,7069716,71.3,0.0016,1.9685
11001000100,11,001,000100,"25-34",0.003124,98605,308,984510,6080616,61.7,0.0022,1.9777
11001000100,11,001,000100,"35-44",0.004965,98297,488,980529,5096107,51.8,0.0036,1.9799
11001000100,11,001,000100,"45-54",0.01129,97809,1104,972567,4115578,42.1,0.0058,1.9826
11001000100,11,001,000100,"55-64",0.021706,96705,2099,956551,3143010,32.5,0.0074,1.993
11001000100,11,001,000100,"65-74",0.080853,94606,7649,907810,2186459,23.1,0.02,2.026
11001000100,11,001,000100,"75-84",0.274431,86956,23864,750247,1278650,14.7,0.0587,2.162
11001000100,11,001,000100,"85 and older",1,63093,63093,528403,528403,8.4,0.0396,2.7765
11001000202,11,001,000202,"Under 1",0.004469,100000,447,99598,8071302,80.7,0.0018,1.1933
11001000202,11,001,000202,"1-4",0.000683,99553,68,398076,7971704,80.1,0.0002,1.1894
11001000202,11,001,000202,"5-14",0.000758,99485,75,994474,7573627,76.1,0.0002,1.1902
11001000202,11,001,000202,"15-24",0.005921,99410,589,991154,6579154,66.2,0.0009,1.191
11001000202,11,001,000202,"25-34",0.007576,98821,749,984467,5588000,56.5,0.0012,1.1969
11001000202,11,001,000202,"35-44",0.008899,98072,873,976360,4603533,46.9,0.0013,1.2045
11001000202,11,001,000202,"45-54",0.023154,97200,2251,960744,3627173,37.3,0.0035,1.214
11001000202,11,001,000202,"55-64",0.05324,94949,5055,924215,2666430,28.1,0.0065,1.2372
11001000202,11,001,000202,"65-74",0.12303,89894,11060,843642,1742214,19.4,0.0145,1.2959
11001000202,11,001,000202,"75-84",0.374535,78834,29526,640712,898572,11.4,0.0776,1.4525
11001000202,11,001,000202,"85 and older",1,49308,49308,257860,257860,5.2,0.0711,1.9442
11001000300,11,001,000300,"Under 1",0.004227,100000,423,99620,8108362,81.1,0.0011,1.2295
11001000300,11,001,000300,"1-4",0.00064,99577,64,398182,8008742,80.4,0.0002,1.2316
11001000300,11,001,000300,"5-14",0.000677,99514,67,994798,7610561,76.5,0.0002,1.2324
11001000300,11,001,000300,"15-24",0.005587,99446,556,991683,6615762,66.5,0.0011,1.2331
11001000300,11,001,000300,"25-34",0.006732,98891,666,985577,5624079,56.9,0.0008,1.2381
11001000300,11,001,000300,"35-44",0.008097,98225,795,978272,4638502,47.2,0.001,1.2458
11001000300,11,001,000300,"45-54",0.021536,97430,2098,963804,3660230,37.6,0.003,1.2553
11001000300,11,001,000300,"55-64",0.051175,95331,4879,928920,2696426,28.3,0.0076,1.2788
11001000300,11,001,000300,"65-74",0.11823,90453,10694,851056,1767506,19.5,0.0238,1.3333
11001000300,11,001,000300,"75-84",0.357748,79758,28533,654918,916450,11.5,0.0815,1.4453
11001000300,11,001,000300,"85 and older",1,51225,51225,261532,261532,5.1,0.071,1.8495
11001000400,11,001,000400,"Under 1",0.00428,100000,428,99615,8644857,86.4,0.0024,2.9498
11001000400,11,001,000400,"1-4",0.000639,99572,64,398161,8545242,85.8,0.0002,2.9553
11001000400,11,001,000400,"5-14",0.00999,99508,994,990113,8147081,81.9,0.0101,2.9571
11001000400,11,001,000400,"15-24",0.005491,98514,541,982438,7156968,72.6,0.0013,2.8807
11001000400,11,001,000400,"25-34",0.006557,97973,642,976522,6174530,63,0.0066,2.8952
11001000400,11,001,000400,"35-44",0.009772,97331,951,968554,5198008,53.4,0.0018,2.8879
11001000400,11,001,000400,"45-54",0.023715,96380,2286,952370,4229454,43.9,0.0139,2.9151
11001000400,11,001,000400,"55-64",0.019011,94094,1789,931997,3277084,34.8,0.0111,2.9313
11001000400,11,001,000400,"65-74",0.030395,92305,2806,909025,2345087,25.4,0.0157,2.9682
11001000400,11,001,000400,"75-84",0.181818,89500,16273,813633,1436063,16,0.0645,3.0423
11001000400,11,001,000400,"85 and older",1,73227,73227,622429,622429,8.5,0.0493,3.5629
11001000501,11,001,000501,"Under 1",0.004643,100000,464,99582,8089271,80.9,0.0024,1.5974
11001000501,11,001,000501,"1-4",0.000697,99536,69,398004,7989689,80.3,0.0003,1.5926
11001000501,11,001,000501,"5-14",0.00073,99466,73,994301,7591685,76.3,0.0003,1.5936
11001000501,11,001,000501,"15-24",0.006002,99394,597,990955,6597385,66.4,0.0012,1.5946
11001000501,11,001,000501,"25-34",0.007003,98797,692,984513,5606430,56.7,0.0008,1.6025
11001000501,11,001,000501,"35-44",0.008331,98105,817,976967,4621917,47.1,0.0011,1.6132
11001000501,11,001,000501,"45-54",0.022237,97288,2163,962064,3644950,37.5,0.0053,1.6261
11001000501,11,001,000501,"55-64",0.052785,95125,5021,926141,2682887,28.2,0.0106,1.6534
11001000501,11,001,000501,"65-74",0.122029,90103,10995,846059,1756746,19.5,0.0291,1.7239
11001000501,11,001,000501,"75-84",0.362801,79108,28701,647580,910687,11.5,0.0759,1.8856
11001000501,11,001,000501,"85 and older",1,50408,50408,263108,263108,5.2,0.099,2.697
11001000502,11,001,000502,"Under 1",0.004227,100000,423,99620,8108362,81.1,0.0008,1.3489
11001000502,11,001,000502,"1-4",0.00064,99577,64,398182,8008742,80.4,0.0002,1.3529
11001000502,11,001,000502,"5-14",0.000677,99514,67,994798,7610561,76.5,0.0001,1.3537
11001000502,11,001,000502,"15-24",0.005587,99446,556,991683,6615762,66.5,0.001,1.3546
11001000502,11,001,000502,"25-34",0.006732,98891,666,985577,5624079,56.9,0.0009,1.3607
11001000502,11,001,000502,"35-44",0.008097,98225,795,978272,4638502,47.2,0.001,1.3691
11001000502,11,001,000502,"45-54",0.021536,97430,2098,963804,3660230,37.6,0.0025,1.3796
11001000502,11,001,000502,"55-64",0.051175,95331,4879,928920,2696426,28.3,0.0057,1.4074
11001000502,11,001,000502,"65-74",0.11823,90453,10694,851056,1767506,19.5,0.0152,1.4759
11001000502,11,001,000502,"75-84",0.357748,79758,28533,654918,916450,11.5,0.0675,1.6495
11001000502,11,001,000502,"85 and older",1,51225,51225,261532,261532,5.1,0.0897,2.3385
11001000600,11,001,000600,"Under 1",0.004846,100000,485,99564,8370062,83.7,0.0018,1.4707
11001000600,11,001,000600,"1-4",0.000737,99515,73,397915,8270498,83.1,0.0002,1.47
11001000600,11,001,000600,"5-14",0.00075,99442,75,994048,7872583,79.2,0.0001,1.4709
11001000600,11,001,000600,"15-24",0.006237,99368,620,990576,6878535,69.2,0.0015,1.472
11001000600,11,001,000600,"25-34",0.00197,98748,195,986505,5887959,59.6,0.002,1.4781
11001000600,11,001,000600,"35-44",0.011161,98553,1100,980032,4901454,49.7,0.0058,1.477
11001000600,11,001,000600,"45-54",0.011631,97453,1133,968865,3921422,40.2,0.0054,1.4702
11001000600,11,001,000600,"55-64",0.055782,96320,5373,936334,2952557,30.7,0.0131,1.4749
11001000600,11,001,000600,"65-74",0.096585,90947,8784,865549,2016223,22.2,0.0214,1.5158
11001000600,11,001,000600,"75-84",0.32241,82163,26490,689177,1150675,14,0.0593,1.6163
11001000600,11,001,000600,"85 and older",1,55673,55673,461497,461497,8.3,0.0303,2.0824
11001000701,11,001,000701,"Under 1",0.004643,100000,464,99582,8468865,84.7,0.0011,1.5905
11001000701,11,001,000701,"1-4",0.000697,99536,69,398004,8369283,84.1,0.0002,1.595
11001000701,11,001,000701,"5-14",0.00073,99466,73,994301,7971279,80.1,0.0003,1.5961
11001000701,11,001,000701,"15-24",0.006002,99394,597,990955,6976979,70.2,0.0013,1.5971
11001000701,11,001,000701,"25-34",0.007003,98797,692,984513,5986024,60.6,0.0009,1.6046
11001000701,11,001,000701,"35-44",0.012177,98105,1195,975080,5001511,51,0.0057,1.6152
11001000701,11,001,000701,"45-54",0.017055,96911,1653,960843,4026431,41.5,0.0075,1.6126
11001000701,11,001,000701,"55-64",0.036207,95258,3449,935333,3065588,32.2,0.0098,1.6161
11001000701,11,001,000701,"65-74",0.054393,91809,4994,893119,2130255,23.2,0.0123,1.6522
11001000701,11,001,000701,"75-84",0.240262,86815,20858,763859,1237136,14.3,0.0456,1.7292
11001000701,11,001,000701,"85 and older",1,65957,65957,473277,473277,7.2,0.0419,2.1556
11001000702,11,001,000702,"Under 1",0.004643,100000,464,99582,8089271,80.9,0.0011,1.477
11001000702,11,001,000702,"1-4",0.000697,99536,69,398004,7989689,80.3,0.0002,1.4811
11001000702,11,001,000702,"5-14",0.00073,99466,73,994301,7591685,76.3,0.0004,1.482
11001000702,11,001,000702,"15-24",0.006002,99394,597,990955,6597385,66.4,0.0014,1.4829
11001000702,11,001,000702,"25-34",0.007003,98797,692,984513,5606430,56.7,0.0009,1.4892
11001000702,11,001,000702,"35-44",0.008331,98105,817,976967,4621917,47.1,0.0012,1.4989
11001000702,11,001,000702,"45-54",0.022237,97288,2163,962064,3644950,37.5,0.0048,1.5106
11001000702,11,001,000702,"55-64",0.052785,95125,5021,926141,2682887,28.2,0.0148,1.5364
11001000702,11,001,000702,"65-74",0.122029,90103,10995,846059,1756746,19.5,0.0266,1.576
11001000702,11,001,000702,"75-84",0.362801,79108,28701,647580,910687,11.5,0.104,1.7237
11001000702,11,001,000702,"85 and older",1,50408,50408,263108,263108,5.2,0.0782,2.1298
