"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
13001950100,13,001,950100,"Under 1",0.006328,100000,633,99431,7618187,76.2,0.0046,2.0207
13001950100,13,001,950100,"1-4",0.001555,99367,154,397160,7518756,75.7,0.0004,2.0022
13001950100,13,001,950100,"5-14",0.00183,99213,182,991220,7121596,71.8,0.0003,2.0051
13001950100,13,001,950100,"15-24",0.007281,99031,721,986707,6130377,61.9,0.0052,2.0087
13001950100,13,001,950100,"25-34",0.015361,98310,1510,975551,5143670,52.3,0.0091,2.0008
13001950100,13,001,950100,"35-44",0.017059,96800,1651,959744,4168119,43.1,0.0078,1.9826
13001950100,13,001,950100,"45-54",0.093042,95149,8853,907223,3208375,33.7,0.0215,1.9933
13001950100,13,001,950100,"55-64",0.088255,86296,7616,824879,2301152,26.7,0.0201,2.0658
13001950100,13,001,950100,"65-74",0.233111,78680,18341,695092,1476274,18.8,0.0436,2.2044
13001950100,13,001,950100,"75-84",0.441767,60339,26656,470108,781181,12.9,0.0887,2.6873
13001950100,13,001,950100,"85 and older",1,33683,33683,311073,311073,9.2,0.0498,4.2489
13001950200,13,001,950200,"Under 1",0.012258,100000,1226,98897,7233758,72.3,0.0061,1.6537
13001950200,13,001,950200,"1-4",0.006206,98774,613,393871,7134861,72.2,0.0038,1.6124
13001950200,13,001,950200,"5-14",0.002019,98161,198,980621,6740990,68.7,0.002,1.6003
13001950200,13,001,950200,"15-24",0.002918,97963,286,978201,5760369,58.8,0.0029,1.5983
13001950200,13,001,950200,"25-34",0.013895,97677,1357,969985,4782169,49,0.0058,1.595
13001950200,13,001,950200,"35-44",0.037622,96320,3624,945080,3812184,39.6,0.0132,1.5959
13001950200,13,001,950200,"45-54",0.092052,92696,8533,884297,2867104,30.9,0.0172,1.5829
13001950200,13,001,950200,"55-64",0.148213,84163,12474,779262,1982807,23.6,0.0253,1.6574
13001950200,13,001,950200,"65-74",0.25974,71689,18621,623789,1203545,16.8,0.0478,1.8347
13001950200,13,001,950200,"75-84",0.596529,53069,31657,372401,579756,10.9,0.1262,2.2555
13001950200,13,001,950200,"85 and older",1,21412,21412,207355,207355,9.7,0.034,3.1872
13001950300,13,001,950300,"Under 1",0.007741,100000,774,99303,7347110,73.5,0.0047,1.5123
13001950300,13,001,950300,"1-4",0.004941,99226,490,395923,7247807,73,0.0036,1.4833
13001950300,13,001,950300,"5-14",0.006456,98736,637,984169,6851883,69.4,0.0047,1.468
13001950300,13,001,950300,"15-24",0.00852,98098,836,976803,5867714,59.8,0.0052,1.4458
13001950300,13,001,950300,"25-34",0.023672,97262,2302,961112,4890911,50.3,0.0086,1.4292
13001950300,13,001,950300,"35-44",0.026295,94960,2497,937115,3929799,41.4,0.0092,1.4062
13001950300,13,001,950300,"45-54",0.086679,92463,8015,884558,2992683,32.4,0.0171,1.4003
13001950300,13,001,950300,"55-64",0.128023,84448,10811,790428,2108126,25,0.0228,1.4266
13001950300,13,001,950300,"65-74",0.241956,73637,17817,647287,1317698,17.9,0.0385,1.5222
13001950300,13,001,950300,"75-84",0.506073,55820,28249,416956,670411,12,0.0923,1.8126
13001950300,13,001,950300,"85 and older",1,27571,27571,253455,253455,9.2,0.03,2.5351
13001950500,13,001,950500,"Under 1",0.006754,100000,675,99392,7417559,74.2,0.0012,1.5476
13001950500,13,001,950500,"1-4",0.001457,99325,145,397009,7318167,73.7,0.0003,1.5553
13001950500,13,001,950500,"5-14",0.002664,99180,264,990477,6921158,69.8,0.0027,1.5574
13001950500,13,001,950500,"15-24",0.007092,98916,702,985648,5930681,60,0.0051,1.5518
13001950500,13,001,950500,"25-34",0.025714,98214,2526,969513,4945033,50.3,0.0092,1.5366
13001950500,13,001,950500,"35-44",0.037581,95689,3596,938905,3975520,41.5,0.0122,1.5146
13001950500,13,001,950500,"45-54",0.06006,92092,5531,893269,3036614,33,0.0144,1.498
13001950500,13,001,950500,"55-64",0.111146,86561,9621,817509,2143345,24.8,0.0219,1.5271
13001950500,13,001,950500,"65-74",0.272266,76940,20948,664663,1325836,17.2,0.0431,1.6281
13001950500,13,001,950500,"75-84",0.47513,55992,26604,426904,661173,11.8,0.0803,2.0037
13001950500,13,001,950500,"85 and older",1,29389,29389,234269,234269,8,0.0513,3.2618
13003960100,13,003,960100,"Under 1",0.006651,100000,665,99401,7265636,72.7,0.0048,1.7322
13003960100,13,003,960100,"1-4",0.00425,99335,422,396495,7166234,72.1,0.0044,1.7074
13003960100,13,003,960100,"5-14",0.0019,98913,188,988187,6769739,68.4,0.0003,1.6868
13003960100,13,003,960100,"15-24",0.029922,98725,2954,972477,5781552,58.6,0.014,1.6899
13003960100,13,003,960100,"25-34",0.011007,95771,1054,952436,4809075,50.2,0.0079,1.55
13003960100,13,003,960100,"35-44",0.050946,94717,4825,923038,3856639,40.7,0.0203,1.524
13003960100,13,003,960100,"45-54",0.065502,89891,5888,869470,2933601,32.6,0.0201,1.3894
13003960100,13,003,960100,"55-64",0.108696,84003,9131,794376,2064131,24.6,0.03,1.3434
13003960100,13,003,960100,"65-74",0.240084,74872,17976,658844,1269755,17,0.0546,1.3131
13003960100,13,003,960100,"75-84",0.290909,56897,16552,486208,610910,10.7,0.0785,1.3064
13003960100,13,003,960100,"85 and older",1,40345,40345,124702,124702,3.1,0.1685,1.6097
13003960200,13,003,960200,"Under 1",0.007664,100000,766,99310,7526800,75.3,0.0009,1.2958
13003960200,13,003,960200,"1-4",0.001997,99234,198,396538,7427490,74.8,0.002,1.3041
13003960200,13,003,960200,"5-14",0.001675,99035,166,989525,7030952,71,0.0002,1.2985
13003960200,13,003,960200,"15-24",0.002637,98870,261,987392,6041427,61.1,0.0026,1.3006
13003960200,13,003,960200,"25-34",0.017435,98609,1719,977492,5054035,51.3,0.0068,1.2954
13003960200,13,003,960200,"35-44",0.013245,96890,1283,962480,4076543,42.1,0.0055,1.2769
13003960200,13,003,960200,"45-54",0.049974,95606,4778,932174,3114064,32.6,0.0123,1.2767
13003960200,13,003,960200,"55-64",0.123167,90828,11187,852350,2181890,24,0.0212,1.2904
13003960200,13,003,960200,"65-74",0.222829,79641,17746,707682,1329540,16.7,0.0367,1.3753
13003960200,13,003,960200,"75-84",0.511583,61895,31664,460628,621858,10,0.0942,1.6205
13003960200,13,003,960200,"85 and older",1,30231,30231,161230,161230,5.3,0.0932,2.6524
13003960300,13,003,960300,"Under 1",0.006151,100000,615,99446,7569436,75.7,0.0015,2.2862
13003960300,13,003,960300,"1-4",0.001339,99385,133,397273,7469990,75.2,0.0004,2.2974
13003960300,13,003,960300,"5-14",0.001516,99252,150,991766,7072717,71.3,0.0003,2.3003
13003960300,13,003,960300,"15-24",0.008917,99101,884,986595,6080951,61.4,0.0019,2.3037
13003960300,13,003,960300,"25-34",0.010267,98218,1008,977135,5094355,51.9,0.0104,2.3217
13003960300,13,003,960300,"35-44",0.009881,97209,961,967290,4117220,42.4,0.01,2.2926
13003960300,13,003,960300,"45-54",0.081301,96249,7825,923362,3149929,32.7,0.0268,2.2838
13003960300,13,003,960300,"55-64",0.112465,88424,9945,834514,2226567,25.2,0.035,2.325
13003960300,13,003,960300,"65-74",0.175159,78479,13746,716059,1392054,17.7,0.0594,2.461
13003960300,13,003,960300,"75-84",0.373832,64733,24199,526332,675994,10.4,0.1172,2.7685
13003960300,13,003,960300,"85 and older",1,40534,40534,149663,149663,3.7,0.3016,4.1112
13005970100,13,005,970100,"Under 1",0.004418,100000,442,99602,7295024,73,0.0045,1.7586
13005970100,13,005,970100,"1-4",0.004051,99558,403,397426,7195422,72.3,0.0041,1.7351
13005970100,13,005,970100,"5-14",0.001388,99155,138,990861,6797995,68.6,0.0003,1.7175
13005970100,13,005,970100,"15-24",0.020773,99017,2057,979889,5807134,58.6,0.0098,1.7198
13005970100,13,005,970100,"25-34",0.029354,96960,2846,955374,4827245,49.8,0.0124,1.6686
13005970100,13,005,970100,"35-44",0.038329,94114,3607,923106,3871872,41.1,0.0132,1.6143
13005970100,13,005,970100,"45-54",0.037658,90507,3408,888028,2948766,32.6,0.0122,1.5971
13005970100,13,005,970100,"55-64",0.11814,87099,10290,819537,2060738,23.7,0.0263,1.6196
13005970100,13,005,970100,"65-74",0.214949,76809,16510,685538,1241201,16.2,0.0423,1.7249
13005970100,13,005,970100,"75-84",0.606061,60299,36545,420265,555663,9.2,0.1656,2.0595
13005970100,13,005,970100,"85 and older",1,23754,23754,135398,135398,5.7,0.082,2.6643
13005970201,13,005,970201,"Under 1",0.007177,100000,718,99354,7322038,73.2,0.0037,1.4408
13005970201,13,005,970201,"1-4",0.001473,99282,146,396837,7222684,72.7,0.0003,1.4246
13005970201,13,005,970201,"5-14",0.006184,99136,613,988295,6825847,68.9,0.0045,1.4265
13005970201,13,005,970201,"15-24",0.005872,98523,579,982337,5837552,59.3,0.0042,1.4063
13005970201,13,005,970201,"25-34",0.019299,97944,1890,969993,4855215,49.6,0.0081,1.3954
13005970201,13,005,970201,"35-44",0.038911,96054,3738,941855,3885222,40.4,0.0134,1.3726
13005970201,13,005,970201,"45-54",0.079222,92317,7314,886599,2943367,31.9,0.0188,1.3325
13005970201,13,005,970201,"55-64",0.107025,85003,9097,804544,2056768,24.2,0.0211,1.3193
13005970201,13,005,970201,"65-74",0.320641,75906,24338,637364,1252223,16.5,0.0526,1.3876
13005970201,13,005,970201,"75-84",0.523385,51567,26990,380724,614859,11.9,0.0782,1.566
13005970201,13,005,970201,"85 and older",1,24578,24578,234135,234135,9.5,0.0249,2.2619
13005970202,13,005,970202,"Under 1",0.021836,100000,2184,98035,7231478,72.3,0.0279,2.3713
13005970202,13,005,970202,"1-4",0.004739,97816,464,390338,7133443,72.9,0.0048,1.1983
13005970202,13,005,970202,"5-14",0.0019,97353,185,972603,6743104,69.3,0.0003,1.1539
13005970202,13,005,970202,"15-24",0.010893,97168,1058,966386,5770501,59.4,0.0056,1.1559
13005970202,13,005,970202,"25-34",0.01626,96109,1563,953280,4804115,50,0.0075,1.1258
13005970202,13,005,970202,"35-44",0.017086,94547,1615,937389,3850835,40.7,0.0068,1.0901
13005970202,13,005,970202,"45-54",0.075873,92931,7051,894057,2913446,31.4,0.0164,1.0803
13005970202,13,005,970202,"55-64",0.125381,85880,10768,804964,2019389,23.5,0.0258,1.0538
13005970202,13,005,970202,"65-74",0.227656,75113,17100,665626,1214425,16.2,0.0388,1.031
13005970202,13,005,970202,"75-84",0.463576,58013,26893,445660,548799,9.5,0.088,1.1194
13005970202,13,005,970202,"85 and older",1,31119,31119,103139,103139,3.3,0.1438,1.5791
13007960100,13,007,960100,"Under 1",0.017412,100000,1741,98433,7812778,78.1,0.013,1.9367
13007960100,13,007,960100,"1-4",0.001571,98259,154,392726,7714346,78.5,0.0004,1.667
13007960100,13,007,960100,"5-14",0.002197,98104,216,979967,7321619,74.6,0.0004,1.6693
13007960100,13,007,960100,"15-24",0.011196,97889,1096,973409,6341653,64.8,0.0016,1.6728
13007960100,13,007,960100,"25-34",0.007257,96793,702,964417,5368244,55.5,0.0074,1.689
13007960100,13,007,960100,"35-44",0.012173,96090,1170,955056,4403827,45.8,0.0087,1.6589
13007960100,13,007,960100,"45-54",0.036731,94921,3487,931775,3448771,36.3,0.0134,1.6393
13007960100,13,007,960100,"55-64",0.068104,91434,6227,883207,2516996,27.5,0.0214,1.6403
13007960100,13,007,960100,"65-74",0.187668,85207,15991,772119,1633789,19.2,0.0468,1.6705
13007960100,13,007,960100,"75-84",0.248276,69217,17185,606241,861670,12.4,0.0653,1.7935
13007960100,13,007,960100,"85 and older",1,52032,52032,255429,255429,4.9,0.0923,2.2251
13007960200,13,007,960200,"Under 1",0.007878,100000,788,99291,7612567,76.1,0.0031,2.0284
13007960200,13,007,960200,"1-4",0.001473,99212,146,396557,7513276,75.7,0.0007,2.0301
13007960200,13,007,960200,"5-14",0.001909,99066,189,989715,7116719,71.8,0.0005,2.0325
13007960200,13,007,960200,"15-24",0.010038,98877,992,983807,6127005,62,0.0026,2.0361
13007960200,13,007,960200,"25-34",0.015088,97884,1477,971460,5143198,52.5,0.0048,2.0514
13007960200,13,007,960200,"35-44",0.029155,96408,2811,950022,4171738,43.3,0.0177,2.0696
13007960200,13,007,960200,"45-54",0.017138,93597,1604,927948,3221717,34.4,0.0125,2.0066
13007960200,13,007,960200,"55-64",0.153707,91993,14140,849228,2293769,24.9,0.0463,2.0055
13007960200,13,007,960200,"65-74",0.094192,77853,7333,741863,1444541,18.6,0.03,1.9882
13007960200,13,007,960200,"75-84",0.428571,70520,30223,554084,702679,10,0.1578,2.1384
13007960200,13,007,960200,"85 and older",1,40297,40297,148595,148595,3.7,0.2112,2.8719
13009970100,13,009,970100,"Under 1",0.005166,100000,517,99535,7546904,75.5,0.0038,1.3304
13009970100,13,009,970100,"1-4",0.001789,99483,178,397577,7447369,74.9,0.0004,1.3054
13009970100,13,009,970100,"5-14",0.001905,99305,189,992108,7049792,71,0.0003,1.3074
13009970100,13,009,970100,"15-24",0.007966,99116,790,987214,6057684,61.1,0.0048,1.3097
13009970100,13,009,970100,"25-34",0.016841,98327,1656,974987,5070469,51.6,0.0079,1.292
13009970100,13,009,970100,"35-44",0.018993,96671,1836,957527,4095482,42.4,0.0064,1.2573
13009970100,13,009,970100,"45-54",0.06138,94835,5821,919242,3137955,33.1,0.0139,1.257
13009970100,13,009,970100,"55-64",0.086328,89014,7684,851715,2218713,24.9,0.016,1.2632
13009970100,13,009,970100,"65-74",0.199882,81329,16256,732012,1366997,16.8,0.0355,1.3288
13009970100,13,009,970100,"75-84",0.478571,65073,31142,495020,634985,9.8,0.0989,1.526
13009970100,13,009,970100,"85 and older",1,33931,33931,139965,139965,4.1,0.1387,2.3604
13009970200,13,009,970200,"Under 1",0.033976,100000,3398,96942,7527803,75.3,0.0245,2.3698
13009970200,13,009,970200,"1-4",0.002568,96602,248,385913,7430861,76.9,0.0026,1.4617
13009970200,13,009,970200,"5-14",0.005941,96354,572,960681,7044947,73.1,0.0036,1.4521
13009970200,13,009,970200,"15-24",0.008197,95782,785,953893,6084267,63.5,0.0038,1.4399
13009970200,13,009,970200,"25-34",0.010242,94997,973,945103,5130374,54,0.0044,1.4337
13009970200,13,009,970200,"35-44",0.018204,94024,1712,931680,4185271,44.5,0.0066,1.4321
13009970200,13,009,970200,"45-54",0.063481,92312,5860,893821,3253591,35.2,0.012,1.4335
13009970200,13,009,970200,"55-64",0.06734,86452,5822,835412,2359770,27.3,0.0127,1.4735
13009970200,13,009,970200,"65-74",0.152738,80630,12315,744727,1524358,18.9,0.0279,1.5459
13009970200,13,009,970200,"75-84",0.418919,68315,28618,540058,779631,11.4,0.0823,1.7428
13009970200,13,009,970200,"85 and older",1,39697,39697,239572,239572,6,0.0703,2.56
13009970300,13,009,970300,"Under 1",0.00475,100000,475,99572,7882828,78.8,0.0036,1.674
13009970300,13,009,970300,"1-4",0.00193,99525,192,397716,7783256,78.2,0.002,1.657
13009970300,13,009,970300,"5-14",0.001453,99333,144,992608,7385540,74.4,0.0002,1.6533
13009970300,13,009,970300,"15-24",0.003319,99189,329,990240,6392932,64.5,0.0024,1.6556
13009970300,13,009,970300,"25-34",0.017916,98859,1771,979739,5402692,54.7,0.0077,1.6549
13009970300,13,009,970300,"35-44",0.024261,97088,2355,959106,4422953,45.6,0.0077,1.6372
13009970300,13,009,970300,"45-54",0.034965,94733,3312,930766,3463847,36.6,0.0099,1.6454
13009970300,13,009,970300,"55-64",0.08222,91420,7517,876622,2533081,27.7,0.0151,1.6718
13009970300,13,009,970300,"65-74",0.161216,83904,13527,771406,1656459,19.7,0.0287,1.7757
13009970300,13,009,970300,"75-84",0.452409,70377,31839,544576,885053,12.6,0.1009,2.0296
13009970300,13,009,970300,"85 and older",1,38538,38538,340477,340477,8.8,0.0345,2.691
13009970400,13,009,970400,"Under 1",0.008786,100000,879,99209,7503212,75,0.0041,1.0164
13009970400,13,009,970400,"1-4",0.001266,99121,126,396235,7404002,74.7,0.0004,0.9764
13009970400,13,009,970400,"5-14",0.001597,98996,158,989169,7007768,70.8,0.0003,0.9773
13009970400,13,009,970400,"15-24",0.00978,98838,967,983545,6018599,60.9,0.0013,0.9787
13009970400,13,009,970400,"25-34",0.014826,97871,1451,971457,5035054,51.4,0.0024,0.9855
13009970400,13,009,970400,"35-44",0.025891,96420,2496,951720,4063596,42.1,0.0038,0.9939
13009970400,13,009,970400,"45-54",0.057986,93924,5446,912006,3111876,33.1,0.0105,1.0095
13009970400,13,009,970400,"55-64",0.117271,88477,10376,832896,2199870,24.9,0.0143,1.0187
13009970400,13,009,970400,"65-74",0.219106,78102,17113,695454,1366974,17.5,0.0357,1.0948
13009970400,13,009,970400,"75-84",0.453777,60989,27675,471514,671521,11,0.0649,1.1961
13009970400,13,009,970400,"85 and older",1,33314,33314,200007,200007,6,0.0487,1.7569
13009970500,13,009,970500,"Under 1",0.010027,100000,1003,99098,7356643,73.6,0.0014,1.2606
