"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
18001030100,18,001,030100,80.7,1.5611,3
18001030200,18,001,030200,78.9,1.904,3
18001030300,18,001,030300,75.5,1.1773,3
18001030400,18,001,030400,87.1,3.9538,3
18001030500,18,001,030500,80.9,1.6083,1
18001030600,18,001,030600,79.2,2.0001,3
18001030700,18,001,030700,78.4,1.0776,1
18003000100,18,003,000100,77.9,1.3714,3
18003000300,18,003,000300,78.8,1.5301,3
18003000400,18,003,000400,75,2.7802,3
18003000500,18,003,000500,71.7,1.8905,3
18003000600,18,003,000600,73.9,1.4726,2
18003000701,18,003,000701,74.4,1.8293,3
18003000704,18,003,000704,77,2.0904,3
18003000800,18,003,000800,75.8,1.6495,3
18003000900,18,003,000900,72.5,1.6267,3
18003001100,18,003,001100,74.7,2.4231,3
18003001200,18,003,001200,74.1,3.4482,2
18003001300,18,003,001300,73,2.3517,3
18003001600,18,003,001600,71.7,2.1362,3
18003001700,18,003,001700,66.9,2.0601,1
18003002000,18,003,002000,70.5,2.6643,3
18003002100,18,003,002100,73.2,2.3744,3
18003002200,18,003,002200,74.6,1.6339,3
18003002300,18,003,002300,74.6,2.1047,1
18003002500,18,003,002500,78.7,2.7504,3
18003002600,18,003,002600,74.5,1.7048,3
18003002800,18,003,002800,72,2.2579,1
18003002900,18,003,002900,74.7,2.9658,3
18003003000,18,003,003000,72.8,1.6772,3
18003003100,18,003,003100,70.8,1.6084,1
18003003200,18,003,003200,79.3,2.101,3
18003003301,18,003,003301,75.3,1.8329,3
18003003304,18,003,003304,73.6,1.6624,3
18003003400,18,003,003400,76.1,1.1924,3
18003003500,18,003,003500,73.1,1.1252,3
18003003600,18,003,003600,75.9,1.773,3
18003003700,18,003,003700,72.4,1.6895,3
18003003800,18,003,003800,76.6,1.7785,3
18003003901,18,003,003901,75.9,1.4549,3
18003003902,18,003,003902,74.6,1.5384,3
18003004000,18,003,004000,71.2,1.5749,3
18003004101,18,003,004101,76.7,1.5938,3
18003004103,18,003,004103,74.5,1.5675,3
18003004300,18,003,004300,73,0.9964,2
18003004400,18,003,004400,74,2.4463,3
18003010100,18,003,010100,82.2,2.6159,3
18003010201,18,003,010201,79.9,1.2612,3
18003010202,18,003,010202,80.2,1.1206,3
18003010304,18,003,010304,81.1,1.7768,1
18003010305,18,003,010305,81.1,1.5572,3
18003010306,18,003,010306,85.8,3.2978,3
18003010307,18,003,010307,76.5,1.5129,3
18003010308,18,003,010308,83.2,1.7949,3
18003010400,18,003,010400,82.2,2.1077,3
18003010500,18,003,010500,79.4,0.8869,2
18003010601,18,003,010601,78.7,1.7096,3
18003010602,18,003,010602,75.7,1.2161,3
18003010603,18,003,010603,75.7,1.3631,3
18003010604,18,003,010604,74,1.7038,3
18003010705,18,003,010705,81.2,2.1903,3
18003010706,18,003,010706,78.8,1.4062,3
18003010707,18,003,010707,79.8,1.0359,3
18003010803,18,003,010803,80.3,1.5131,1
18003010804,18,003,010804,80.1,1.8802,3
18003010807,18,003,010807,81.6,2.0196,3
18003010808,18,003,010808,84.5,1.913,3
18003010809,18,003,010809,78.2,2.3519,3
18003010811,18,003,010811,79,1.6164,3
18003010812,18,003,010812,81.1,1.284,3
18003010813,18,003,010813,77.7,1.5794,2
18003010815,18,003,010815,82.3,2.0422,3
18003010816,18,003,010816,83.1,1.4784,3
18003010817,18,003,010817,75.5,1.9275,3
18003010819,18,003,010819,78.4,2.0347,3
18003010821,18,003,010821,77.4,1.51,3
18003010900,18,003,010900,80.2,1.1328,3
18003011000,18,003,011000,81.8,2.2526,3
18003011100,18,003,011100,78.8,1.9767,3
18003011201,18,003,011201,73,1.1789,2
18003011202,18,003,011202,74.8,1.6711,3
18003011204,18,003,011204,82.2,2.1462,3
18003011205,18,003,011205,77.9,1.5258,3
18003011302,18,003,011302,72.4,1.343,3
18003011303,18,003,011303,71.7,2.3589,1
18003011304,18,003,011304,75.3,1.7455,1
18003011501,18,003,011501,72.7,1.1664,3
18003011502,18,003,011502,75.9,1.8952,3
18003011603,18,003,011603,83.3,1.7121,3
18003011604,18,003,011604,82.6,1.6086,3
18003011605,18,003,011605,80.7,1.6833,3
18003011606,18,003,011606,84.2,2.5964,3
18003011607,18,003,011607,86.8,3.4857,3
18003011608,18,003,011608,79,1.3329,3
18003011609,18,003,011609,82.5,2.2457,3
18003011701,18,003,011701,86.1,3.364,3
18003011702,18,003,011702,78,1.5365,3
18003011801,18,003,011801,80.4,1.9796,3
18003011802,18,003,011802,85,3.1631,3
18003011900,18,003,011900,75.5,1.7555,3
18005010100,18,005,010100,71.6,1.581,3
18005010200,18,005,010200,78.2,1.5544,3
18005010300,18,005,010300,81,1.0692,3
18005010400,18,005,010400,74.4,1.2657,1
18005010500,18,005,010500,80.2,2.3108,1
18005010600,18,005,010600,76.6,1.2168,3
18005010700,18,005,010700,72.8,1.3593,3
18005010800,18,005,010800,72.9,1.5072,3
18005010900,18,005,010900,83,2.2563,3
18005011000,18,005,011000,79.3,1.2576,3
18005011200,18,005,011200,88.9,3.8736,3
18005011300,18,005,011300,78.4,1.3405,2
18005011400,18,005,011400,78.8,2.0138,3
18005011500,18,005,011500,79.7,1.5989,3
18007100100,18,007,100100,79.3,1.8112,3
18007100200,18,007,100200,77.1,1.3613,3
18007100300,18,007,100300,76.3,1.6099,1
18009975100,18,009,975100,77.9,2.3889,3
18009975200,18,009,975200,73.3,1.3407,3
18009975300,18,009,975300,72.9,1.547,1
