"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
24001000100,24,001,000100,"Under 1",0.006879,100000,688,99381,8045221,80.5,0.0013,1.588
24001000100,24,001,000100,"1-4",0.001741,99312,173,396903,7945840,80,0.0006,1.5957
24001000100,24,001,000100,"5-14",0.001719,99139,170,990540,7548938,76.1,0.0004,1.5978
24001000100,24,001,000100,"15-24",0.004184,98969,414,987617,6558398,66.3,0.0042,1.6003
24001000100,24,001,000100,"25-34",0.017819,98555,1756,976766,5570780,56.5,0.0031,1.5856
24001000100,24,001,000100,"35-44",0.010292,96799,996,963004,4594014,47.5,0.0061,1.6059
24001000100,24,001,000100,"45-54",0.039913,95802,3824,938905,3631010,37.9,0.0127,1.601
24001000100,24,001,000100,"55-64",0.092386,91979,8498,877298,2692105,29.3,0.0193,1.6051
24001000100,24,001,000100,"65-74",0.114269,83481,9539,787114,1814807,21.7,0.02,1.6746
24001000100,24,001,000100,"75-84",0.391645,73942,28959,594623,1027693,13.9,0.066,1.842
24001000100,24,001,000100,"85 and older",1,44983,44983,433070,433070,9.6,0.0278,2.5784
24001000200,24,001,000200,"Under 1",0.008387,100000,839,99245,7772556,77.7,0.0036,1.092
24001000200,24,001,000200,"1-4",0.001473,99161,146,396353,7673311,77.4,0.0007,1.0642
24001000200,24,001,000200,"5-14",0.00677,99015,670,986801,7276958,73.5,0.0069,1.0645
24001000200,24,001,000200,"15-24",0.006414,98345,631,980295,6290157,64,0.0046,0.9597
24001000200,24,001,000200,"25-34",0.003874,97714,379,975248,5309862,54.3,0.0028,0.9259
24001000200,24,001,000200,"35-44",0.00486,97335,473,970989,4334615,44.5,0.0035,0.9193
24001000200,24,001,000200,"45-54",0.0409,96862,3962,948816,3363626,34.7,0.0101,0.9134
24001000200,24,001,000200,"55-64",0.065602,92901,6094,898535,2414810,26,0.0151,0.8943
24001000200,24,001,000200,"65-74",0.166044,86806,14414,795994,1516275,17.5,0.0303,0.8857
24001000200,24,001,000200,"75-84",0.413508,72393,29935,574252,720280,9.9,0.0675,0.9128
24001000200,24,001,000200,"85 and older",1,42458,42458,146029,146029,3.4,0.1028,1.2163
24001000300,24,001,000300,"Under 1",0.027215,100000,2721,97551,7483791,74.8,0.0188,2.1037
24001000300,24,001,000300,"1-4",0.001538,97279,150,388815,7386241,75.9,0.0005,1.5702
24001000300,24,001,000300,"5-14",0.001372,97129,133,970622,6997426,72,0.0003,1.5721
24001000300,24,001,000300,"15-24",0.00956,96996,927,965319,6026804,62.1,0.0097,1.5741
24001000300,24,001,000300,"25-34",0.004203,96068,404,958664,5061485,52.7,0.0042,1.4844
24001000300,24,001,000300,"35-44",0.027759,95664,2656,943367,4102821,42.9,0.0147,1.4767
24001000300,24,001,000300,"45-54",0.075263,93009,7000,895089,3159454,34,0.0213,1.4005
24001000300,24,001,000300,"55-64",0.110628,86009,9515,812513,2264365,26.3,0.0235,1.3311
24001000300,24,001,000300,"65-74",0.166667,76494,12749,701193,1451853,19,0.0346,1.3555
24001000300,24,001,000300,"75-84",0.472131,63745,30096,486969,750660,11.8,0.0782,1.47
24001000300,24,001,000300,"85 and older",1,33649,33649,263691,263691,7.8,0.0331,2.0333
24001000400,24,001,000400,"Under 1",0.015613,100000,1561,98595,7244711,72.4,0.0119,1.5986
24001000400,24,001,000400,"1-4",0.001237,98439,122,393511,7146117,72.6,0.0003,1.3586
24001000400,24,001,000400,"5-14",0.008547,98317,840,978968,6752605,68.7,0.0062,1.3601
24001000400,24,001,000400,"15-24",0.009014,97477,879,970373,5773637,59.2,0.0016,1.3116
24001000400,24,001,000400,"25-34",0.040439,96598,3906,946448,4803264,49.7,0.0162,1.3207
24001000400,24,001,000400,"35-44",0.021471,92692,1990,916966,3856816,41.6,0.0112,1.1278
24001000400,24,001,000400,"45-54",0.057715,90701,5235,880841,2939851,32.4,0.017,1.0703
24001000400,24,001,000400,"55-64",0.125977,85467,10767,800832,2059010,24.1,0.0275,1.0077
24001000400,24,001,000400,"65-74",0.206932,74700,15458,669709,1258177,16.8,0.0384,0.9266
24001000400,24,001,000400,"75-84",0.461823,59242,27359,455624,588468,9.9,0.0686,0.9179
24001000400,24,001,000400,"85 and older",1,31883,31883,132845,132845,4.2,0.0716,1.2424
24001000500,24,001,000500,"Under 1",0.044098,100000,4410,96031,6822390,68.2,0.0428,3.4056
24001000500,24,001,000500,"1-4",0.009675,95590,925,380511,6726359,70.4,0.0101,1.5917
24001000500,24,001,000500,"5-14",0.005258,94665,498,944165,6345848,67,0.0053,1.4459
24001000500,24,001,000500,"15-24",0.009483,94168,893,937211,5401683,57.4,0.0069,1.415
24001000500,24,001,000500,"25-34",0.011364,93275,1060,927447,4464472,47.9,0.0083,1.3801
24001000500,24,001,000500,"35-44",0.055648,92215,5132,896489,3537025,38.4,0.0187,1.3476
24001000500,24,001,000500,"45-54",0.063796,87083,5556,843053,2640536,30.3,0.018,1.2429
24001000500,24,001,000500,"55-64",0.183054,81528,14924,740656,1797483,22,0.0372,1.2217
24001000500,24,001,000500,"65-74",0.321262,66604,21397,559050,1056827,15.9,0.0569,1.1541
24001000500,24,001,000500,"75-84",0.351732,45206,15901,372561,497777,11,0.0604,1.043
24001000500,24,001,000500,"85 and older",1,29306,29306,125216,125216,4.3,0.0743,1.3572
24001000600,24,001,000600,"Under 1",0.009038,100000,904,99187,7205072,72.1,0.0018,1.6289
24001000600,24,001,000600,"1-4",0.001622,99096,161,396063,7105886,71.7,0.0005,1.6385
24001000600,24,001,000600,"5-14",0.007267,98935,719,985760,6709822,67.8,0.0074,1.6408
24001000600,24,001,000600,"15-24",0.010341,98216,1016,977086,5724062,58.3,0.0062,1.5848
24001000600,24,001,000600,"25-34",0.023604,97201,2294,960537,4746976,48.8,0.0146,1.5653
24001000600,24,001,000600,"35-44",0.090403,94907,8580,906166,3786439,39.9,0.0293,1.4552
24001000600,24,001,000600,"45-54",0.042433,86327,3663,844951,2880273,33.4,0.0131,1.0184
24001000600,24,001,000600,"55-64",0.082335,82664,6806,792605,2035322,24.6,0.0191,0.9828
24001000600,24,001,000600,"65-74",0.222081,75857,16847,674342,1242717,16.4,0.0471,0.9741
24001000600,24,001,000600,"75-84",0.511687,59011,30195,439134,568375,9.6,0.0712,0.8848
24001000600,24,001,000600,"85 and older",1,28816,28816,129241,129241,4.5,0.0583,1.1718
24001000700,24,001,000700,"Under 1",0.010344,100000,1034,99069,7209628,72.1,0.0013,0.8371
24001000700,24,001,000700,"1-4",0.00173,98966,171,395520,7110559,71.8,0.0003,0.84
24001000700,24,001,000700,"5-14",0.001439,98794,142,987234,6715038,68,0.0003,0.8412
24001000700,24,001,000700,"15-24",0.011835,98652,1168,980685,5727805,58.1,0.0016,0.8421
24001000700,24,001,000700,"25-34",0.021279,97485,2074,964476,4747119,48.7,0.0032,0.8479
24001000700,24,001,000700,"35-44",0.037199,95410,3549,936358,3782643,39.6,0.0058,0.854
24001000700,24,001,000700,"45-54",0.082798,91861,7606,880583,2846285,31,0.0122,0.8604
24001000700,24,001,000700,"55-64",0.151116,84255,12732,778891,1965702,23.3,0.019,0.8589
24001000700,24,001,000700,"65-74",0.257256,71523,18400,623231,1186811,16.6,0.0327,0.8893
