"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
27001770100,27,001,770100,"Under 1",0.006098,100000,610,99451,8043744,80.4,0.0008,1.4039
27001770100,27,001,770100,"1-4",0.001438,99390,143,397275,7944293,79.9,0.0003,1.4109
27001770100,27,001,770100,"5-14",0.001501,99247,149,991729,7547017,76,0.0002,1.4127
27001770100,27,001,770100,"15-24",0.010776,99098,1068,985644,6555289,66.1,0.0013,1.4148
27001770100,27,001,770100,"25-34",0.013055,98030,1280,973906,5569644,56.8,0.0131,1.4278
27001770100,27,001,770100,"35-44",0.018868,96751,1825,958380,4595738,47.5,0.0133,1.2681
27001770100,27,001,770100,"45-54",0.031362,94925,2977,934367,3637358,38.3,0.0118,1.1511
27001770100,27,001,770100,"55-64",0.055249,91948,5080,894082,2702991,29.4,0.0141,1.1124
27001770100,27,001,770100,"65-74",0.105378,86868,9154,822912,1808909,20.8,0.0191,1.1125
27001770100,27,001,770100,"75-84",0.332308,77714,25825,648017,985998,12.7,0.0415,1.1851
27001770100,27,001,770100,"85 and older",1,51889,51889,337981,337981,6.5,0.0383,1.6242
27001770200,27,001,770200,"Under 1",0.01361,100000,1361,98775,7811500,78.1,0.0096,1.9277
27001770200,27,001,770200,"1-4",0.008149,98639,804,392948,7712725,78.2,0.0082,1.7951
27001770200,27,001,770200,"5-14",0.001727,97835,169,977507,7319776,74.8,0.0003,1.695
27001770200,27,001,770200,"15-24",0.01202,97666,1174,970793,6342269,64.9,0.0016,1.6978
27001770200,27,001,770200,"25-34",0.01845,96492,1780,956022,5371476,55.7,0.0132,1.7158
27001770200,27,001,770200,"35-44",0.007645,94712,724,943500,4415455,46.6,0.0076,1.6054
27001770200,27,001,770200,"45-54",0.065557,93988,6162,909071,3471955,36.9,0.018,1.5852
27001770200,27,001,770200,"55-64",0.074442,87826,6538,845574,2562884,29.2,0.0175,1.563
27001770200,27,001,770200,"65-74",0.171135,81288,13911,743327,1717310,21.1,0.0306,1.6153
27001770200,27,001,770200,"75-84",0.349379,67377,23540,556070,973983,14.5,0.0503,1.8114
27001770200,27,001,770200,"85 and older",1,43837,43837,417912,417912,9.5,0.028,2.5473
27001770300,27,001,770300,"Under 1",0.006098,100000,610,99451,7758474,77.6,0.0015,0.9574
27001770300,27,001,770300,"1-4",0.001438,99390,143,397275,7659023,77.1,0.0002,0.9562
27001770300,27,001,770300,"5-14",0.003353,99247,333,990809,7261748,73.2,0.0034,0.9574
27001770300,27,001,770300,"15-24",0.005136,98915,508,986605,6270939,63.4,0.0052,0.9326
27001770300,27,001,770300,"25-34",0.00845,98406,831,979907,5284334,53.7,0.006,0.8866
27001770300,27,001,770300,"35-44",0.015267,97575,1490,968302,4304426,44.1,0.0089,0.8433
27001770300,27,001,770300,"45-54",0.033223,96085,3192,944892,3336125,34.7,0.0111,0.7781
27001770300,27,001,770300,"55-64",0.085853,92893,7975,889055,2391233,25.7,0.0187,0.7225
27001770300,27,001,770300,"65-74",0.153328,84918,13020,784078,1502177,17.7,0.0244,0.6406
27001770300,27,001,770300,"75-84",0.471476,71898,33898,549486,718099,10,0.0538,0.6213
27001770300,27,001,770300,"85 and older",1,38000,38000,168613,168613,4.4,0.0344,0.6768
27001770400,27,001,770400,"Under 1",0.005787,100000,579,99479,8188237,81.9,0.0058,2.1547
27001770400,27,001,770400,"1-4",0.006419,99421,638,396409,8088758,81.4,0.0064,2.1137
27001770400,27,001,770400,"5-14",0.001673,98783,165,987004,7692350,77.9,0.0002,2.0635
27001770400,27,001,770400,"15-24",0.009794,98618,966,981348,6705346,68,0.007,2.0669
27001770400,27,001,770400,"25-34",0.007628,97652,745,972794,5723997,58.6,0.0076,2.0388
27001770400,27,001,770400,"35-44",0.043695,96907,4234,947898,4751203,49,0.0167,2.0119
27001770400,27,001,770400,"45-54",0.046458,92673,4305,905200,3803305,41,0.0134,1.9438
27001770400,27,001,770400,"55-64",0.053022,88367,4685,860246,2898105,32.8,0.0118,1.9677
27001770400,27,001,770400,"65-74",0.167796,83682,14041,766611,2037860,24.4,0.0229,2.0455
27001770400,27,001,770400,"75-84",0.31746,69640,22108,585863,1271249,18.3,0.0402,2.3735
27001770400,27,001,770400,"85 and older",1,47532,47532,685385,685385,14.4,0.0158,3.2838
27001790501,27,001,790501,"Under 1",0.006864,100000,686,99382,7638873,76.4,0.0016,0.5839
27001790501,27,001,790501,"1-4",0.001533,99314,152,396950,7539491,75.9,0.0003,0.5747
27001790501,27,001,790501,"5-14",0.001727,99161,171,990758,7142540,72,0.0002,0.5751
27001790501,27,001,790501,"15-24",0.01202,98990,1190,983953,6151782,62.1,0.0014,0.5758
27001790501,27,001,790501,"25-34",0.017851,97800,1746,969274,5167830,52.8,0.0024,0.577
27001790501,27,001,790501,"35-44",0.025229,96054,2423,948428,4198555,43.7,0.0024,0.5756
27001790501,27,001,790501,"45-54",0.049796,93631,4662,912999,3250127,34.7,0.0034,0.5825
27001790501,27,001,790501,"55-64",0.096222,88969,8561,846883,2337128,26.3,0.0054,0.6025
27001790501,27,001,790501,"65-74",0.191128,80408,15368,727238,1490245,18.5,0.009,0.6516
27001790501,27,001,790501,"75-84",0.406911,65040,26465,518070,763007,11.7,0.0273,0.7837
27001790501,27,001,790501,"85 and older",1,38574,38574,244938,244938,6.3,0.0301,1.2136
27001790502,27,001,790502,"Under 1",0.006098,100000,610,99451,8245305,82.5,0.0009,1.5108
27001790502,27,001,790502,"1-4",0.001438,99390,143,397275,8145854,82,0.0003,1.5181
27001790502,27,001,790502,"5-14",0.001501,99247,149,991729,7748579,78.1,0.0002,1.5201
27001790502,27,001,790502,"15-24",0.010776,99098,1068,985644,6756850,68.2,0.0013,1.5223
27001790502,27,001,790502,"25-34",0.009001,98030,882,975893,5771206,58.9,0.009,1.5366
27001790502,27,001,790502,"35-44",0.023456,97148,2279,960088,4795313,49.4,0.0136,1.4694
27001790502,27,001,790502,"45-54",0.028269,94869,2682,935285,3835225,40.4,0.01,1.366
27001790502,27,001,790502,"55-64",0.046059,92188,4246,900646,2899940,31.5,0.0109,1.3545
27001790502,27,001,790502,"65-74",0.114747,87942,10091,828960,1999294,22.7,0.0154,1.3842
27001790502,27,001,790502,"75-84",0.243089,77850,18925,683882,1170334,15,0.0326,1.5242
27001790502,27,001,790502,"85 and older",1,58926,58926,486452,486452,8.3,0.0283,1.9312
27003050107,27,003,050107,"Under 1",0.006558,100000,656,99410,8017833,80.2,0.0015,2.8459
27003050107,27,003,050107,"1-4",0.001171,99344,116,397144,7918423,79.7,0.0002,2.8621
27003050107,27,003,050107,"5-14",0.001416,99228,141,991576,7521279,75.8,0.0002,2.8654
27003050107,27,003,050107,"15-24",0.010876,99087,1078,985486,6529703,65.9,0.0078,2.8694
27003050107,27,003,050107,"25-34",0.007402,98010,725,976470,5544217,56.6,0.0053,2.8601
27003050107,27,003,050107,"35-44",0.02352,97284,2288,961402,4567747,47,0.0099,2.8682
27003050107,27,003,050107,"45-54",0.03866,94996,3673,931599,3606345,38,0.0132,2.9047
27003050107,27,003,050107,"55-64",0.072324,91324,6605,880212,2674746,29.3,0.0205,2.9847
27003050107,27,003,050107,"65-74",0.11324,84719,9594,799219,1794535,21.2,0.0341,3.165
27003050107,27,003,050107,"75-84",0.361011,75125,27121,615646,995316,13.2,0.0999,3.4996
27003050107,27,003,050107,"85 and older",1,48004,48004,379669,379669,7.9,0.0814,5.0912
27003050108,27,003,050108,"Under 1",0.006499,100000,650,99415,8189641,81.9,0.0012,3.6909
27003050108,27,003,050108,"1-4",0.000944,99350,94,397213,8090226,81.4,0.0002,3.7137
27003050108,27,003,050108,"5-14",0.001029,99256,102,992052,7693014,77.5,0.0002,3.7172
27003050108,27,003,050108,"15-24",0.006583,99154,653,988278,6700961,67.6,0.0038,3.721
27003050108,27,003,050108,"25-34",0.004566,98501,450,982765,5712683,58,0.0032,3.7377
27003050108,27,003,050108,"35-44",0.016786,98052,1646,972287,4729918,48.2,0.0061,3.7508
27003050108,27,003,050108,"45-54",0.019827,96406,1911,954501,3757631,39,0.0072,3.805
27003050108,27,003,050108,"55-64",0.061588,94494,5820,915845,2803130,29.7,0.0153,3.8737
27003050108,27,003,050108,"65-74",0.18705,88675,16587,803813,1887285,21.3,0.0448,4.1057
27003050108,27,003,050108,"75-84",0.373134,72088,26899,586388,1083472,15,0.0899,4.9281
27003050108,27,003,050108,"85 and older",1,45190,45190,497084,497084,11,0.0621,7.5192
27003050109,27,003,050109,"Under 1",0.005587,100000,559,99497,7960170,79.6,0.0009,1.5213
27003050109,27,003,050109,"1-4",0.001006,99441,100,397565,7860672,79,0.0002,1.528
27003050109,27,003,050109,"5-14",0.001182,99341,117,992826,7463107,75.1,0.0002,1.5295
27003050109,27,003,050109,"15-24",0.009182,99224,911,987683,6470281,65.2,0.0011,1.5312
