"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
37001020100,37,001,020100,75.1,1.3527,3
37001020200,37,001,020200,70,1.4166,3
37001020300,37,001,020300,71.1,1.0621,3
37001020400,37,001,020400,74.3,1.2106,3
37001020501,37,001,020501,76.8,1.2939,2
37001020502,37,001,020502,74.5,1.2074,2
37001020601,37,001,020601,83.4,1.6247,3
37001020602,37,001,020602,78.9,1.255,3
37001020701,37,001,020701,79.7,1.3713,3
37001020702,37,001,020702,78.8,2.1387,1
37001020801,37,001,020801,75.6,2.0603,3
37001020802,37,001,020802,72.3,1.3223,3
37001020901,37,001,020901,75.5,1.2839,3
37001020902,37,001,020902,79.3,1.9904,3
37001021000,37,001,021000,73.6,1.6581,3
37001021102,37,001,021102,75.9,2.3138,3
37001021201,37,001,021201,76.4,1.1367,3
37001021204,37,001,021204,85.1,2.9187,3
37001021205,37,001,021205,78.5,3.2866,3
37001021206,37,001,021206,77.6,1.347,2
37001021207,37,001,021207,78.9,1.9954,3
37001021300,37,001,021300,79.4,1.5839,3
37001021400,37,001,021400,76.3,1.9778,3
37001021500,37,001,021500,80.3,1.7143,3
37001021600,37,001,021600,78.4,1.3634,3
37001021701,37,001,021701,83,1.6997,3
37001021702,37,001,021702,82.1,1.4524,3
37001021703,37,001,021703,79.2,1.176,3
37001021801,37,001,021801,76.9,1.1392,2
37001021802,37,001,021802,76,1.4111,3
37001021803,37,001,021803,78.9,1.879,3
37001021901,37,001,021901,83.9,2.684,3
37001021902,37,001,021902,78.6,1.4035,3
37001022001,37,001,022001,82.4,2.8649,3
37001022002,37,001,022002,81.2,3.67,1
37003040100,37,003,040100,80.4,2.9652,3
37003040200,37,003,040200,78.2,1.6603,3
37003040300,37,003,040300,75,1.3267,3
37003040400,37,003,040400,76.5,1.6294,3
37003040500,37,003,040500,75.9,1.2385,3
37003040600,37,003,040600,76.7,1.0366,3
37003040700,37,003,040700,77.5,1.2024,3
37005950100,37,005,950100,82.3,1.8599,3
37005950200,37,005,950200,74,1.3739,3
37005950300,37,005,950300,80.8,2.0414,3
37007920100,37,007,920100,75.5,1.7751,1
37007920200,37,007,920200,82.1,3.2229,3
37007920300,37,007,920300,77.1,1.1823,3
37007920400,37,007,920400,72.2,1.0722,2
37007920500,37,007,920500,74.8,1.2112,3
37007920600,37,007,920600,72.6,0.9291,2
37009970200,37,009,970200,75.9,1.6015,3
37009970300,37,009,970300,76.4,1.4675,3
37009970400,37,009,970400,74.9,1.1916,3
37009970500,37,009,970500,76.7,3.8967,3
37009970700,37,009,970700,82,2.2797,3
37009970800,37,009,970800,79,1.5448,3
37011930100,37,011,930100,80.4,1.5151,3
37011930200,37,011,930200,84.5,2.4348,3
37011930301,37,011,930301,75.9,1.55,3
37011930302,37,011,930302,76.4,1.5323,3
37011930400,37,011,930400,78.6,1.4878,3
37013930100,37,013,930100,74.9,2.0541,3
37013930200,37,013,930200,73.8,1.1366,3
37013930300,37,013,930300,73.3,0.8844,2
37013930400,37,013,930400,71.9,1.3871,3
37013930501,37,013,930501,78.4,1.5951,3
37013930502,37,013,930502,77.7,1.2061,3
37013930600,37,013,930600,77.9,1.7337,3
37013930700,37,013,930700,77.6,2.206,3
37013930800,37,013,930800,74.4,2.0836,2
37013930900,37,013,930900,76.5,1.6462,3
37013931000,37,013,931000,74,1.3215,3
37015960100,37,015,960100,78.9,1.6555,3
37015960200,37,015,960200,76.9,1.1733,3
37015960300,37,015,960300,74,2.4327,3
37015960400,37,015,960400,78.2,1.1421,3
37017950100,37,017,950100,77.6,2.5128,3
37017950200,37,017,950200,73.3,1.1368,2
37017950300,37,017,950300,82.2,2.7382,3
37017950400,37,017,950400,75.2,1.6419,3
37017950500,37,017,950500,74.3,1.6188,3
37017950600,37,017,950600,78.5,2.3328,3
37019020101,37,019,020101,75,1.2339,2
37019020102,37,019,020102,73.9,1.9918,3
37019020103,37,019,020103,78.6,1.2487,3
37019020104,37,019,020104,76.6,1.3789,3
37019020202,37,019,020202,80.4,1.6394,3
37019020203,37,019,020203,74.9,1.4541,3
37019020204,37,019,020204,75.7,1.1789,1
37019020304,37,019,020304,79.8,1.9467,3
37019020305,37,019,020305,78.3,1.8993,3
37019020306,37,019,020306,74.9,1.5082,3
37019020308,37,019,020308,78.5,1.8343,3
37019020309,37,019,020309,82.1,3.8316,3
37019020402,37,019,020402,79.6,2.7314,3
37019020403,37,019,020403,73.4,3.2938,2
37019020404,37,019,020404,72,2.0687,1
37019020405,37,019,020405,78,1.7168,3
37019020505,37,019,020505,74.9,1.4611,3
37019020506,37,019,020506,80.4,2.6221,3
37019020507,37,019,020507,79.8,1.7763,3
37019020508,37,019,020508,79.5,3.5172,3
37019020509,37,019,020509,79.8,1.6829,3
37019020510,37,019,020510,77.6,1.7726,3
37019020601,37,019,020601,72.8,1.2288,1
37019020602,37,019,020602,74.4,1.1973,2
37021000100,37,021,000100,77.6,2.3883,3
37021000200,37,021,000200,74.5,2.2151,3
37021000300,37,021,000300,78.5,2.3088,3
37021000400,37,021,000400,75.3,2.0899,3
37021000500,37,021,000500,82,1.288,3
37021000600,37,021,000600,75.9,2.9944,3
37021000700,37,021,000700,70.4,3.5871,3
37021000800,37,021,000800,79.5,2.8215,3
37021000900,37,021,000900,69.9,1.6542,3
37021001000,37,021,001000,73.9,1.2557,3
37021001100,37,021,001100,78.3,1.5819,3
37021001200,37,021,001200,80.7,1.6919,3
37021001300,37,021,001300,72.5,2.2385,3
37021001400,37,021,001400,75.5,1.156,3
37021001500,37,021,001500,75.4,1.9535,3
37021001600,37,021,001600,76.5,3.4082,3
37021001700,37,021,001700,82.4,1.7604,3
37021001801,37,021,001801,79.4,1.9841,2
37021001802,37,021,001802,79.9,1.535,3
37021001900,37,021,001900,79,1.8974,3
37021002000,37,021,002000,75.3,0.9725,2
37021002101,37,021,002101,84.5,2.3283,3
37021002102,37,021,002102,78,1.3187,3
37021002203,37,021,002203,76.6,1.9358,1
37021002205,37,021,002205,79.7,1.4699,3
37021002206,37,021,002206,82.6,1.1854,3
37021002301,37,021,002301,80.9,2.2555,3
37021002302,37,021,002302,79.6,1.0918,3
37021002401,37,021,002401,77.8,2.7517,3
37021002402,37,021,002402,76.2,1.7399,1
37021002503,37,021,002503,78,1.8192,3
37021002504,37,021,002504,74.3,1.3547,3
37021002505,37,021,002505,79.3,1.3477,3
37021002506,37,021,002506,71.3,1.9843,3
37021002604,37,021,002604,78.5,1.6355,1
37021002606,37,021,002606,78.6,3.4779,3
37021002607,37,021,002607,79.2,2.1945,3
37021002701,37,021,002701,86.5,3.8856,3
37021002702,37,021,002702,81.6,1.4923,3
37021002703,37,021,002703,78.1,1.0625,3
37021002803,37,021,002803,81.1,1.909,3
37021002804,37,021,002804,76.8,1.5349,1
37021002900,37,021,002900,77.1,1.9924,3
37021003001,37,021,003001,80.2,1.3808,3
37021003002,37,021,003002,76.9,1.367,3
37021003102,37,021,003102,81.1,1.7697,3
37021003103,37,021,003103,76.3,2.8211,3
37021003104,37,021,003104,76,1.2322,3
37021003201,37,021,003201,78.7,3.4559,3
37021003202,37,021,003202,78.8,1.699,3
37021003203,37,021,003203,78.2,1.3768,1
37021003204,37,021,003204,78.9,1.8937,3
37021003205,37,021,003205,76.6,1.8762,3
37023020100,37,023,020100,77.2,2.0144,3
37023020201,37,023,020201,77.9,1.3151,2
37023020202,37,023,020202,79.3,1.762,3
37023020301,37,023,020301,78.8,1.8697,3
37023020302,37,023,020302,74.3,0.87,3
37023020500,37,023,020500,75.6,1.3108,3
37023020600,37,023,020600,83.3,1.962,3
37023020802,37,023,020802,77.7,1.4708,3
37023020900,37,023,020900,80.4,1.3395,3
37023021000,37,023,021000,75.8,1.1592,3
37023021100,37,023,021100,74.8,0.9234,3
37023021201,37,023,021201,76.9,1.924,3
37023021202,37,023,021202,73.1,1.323,3
37023021203,37,023,021203,73.4,1.2875,2
37023021301,37,023,021301,75.8,1.1351,3
37023021302,37,023,021302,74.5,1.0109,2
37023021400,37,023,021400,75.9,1.3769,3
37025040500,37,025,040500,76.7,1.2408,1
37025040600,37,025,040600,77.6,1.3311,3
