"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
37001020100,37,001,020100,"Under 1",0.013972,100000,1397,98743,7512375,75.1,0.0068,1.3527
37001020100,37,001,020100,"1-4",0.001029,98603,101,394208,7413633,75.2,0.0002,1.2667
37001020100,37,001,020100,"5-14",0.001203,98501,118,984421,7019425,71.3,0.0002,1.2678
37001020100,37,001,020100,"15-24",0.01062,98383,1045,978604,6035004,61.3,0.0063,1.2693
37001020100,37,001,020100,"25-34",0.014577,97338,1419,966286,5056400,51.9,0.0062,1.2304
37001020100,37,001,020100,"35-44",0.032543,95919,3121,943584,4090114,42.6,0.0127,1.2122
37001020100,37,001,020100,"45-54",0.051073,92798,4739,904279,3146530,33.9,0.0123,1.1433
37001020100,37,001,020100,"55-64",0.110325,88058,9715,832007,2242251,25.5,0.0206,1.138
37001020100,37,001,020100,"65-74",0.182055,78343,14263,712118,1410244,18,0.0356,1.1629
37001020100,37,001,020100,"75-84",0.374823,64080,24019,520710,698126,10.9,0.0691,1.242
37001020100,37,001,020100,"85 and older",1,40062,40062,177416,177416,4.4,0.0862,1.6915
37001020200,37,001,020200,"Under 1",0.022388,100000,2239,97985,7002431,70,0.0094,1.4166
37001020200,37,001,020200,"1-4",0.001159,97761,113,390818,6904446,70.6,0.0002,1.2759
37001020200,37,001,020200,"5-14",0.003178,97648,310,974927,6513627,66.7,0.0032,1.2773
37001020200,37,001,020200,"15-24",0.008902,97338,867,969043,5538700,56.9,0.0016,1.2658
37001020200,37,001,020200,"25-34",0.015144,96471,1461,957406,4569657,47.4,0.0066,1.2744
37001020200,37,001,020200,"35-44",0.028418,95010,2700,936601,3612251,38,0.0102,1.2615
37001020200,37,001,020200,"45-54",0.100162,92310,9246,876872,2675650,29,0.0221,1.248
37001020200,37,001,020200,"55-64",0.154854,83064,12863,766328,1798778,21.7,0.027,1.2224
37001020200,37,001,020200,"65-74",0.298651,70201,20966,597185,1032451,14.7,0.0541,1.3023
37001020200,37,001,020200,"75-84",0.633641,49236,31198,336368,435266,8.8,0.1276,1.5196
37001020200,37,001,020200,"85 and older",1,18038,18038,98898,98898,5.5,0.0655,1.9704
37001020300,37,001,020300,"Under 1",0.017884,100000,1788,98390,7114434,71.1,0.0056,1.0621
37001020300,37,001,020300,"1-4",0.001266,98212,124,392598,7016043,71.4,0.0013,0.9983
37001020300,37,001,020300,"5-14",0.001401,98087,137,980186,6623445,67.5,0.0002,0.9956
37001020300,37,001,020300,"15-24",0.011209,97950,1098,974009,5643259,57.6,0.0043,0.9969
37001020300,37,001,020300,"25-34",0.011599,96852,1123,962903,4669250,48.2,0.0046,0.9818
37001020300,37,001,020300,"35-44",0.03358,95729,3215,941213,3706348,38.7,0.0088,0.9722
37001020300,37,001,020300,"45-54",0.073166,92514,6769,891296,2765135,29.9,0.0142,0.9547
37001020300,37,001,020300,"55-64",0.141965,85745,12173,796587,1873839,21.9,0.0229,0.944
37001020300,37,001,020300,"65-74",0.277393,73572,20408,633681,1077252,14.6,0.0398,0.9677
37001020300,37,001,020300,"75-84",0.738207,53164,39246,335409,443570,8.3,0.0827,1.1198
37001020300,37,001,020300,"85 and older",1,13918,13918,108161,108161,7.8,0.0236,1.4282
37001020400,37,001,020400,"Under 1",0.00461,100000,461,99585,7433928,74.3,0.0027,1.2106
37001020400,37,001,020400,"1-4",0.001821,99539,181,397793,7334342,73.7,0.0018,1.1988
37001020400,37,001,020400,"5-14",0.001401,99358,139,992881,6936549,69.8,0.0002,1.1936
37001020400,37,001,020400,"15-24",0.005735,99219,569,989340,5943668,59.9,0.0034,1.1952
37001020400,37,001,020400,"25-34",0.007932,98649,782,982583,4954328,50.2,0.0041,1.1869
37001020400,37,001,020400,"35-44",0.02372,97867,2321,967063,3971745,40.6,0.0075,1.1814
37001020400,37,001,020400,"45-54",0.083599,95546,7987,915519,3004682,31.4,0.0161,1.1768
37001020400,37,001,020400,"55-64",0.119336,87558,10449,823337,2089164,23.9,0.021,1.1799
37001020400,37,001,020400,"65-74",0.186667,77109,14394,699124,1265827,16.4,0.0308,1.2382
37001020400,37,001,020400,"75-84",0.66366,62716,41622,419046,566703,9,0.0972,1.4267
37001020400,37,001,020400,"85 and older",1,21094,21094,147656,147656,7,0.0499,2.4448
37001020501,37,001,020501,"Under 1",0.008181,100000,818,99264,7680362,76.8,0.0117,1.2939
37001020501,37,001,020501,"1-4",0.000965,99182,96,396536,7581099,76.4,0.0002,0.9346
37001020501,37,001,020501,"5-14",0.001276,99086,126,990230,7184562,72.5,0.0002,0.9354
37001020501,37,001,020501,"15-24",0.00865,98960,856,985317,6194333,62.6,0.0016,0.9364
37001020501,37,001,020501,"25-34",0.011051,98104,1084,975616,5209016,53.1,0.0023,0.9397
37001020501,37,001,020501,"35-44",0.020283,97020,1968,960357,4233399,43.6,0.0028,0.9435
37001020501,37,001,020501,"45-54",0.04771,95052,4535,927843,3273043,34.4,0.0066,0.9566
37001020501,37,001,020501,"55-64",0.098206,90517,8889,860722,2345199,25.9,0.0137,0.9817
37001020501,37,001,020501,"65-74",0.193422,81628,15789,737333,1484477,18.2,0.0247,1.0301
37001020501,37,001,020501,"75-84",0.410465,65839,27025,523267,747144,11.3,0.0594,1.1747
37001020501,37,001,020501,"85 and older",1,38814,38814,223877,223877,5.8,0.0502,1.6716
37001020502,37,001,020502,"Under 1",0.008548,100000,855,99231,7453859,74.5,0.001,1.2074
37001020502,37,001,020502,"1-4",0.001122,99145,111,396358,7354628,74.2,0.0002,1.2156
37001020502,37,001,020502,"5-14",0.001401,99034,139,989646,6958269,70.3,0.0002,1.2169
37001020502,37,001,020502,"15-24",0.008983,98895,888,984511,5968623,60.4,0.0015,1.2185
37001020502,37,001,020502,"25-34",0.013901,98007,1362,973257,4984112,50.9,0.0021,1.2266
37001020502,37,001,020502,"35-44",0.025093,96645,2425,954320,4010855,41.5,0.0043,1.2401
37001020502,37,001,020502,"45-54",0.06148,94219,5793,913231,3056536,32.4,0.0089,1.2614
37001020502,37,001,020502,"55-64",0.132484,88427,11715,825692,2143305,24.2,0.021,1.3153
37001020502,37,001,020502,"65-74",0.23668,76712,18156,676336,1317612,17.2,0.0406,1.4179
37001020502,37,001,020502,"75-84",0.43829,58556,25664,457234,641276,11,0.0846,1.6529
37001020502,37,001,020502,"85 and older",1,32891,32891,184042,184042,5.6,0.079,2.4722
37001020601,37,001,020601,"Under 1",0.004322,100000,432,99611,8340691,83.4,0.0011,1.6247
37001020601,37,001,020601,"1-4",0.000633,99568,63,398145,8241080,82.8,0.0003,1.6292
37001020601,37,001,020601,"5-14",0.000786,99505,78,994658,7842935,78.8,0.0002,1.6301
37001020601,37,001,020601,"15-24",0.005726,99427,569,991420,6848277,68.9,0.0011,1.6313
37001020601,37,001,020601,"25-34",0.006353,98857,628,985434,5856857,59.2,0.0064,1.6392
37001020601,37,001,020601,"35-44",0.016367,98229,1608,974255,4871423,49.6,0.0119,1.6114
37001020601,37,001,020601,"45-54",0.02399,96622,2318,954626,3897168,40.3,0.01,1.5439
37001020601,37,001,020601,"55-64",0.040706,94304,3839,923843,2942542,31.2,0.0111,1.5374
37001020601,37,001,020601,"65-74",0.086538,90465,7829,865506,2018699,22.3,0.0186,1.5711
37001020601,37,001,020601,"75-84",0.318638,82636,26331,694707,1153193,14,0.0493,1.6763
37001020601,37,001,020601,"85 and older",1,56305,56305,458485,458485,8.1,0.0342,2.2689
37001020602,37,001,020602,"Under 1",0.004635,100000,463,99583,7892614,78.9,0.0047,1.255
37001020602,37,001,020602,"1-4",0.000777,99537,77,397991,7793031,78.3,0.0003,1.2031
37001020602,37,001,020602,"5-14",0.000857,99459,85,994165,7395039,74.4,0.0002,1.2038
37001020602,37,001,020602,"15-24",0.006372,99374,633,990573,6400874,64.4,0.0014,1.2047
37001020602,37,001,020602,"25-34",0.005963,98741,589,984463,5410301,54.8,0.0061,1.2097
37001020602,37,001,020602,"35-44",0.012492,98152,1226,975388,4425838,45.1,0.0091,1.1776
37001020602,37,001,020602,"45-54",0.033698,96926,3266,952926,3450450,35.6,0.0129,1.1326
37001020602,37,001,020602,"55-64",0.109983,93660,10301,885090,2497523,26.7,0.026,1.0937
37001020602,37,001,020602,"65-74",0.120177,83359,10018,783497,1612433,19.3,0.0333,1.0029
37001020602,37,001,020602,"75-84",0.366226,73341,26859,599111,828936,11.3,0.0547,0.9582
37001020602,37,001,020602,"85 and older",1,46481,46481,229825,229825,4.9,0.0509,1.2449
37001020701,37,001,020701,"Under 1",0.009081,100000,908,99183,7969729,79.7,0.0071,1.3713
37001020701,37,001,020701,"1-4",0.001019,99092,101,396166,7870546,79.4,0.0003,1.257
37001020701,37,001,020701,"5-14",0.001191,98991,118,989320,7474380,75.5,0.0002,1.2581
37001020701,37,001,020701,"15-24",0.0041,98873,405,986704,6485060,65.6,0.0042,1.2595
37001020701,37,001,020701,"25-34",0.006165,98468,607,981641,5498357,55.8,0.0045,1.2389
37001020701,37,001,020701,"35-44",0.009163,97861,897,974122,4516715,46.2,0.0055,1.2253
37001020701,37,001,020701,"45-54",0.022824,96964,2213,958574,3542593,36.5,0.0091,1.2152
37001020701,37,001,020701,"55-64",0.051588,94751,4888,923068,2584019,27.3,0.0135,1.2064
37001020701,37,001,020701,"65-74",0.173522,89863,15593,820662,1660951,18.5,0.0323,1.227
37001020701,37,001,020701,"75-84",0.487528,74270,36209,561654,840289,11.3,0.0809,1.3404
37001020701,37,001,020701,"85 and older",1,38061,38061,278636,278636,7.3,0.0326,1.7488
37001020702,37,001,020702,"Under 1",0.012333,100000,1233,98890,7877065,78.8,0.0058,2.1387
37001020702,37,001,020702,"1-4",0.003179,98767,314,394439,7778175,78.8,0.0032,2.1148
37001020702,37,001,020702,"5-14",0.002703,98453,266,983197,7383736,75,0.0027,2.1068
37001020702,37,001,020702,"15-24",0.006874,98187,675,978491,6400539,65.2,0.0041,2.1037
37001020702,37,001,020702,"25-34",0.008056,97512,786,971189,5422048,55.6,0.0048,2.1032
37001020702,37,001,020702,"35-44",0.019778,96726,1913,957696,4450859,46,0.0076,2.1057
37001020702,37,001,020702,"45-54",0.029001,94813,2750,934383,3493163,36.8,0.0096,2.1235
37001020702,37,001,020702,"55-64",0.087129,92063,8021,880528,2558780,27.8,0.0227,2.1627
37001020702,37,001,020702,"65-74",0.217617,84042,18289,748976,1678253,20,0.0631,2.2863
37001020702,37,001,020702,"75-84",0.251208,65753,16518,574943,929277,14.1,0.0608,2.4824
37001020702,37,001,020702,"85 and older",1,49235,49235,354334,354334,7.2,0.0611,3.164
37001020801,37,001,020801,"Under 1",0.003068,100000,307,99724,7561243,75.6,0.0031,2.0603
37001020801,37,001,020801,"1-4",0.004878,99693,486,397800,7461519,74.8,0.005,2.0531
37001020801,37,001,020801,"5-14",0.001366,99207,136,991391,7063719,71.2,0.0003,2.0296
37001020801,37,001,020801,"15-24",0.007924,99071,785,986788,6072328,61.3,0.0081,2.0323
37001020801,37,001,020801,"25-34",0.01845,98286,1813,973796,5085540,51.7,0.0135,1.995
37001020801,37,001,020801,"35-44",0.032,96473,3087,949293,4111744,42.6,0.0239,1.9235
37001020801,37,001,020801,"45-54",0.053369,93386,4984,908938,3162451,33.9,0.0209,1.7393
37001020801,37,001,020801,"55-64",0.138793,88402,12270,822671,2253514,25.5,0.0397,1.7101
37001020801,37,001,020801,"65-74",0.169794,76132,12927,696689,1430843,18.8,0.0447,1.655
37001020801,37,001,020801,"75-84",0.403321,63205,25492,504594,734154,11.6,0.0804,1.781
37001020801,37,001,020801,"85 and older",1,37713,37713,229560,229560,6.1,0.0697,2.5837
37001020802,37,001,020802,"Under 1",0.007869,100000,787,99292,7229387,72.3,0.005,1.3223
37001020802,37,001,020802,"1-4",0.001159,99213,115,396622,7130096,71.9,0.0003,1.2818
37001020802,37,001,020802,"5-14",0.001363,99098,135,990305,6733474,67.9,0.0002,1.2832
37001020802,37,001,020802,"15-24",0.009904,98963,980,984729,5743168,58,0.0043,1.2849
37001020802,37,001,020802,"25-34",0.010097,97983,989,974882,4758439,48.6,0.0047,1.2769
37001020802,37,001,020802,"35-44",0.038877,96993,3771,951081,3783558,39,0.0107,1.2728
