"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
31001965400,31,001,965400,79.6,0.9858,3
31001965500,31,001,965500,80.6,1.9994,3
31001965600,31,001,965600,82.6,1.8822,3
31001965700,31,001,965700,74.3,2.5672,3
31001965800,31,001,965800,77.2,2.0481,3
31001965900,31,001,965900,82.2,1.446,3
31001966000,31,001,966000,81.8,2.5165,3
31001966100,31,001,966100,71,1.7771,3
31001966200,31,001,966200,83.6,2.1839,3
31003979600,31,003,979600,84.7,2.9523,3
31003979700,31,003,979700,78,1.2795,3
31003979800,31,003,979800,84,1.8914,3
31011960100,31,011,960100,81.2,1.3572,3
31011960200,31,011,960200,78.9,2.1805,3
31013951100,31,013,951100,77.7,2.2252,3
31013951200,31,013,951200,77.4,1.1787,3
31013951300,31,013,951300,79.5,2.2906,3
31015975800,31,015,975800,79.2,1.3399,3
31017975000,31,017,975000,81.6,1.4215,3
31019968900,31,019,968900,80.1,1.1838,3
31019969000,31,019,969000,84.3,2.3653,3
31019969100,31,019,969100,83.4,1.8264,3
31019969202,31,019,969202,88.5,2.9745,3
31019969203,31,019,969203,85.2,2.3573,3
31019969204,31,019,969204,84.7,1.6624,3
31019969300,31,019,969300,74,1.7656,3
31019969400,31,019,969400,76.4,1.3125,3
31019969500,31,019,969500,78.8,1.368,2
31019969600,31,019,969600,76.4,1.763,2
31019969700,31,019,969700,77.2,1.6973,3
31021963200,31,021,963200,77,1.3476,3
31021963300,31,021,963300,77.8,1.5235,3
31021963400,31,021,963400,77.2,3.0885,3
31023967600,31,023,967600,80.8,1.4014,3
31023967700,31,023,967700,77.3,1.2436,3
31023967800,31,023,967800,80.4,1.3873,3
31025965600,31,025,965600,73.7,1.4658,1
31025965700,31,025,965700,80.9,1.2071,3
31025965800,31,025,965800,80.1,1.6292,3
31025965900,31,025,965900,79.8,1.0975,3
31025966000,31,025,966000,79.6,1.6402,3
31025966100,31,025,966100,78.7,1.078,2
31027977100,31,027,977100,81.8,1.1511,3
31027977200,31,027,977200,80.7,1.0897,1
31029961900,31,029,961900,78.4,1.2903,3
31031955800,31,031,955800,78,1.3455,3
31031955900,31,031,955900,79,1.4174,2
31033954800,31,033,954800,80.6,1.4927,3
31033954900,31,033,954900,81.7,1.8208,3
31033955000,31,033,955000,79.5,1.8904,3
31035962100,31,035,962100,78.3,1.0894,3
31035962200,31,035,962200,80.9,1.4095,3
31037964600,31,037,964600,83,1.5813,3
31037964700,31,037,964700,80.6,2.8557,3
31037964800,31,037,964800,78.6,1.0978,1
31039972700,31,039,972700,82.6,1.7338,3
31039972800,31,039,972800,80.1,1.3155,3
31039972900,31,039,972900,80.2,1.6324,3
31041971700,31,041,971700,81,1.2213,3
31041971800,31,041,971800,80.4,1.6645,3
31041971900,31,041,971900,74.6,1.1954,3
31041972000,31,041,972000,82.7,2.6654,3
31043010100,31,043,010100,76.7,1.0138,1
31043010200,31,043,010200,78.1,1.1143,3
31043010300,31,043,010300,78.3,1.4305,1
31043010400,31,043,010400,80.1,1.264,3
31045950600,31,045,950600,84,1.8356,3
31045950700,31,045,950700,80.4,1.1199,2
31047968000,31,047,968000,87.1,3.4557,3
31047968100,31,047,968100,78.3,2.5262,3
31047968200,31,047,968200,77.5,1.4393,1
31047968300,31,047,968300,74.9,1.4656,3
31047968400,31,047,968400,77.6,1.2701,3
31047968500,31,047,968500,80.2,1.5085,1
31047968600,31,047,968600,81.9,3.0064,3
31049955400,31,049,955400,82.8,1.9625,3
31051977600,31,051,977600,81.3,1.5742,3
31051977800,31,051,977800,79.8,1.2272,3
31053963600,31,053,963600,79.1,0.9102,3
31053963700,31,053,963700,80.5,1.8798,3
31053963800,31,053,963800,75.4,0.9881,3
31053963900,31,053,963900,80,1.3863,1
31053964000,31,053,964000,76,1.6755,3
31053964100,31,053,964100,82.9,1.3631,3
31053964200,31,053,964200,77.2,1.938,3
31053964300,31,053,964300,78.3,1.2921,3
31053964400,31,053,964400,76.4,1.8661,3
31055000200,31,055,000200,71.9,1.318,1
31055000300,31,055,000300,67.3,2.7186,1
31055000400,31,055,000400,70.1,1.5858,3
31055000500,31,055,000500,72.5,3.3209,3
31055000600,31,055,000600,72.8,1.7186,2
31055000700,31,055,000700,72.7,3.5377,3
31055000800,31,055,000800,68.9,2.2547,1
31055001100,31,055,001100,71.7,2.5209,3
31055001200,31,055,001200,69.7,1.6982,1
31055001800,31,055,001800,79.5,3.4668,2
31055002000,31,055,002000,75.2,2.0082,3
31055002100,31,055,002100,74,2.023,1
31055002200,31,055,002200,77.8,2.3961,2
31055002300,31,055,002300,70,1.4697,3
31055002400,31,055,002400,78.3,3.2756,3
31055002500,31,055,002500,74.1,1.3736,3
31055002600,31,055,002600,75.2,2.4163,3
31055002700,31,055,002700,72.6,2.8194,3
31055002800,31,055,002800,76.2,1.616,3
31055002900,31,055,002900,75.3,2.238,3
31055003000,31,055,003000,77.4,1.458,3
31055003100,31,055,003100,79.5,2.2231,3
31055003200,31,055,003200,75.2,2.6801,3
31055003300,31,055,003300,78.6,2.6069,3
31055003401,31,055,003401,77.5,1.7414,3
31055003402,31,055,003402,77.5,1.8477,3
31055003500,31,055,003500,76.7,0.9496,3
31055003600,31,055,003600,78.1,1.5226,3
31055003700,31,055,003700,78.3,1.9962,3
31055003800,31,055,003800,75.5,1.4628,3
31055003900,31,055,003900,75.6,2.0323,2
31055004000,31,055,004000,70.8,1.843,3
31055004200,31,055,004200,77.9,2.6555,2
31055004300,31,055,004300,73.3,2.2795,3
31055004500,31,055,004500,87.3,2.6905,3
31055004600,31,055,004600,78.6,1.3985,3
31055004700,31,055,004700,81.2,1.4266,3
31055004800,31,055,004800,79.6,2.2581,2
31055004900,31,055,004900,75.7,1.4396,2
31055005000,31,055,005000,76.4,1.4351,2
31055005100,31,055,005100,76.4,3.7839,3
31055005300,31,055,005300,74.1,1.1281,2
31055005400,31,055,005400,73.1,1.5363,2
31055005500,31,055,005500,81,1.8068,3
31055005600,31,055,005600,75.4,1.397,3
31055005700,31,055,005700,73,1.54,3
31055005800,31,055,005800,76.1,0.9581,2
31055005901,31,055,005901,70,1.6811,1
31055005902,31,055,005902,69.9,1.9119,1
31055006000,31,055,006000,69.8,1.4813,3
31055006101,31,055,006101,71.4,2.078,3
31055006102,31,055,006102,73.1,1.4507,1
31055006202,31,055,006202,72.1,1.4423,3
31055006301,31,055,006301,73.7,1.4354,3
31055006302,31,055,006302,73.9,1.4427,3
31055006303,31,055,006303,73.2,1.4795,3
31055006400,31,055,006400,76.3,1.5987,3
