"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
34001000100,34,001,000100,77.4,1.6616,3
34001000200,34,001,000200,80.5,1.8585,3
34001000300,34,001,000300,77.4,1.6787,2
34001000400,34,001,000400,75.5,2.1278,3
34001000500,34,001,000500,78.7,2.2374,3
34001001100,34,001,001100,75.2,1.2365,2
34001001200,34,001,001200,71.2,1.9193,3
34001001300,34,001,001300,74.7,1.7024,3
34001001400,34,001,001400,70.6,1.8472,3
34001001500,34,001,001500,65.8,1.9031,3
34001001900,34,001,001900,71.9,3.2572,3
34001002300,34,001,002300,73,1.5613,3
34001002400,34,001,002400,67.8,2.0765,3
34001002500,34,001,002500,76.8,2.1332,2
34001010101,34,001,010101,79.4,1.7855,3
34001010105,34,001,010105,82.5,3.171,3
34001010200,34,001,010200,77.7,1.1101,3
34001010300,34,001,010300,75.2,3.0717,3
34001010403,34,001,010403,77.4,1.0219,3
34001010501,34,001,010501,81.2,1.538,3
34001010503,34,001,010503,76.6,1.6403,2
34001010505,34,001,010505,77.5,1.4112,3
34001010506,34,001,010506,80.2,1.4715,3
34001010600,34,001,010600,75.1,1.3278,3
34001010700,34,001,010700,77.2,1.1481,3
34001010800,34,001,010800,79.6,1.0118,2
34001010900,34,001,010900,76,2.9045,1
34001011000,34,001,011000,78.4,1.6346,3
34001011100,34,001,011100,77.6,1.7242,3
34001011201,34,001,011201,78.6,0.7775,2
34001011202,34,001,011202,80.7,1.8541,3
34001011300,34,001,011300,79.6,1.5948,3
34001011401,34,001,011401,76.6,1.2142,3
34001011403,34,001,011403,77.7,2.4876,3
34001011404,34,001,011404,79.6,1.2951,3
34001011500,34,001,011500,77.4,1.5716,3
34001011600,34,001,011600,78.6,1.2185,3
34001011701,34,001,011701,77.1,1.0345,3
34001011702,34,001,011702,76.8,2.5295,3
34001011802,34,001,011802,81.4,2.055,1
34001011803,34,001,011803,78.1,1.6331,3
34001011804,34,001,011804,77.4,1.263,3
34001011805,34,001,011805,76.5,1.8993,3
34001011900,34,001,011900,75.5,1.8461,1
34001012000,34,001,012000,78,1.8646,3
34001012100,34,001,012100,76.9,1.3004,2
34001012200,34,001,012200,75.3,1.6308,3
34001012302,34,001,012302,78,1.2258,3
34001012401,34,001,012401,75.4,1.3937,3
34001012402,34,001,012402,79.6,2.0379,3
34001012501,34,001,012501,81.2,1.786,3
34001012502,34,001,012502,82.1,3.5968,3
34001012602,34,001,012602,81,2.6041,3
34001012701,34,001,012701,76.2,1.5157,3
34001012702,34,001,012702,77.2,2.1089,3
34001012801,34,001,012801,79.2,1.9122,3
34001012802,34,001,012802,76.5,1.559,3
34001013000,34,001,013000,80.8,1.3341,3
34001013101,34,001,013101,84.5,1.802,3
34001013201,34,001,013201,83.4,2.0813,3
34001013202,34,001,013202,77.6,1.8042,3
34001013301,34,001,013301,83.9,2.6442,3
34001013302,34,001,013302,77.1,1.739,3
34001013500,34,001,013500,79.6,1.8008,3
34003001000,34,003,001000,83.3,1.1797,3
34003002100,34,003,002100,84.2,2.4151,3
34003002200,34,003,002200,81.1,0.958,3
34003002300,34,003,002300,82.6,1.037,3
34003003100,34,003,003100,81.2,1.6205,3
34003003200,34,003,003200,82.3,1.8733,3
34003003300,34,003,003300,81.4,1.3287,2
34003003401,34,003,003401,88.3,3.4789,3
34003003402,34,003,003402,82.6,1.4506,3
34003003500,34,003,003500,83.2,1.7504,3
34003004001,34,003,004001,80.9,1.2609,3
34003004002,34,003,004002,81.1,1.7827,3
34003005000,34,003,005000,79.3,1.7269,2
34003006100,34,003,006100,83.7,1.69,3
34003006201,34,003,006201,80.7,1.3497,3
34003006202,34,003,006202,87.8,2.2092,3
34003006300,34,003,006300,82.1,1.575,3
34003007001,34,003,007001,83.4,1.9808,3
34003007002,34,003,007002,86.5,2.3993,3
34003008000,34,003,008000,84.7,1.1864,3
34003009100,34,003,009100,84.9,1.8404,3
34003009200,34,003,009200,81.9,1.2767,3
34003010100,34,003,010100,84.1,2.0975,3
34003010200,34,003,010200,80.2,1.5467,3
34003010300,34,003,010300,81.1,1.2719,3
34003011100,34,003,011100,80.7,1.244,3
34003011200,34,003,011200,81.3,1.3875,3
34003011300,34,003,011300,80.7,1.3007,3
34003011400,34,003,011400,81.7,1.9965,3
34003012001,34,003,012001,82.5,2.5426,3
34003012002,34,003,012002,82.9,2.2896,3
34003013001,34,003,013001,84.4,2.2176,3
34003013002,34,003,013002,85.3,3.3665,3
34003014000,34,003,014000,81,0.9984,3
34003015100,34,003,015100,82.9,1.7686,3
34003015200,34,003,015200,78.6,2.4612,3
34003015300,34,003,015300,80.1,1.2926,1
34003015400,34,003,015400,81,1.0897,3
34003015500,34,003,015500,85.5,2.0372,3
34003016000,34,003,016000,85.5,1.3071,3
34003017100,34,003,017100,84.4,1.4626,3
34003017200,34,003,017200,81,1.5526,3
34003017300,34,003,017300,83.6,1.851,3
34003017400,34,003,017400,83.1,1.2627,3
34003017500,34,003,017500,82.1,1.0158,3
34003018100,34,003,018100,86.7,2.951,3
34003018200,34,003,018200,80.6,1.0045,2
34003019102,34,003,019102,85.3,2.0683,3
34003019103,34,003,019103,86.6,3.1282,3
34003019104,34,003,019104,86.7,2.9814,3
34003019202,34,003,019202,81.7,1.6157,3
34003019203,34,003,019203,85.7,1.6452,3
34003019204,34,003,019204,86.1,2.3516,3
34003019303,34,003,019303,83.9,2.238,3
34003019304,34,003,019304,83,1.8524,3
34003019305,34,003,019305,87.9,1.8972,3
34003019306,34,003,019306,83.7,2.1817,3
34003020100,34,003,020100,84.7,3.0696,3
34003020200,34,003,020200,85.4,2.1637,3
34003021100,34,003,021100,79.5,1.8182,3
34003021200,34,003,021200,80.7,1.6044,3
34003021300,34,003,021300,81.8,1.8353,3
34003021400,34,003,021400,80.7,1.5695,3
34003021500,34,003,021500,75.4,1.3704,3
34003021600,34,003,021600,78.4,1.7285,3
34003022100,34,003,022100,86,1.9222,3
34003022200,34,003,022200,88.1,2.1783,3
34003023100,34,003,023100,78.4,2.3505,3
34003023200,34,003,023200,80,2.0966,3
34003023301,34,003,023301,82.9,2.4388,3
34003023302,34,003,023302,81.2,1.2166,2
34003023401,34,003,023401,83.8,2.3936,3
34003023402,34,003,023402,81,1.4823,3
34003023501,34,003,023501,76.8,2.36,3
34003023502,34,003,023502,79,1.8066,3
34003023601,34,003,023601,78.2,1.5327,3
34003023602,34,003,023602,83.1,2.8128,3
34003024100,34,003,024100,84.6,1.7821,3
34003024200,34,003,024200,83.9,1.5276,3
34003025100,34,003,025100,80.2,1.6777,3
34003025200,34,003,025200,80.6,1.2446,3
34003026100,34,003,026100,80.2,1.2251,3
34003026200,34,003,026200,84.4,1.7157,3
34003027000,34,003,027000,84.4,1.3954,3
34003028001,34,003,028001,84,1.777,3
34003028002,34,003,028002,90.5,3.0374,3
34003029100,34,003,029100,85.4,2.1518,3
34003029200,34,003,029200,79.8,1.467,3
34003030100,34,003,030100,78.8,1.4305,3
34003030200,34,003,030200,79.8,1.209,2
34003030300,34,003,030300,77.4,1.2156,3
34003030400,34,003,030400,81,1.2871,3
34003031100,34,003,031100,83,2.0085,3
34003031200,34,003,031200,80.2,1.2766,3
34003031300,34,003,031300,79.9,1.1701,3
34003031400,34,003,031400,80.6,1.1528,3
34003032102,34,003,032102,83.4,1.3855,3
34003032103,34,003,032103,84.5,1.8663,3
34003032104,34,003,032104,81.6,1.1986,2
