"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
39001770100,39,001,770100,"Under 1",0.012768,100000,1277,98851,7420037,74.2,0.0058,1.34
39001770100,39,001,770100,"1-4",0.001457,98723,144,394605,7321186,74.2,0.0002,1.2837
39001770100,39,001,770100,"5-14",0.001614,98579,159,984998,6926581,70.3,0.0002,1.2854
39001770100,39,001,770100,"15-24",0.014784,98420,1455,976926,5941584,60.4,0.0067,1.2874
39001770100,39,001,770100,"25-34",0.030246,96965,2933,954987,4964657,51.2,0.011,1.249
39001770100,39,001,770100,"35-44",0.023184,94032,2180,929423,4009670,42.6,0.0079,1.1687
39001770100,39,001,770100,"45-54",0.068835,91852,6323,886910,3080247,33.5,0.0139,1.1548
39001770100,39,001,770100,"55-64",0.087841,85530,7513,817732,2193337,25.6,0.016,1.1522
39001770100,39,001,770100,"65-74",0.220087,78017,17170,694315,1375605,17.6,0.0313,1.199
39001770100,39,001,770100,"75-84",0.445997,60846,27137,472776,681291,11.2,0.0599,1.3933
39001770100,39,001,770100,"85 and older",1,33709,33709,208514,208514,6.2,0.0576,2.2055
39001770200,39,001,770200,"Under 1",0.010107,100000,1011,99090,7568528,75.7,0.0047,1.3629
39001770200,39,001,770200,"1-4",0.004176,98989,413,395131,7469438,75.5,0.003,1.3289
39001770200,39,001,770200,"5-14",0.001666,98576,164,984938,7074307,71.8,0.0002,1.3158
39001770200,39,001,770200,"15-24",0.020692,98412,2036,973936,6089369,61.9,0.0081,1.3179
39001770200,39,001,770200,"25-34",0.010469,96375,1009,958710,5115433,53.1,0.0053,1.2578
39001770200,39,001,770200,"35-44",0.018439,95367,1758,944873,4156723,43.6,0.0077,1.2441
39001770200,39,001,770200,"45-54",0.053399,93608,4999,911088,3211850,34.3,0.0111,1.2298
39001770200,39,001,770200,"55-64",0.118879,88609,10534,833426,2300763,26,0.0202,1.2478
39001770200,39,001,770200,"65-74",0.197346,78076,15408,703717,1467337,18.8,0.0308,1.3069
39001770200,39,001,770200,"75-84",0.489375,62668,30668,473337,763620,12.2,0.0714,1.4891
39001770200,39,001,770200,"85 and older",1,32000,32000,290283,290283,9.1,0.0261,2.1517
39001770300,39,001,770300,"Under 1",0.001321,100000,132,99881,7567462,75.7,0.0013,1.0976
39001770300,39,001,770300,"1-4",0.00301,99868,301,398870,7467581,74.8,0.0022,1.0944
39001770300,39,001,770300,"5-14",0.001682,99567,168,994835,7068711,71,0.0017,1.0862
39001770300,39,001,770300,"15-24",0.013076,99400,1300,987499,6073875,61.1,0.0048,1.0822
39001770300,39,001,770300,"25-34",0.010896,98100,1069,975656,5086376,51.8,0.005,1.0609
39001770300,39,001,770300,"35-44",0.018543,97031,1799,961316,4110720,42.4,0.0061,1.0456
39001770300,39,001,770300,"45-54",0.075037,95232,7146,916590,3149405,33.1,0.0134,1.0387
39001770300,39,001,770300,"55-64",0.072069,88086,6348,849119,2232814,25.3,0.0126,1.0332
39001770300,39,001,770300,"65-74",0.221022,81738,18066,727049,1383695,16.9,0.0315,1.0731
39001770300,39,001,770300,"75-84",0.427835,63672,27241,500514,656646,10.3,0.0795,1.2301
39001770300,39,001,770300,"85 and older",1,36431,36431,156132,156132,4.3,0.0936,1.7195
39001770500,39,001,770500,"Under 1",0.012496,100000,1250,98875,7245157,72.5,0.0094,1.5207
39001770500,39,001,770500,"1-4",0.001457,98750,144,394714,7146281,72.4,0.0004,1.3719
39001770500,39,001,770500,"5-14",0.007364,98607,726,982435,6751567,68.5,0.0054,1.3737
39001770500,39,001,770500,"15-24",0.015432,97880,1511,971252,5769132,58.9,0.0092,1.3391
39001770500,39,001,770500,"25-34",0.028703,96370,2766,949869,4797880,49.8,0.0136,1.2611
39001770500,39,001,770500,"35-44",0.016009,93604,1498,928546,3848011,41.1,0.0068,1.1263
39001770500,39,001,770500,"45-54",0.077872,92105,7172,885192,2919465,31.7,0.0172,1.1163
39001770500,39,001,770500,"55-64",0.136193,84933,11567,791494,2034272,24,0.025,1.0827
39001770500,39,001,770500,"65-74",0.217972,73366,15992,653699,1242779,16.9,0.0394,1.0812
39001770500,39,001,770500,"75-84",0.351014,57374,20139,473045,589080,10.3,0.066,1.1484
39001770500,39,001,770500,"85 and older",1,37235,37235,116035,116035,3.1,0.1612,1.565
39001770600,39,001,770600,"Under 1",0.016777,100000,1678,98490,7199167,72,0.0088,1.3962
39001770600,39,001,770600,"1-4",0.00439,98322,432,392426,7100677,72.2,0.0045,1.2615
39001770600,39,001,770600,"5-14",0.001614,97891,158,978116,6708251,68.5,0.0003,1.2272
39001770600,39,001,770600,"15-24",0.004301,97733,420,975224,5730135,58.6,0.0043,1.2291
39001770600,39,001,770600,"25-34",0.033019,97312,3213,957057,4754911,48.9,0.013,1.2119
39001770600,39,001,770600,"35-44",0.022371,94099,2105,930466,3797854,40.4,0.0094,1.0953
39001770600,39,001,770600,"45-54",0.07535,91994,6932,885281,2867388,31.2,0.0158,1.0655
39001770600,39,001,770600,"55-64",0.135653,85062,11539,792928,1982107,23.3,0.0227,1.0464
39001770600,39,001,770600,"65-74",0.218197,73523,16043,655020,1189179,16.2,0.0351,1.0759
39001770600,39,001,770600,"75-84",0.561555,57481,32279,413414,534159,9.3,0.1045,1.217
39001770600,39,001,770600,"85 and older",1,25202,25202,120745,120745,4.8,0.0655,1.5036
39003010100,39,003,010100,"Under 1",0.003499,100000,350,99685,8221871,82.2,0.0035,1.2078
39003010100,39,003,010100,"1-4",0.00068,99650,68,398465,8122186,81.5,0.0002,1.1762
39003010100,39,003,010100,"5-14",0.002884,99582,287,994388,7723721,77.6,0.0029,1.1769
39003010100,39,003,010100,"15-24",0.001828,99295,182,992044,6729333,67.8,0.0018,1.1612
39003010100,39,003,010100,"25-34",0.015314,99114,1518,983548,5737289,57.9,0.009,1.1575
39003010100,39,003,010100,"35-44",0.006562,97596,640,972757,4753741,48.7,0.0047,1.0672
39003010100,39,003,010100,"45-54",0.016124,96955,1563,961738,3780985,39,0.0074,1.0539
39003010100,39,003,010100,"55-64",0.041068,95392,3918,934334,2819246,29.6,0.0124,1.0395
39003010100,39,003,010100,"65-74",0.123983,91475,11341,858040,1884912,20.6,0.0258,1.0322
39003010100,39,003,010100,"75-84",0.332356,80133,26633,668169,1026873,12.8,0.0509,1.0551
39003010100,39,003,010100,"85 and older",1,53501,53501,358703,358703,6.7,0.029,1.304
39003010200,39,003,010200,"Under 1",0.006859,100000,686,99383,8177266,81.8,0.005,1.7374
39003010200,39,003,010200,"1-4",0.001324,99314,132,396993,8077883,81.3,0.0002,1.7006
39003010200,39,003,010200,"5-14",0.001448,99183,144,991108,7680890,77.4,0.0002,1.7027
39003010200,39,003,010200,"15-24",0.010046,99039,995,985415,6689782,67.5,0.0013,1.7051
39003010200,39,003,010200,"25-34",0.01139,98044,1117,974857,5704367,58.2,0.0066,1.7205
39003010200,39,003,010200,"35-44",0.013661,96927,1324,962653,4729510,48.8,0.0069,1.7023
39003010200,39,003,010200,"45-54",0.034138,95603,3264,939714,3766857,39.4,0.0094,1.6976
39003010200,39,003,010200,"55-64",0.041334,92340,3817,904312,2827143,30.6,0.011,1.7229
39003010200,39,003,010200,"65-74",0.169745,88523,15026,810096,1922831,21.7,0.032,1.7709
39003010200,39,003,010200,"75-84",0.449102,73496,33007,569928,1112734,15.1,0.0657,1.9864
39003010200,39,003,010200,"85 and older",1,40489,40489,542807,542807,13.4,0.0159,2.8598
39003010300,39,003,010300,"Under 1",0.006558,100000,656,99410,8115321,81.2,0.0013,2.2127
39003010300,39,003,010300,"1-4",0.001171,99344,116,397144,8015912,80.7,0.0003,2.2247
39003010300,39,003,010300,"5-14",0.001416,99228,141,991576,7618768,76.8,0.0002,2.2272
39003010300,39,003,010300,"15-24",0.008953,99087,887,986438,6627191,66.9,0.009,2.2303
39003010300,39,003,010300,"25-34",0.016489,98200,1619,973907,5640753,57.4,0.003,2.1773
39003010300,39,003,010300,"35-44",0.011834,96581,1143,960095,4666847,48.3,0.0119,2.2078
39003010300,39,003,010300,"45-54",0.007728,95438,738,950693,3706751,38.8,0.0078,2.1708
39003010300,39,003,010300,"55-64",0.093923,94701,8895,902533,2756058,29.1,0.0238,2.1713
39003010300,39,003,010300,"65-74",0.161074,85806,13821,788954,1853526,21.6,0.0477,2.2922
39003010300,39,003,010300,"75-84",0.370899,71985,26699,586353,1064571,14.8,0.0767,2.4897
39003010300,39,003,010300,"85 and older",1,45286,45286,478218,478218,10.6,0.0311,3.4725
39003010600,39,003,010600,"Under 1",0.005826,100000,583,99476,7853164,78.5,0.0042,1.2158
39003010600,39,003,010600,"1-4",0.002825,99417,281,397108,7753688,78,0.0029,1.1776
39003010600,39,003,010600,"5-14",0.001231,99137,122,990755,7356580,74.2,0.0002,1.1607
39003010600,39,003,010600,"15-24",0.006031,99015,597,987159,6365825,64.3,0.0043,1.162
39003010600,39,003,010600,"25-34",0.002951,98417,290,982721,5378665,54.7,0.003,1.1401
39003010600,39,003,010600,"35-44",0.012713,98127,1247,975032,4395944,44.8,0.0059,1.1339
39003010600,39,003,010600,"45-54",0.045434,96879,4402,946787,3420912,35.3,0.0114,1.1229
39003010600,39,003,010600,"55-64",0.085106,92478,7870,885426,2474125,26.8,0.0161,1.1135
39003010600,39,003,010600,"65-74",0.151662,84607,12832,781915,1588699,18.8,0.0256,1.1427
39003010600,39,003,010600,"75-84",0.484365,71776,34766,543929,806784,11.2,0.0696,1.255
