"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
42001030101,42,001,030101,"Under 1",0.004019,100000,402,99638,8031837,80.3,0.0011,1.3822
42001030101,42,001,030101,"1-4",0.000957,99598,95,398202,7932199,79.6,0.0003,1.3849
42001030101,42,001,030101,"5-14",0.001099,99503,109,994482,7533997,75.7,0.0002,1.3861
42001030101,42,001,030101,"15-24",0.0052,99394,517,991351,6539515,65.8,0.0052,1.3875
42001030101,42,001,030101,"25-34",0.007479,98877,740,985069,5548164,56.1,0.0075,1.3571
42001030101,42,001,030101,"35-44",0.008929,98137,876,976990,4563095,46.5,0.0063,1.3103
42001030101,42,001,030101,"45-54",0.01462,97261,1422,965499,3586105,36.9,0.0074,1.2947
42001030101,42,001,030101,"55-64",0.054033,95839,5178,932497,2620606,27.3,0.0148,1.2914
42001030101,42,001,030101,"65-74",0.131744,90660,11944,846885,1688109,18.6,0.0299,1.3139
42001030101,42,001,030101,"75-84",0.465753,78716,36662,603853,841224,10.7,0.0876,1.4137
42001030101,42,001,030101,"85 and older",1,42054,42054,237372,237372,5.6,0.0624,1.9891
42001030102,42,001,030102,"Under 1",0.004191,100000,419,99623,8164297,81.6,0.0008,2.852
42001030102,42,001,030102,"1-4",0.001045,99581,104,398116,8064675,81,0.0002,2.8633
42001030102,42,001,030102,"5-14",0.001143,99477,114,994200,7666559,77.1,0.0002,2.8662
42001030102,42,001,030102,"15-24",0.010702,99363,1063,988314,6672360,67.2,0.005,2.8694
42001030102,42,001,030102,"25-34",0.014921,98300,1467,975663,5684046,57.8,0.007,2.8833
42001030102,42,001,030102,"35-44",0.011514,96833,1115,962755,4708382,48.6,0.0048,2.9024
42001030102,42,001,030102,"45-54",0.014425,95718,1381,950276,3745627,39.1,0.0049,2.9283
42001030102,42,001,030102,"55-64",0.078975,94337,7450,906121,2795351,29.6,0.0153,2.9661
42001030102,42,001,030102,"65-74",0.15189,86887,13197,802883,1889230,21.7,0.0313,3.1898
42001030102,42,001,030102,"75-84",0.287853,73690,21212,630838,1086346,14.7,0.0648,3.6899
42001030102,42,001,030102,"85 and older",1,52478,52478,455508,455508,8.7,0.0668,5.0294
42001030200,42,001,030200,"Under 1",0.003835,100000,383,99655,7836401,78.4,0.0039,1.1067
42001030200,42,001,030200,"1-4",0.00126,99617,125,398215,7736746,77.7,0.0002,1.0686
42001030200,42,001,030200,"5-14",0.001382,99491,138,994223,7338531,73.8,0.0002,1.0698
42001030200,42,001,030200,"15-24",0.00271,99354,269,992189,6344308,63.9,0.0027,1.0712
42001030200,42,001,030200,"25-34",0.013287,99084,1317,984260,5352119,54,0.006,1.0621
42001030200,42,001,030200,"35-44",0.037906,97768,3706,959147,4367859,44.7,0.0096,1.0328
42001030200,42,001,030200,"45-54",0.029638,94062,2788,926678,3408712,36.2,0.0077,0.9911
42001030200,42,001,030200,"55-64",0.07035,91274,6421,880634,2482033,27.2,0.0125,0.9887
42001030200,42,001,030200,"65-74",0.187824,84853,15937,768841,1601400,18.9,0.0263,1.0143
