"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
44001030100,44,001,030100,82.7,1.3106,3
44001030200,44,001,030200,81.8,1.9749,3
44001030300,44,001,030300,85.2,1.7844,3
44001030500,44,001,030500,76.1,1.9295,3
44001030601,44,001,030601,79.6,1.4267,3
44001030700,44,001,030700,80.4,1.3954,3
44001030800,44,001,030800,80.5,1.3124,3
44001030901,44,001,030901,78.6,1.2061,3
44001030902,44,001,030902,81.4,0.9938,3
44003020101,44,003,020101,81.8,1.4252,3
44003020102,44,003,020102,76.8,1.2493,2
44003020200,44,003,020200,80,2.4527,3
44003020300,44,003,020300,73.3,1.5853,3
44003020400,44,003,020400,76.4,2.1023,3
44003020500,44,003,020500,81.6,1.8556,3
44003020601,44,003,020601,78.2,1.2935,3
44003020602,44,003,020602,77.3,1.405,3
44003020603,44,003,020603,80,1.392,3
44003020604,44,003,020604,77,1.246,3
44003020702,44,003,020702,78.2,1.5916,3
44003020703,44,003,020703,78.1,1.58,3
44003020800,44,003,020800,76.1,1.6769,3
44003020901,44,003,020901,78.5,1.3348,3
44003020903,44,003,020903,83.8,2.8931,3
44003020904,44,003,020904,82.7,1.343,3
44003021001,44,003,021001,79.9,1.8871,3
44003021002,44,003,021002,81.6,1.9165,3
44003021100,44,003,021100,76.7,1.4453,3
44003021200,44,003,021200,78,1.5881,3
44003021300,44,003,021300,81.8,1.72,3
44003021401,44,003,021401,78.7,0.9684,2
44003021402,44,003,021402,75,0.8814,3
44003021501,44,003,021501,77,1.2889,3
44003021502,44,003,021502,78.9,1.8869,3
44003021600,44,003,021600,80.1,1.3137,3
44003021700,44,003,021700,76.7,1.493,3
44003021800,44,003,021800,78,1.4489,3
44003021901,44,003,021901,77.7,1.5874,3
44003021902,44,003,021902,78.8,1.9083,3
44003021903,44,003,021903,78.7,1.8665,3
44003022000,44,003,022000,79.4,1.6593,3
44003022100,44,003,022100,78.9,1.0664,3
44003022201,44,003,022201,82.3,1.402,3
44003022202,44,003,022202,78.8,1.9496,3
44003022300,44,003,022300,79.4,1.7875,3
44003022400,44,003,022400,82,1.0328,2
44005040101,44,005,040101,83.9,2.0157,3
44005040102,44,005,040102,82.2,1.5316,3
44005040103,44,005,040103,85.1,1.8702,3
44005040302,44,005,040302,76.1,1.5197,3
44005040303,44,005,040303,76.3,1.2341,3
44005040304,44,005,040304,77.5,1.5608,3
44005040400,44,005,040400,80.8,0.9912,3
44005040500,44,005,040500,77.5,1.6492,3
44005040600,44,005,040600,77.7,1.3774,3
44005040700,44,005,040700,79.7,1.5753,3
44005040800,44,005,040800,77.2,2.0432,3
44005040900,44,005,040900,82.7,1.3393,3
44005041000,44,005,041000,80.1,2.7544,3
44005041100,44,005,041100,83.9,3.347,3
44005041300,44,005,041300,81.3,1.0707,3
44005041400,44,005,041400,84,1.9281,3
44005041601,44,005,041601,80.4,2.1894,3
44005041602,44,005,041602,80.8,1.0617,3
44005041701,44,005,041701,83.5,2.2221,3
44005041702,44,005,041702,79.6,1.7057,3
44007000101,44,007,000101,79.9,2.642,3
44007000102,44,007,000102,76.5,1.1786,3
44007000200,44,007,000200,76.8,1.5634,2
44007000300,44,007,000300,81.1,3.4823,1
44007000400,44,007,000400,75.6,1.7671,2
44007000500,44,007,000500,75.6,1.5823,2
44007000600,44,007,000600,77.9,1.7833,3
44007000700,44,007,000700,71.9,2.6352,3
44007000900,44,007,000900,81,2.9131,3
44007001000,44,007,001000,77.4,1.9416,2
44007001100,44,007,001100,74.1,2.6896,3
44007001200,44,007,001200,76.8,1.8339,2
44007001300,44,007,001300,77.8,2.4286,3
44007001400,44,007,001400,79.4,3.7592,3
44007001500,44,007,001500,80.9,3.5877,3
44007001600,44,007,001600,79.7,3.8547,1
44007001700,44,007,001700,81,3.0635,3
44007001800,44,007,001800,76.6,1.1501,3
44007001900,44,007,001900,72.4,2.3648,3
44007002000,44,007,002000,76.8,1.2881,2
44007002101,44,007,002101,79.8,1.8131,3
44007002102,44,007,002102,76.5,1.8794,3
44007002200,44,007,002200,75.6,2.2962,2
44007002300,44,007,002300,77.7,1.3757,3
44007002400,44,007,002400,81,1.4149,3
44007002600,44,007,002600,73.9,1.8611,3
44007002700,44,007,002700,71.9,1.5069,1
44007002800,44,007,002800,75.4,1.4943,3
44007002900,44,007,002900,76.7,1.3615,3
44007003100,44,007,003100,75.1,1.6539,3
44007003200,44,007,003200,82.8,2.4474,3
44007003300,44,007,003300,81.8,1.7055,3
44007003400,44,007,003400,83.8,1.1361,3
44007003500,44,007,003500,85.2,2.245,3
44007003601,44,007,003601,81,3.5518,3
