"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
45001950100,45,001,950100,78.3,1.8196,3
45001950200,45,001,950200,77.4,1.2697,3
45001950300,45,001,950300,83,2.9663,3
45001950400,45,001,950400,79.3,1.4496,1
45001950500,45,001,950500,74.5,1.8357,3
45001950600,45,001,950600,73.4,1.6946,3
45003020100,45,003,020100,80.6,2.7698,3
45003020200,45,003,020200,75.5,1.858,1
45003020301,45,003,020301,75.8,1.4721,3
45003020302,45,003,020302,73.9,1.2747,2
45003020400,45,003,020400,77,1.4333,3
45003020500,45,003,020500,76,1.5606,3
45003020601,45,003,020601,76.8,2.2077,3
45003020602,45,003,020602,77.4,1.5388,3
45003020701,45,003,020701,76.2,2.3278,3
45003020702,45,003,020702,71.7,1.6606,3
45003020801,45,003,020801,82.8,1.95,3
45003020802,45,003,020802,76.8,2.9706,2
45003020901,45,003,020901,74.9,1.8722,3
45003020902,45,003,020902,77.5,2.9264,1
45003021001,45,003,021001,79.2,1.8324,1
45003021002,45,003,021002,72.6,1.1128,2
45003021101,45,003,021101,72.9,2.4128,3
45003021102,45,003,021102,74.5,1.7492,3
45003021201,45,003,021201,80.5,1.0232,2
45003021202,45,003,021202,84.1,2.6209,3
45003021203,45,003,021203,80.8,1.0027,3
45003021300,45,003,021300,79,0.6763,2
45003021400,45,003,021400,70.6,1.0896,1
45003021601,45,003,021601,75.8,1.4638,3
45003021602,45,003,021602,82.1,2.063,3
45003021700,45,003,021700,74.8,1.4267,1
45003021800,45,003,021800,76.6,1.3379,3
45003021900,45,003,021900,79.6,3.0293,3
45003022001,45,003,022001,79.4,2.0165,3
45003022002,45,003,022002,77,1.7394,3
45005970200,45,005,970200,74.2,1.8057,3
45005970300,45,005,970300,71.2,2.6217,3
45005970400,45,005,970400,72.1,1.1917,2
45007000200,45,007,000200,80,1.4824,3
45007000300,45,007,000300,70.9,1.0972,3
45007000500,45,007,000500,80.4,2.6365,3
45007000600,45,007,000600,67.7,1.5828,3
45007000700,45,007,000700,68.9,2.1526,3
45007000800,45,007,000800,70.2,1.7621,3
45007000900,45,007,000900,70.4,1.3999,1
45007001000,45,007,001000,81.5,3.5459,3
45007001100,45,007,001100,81,1.3915,3
45007010102,45,007,010102,82.1,2.2483,3
45007010103,45,007,010103,77.6,1.4131,3
45007010104,45,007,010104,76.4,1.2024,1
45007010200,45,007,010200,72,1.2532,3
45007010300,45,007,010300,76.4,1.5,3
45007010401,45,007,010401,74.1,1.5031,3
45007010402,45,007,010402,74.9,1.7769,3
45007010500,45,007,010500,79.2,1.7417,3
45007010600,45,007,010600,79.1,1.8347,3
45007010700,45,007,010700,78.7,1.62,3
45007010800,45,007,010800,80.5,2.5732,3
45007010900,45,007,010900,79.4,1.7593,3
45007011001,45,007,011001,79.5,2.0881,3
45007011002,45,007,011002,79.3,2.3157,3
45007011100,45,007,011100,80.4,2.5023,3
45007011201,45,007,011201,80.3,1.0698,2
45007011202,45,007,011202,79.4,1.1736,3
45007011300,45,007,011300,73.3,0.8383,3
45007011401,45,007,011401,77.8,2.1716,3
45007011402,45,007,011402,78.1,2.0305,3
45007011500,45,007,011500,75.2,1.1223,3
45007011600,45,007,011600,81.3,2.3558,3
45007011700,45,007,011700,73.6,1.2702,3
45007011800,45,007,011800,72.9,1.0246,2
45007011901,45,007,011901,73.6,1.9165,1
45007011902,45,007,011902,71.9,1.2819,2
45007012001,45,007,012001,76.7,1.8069,1
45007012002,45,007,012002,79.5,2.4271,3
45007012200,45,007,012200,78.2,2.24,3
45007012300,45,007,012300,71.9,1.1215,2
45009960100,45,009,960100,73.7,1.4874,1
45009960200,45,009,960200,73.4,1.0533,3
45009960300,45,009,960300,75.5,2.1361,3
45009960400,45,009,960400,79.8,2.4212,3
45011970100,45,011,970100,76.3,1.7364,1
45011970200,45,011,970200,71.3,1.4576,3
45011970300,45,011,970300,78.5,1.6949,3
45011970400,45,011,970400,77.5,2.0078,3
45011970500,45,011,970500,75.1,1.6148,3
45013000100,45,013,000100,81.3,2.4713,3
45013000200,45,013,000200,74.5,1.5971,1
45013000501,45,013,000501,76.2,1.2492,3
45013000502,45,013,000502,77.3,1.8749,3
45013000503,45,013,000503,79.2,2.2588,1
45013000600,45,013,000600,79,1.6118,3
45013000700,45,013,000700,74.6,1.1775,3
45013000800,45,013,000800,75.3,1.0216,1
45013000901,45,013,000901,83.8,3.5075,3
45013000902,45,013,000902,81.7,1.9619,1
45013000903,45,013,000903,82.4,2.9151,3
45013001101,45,013,001101,78.2,2.3533,3
45013001102,45,013,001102,79,1.939,1
45013002102,45,013,002102,78.7,1.766,2
45013002103,45,013,002103,79.9,2.9227,2
45013002104,45,013,002104,79.5,0.9737,2
45013002105,45,013,002105,79.9,1.4461,2
45013002106,45,013,002106,79.6,1.3564,1
45013002107,45,013,002107,79.1,1.3628,3
45013002108,45,013,002108,79.8,3.3891,3
45013002201,45,013,002201,89.4,2.7391,3
45013002202,45,013,002202,80.9,1.3659,2
45013010100,45,013,010100,80.5,1.117,2
45013010200,45,013,010200,83.4,1.5,3
45013010300,45,013,010300,83.3,1.4841,3
45013010500,45,013,010500,81.8,3.7922,3
45013010600,45,013,010600,83.1,2.6299,3
45013010800,45,013,010800,80.8,3.9297,3
45013010900,45,013,010900,81.1,0.8286,2
45013011000,45,013,011000,76.9,1.3215,2
45013011100,45,013,011100,81.1,1.088,2
45013011300,45,013,011300,79.3,2.2558,2
45015020101,45,015,020101,77,2.9339,3
45015020102,45,015,020102,78.3,2.3954,3
45015020201,45,015,020201,73.5,1.3725,3
45015020301,45,015,020301,72.9,1.8519,3
45015020302,45,015,020302,76.2,1.8505,3
45015020401,45,015,020401,78.4,2.4474,3
45015020403,45,015,020403,81.9,1.6307,3
45015020405,45,015,020405,76.2,1.7923,2
45015020503,45,015,020503,77.2,1.6107,3
45015020504,45,015,020504,75.1,1.364,3
45015020505,45,015,020505,76.2,3.0705,2
45015020506,45,015,020506,75.9,1.4578,3
45015020600,45,015,020600,80.2,2.5797,3
45015020707,45,015,020707,75.6,1.4327,2
45015020711,45,015,020711,76.6,1.105,2
45015020712,45,015,020712,72.4,1.2317,3
45015020713,45,015,020713,77.5,2.8385,3
45015020714,45,015,020714,79.5,2.9326,3
45015020715,45,015,020715,78.6,3.0306,1
45015020716,45,015,020716,74.4,1.178,2
45015020717,45,015,020717,78.3,3.0495,3
45015020718,45,015,020718,73.1,2.4622,3
45015020719,45,015,020719,78.7,2.9857,3
45015020720,45,015,020720,82.6,3.0942,3
45015020721,45,015,020721,81.9,2.2919,3
45015020722,45,015,020722,78,1.3075,3
45015020723,45,015,020723,73.5,1.3768,3
45015020804,45,015,020804,75.4,1.6903,3
45015020806,45,015,020806,75.8,2.0086,3
45015020807,45,015,020807,77.1,1.6828,2
45015020808,45,015,020808,75.5,1.6739,2
45015020810,45,015,020810,75.3,1.4887,3
45015020811,45,015,020811,72.8,1.3041,2
45015020812,45,015,020812,82.9,3.5375,3
45015020901,45,015,020901,77.9,3.0787,3
45015020903,45,015,020903,80.5,2.6984,3
45015020904,45,015,020904,76.9,1.2295,3
45015021000,45,015,021000,74.5,1.6097,3
45017950100,45,017,950100,79,1.9096,1
45017950200,45,017,950200,74,1.0505,3
