"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
47001020100,47,001,020100,"Under 1",0.001617,100000,162,99854,7721595,77.2,0.0016,2.0383
47001020100,47,001,020100,"1-4",0.005111,99838,510,398333,7621741,76.3,0.0038,2.0377
47001020100,47,001,020100,"5-14",0.006854,99328,681,989877,7223408,72.7,0.007,2.0286
47001020100,47,001,020100,"15-24",0.007637,98647,753,982706,6233531,63.2,0.0055,1.9859
47001020100,47,001,020100,"25-34",0.006942,97894,680,975542,5250825,53.6,0.005,1.9747
47001020100,47,001,020100,"35-44",0.020704,97214,2013,962080,4275283,44,0.0107,1.9732
47001020100,47,001,020100,"45-54",0.070126,95202,6676,918636,3313202,34.8,0.0202,1.9671
47001020100,47,001,020100,"55-64",0.080521,88526,7128,849614,2394566,27,0.0193,1.9979
47001020100,47,001,020100,"65-74",0.239013,81397,19455,716698,1544952,19,0.0507,2.1134
47001020100,47,001,020100,"75-84",0.525701,61942,32563,456607,828254,13.4,0.0977,2.4927
47001020100,47,001,020100,"85 and older",1,29379,29379,371647,371647,12.7,0.0237,3.7955
47001020201,47,001,020201,"Under 1",0.005389,100000,539,99515,8085758,80.9,0.0022,1.3827
47001020201,47,001,020201,"1-4",0.000836,99461,83,397678,7986243,80.3,0.0002,1.3784
47001020201,47,001,020201,"5-14",0.000845,99378,84,993360,7588564,76.4,0.0002,1.3794
47001020201,47,001,020201,"15-24",0.003283,99294,326,991310,6595204,66.4,0.0033,1.3805
47001020201,47,001,020201,"25-34",0.005672,98968,561,986874,5603894,56.6,0.0058,1.3698
47001020201,47,001,020201,"35-44",0.021889,98407,2154,973297,4617020,46.9,0.0088,1.3442
47001020201,47,001,020201,"45-54",0.029514,96253,2841,948323,3643724,37.9,0.0094,1.3192
47001020201,47,001,020201,"55-64",0.054934,93412,5131,908461,2695401,28.9,0.0117,1.3195
47001020201,47,001,020201,"65-74",0.106667,88280,9417,835721,1786940,20.2,0.0227,1.3609
