"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
48001950100,48,001,950100,82.4,1.65,3
48001950500,48,001,950500,76.9,1.7439,3
48001950600,48,001,950600,71.1,1.0487,3
48001950700,48,001,950700,71.3,1.4299,3
48001950800,48,001,950800,76.1,1.2963,3
48001950901,48,001,950901,75.7,1.0984,2
48001950902,48,001,950902,86,3.1194,3
48001951000,48,001,951000,82.5,1.8877,3
48001951100,48,001,951100,75.1,1.0917,2
48003950100,48,003,950100,78.9,3.4755,3
48003950200,48,003,950200,76.4,1.2721,3
48003950300,48,003,950300,74.2,1.0838,3
48003950400,48,003,950400,74.4,1.6461,3
48005000101,48,005,000101,75,1.6272,1
48005000102,48,005,000102,78.2,2.1385,2
48005000200,48,005,000200,72,1.7555,1
48005000301,48,005,000301,76.4,1.4402,1
48005000302,48,005,000302,78.7,2.4581,1
48005000400,48,005,000400,73.7,1.5204,3
48005000500,48,005,000500,70.1,1.7392,3
48005000600,48,005,000600,74.5,0.8733,2
48005000700,48,005,000700,74.6,1.3364,3
48005000800,48,005,000800,77.6,1.6976,1
48005000901,48,005,000901,79.4,1.1777,3
48005000902,48,005,000902,79.6,1.338,3
48005001001,48,005,001001,78.1,1.8362,3
48005001002,48,005,001002,78.6,1.7751,1
48005001100,48,005,001100,76.4,1.3477,3
48005001200,48,005,001200,74.8,1.6828,3
48005001300,48,005,001300,74.3,1.099,3
48007950100,48,007,950100,82.3,2.0199,3
48007950200,48,007,950200,79.2,2.9557,3
48007950300,48,007,950300,74.8,1.3196,3
48007950400,48,007,950400,72.1,1.4126,3
48007950500,48,007,950500,73.2,1.7173,1
48009020100,48,009,020100,79.3,1.2447,3
48009020200,48,009,020200,77.6,0.9044,2
48009020300,48,009,020300,78.2,0.7085,2
48011950100,48,011,950100,86.2,3.3002,3
48013960100,48,013,960100,81.9,2.7453,3
48013960201,48,013,960201,78.9,1.5491,3
48013960202,48,013,960202,73.6,1.0673,1
48013960300,48,013,960300,76.3,1.7299,3
48013960401,48,013,960401,77.2,1.6319,2
48013960402,48,013,960402,78.7,1.4963,1
48013960500,48,013,960500,82.6,2.5102,3
48013960600,48,013,960600,74.5,0.9785,1
48015760100,48,015,760100,80.9,2.5515,3
48015760200,48,015,760200,77.6,1.0144,3
48015760300,48,015,760300,80,1.7512,3
48015760400,48,015,760400,77.9,1.765,3
48015760501,48,015,760501,78.2,1.2,3
48015760502,48,015,760502,78.6,1.8158,3
48017950100,48,017,950100,80.5,1.6003,3
48019000101,48,019,000101,80.1,1.6071,3
48019000102,48,019,000102,82.3,3.3056,3
48019000200,48,019,000200,79.2,1.2207,2
48019000300,48,019,000300,81.9,2.5465,3
48019000400,48,019,000400,78.2,2.0749,2
48021950100,48,021,950100,80.5,1.9727,3
48021950200,48,021,950200,78.3,1.2873,3
48021950300,48,021,950300,80.6,2.1283,1
48021950400,48,021,950400,76.4,0.8961,3
48021950501,48,021,950501,76.2,1.7798,1
48021950502,48,021,950502,77.3,1.8108,3
48021950600,48,021,950600,76.1,1.2756,3
48021950700,48,021,950700,77.1,1.7933,3
48021950801,48,021,950801,77.8,2.0126,3
48021950802,48,021,950802,77.5,1.536,2
48023950300,48,023,950300,74.4,1.4159,3
48025950100,48,025,950100,78.5,0.9451,2
48025950202,48,025,950202,78.4,1.7066,3
48025950300,48,025,950300,76.5,1.924,3
48025950400,48,025,950400,75.8,2.3609,3
48025950500,48,025,950500,71.4,1.297,1
48025950600,48,025,950600,76.1,1.3825,2
48027020100,48,027,020100,80.8,2.2162,3
48027020201,48,027,020201,83,2.4414,3
48027020202,48,027,020202,76.2,1.3761,1
48027020300,48,027,020300,79.8,1.3818,3
48027020401,48,027,020401,75.4,2.2729,3
48027020402,48,027,020402,75.1,2.1389,3
48027020500,48,027,020500,75.6,1.8771,3
48027020600,48,027,020600,77.8,1.4787,3
48027020701,48,027,020701,70.1,2.1368,3
48027020702,48,027,020702,71.8,2.1682,3
48027020800,48,027,020800,73.7,1.5844,3
48027020900,48,027,020900,71.2,1.7543,3
48027021000,48,027,021000,72.3,1.9125,3
48027021100,48,027,021100,74.1,3.4731,3
48027021201,48,027,021201,79.6,2.3398,3
48027021202,48,027,021202,77.3,1.2531,3
48027021203,48,027,021203,80.5,1.7816,3
48027021301,48,027,021301,77.8,1.5012,3
48027021302,48,027,021302,81.2,1.8531,3
48027021303,48,027,021303,75.5,1.3664,3
48027021400,48,027,021400,82.1,2.7705,3
48027021500,48,027,021500,78.2,2.0874,3
48027021601,48,027,021601,75,1.5385,1
48027021602,48,027,021602,76.6,2.9201,3
48027021700,48,027,021700,80.9,1.4136,3
48027021800,48,027,021800,74.8,1.6504,1
48027021901,48,027,021901,76,1.4316,3
48027021903,48,027,021903,79.3,2.5122,2
48027021904,48,027,021904,76.4,1.392,1
48027022000,48,027,022000,77.1,1.9095,3
48027022101,48,027,022101,77.8,2.6918,1
48027022104,48,027,022104,74.7,1.3114,2
48027022200,48,027,022200,73.8,1.9838,3
48027022300,48,027,022300,76.6,2.2466,3
48027022401,48,027,022401,85.1,3.6698,3
48027022402,48,027,022402,80.2,3.8347,3
48027022403,48,027,022403,78.2,1.7703,2
48027022404,48,027,022404,78.1,1.7261,1
48027022501,48,027,022501,77.1,0.9999,2
48027022502,48,027,022502,77.4,1.9533,3
48027022600,48,027,022600,74.9,2.1807,3
48027022801,48,027,022801,74.7,1.6927,2
48027022900,48,027,022900,73.8,1.9763,3
48027023000,48,027,023000,76.8,1.4982,1
48027023103,48,027,023103,75.9,1.7649,3
48027023104,48,027,023104,77.5,2.176,3
48027023107,48,027,023107,74.4,2.5365,2
48027023108,48,027,023108,77.4,2.0923,2
48027023402,48,027,023402,77.9,1.3798,3
48027023403,48,027,023403,79.4,1.2093,3
48027023404,48,027,023404,76.1,1.768,3
48027023500,48,027,023500,67.8,3.5478,3
48029110100,48,029,110100,77.3,2.0062,3
48029110300,48,029,110300,73.8,2.3279,3
48029110500,48,029,110500,74.5,3.3078,1
48029110600,48,029,110600,72.1,2.5731,3
48029110700,48,029,110700,73.3,2.0094,3
48029110800,48,029,110800,76.2,1.0731,2
48029110900,48,029,110900,81.8,3.7475,2
48029111000,48,029,111000,71,1.7681,3
48029120300,48,029,120300,79.8,0.9905,3
48029120400,48,029,120400,85.7,1.3471,3
48029120501,48,029,120501,73.1,1.1431,3
48029120502,48,029,120502,73,1.6816,3
48029120600,48,029,120600,78.3,1.8153,1
48029120701,48,029,120701,78,1.4947,1
48029120702,48,029,120702,80.9,1.593,3
48029120800,48,029,120800,84,1.4525,3
48029120901,48,029,120901,78.3,1.8396,3
48029120902,48,029,120902,78.3,1.1668,3
48029121000,48,029,121000,80.5,1.6164,3
48029121108,48,029,121108,80.5,1.3618,3
48029121110,48,029,121110,79.4,1.2827,2
48029121111,48,029,121111,78.4,1.5071,3
48029121112,48,029,121112,81.4,2.1026,3
48029121115,48,029,121115,82.3,2.0939,3
48029121116,48,029,121116,81.2,1.9297,3
48029121117,48,029,121117,78.6,0.8958,3
48029121118,48,029,121118,79.7,1.9597,3
48029121119,48,029,121119,78.2,1.4067,3
48029121120,48,029,121120,79.4,2.0104,2
48029121121,48,029,121121,81,1.7902,3
48029121122,48,029,121122,77.6,1.1019,3
48029121203,48,029,121203,73.8,1.7675,3
48029121204,48,029,121204,79.7,1.8288,3
48029121205,48,029,121205,78.4,2.5135,3
48029121206,48,029,121206,78,1.2064,3
48029121300,48,029,121300,81.1,1.6239,3
48029121402,48,029,121402,75.6,2.3542,3
48029121403,48,029,121403,78.1,1.6673,3
48029121404,48,029,121404,74.5,1.1386,2
48029121501,48,029,121501,78.1,1.4791,3
48029121504,48,029,121504,77.6,1.215,3
48029121505,48,029,121505,78.4,1.6507,2
48029121506,48,029,121506,73.8,1.1123,1
48029121507,48,029,121507,75.6,1.4236,3
48029121508,48,029,121508,72.9,1.5168,3
48029121601,48,029,121601,78.9,2.2262,3
48029121604,48,029,121604,78.9,1.7403,2
48029121605,48,029,121605,75.2,1.5885,3
48029121606,48,029,121606,76.8,1.2473,3
48029121701,48,029,121701,77.2,1.6074,3
48029121802,48,029,121802,78.5,1.6888,1
48029121804,48,029,121804,77.2,1.1971,3
48029121808,48,029,121808,79.2,2.086,3
48029121809,48,029,121809,83.6,3.2584,3
48029121811,48,029,121811,82.2,3.2338,3
48029121812,48,029,121812,77.7,1.2453,3
48029121813,48,029,121813,73.5,2.4067,3
48029121905,48,029,121905,81.2,1.5492,3
48029121907,48,029,121907,81.8,1.6498,2
48029121908,48,029,121908,81.4,2.1052,3
48029121909,48,029,121909,80.2,2.6045,3
48029130200,48,029,130200,71.8,2.4971,3
48029130300,48,029,130300,71.8,1.8865,3
48029130401,48,029,130401,70.9,2.0976,3
48029130402,48,029,130402,70.8,1.6924,1
48029130500,48,029,130500,74.4,1.04,2
48029130600,48,029,130600,72.1,1.5496,3
48029130700,48,029,130700,76.4,2.3904,3
48029130800,48,029,130800,73.4,1.4261,3
48029130900,48,029,130900,70.5,1.3463,1
48029131000,48,029,131000,71.4,1.5938,3
48029131100,48,029,131100,72.7,2.2193,3
48029131200,48,029,131200,74.5,1.2766,2
48029131300,48,029,131300,75.6,1.702,2
48029131401,48,029,131401,75.2,1.7027,3
48029131402,48,029,131402,72,1.7028,3
48029131503,48,029,131503,75.5,1.3938,3
48029131504,48,029,131504,77.1,1.5907,2
48029131505,48,029,131505,78.2,2.5951,2
48029131506,48,029,131506,72.6,2.4107,3
48029131507,48,029,131507,73.3,1.6465,3
48029131601,48,029,131601,75.4,1.9488,3
48029131606,48,029,131606,75.9,2.211,3
48029131608,48,029,131608,77.5,2.2759,3
48029131609,48,029,131609,77.8,1.6427,3
48029131613,48,029,131613,75.9,1.5668,3
48029131614,48,029,131614,77.1,1.9554,2
48029131801,48,029,131801,82,2.2673,3
48029131802,48,029,131802,78.1,1.6926,3
48029140100,48,029,140100,72.4,1.9245,3
48029140200,48,029,140200,73.6,1.9782,3
48029140300,48,029,140300,71.1,1.936,3
