Div1: New England, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.01920	0.01888	0.11	100000	1888	98314	7394460	73.94
1959	1-4	0.00078	0.00311	1.62	98112	306	391721	7296146	74.37
1959	5-9	0.00037	0.00183	2.25	97807	179	488541	6904425	70.59
1959	10-14	0.00029	0.00146	2.6	97628	142	487797	6415884	65.72
1959	15-19	0.00041	0.00204	2.52	97486	199	486934	5928087	60.81
1959	20-24	0.00055	0.00275	2.61	97286	267	485793	5441153	55.93
1959	25-29	0.00063	0.00314	2.63	97019	304	484374	4955359	51.08
1959	30-34	0.00098	0.00489	2.66	96715	473	482468	4470986	46.23
1959	35-39	0.00152	0.00757	2.73	96242	729	479556	3988518	41.44
1959	40-44	0.00219	0.01089	2.67	95513	1040	475146	3508962	36.74
1959	45-49	0.00389	0.01926	2.67	94473	1820	468119	3033816	32.11
1959	50-54	0.00584	0.02881	2.65	92653	2669	456994	2565698	27.69
1959	55-59	0.00914	0.04473	2.66	89984	4025	440483	2108704	23.43
1959	60-64	0.01457	0.07044	2.67	85959	6055	415664	1668221	19.41
1959	65-69	0.02407	0.11386	2.63	79905	9098	377982	1252558	15.68
1959	70-74	0.03790	0.17396	2.64	70806	12318	325006	874576	12.35
1959	75-79	0.06459	0.27914	2.57	58489	16327	252793	549570	9.40
1959	80-84	0.10160	0.40496	2.5	42162	17074	168047	296777	7.04
1959	85-89	0.16058	0.56196	2.33	25088	14099	87799	128730	5.13
1959	90-94	0.24410	0.72352	2.19	10990	7951	32574	40931	3.72
1959	95-99	0.34789	0.84194	1.94	3038	2558	7354	8356	2.75
1959	100-104	0.47057	0.91996	1.69	480	442	939	1003	2.09
1959	105-109	0.59757	0.96058	1.47	38	37	62	64	1.66
1959	110+	0.69728	1.00000	1.43	2	2	2	2	1.43
1960	0	0.01888	0.01857	0.11	100000	1857	98340	7403935	74.04
1960	1-4	0.00071	0.00285	1.62	98143	280	391908	7305595	74.44
1960	5-9	0.00038	0.00190	2.26	97864	186	488809	6913688	70.65
1960	10-14	0.00027	0.00137	2.59	97678	134	488066	6424879	65.78
1960	15-19	0.00039	0.00192	2.68	97544	188	487285	5936812	60.86
1960	20-24	0.00050	0.00251	2.58	97356	245	486191	5449527	55.98
1960	25-29	0.00071	0.00352	2.49	97112	342	484700	4963336	51.11
1960	30-34	0.00092	0.00460	2.59	96770	445	482777	4478636	46.28
1960	35-39	0.00146	0.00729	2.74	96325	702	480038	3995859	41.48
1960	40-44	0.00247	0.01226	2.62	95622	1172	475327	3515821	36.77
1960	45-49	0.00389	0.01926	2.69	94450	1819	468048	3040494	32.19
1960	50-54	0.00588	0.02898	2.65	92631	2684	456833	2572446	27.77
1960	55-59	0.00864	0.04233	2.67	89947	3808	440861	2115613	23.52
1960	60-64	0.01498	0.07243	2.71	86139	6239	416396	1674752	19.44
1960	65-69	0.02344	0.11111	2.67	79900	8878	378795	1258356	15.75
1960	70-74	0.03823	0.17505	2.6	71022	12433	325221	879560	12.38
1960	75-79	0.06339	0.27483	2.58	58589	16102	254034	554339	9.46
1960	80-84	0.10136	0.40436	2.5	42487	17180	169499	300306	7.07
1960	85-89	0.15750	0.55734	2.38	25307	14105	89550	130806	5.17
1960	90-94	0.24777	0.72921	2.18	11203	8169	32970	41257	3.68
1960	95-99	0.35039	0.84433	1.93	3034	2561	7310	8287	2.73
1960	100-104	0.47520	0.92216	1.68	472	435	916	977	2.07
1960	105-109	0.60389	0.96204	1.46	37	35	59	61	1.65
1960	110+	0.70446	1.00000	1.42	1	1	2	2	1.42
1961	0	0.02022	0.01986	0.11	100000	1986	98232	7416054	74.16
1961	1-4	0.00079	0.00317	1.57	98014	311	391302	7317822	74.66
1961	5-9	0.00036	0.00181	2.22	97703	177	488025	6926520	70.89
1961	10-14	0.00029	0.00143	2.5	97527	139	487284	6438495	66.02
1961	15-19	0.00036	0.00181	2.78	97387	176	486544	5951211	61.11
1961	20-24	0.00047	0.00234	2.48	97211	227	485482	5464667	56.21
1961	25-29	0.00068	0.00340	2.47	96984	330	484085	4979185	51.34
1961	30-34	0.00101	0.00503	2.63	96654	486	482115	4495100	46.51
1961	35-39	0.00147	0.00731	2.71	96168	703	479230	4012985	41.73
1961	40-44	0.00220	0.01095	2.67	95465	1046	474881	3533755	37.02
1961	45-49	0.00382	0.01891	2.72	94419	1786	468022	3058874	32.40
1961	50-54	0.00590	0.02909	2.72	92633	2695	457014	2590851	27.97
1961	55-59	0.00876	0.04292	2.65	89938	3860	440639	2133837	23.73
1961	60-64	0.01359	0.06588	2.7	86078	5670	417356	1693198	19.67
1961	65-69	0.02315	0.10964	2.6	80408	8816	380837	1275842	15.87
1961	70-74	0.03786	0.17362	2.61	71592	12429	328311	895005	12.50
1961	75-79	0.06217	0.27070	2.61	59162	16015	257613	566694	9.58
1961	80-84	0.09821	0.39383	2.49	43147	16993	173022	309081	7.16
