PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div2,b,1959,0,0.02540,0.02485,0.12,100000,2485,97811,6956665,69.57
Div2,b,1959,1-4,0.00093,0.00372,1.68,97515,363,389219,6858855,70.34
Div2,b,1959,5-9,0.00049,0.00247,2.29,97153,240,485115,6469636,66.59
Div2,b,1959,10-14,0.00040,0.00200,2.54,96913,193,484088,5984521,61.75
Div2,b,1959,15-19,0.00081,0.00402,2.79,96720,389,482740,5500433,56.87
Div2,b,1959,20-24,0.00103,0.00516,2.51,96331,497,480417,5017693,52.09
Div2,b,1959,25-29,0.00108,0.00537,2.56,95834,515,477911,4537277,47.35
Div2,b,1959,30-34,0.00151,0.00752,2.61,95319,717,474880,4059366,42.59
Div2,b,1959,35-39,0.00215,0.01072,2.69,94602,1014,470667,3584486,37.89
Div2,b,1959,40-44,0.00351,0.01741,2.7,93589,1630,464202,3113819,33.27
Div2,b,1959,45-49,0.00594,0.02931,2.68,91959,2695,453538,2649617,28.81
Div2,b,1959,50-54,0.00975,0.04764,2.65,89264,4253,436324,2196079,24.60
Div2,b,1959,55-59,0.01463,0.07072,2.64,85011,6012,410842,1759755,20.70
Div2,b,1959,60-64,0.02250,0.10679,2.62,79000,8437,374886,1348913,17.07
Div2,b,1959,65-69,0.03437,0.15862,2.57,70563,11193,325661,974027,13.80
Div2,b,1959,70-74,0.05162,0.22906,2.55,59371,13600,263473,648366,10.92
Div2,b,1959,75-79,0.07967,0.33222,2.5,45771,15206,190869,384893,8.41
Div2,b,1959,80-84,0.12117,0.46181,2.43,30565,14115,116493,194024,6.35
Div2,b,1959,85-89,0.18158,0.60733,2.27,16450,9990,55020,77531,4.71
Div2,b,1959,90-94,0.26613,0.75347,2.12,6459,4867,18288,22511,3.49
Div2,b,1959,95-99,0.36314,0.85362,1.9,1592,1359,3743,4223,2.65
Div2,b,1959,100-104,0.47806,0.92249,1.67,233,215,450,480,2.06
Div2,b,1959,105-109,0.59647,0.95993,1.47,18,17,29,30,1.67
Div2,b,1959,110+,0.69002,1.00000,1.45,1,1,1,1,1.45
Div2,b,1960,0,0.02492,0.02439,0.12,100000,2439,97848,6965008,69.65
Div2,b,1960,1-4,0.00097,0.00387,1.67,97561,378,389366,6867161,70.39
Div2,b,1960,5-9,0.00045,0.00225,2.29,97184,218,485326,6477795,66.66
