Div2: Mid-Atlantic, Lifetables (period 5x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02334	0.02287	0.11	100000	2287	97972	6995186	69.95
1960-1969	1-4	0.00083	0.00332	1.66	97713	325	390094	6897214	70.59
1960-1969	5-9	0.00041	0.00207	2.3	97389	202	486400	6507120	66.82
1960-1969	10-14	0.00036	0.00179	2.67	97187	174	485529	6020720	61.95
1960-1969	15-19	0.00083	0.00412	2.86	97013	399	484209	5535191	57.06
1960-1969	20-24	0.00114	0.00569	2.51	96613	550	481698	5050982	52.28
1960-1969	25-29	0.00124	0.00617	2.55	96063	592	478869	4569284	47.57
1960-1969	30-34	0.00156	0.00779	2.62	95471	743	475585	4090415	42.84
1960-1969	35-39	0.00231	0.01151	2.66	94728	1090	471093	3614830	38.16
1960-1969	40-44	0.00362	0.01793	2.66	93638	1679	464262	3143738	33.57
1960-1969	45-49	0.00581	0.02868	2.67	91959	2637	453658	2679475	29.14
1960-1969	50-54	0.00936	0.04577	2.66	89321	4089	437024	2225818	24.92
1960-1969	55-59	0.01436	0.06945	2.64	85233	5920	412208	1788793	20.99
1960-1969	60-64	0.02194	0.10426	2.61	79313	8270	376838	1376585	17.36
1960-1969	65-69	0.03314	0.15341	2.58	71044	10899	328883	999747	14.07
1960-1969	70-74	0.05026	0.22394	2.57	60145	13469	267979	670864	11.15
1960-1969	75-79	0.07549	0.31746	2.5	46676	14818	196277	402885	8.63
1960-1969	80-84	0.11718	0.45054	2.44	31858	14353	122494	206608	6.49
1960-1969	85-89	0.17768	0.59949	2.29	17505	10494	59062	84114	4.81
1960-1969	90-94	0.25738	0.73871	2.12	7011	5179	20122	25052	3.57
1960-1969	95-99	0.35717	0.84886	1.91	1832	1555	4354	4930	2.69
1960-1969	100-104	0.47266	0.92023	1.68	277	255	539	576	2.08
1960-1969	105-109	0.59237	0.95907	1.47	22	21	36	37	1.68
1960-1969	110+	0.68721	1.00000	1.46	1	1	1	1	1.46
1970-1979	0	0.01645	0.01621	0.09	100000	1621	98531	7208095	72.08
1970-1979	1-4	0.00065	0.00258	1.7	98379	254	392932	7109563	72.27
1970-1979	5-9	0.00034	0.00172	2.3	98125	169	490169	6716632	68.45
1970-1979	10-14	0.00032	0.00159	2.74	97956	156	489427	6226462	63.56
