PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div2,m,1959,0,0.02863,0.02793,0.12,100000,2793,97547,6666902,66.67
Div2,m,1959,1,0.00151,0.00151,0.5,97207,146,97134,6569355,67.58
Div2,m,1959,2,0.00109,0.00109,0.5,97060,106,97007,6472221,66.68
Div2,m,1959,3,0.00081,0.00081,0.5,96954,78,96915,6375214,65.75
Div2,m,1959,4,0.00071,0.00071,0.5,96876,69,96842,6278299,64.81
Div2,m,1959,5,0.00072,0.00072,0.5,96807,70,96772,6181457,63.85
Div2,m,1959,6,0.00057,0.00057,0.5,96737,55,96709,6084685,62.90
Div2,m,1959,7,0.00058,0.00058,0.5,96682,56,96654,5987976,61.93
Div2,m,1959,8,0.00054,0.00054,0.5,96625,52,96600,5891322,60.97
Div2,m,1959,9,0.00052,0.00052,0.5,96574,50,96549,5794723,60.00
Div2,m,1959,10,0.00042,0.00042,0.5,96523,40,96503,5698174,59.03
Div2,m,1959,11,0.00051,0.00051,0.5,96483,49,96459,5601671,58.06
Div2,m,1959,12,0.00057,0.00057,0.5,96434,55,96407,5505212,57.09
Div2,m,1959,13,0.00047,0.00047,0.5,96380,45,96357,5408805,56.12
Div2,m,1959,14,0.00055,0.00055,0.5,96334,53,96308,5312448,55.15
Div2,m,1959,15,0.00067,0.00067,0.5,96281,64,96249,5216140,54.18
Div2,m,1959,16,0.00106,0.00106,0.5,96217,102,96166,5119891,53.21
Div2,m,1959,17,0.00122,0.00122,0.5,96116,117,96057,5023724,52.27
Div2,m,1959,18,0.00149,0.00149,0.5,95998,143,95927,4927667,51.33
Div2,m,1959,19,0.00148,0.00148,0.5,95855,142,95784,4831741,50.41
Div2,m,1959,20,0.00146,0.00146,0.5,95713,140,95643,4735957,49.48
Div2,m,1959,21,0.00157,0.00157,0.5,95573,150,95498,4640314,48.55
Div2,m,1959,22,0.00150,0.00150,0.5,95424,143,95352,4544815,47.63
Div2,m,1959,23,0.00151,0.00151,0.5,95281,143,95209,4449463,46.70
Div2,m,1959,24,0.00141,0.00141,0.5,95137,134,95070,4354254,45.77
Div2,m,1959,25,0.00139,0.00139,0.5,95003,132,94937,4259184,44.83
Div2,m,1959,26,0.00131,0.00131,0.5,94871,124,94809,4164247,43.89
Div2,m,1959,27,0.00145,0.00145,0.5,94747,137,94678,4069437,42.95
Div2,m,1959,28,0.00133,0.00133,0.5,94610,126,94547,3974759,42.01
Div2,m,1959,29,0.00135,0.00134,0.5,94484,127,94420,3880212,41.07
Div2,m,1959,30,0.00176,0.00176,0.5,94357,166,94274,3785792,40.12
Div2,m,1959,31,0.00152,0.00152,0.5,94191,143,94119,3691518,39.19
Div2,m,1959,32,0.00180,0.00180,0.5,94048,169,93963,3597399,38.25
Div2,m,1959,33,0.00192,0.00192,0.5,93878,180,93788,3503436,37.32
Div2,m,1959,34,0.00213,0.00213,0.5,93699,199,93599,3409647,36.39
Div2,m,1959,35,0.00229,0.00229,0.5,93499,214,93392,3316048,35.47
Div2,m,1959,36,0.00229,0.00229,0.5,93285,214,93179,3222656,34.55
Div2,m,1959,37,0.00246,0.00245,0.5,93072,228,92957,3129477,33.62
Div2,m,1959,38,0.00298,0.00297,0.5,92843,276,92705,3036520,32.71
Div2,m,1959,39,0.00301,0.00301,0.5,92567,279,92428,2943814,31.80
Div2,m,1959,40,0.00355,0.00355,0.5,92289,327,92125,2851387,30.90
Div2,m,1959,41,0.00358,0.00357,0.5,91961,328,91797,2759262,30.00
Div2,m,1959,42,0.00425,0.00424,0.5,91633,388,91439,2667464,29.11
Div2,m,1959,43,0.00495,0.00493,0.5,91245,450,91019,2576026,28.23
Div2,m,1959,44,0.00554,0.00552,0.5,90794,501,90544,2485006,27.37
Div2,m,1959,45,0.00618,0.00616,0.5,90293,556,90015,2394462,26.52
Div2,m,1959,46,0.00658,0.00655,0.5,89737,588,89443,2304447,25.68
Div2,m,1959,47,0.00769,0.00766,0.5,89149,683,88808,2215004,24.85
Div2,m,1959,48,0.00840,0.00837,0.5,88466,740,88096,2126197,24.03
Div2,m,1959,49,0.00912,0.00908,0.5,87726,797,87328,2038100,23.23
Div2,m,1959,50,0.01059,0.01054,0.5,86929,916,86471,1950773,22.44
Div2,m,1959,51,0.01141,0.01134,0.5,86013,976,85525,1864302,21.67
Div2,m,1959,52,0.01292,0.01283,0.5,85038,1091,84492,1778776,20.92
Div2,m,1959,53,0.01427,0.01417,0.5,83946,1190,83351,1694284,20.18
Div2,m,1959,54,0.01501,0.01490,0.5,82756,1233,82140,1610933,19.47
Div2,m,1959,55,0.01687,0.01673,0.5,81523,1364,80842,1528793,18.75
Div2,m,1959,56,0.01791,0.01775,0.5,80160,1423,79448,1447951,18.06
Div2,m,1959,57,0.01837,0.01820,0.5,78737,1433,78021,1368503,17.38
Div2,m,1959,58,0.02101,0.02079,0.5,77304,1607,76501,1290482,16.69
Div2,m,1959,59,0.02261,0.02235,0.5,75697,1692,74851,1213982,16.04
Div2,m,1959,60,0.02532,0.02500,0.5,74005,1850,73080,1139131,15.39
Div2,m,1959,61,0.02672,0.02636,0.5,72155,1902,71203,1066051,14.77
Div2,m,1959,62,0.03044,0.02999,0.5,70252,2107,69199,994848,14.16
Div2,m,1959,63,0.03237,0.03185,0.5,68146,2171,67060,925649,13.58
Div2,m,1959,64,0.03363,0.03307,0.5,65975,2182,64884,858589,13.01
Div2,m,1959,65,0.03913,0.03838,0.5,63793,2448,62569,793705,12.44
Div2,m,1959,66,0.03999,0.03921,0.5,61345,2405,60142,731136,11.92
Div2,m,1959,67,0.04498,0.04400,0.5,58940,2593,57643,670994,11.38
Div2,m,1959,68,0.04775,0.04664,0.5,56346,2628,55033,613351,10.89
Div2,m,1959,69,0.04990,0.04869,0.5,53719,2615,52411,558318,10.39
Div2,m,1959,70,0.05655,0.05500,0.5,51103,2811,49698,505907,9.90
Div2,m,1959,71,0.05720,0.05561,0.5,48293,2685,46950,456209,9.45
Div2,m,1959,72,0.06353,0.06157,0.5,45607,2808,44203,409260,8.97
Div2,m,1959,73,0.06775,0.06553,0.5,42799,2805,41397,365057,8.53
Div2,m,1959,74,0.07225,0.06973,0.5,39994,2789,38600,323660,8.09
Div2,m,1959,75,0.08163,0.07843,0.5,37205,2918,35746,285060,7.66
Div2,m,1959,76,0.08659,0.08300,0.5,34287,2846,32864,249314,7.27
Div2,m,1959,77,0.09138,0.08738,0.5,31441,2747,30068,216450,6.88
Div2,m,1959,78,0.10201,0.09706,0.5,28694,2785,27301,186382,6.50
Div2,m,1959,79,0.11047,0.10469,0.5,25909,2712,24553,159080,6.14
