Div2: Mid-Atlantic, Lifetables (period 1x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02628	0.02568	0.12	100000	2568	97729	6674631	66.75
1960-1969	1	0.00135	0.00135	0.5	97432	132	97366	6576903	67.50
1960-1969	2	0.00090	0.00090	0.5	97300	88	97256	6479537	66.59
1960-1969	3	0.00073	0.00073	0.5	97212	71	97177	6382281	65.65
1960-1969	4	0.00064	0.00064	0.5	97141	62	97110	6285104	64.70
1960-1969	5	0.00057	0.00057	0.5	97079	56	97051	6187994	63.74
1960-1969	6	0.00053	0.00053	0.5	97023	52	96998	6090943	62.78
1960-1969	7	0.00047	0.00047	0.5	96972	46	96949	5993945	61.81
1960-1969	8	0.00043	0.00043	0.5	96926	42	96905	5896996	60.84
1960-1969	9	0.00040	0.00040	0.5	96884	39	96865	5800091	59.87
1960-1969	10	0.00038	0.00038	0.5	96845	37	96827	5703227	58.89
1960-1969	11	0.00039	0.00039	0.5	96809	38	96790	5606400	57.91
1960-1969	12	0.00040	0.00040	0.5	96771	39	96751	5509610	56.93
1960-1969	13	0.00050	0.00050	0.5	96732	49	96707	5412858	55.96
1960-1969	14	0.00056	0.00056	0.5	96683	54	96656	5316151	54.99
1960-1969	15	0.00070	0.00070	0.5	96629	67	96596	5219495	54.02
1960-1969	16	0.00088	0.00088	0.5	96562	85	96520	5122899	53.05
1960-1969	17	0.00121	0.00121	0.5	96477	116	96419	5026379	52.10
1960-1969	18	0.00152	0.00152	0.5	96361	146	96288	4929961	51.16
1960-1969	19	0.00168	0.00168	0.5	96214	162	96134	4833673	50.24
1960-1969	20	0.00164	0.00164	0.5	96053	157	95974	4737539	49.32
1960-1969	21	0.00174	0.00174	0.5	95896	166	95812	4641565	48.40
1960-1969	22	0.00175	0.00174	0.5	95729	167	95646	4545753	47.49
1960-1969	23	0.00165	0.00165	0.5	95562	157	95483	4450107	46.57
1960-1969	24	0.00163	0.00163	0.5	95405	156	95327	4354624	45.64
1960-1969	25	0.00167	0.00167	0.5	95249	159	95170	4259297	44.72
1960-1969	26	0.00162	0.00162	0.5	95091	154	95013	4164127	43.79
1960-1969	27	0.00170	0.00169	0.5	94936	161	94856	4069113	42.86
1960-1969	28	0.00168	0.00168	0.5	94776	159	94696	3974257	41.93
1960-1969	29	0.00172	0.00172	0.5	94617	162	94535	3879561	41.00
1960-1969	30	0.00179	0.00179	0.5	94454	169	94370	3785026	40.07
1960-1969	31	0.00183	0.00183	0.5	94285	172	94199	3690656	39.14
1960-1969	32	0.00191	0.00191	0.5	94113	179	94023	3596457	38.21
1960-1969	33	0.00206	0.00205	0.5	93933	193	93837	3502434	37.29
1960-1969	34	0.00219	0.00218	0.5	93740	205	93638	3408598	36.36
1960-1969	35	0.00246	0.00246	0.5	93536	230	93421	3314960	35.44
1960-1969	36	0.00255	0.00254	0.5	93306	237	93187	3221539	34.53
1960-1969	37	0.00283	0.00283	0.5	93069	263	92937	3128351	33.61
1960-1969	38	0.00314	0.00313	0.5	92806	291	92660	3035414	32.71
1960-1969	39	0.00339	0.00338	0.5	92515	313	92358	2942754	31.81
1960-1969	40	0.00387	0.00387	0.5	92202	356	92024	2850395	30.91
1960-1969	41	0.00398	0.00398	0.5	91845	365	91663	2758372	30.03
1960-1969	42	0.00458	0.00457	0.5	91480	418	91271	2666709	29.15
1960-1969	43	0.00491	0.00490	0.5	91062	446	90839	2575438	28.28
