Div3: East North Central, Lifetables (period 5x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02497	0.02443	0.12	100000	2443	97844	7013187	70.13
1959	1-4	0.00090	0.00360	1.6	97557	351	389387	6915342	70.89
1959	5-9	0.00046	0.00231	2.34	97206	225	485431	6525955	67.14
1959	10-14	0.00045	0.00222	2.6	96981	216	484390	6040524	62.29
1959	15-19	0.00089	0.00445	2.75	96766	431	482861	5556134	57.42
1959	20-24	0.00109	0.00542	2.5	96335	522	480371	5073273	52.66
1959	25-29	0.00113	0.00564	2.51	95813	540	477718	4592901	47.94
1959	30-34	0.00146	0.00728	2.64	95273	694	474727	4115183	43.19
1959	35-39	0.00216	0.01074	2.65	94579	1016	470504	3640457	38.49
1959	40-44	0.00347	0.01721	2.71	93563	1610	464132	3169953	33.88
1959	45-49	0.00572	0.02825	2.72	91953	2598	453850	2705821	29.43
1959	50-54	0.00903	0.04418	2.63	89356	3948	437434	2251971	25.20
1959	55-59	0.01368	0.06626	2.63	85408	5659	413633	1814537	21.25
1959	60-64	0.02096	0.09983	2.63	79749	7961	379851	1400904	17.57
1959	65-69	0.03221	0.14952	2.6	71787	10734	333210	1021053	14.22
1959	70-74	0.04791	0.21461	2.57	61053	13102	273481	687843	11.27
1959	75-79	0.07555	0.31828	2.53	47951	15262	202008	414362	8.64
1959	80-84	0.11621	0.44792	2.44	32689	14642	125999	212353	6.50
1959	85-89	0.17841	0.60386	2.33	18047	10898	61083	86354	4.79
1959	90-94	0.26029	0.74557	2.14	7149	5330	20477	25271	3.53
1959	95-99	0.36533	0.85588	1.9	1819	1557	4261	4794	2.64
1959	100-104	0.48481	0.92570	1.66	262	243	501	532	2.03
1959	105-109	0.60717	0.96245	1.45	19	19	31	32	1.64
1959	110+	0.70303	1.00000	1.42	1	1	1	1	1.42
1960	0	0.02453	0.02401	0.12	100000	2401	97879	7010933	70.11
1960	1-4	0.00097	0.00386	1.6	97599	377	389492	6913054	70.83
1960	5-9	0.00045	0.00223	2.28	97222	217	485521	6523562	67.10
1960	10-14	0.00041	0.00204	2.64	97006	198	484559	6038041	62.24
1960	15-19	0.00088	0.00439	2.84	96807	425	483118	5553481	57.37
1960	20-24	0.00114	0.00569	2.47	96383	548	480523	5070363	52.61
1960	25-29	0.00116	0.00578	2.58	95834	554	477831	4589840	47.89
1960	30-34	0.00149	0.00741	2.62	95280	706	474718	4112010	43.16
1960	35-39	0.00216	0.01076	2.64	94574	1018	470471	3637292	38.46
1960	40-44	0.00343	0.01703	2.66	93556	1594	464057	3166821	33.85
1960	45-49	0.00567	0.02798	2.69	91963	2573	453863	2702764	29.39
1960	50-54	0.00925	0.04524	2.63	89389	4044	437366	2248901	25.16
1960	55-59	0.01380	0.06680	2.64	85346	5701	413245	1811534	21.23
1960	60-64	0.02102	0.10013	2.63	79644	7975	379351	1398289	17.56
1960	65-69	0.03194	0.14833	2.6	71669	10631	332791	1018938	14.22
1960	70-74	0.04891	0.21866	2.58	61038	13346	272896	686147	11.24
1960	75-79	0.07429	0.31406	2.54	47692	14978	201611	413252	8.66
1960	80-84	0.11599	0.44731	2.44	32714	14633	126155	211641	6.47
1960	85-89	0.18048	0.60644	2.3	18080	10965	60755	85485	4.73
1960	90-94	0.26495	0.74963	2.1	7116	5334	20132	24730	3.48
1960	95-99	0.37367	0.86274	1.88	1782	1537	4113	4598	2.58
1960	100-104	0.49720	0.93093	1.64	245	228	458	485	1.98
1960	105-109	0.62248	0.96568	1.43	17	16	26	27	1.60
1960	110+	0.71954	1.00000	1.39	1	1	1	1	1.39
1961	0	0.02410	0.02359	0.12	100000	2359	97912	7051446	70.51
1961	1-4	0.00090	0.00358	1.62	97641	349	389730	6953533	71.22
1961	5-9	0.00042	0.00211	2.31	97291	205	485903	6563804	67.47
1961	10-14	0.00041	0.00207	2.66	97086	201	484959	6077900	62.60
1961	15-19	0.00079	0.00393	2.68	96885	381	483544	5592941	57.73
1961	20-24	0.00115	0.00574	2.49	96504	554	481134	5109397	52.94
1961	25-29	0.00111	0.00552	2.52	95951	530	478441	4628263	48.24
1961	30-34	0.00142	0.00707	2.59	95421	674	475479	4149822	43.49
1961	35-39	0.00213	0.01061	2.65	94747	1005	471373	3674343	38.78
1961	40-44	0.00332	0.01646	2.67	93741	1543	465111	3202970	34.17
1961	45-49	0.00547	0.02703	2.7	92198	2492	455254	2737859	29.70
1961	50-54	0.00897	0.04394	2.64	89707	3941	439244	2282605	25.45
1961	55-59	0.01334	0.06466	2.62	85765	5546	415626	1843361	21.49
1961	60-64	0.02031	0.09688	2.62	80219	7771	382570	1427734	17.80
1961	65-69	0.03093	0.14393	2.59	72448	10427	337157	1045164	14.43
1961	70-74	0.04755	0.21312	2.57	62021	13218	277988	708007	11.42
1961	75-79	0.07245	0.30760	2.55	48803	15012	207210	430018	8.81
1961	80-84	0.11315	0.43933	2.46	33791	14846	131208	222809	6.59
1961	85-89	0.17549	0.59515	2.3	18945	11275	64250	91601	4.83
1961	90-94	0.25727	0.73997	2.13	7670	5676	22061	27351	3.57
1961	95-99	0.36269	0.85388	1.9	1994	1703	4696	5290	2.65
1961	100-104	0.48294	0.92500	1.67	291	270	558	594	2.04
1961	105-109	0.60630	0.96231	1.45	22	21	35	36	1.64
1961	110+	0.70297	1.00000	1.42	1	1	1	1	1.42
1962	0	0.02314	0.02267	0.11	100000	2267	97988	7041463	70.41
1962	1-4	0.00084	0.00334	1.62	97733	326	390153	6943475	71.05
1962	5-9	0.00040	0.00201	2.31	97406	196	486504	6553322	67.28
1962	10-14	0.00041	0.00206	2.69	97210	200	485590	6066817	62.41
1962	15-19	0.00080	0.00399	2.8	97010	387	484201	5581228	57.53
1962	20-24	0.00114	0.00569	2.49	96623	550	481737	5097027	52.75
1962	25-29	0.00113	0.00562	2.53	96073	540	479034	4615290	48.04
1962	30-34	0.00147	0.00732	2.59	95534	699	475985	4136256	43.30
1962	35-39	0.00214	0.01063	2.68	94834	1008	471832	3660271	38.60
1962	40-44	0.00340	0.01684	2.7	93826	1580	465491	3188439	33.98
1962	45-49	0.00554	0.02735	2.69	92246	2522	455391	2722948	29.52
1962	50-54	0.00909	0.04450	2.67	89723	3993	439318	2267557	25.27
1962	55-59	0.01371	0.06644	2.66	85730	5696	415341	1828239	21.33
1962	60-64	0.02076	0.09894	2.62	80034	7919	381356	1412899	17.65
1962	65-69	0.03174	0.14742	2.59	72116	10631	334913	1031543	14.30
1962	70-74	0.04780	0.21422	2.58	61484	13171	275560	696630	11.33
1962	75-79	0.07337	0.31092	2.55	48313	15021	204729	421070	8.72
1962	80-84	0.11511	0.44554	2.46	33292	14833	128856	216341	6.50
1962	85-89	0.17934	0.60475	2.31	18459	11163	62247	87484	4.74
1962	90-94	0.26624	0.75230	2.11	7296	5489	20616	25238	3.46
1962	95-99	0.37740	0.86577	1.87	1807	1565	4146	4621	2.56
1962	100-104	0.50322	0.93336	1.63	243	226	450	476	1.96
1962	105-109	0.63005	0.96718	1.42	16	16	25	26	1.58
1962	110+	0.72771	1.00000	1.37	1	1	1	1	1.37
1963	0	0.02347	0.02299	0.11	100000	2299	97962	7016621	70.17
1963	1-4	0.00090	0.00358	1.65	97701	350	389984	6918660	70.81
1963	5-9	0.00043	0.00216	2.24	97351	210	486176	6528675	67.06
1963	10-14	0.00040	0.00201	2.68	97141	195	485252	6042499	62.20
1963	15-19	0.00087	0.00432	2.74	96946	419	483781	5557248	57.32
1963	20-24	0.00113	0.00564	2.52	96527	544	481285	5073467	52.56
1963	25-29	0.00118	0.00586	2.51	95983	562	478514	4592182	47.84
1963	30-34	0.00146	0.00729	2.66	95421	696	475475	4113668	43.11
1963	35-39	0.00223	0.01109	2.68	94725	1051	471182	3638193	38.41
1963	40-44	0.00349	0.01731	2.67	93674	1621	464595	3167011	33.81
1963	45-49	0.00561	0.02770	2.67	92053	2550	454331	2702416	29.36
1963	50-54	0.00914	0.04474	2.66	89502	4004	438158	2248085	25.12
1963	55-59	0.01409	0.06820	2.66	85498	5831	413856	1809928	21.17
1963	60-64	0.02092	0.09962	2.61	79668	7937	379369	1396072	17.52
1963	65-69	0.03203	0.14866	2.59	71731	10664	332938	1016703	14.17
1963	70-74	0.04937	0.22045	2.58	61067	13462	272696	683764	11.20
1963	75-79	0.07328	0.30937	2.48	47605	14727	200966	411069	8.64
1963	80-84	0.11798	0.45402	2.46	32877	14927	126518	210103	6.39
1963	85-89	0.18431	0.61511	2.3	17950	11041	59907	83585	4.66
1963	90-94	0.26881	0.75577	2.1	6909	5222	19424	23678	3.43
1963	95-99	0.38348	0.87020	1.86	1687	1468	3829	4253	2.52
1963	100-104	0.50953	0.93565	1.62	219	205	402	424	1.94
1963	105-109	0.63580	0.96821	1.41	14	14	21	22	1.57
1963	110+	0.73265	1.00000	1.36	0	0	1	1	1.36
1964	0	0.02342	0.02294	0.11	100000	2294	97965	7037534	70.38
1964	1-4	0.00087	0.00349	1.62	97706	341	390012	6939568	71.03
1964	5-9	0.00043	0.00213	2.32	97364	208	486265	6549557	67.27
1964	10-14	0.00040	0.00202	2.74	97157	196	485341	6063292	62.41
1964	15-19	0.00092	0.00459	2.75	96961	445	483802	5577951	57.53
1964	20-24	0.00118	0.00588	2.53	96515	567	481176	5094149	52.78
1964	25-29	0.00122	0.00607	2.53	95948	583	478304	4612973	48.08
1964	30-34	0.00153	0.00761	2.66	95366	725	475132	4134669	43.36
1964	35-39	0.00227	0.01129	2.67	94640	1068	470710	3659537	38.67
1964	40-44	0.00352	0.01747	2.66	93572	1635	464036	3188828	34.08
1964	45-49	0.00557	0.02751	2.68	91937	2529	453812	2724791	29.64
1964	50-54	0.00899	0.04404	2.66	89408	3937	437842	2270979	25.40
1964	55-59	0.01385	0.06704	2.64	85471	5730	413843	1833137	21.45
1964	60-64	0.02062	0.09828	2.61	79741	7837	379973	1419294	17.80
1964	65-69	0.03120	0.14512	2.6	71904	10435	334483	1039321	14.45
1964	70-74	0.04793	0.21477	2.58	61469	13202	275444	704838	11.47
1964	75-79	0.07007	0.29785	2.48	48267	14376	205159	429394	8.90
1964	80-84	0.11233	0.43729	2.47	33891	14820	131939	224235	6.62
1964	85-89	0.17546	0.59628	2.31	19071	11372	64808	92296	4.84
1964	90-94	0.25617	0.73779	2.13	7699	5680	22174	27488	3.57
1964	95-99	0.36556	0.85654	1.9	2019	1729	4730	5313	2.63
1964	100-104	0.48938	0.92794	1.66	290	269	549	583	2.01
1964	105-109	0.61615	0.96451	1.44	21	20	33	34	1.62
1964	110+	0.71493	1.00000	1.4	1	1	1	1	1.40
1965	0	0.02325	0.02278	0.11	100000	2278	97979	7029217	70.29
1965	1-4	0.00085	0.00340	1.63	97722	333	390099	6931239	70.93
1965	5-9	0.00043	0.00213	2.29	97389	208	486382	6541140	67.17
1965	10-14	0.00039	0.00196	2.65	97181	190	485459	6054757	62.30
1965	15-19	0.00093	0.00466	2.81	96991	452	483966	5569298	57.42
1965	20-24	0.00117	0.00585	2.43	96539	565	481242	5085332	52.68
1965	25-29	0.00123	0.00615	2.55	95974	591	478423	4604090	47.97
1965	30-34	0.00158	0.00789	2.6	95383	752	475114	4125666	43.25
