Div3: East North Central, Lifetables (period 1x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02805	0.02737	0.12	100000	2737	97592	6716256	67.16
1959	1	0.00159	0.00158	0.5	97263	154	97186	6618664	68.05
1959	2	0.00100	0.00100	0.5	97108	97	97060	6521479	67.16
1959	3	0.00075	0.00075	0.5	97012	73	96975	6424419	66.22
1959	4	0.00064	0.00064	0.5	96938	62	96907	6327444	65.27
1959	5	0.00061	0.00061	0.5	96876	59	96847	6230537	64.31
1959	6	0.00059	0.00059	0.5	96817	57	96788	6133690	63.35
1959	7	0.00054	0.00054	0.5	96760	52	96734	6036902	62.39
1959	8	0.00049	0.00049	0.5	96708	47	96684	5940168	61.42
1959	9	0.00051	0.00051	0.5	96661	50	96636	5843483	60.45
1959	10	0.00050	0.00050	0.5	96611	48	96587	5746847	59.48
1959	11	0.00053	0.00053	0.5	96563	51	96537	5650260	58.51
1959	12	0.00060	0.00060	0.5	96512	58	96483	5553723	57.54
1959	13	0.00053	0.00053	0.5	96454	51	96429	5457240	56.58
1959	14	0.00063	0.00063	0.5	96403	61	96372	5360811	55.61
1959	15	0.00088	0.00088	0.5	96342	85	96300	5264439	54.64
1959	16	0.00108	0.00108	0.5	96257	104	96205	5168139	53.69
1959	17	0.00136	0.00136	0.5	96153	131	96088	5071934	52.75
1959	18	0.00149	0.00149	0.5	96023	143	95951	4975846	51.82
1959	19	0.00171	0.00170	0.5	95879	163	95798	4879895	50.90
1959	20	0.00160	0.00160	0.5	95716	153	95639	4784097	49.98
1959	21	0.00174	0.00174	0.5	95563	166	95480	4688458	49.06
1959	22	0.00161	0.00161	0.5	95397	154	95320	4592978	48.15
1959	23	0.00153	0.00153	0.5	95243	145	95170	4497659	47.22
1959	24	0.00155	0.00155	0.5	95098	147	95024	4402488	46.29
1959	25	0.00153	0.00153	0.5	94950	145	94878	4307464	45.37
1959	26	0.00144	0.00144	0.5	94805	136	94737	4212587	44.43
1959	27	0.00157	0.00157	0.5	94669	149	94594	4117850	43.50
1959	28	0.00140	0.00140	0.5	94520	133	94453	4023256	42.57
1959	29	0.00149	0.00149	0.5	94387	140	94317	3928802	41.62
1959	30	0.00164	0.00163	0.5	94247	154	94170	3834485	40.69
1959	31	0.00165	0.00165	0.5	94093	155	94015	3740315	39.75
