Div3: East North Central, Lifetables (period 1x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02601	0.02543	0.11	100000	2543	97749	6704382	67.04
1960-1969	1	0.00144	0.00144	0.5	97457	140	97387	6606633	67.79
1960-1969	2	0.00095	0.00095	0.5	97317	92	97271	6509245	66.89
1960-1969	3	0.00075	0.00075	0.5	97225	73	97188	6411974	65.95
1960-1969	4	0.00065	0.00065	0.5	97152	63	97120	6314786	65.00
1960-1969	5	0.00060	0.00060	0.5	97089	58	97059	6217666	64.04
1960-1969	6	0.00053	0.00053	0.5	97030	52	97005	6120606	63.08
1960-1969	7	0.00048	0.00048	0.5	96979	47	96955	6023601	62.11
1960-1969	8	0.00044	0.00044	0.5	96932	43	96911	5926646	61.14
1960-1969	9	0.00044	0.00044	0.5	96889	43	96868	5829735	60.17
1960-1969	10	0.00040	0.00040	0.5	96847	39	96827	5732867	59.20
1960-1969	11	0.00043	0.00043	0.5	96808	42	96787	5636040	58.22
1960-1969	12	0.00047	0.00047	0.5	96766	46	96743	5539254	57.24
1960-1969	13	0.00053	0.00053	0.5	96720	51	96695	5442511	56.27
1960-1969	14	0.00066	0.00066	0.5	96669	64	96637	5345816	55.30
1960-1969	15	0.00081	0.00081	0.5	96605	78	96566	5249179	54.34
1960-1969	16	0.00113	0.00113	0.5	96527	109	96472	5152613	53.38
1960-1969	17	0.00141	0.00141	0.5	96417	136	96350	5056141	52.44
1960-1969	18	0.00176	0.00176	0.5	96282	170	96197	4959792	51.51
1960-1969	19	0.00179	0.00179	0.5	96112	172	96026	4863595	50.60
1960-1969	20	0.00176	0.00175	0.5	95940	168	95856	4767569	49.69
1960-1969	21	0.00188	0.00188	0.5	95772	180	95682	4671713	48.78
1960-1969	22	0.00187	0.00187	0.5	95592	178	95503	4576031	47.87
1960-1969	23	0.00178	0.00178	0.5	95413	170	95329	4480529	46.96
1960-1969	24	0.00175	0.00175	0.5	95244	166	95160	4385200	46.04
1960-1969	25	0.00171	0.00170	0.5	95077	162	94996	4290040	45.12
1960-1969	26	0.00168	0.00168	0.5	94915	159	94835	4195044	44.20
1960-1969	27	0.00167	0.00167	0.5	94756	158	94677	4100208	43.27
1960-1969	28	0.00168	0.00168	0.5	94598	159	94518	4005532	42.34
1960-1969	29	0.00169	0.00169	0.5	94439	159	94359	3911013	41.41
1960-1969	30	0.00177	0.00177	0.5	94280	166	94196	3816654	40.48
1960-1969	31	0.00183	0.00182	0.5	94113	172	94027	3722457	39.55
1960-1969	32	0.00194	0.00194	0.5	93942	183	93850	3628430	38.62
1960-1969	33	0.00202	0.00201	0.5	93759	189	93665	3534580	37.70
1960-1969	34	0.00217	0.00216	0.5	93570	202	93469	3440915	36.77
1960-1969	35	0.00232	0.00232	0.5	93368	217	93259	3347446	35.85
1960-1969	36	0.00254	0.00254	0.5	93151	237	93033	3254187	34.93
1960-1969	37	0.00271	0.00271	0.5	92914	252	92789	3161154	34.02
1960-1969	38	0.00300	0.00299	0.5	92663	277	92524	3068366	33.11
1960-1969	39	0.00326	0.00326	0.5	92385	301	92235	2975842	32.21
1960-1969	40	0.00367	0.00367	0.5	92084	338	91915	2883607	31.31
1960-1969	41	0.00394	0.00393	0.5	91747	361	91566	2791691	30.43
1960-1969	42	0.00449	0.00448	0.5	91386	409	91181	2700125	29.55
1960-1969	43	0.00482	0.00481	0.5	90976	438	90758	2608944	28.68
1960-1969	44	0.00522	0.00521	0.5	90539	471	90303	2518186	27.81
1960-1969	45	0.00597	0.00595	0.5	90067	536	89799	2427884	26.96
1960-1969	46	0.00635	0.00633	0.5	89531	567	89248	2338084	26.11
1960-1969	47	0.00712	0.00709	0.5	88964	631	88649	2248836	25.28
1960-1969	48	0.00788	0.00785	0.5	88333	693	87987	2160188	24.45
1960-1969	49	0.00872	0.00869	0.5	87640	761	87260	2072201	23.64
1960-1969	50	0.00992	0.00987	0.5	86879	857	86450	1984941	22.85
1960-1969	51	0.01070	0.01065	0.5	86022	916	85564	1898491	22.07
1960-1969	52	0.01192	0.01185	0.5	85106	1008	84602	1812927	21.30
1960-1969	53	0.01288	0.01280	0.5	84098	1076	83560	1728325	20.55
1960-1969	54	0.01437	0.01427	0.5	83021	1185	82429	1644766	19.81
1960-1969	55	0.01551	0.01539	0.5	81837	1259	81207	1562337	19.09
1960-1969	56	0.01677	0.01663	0.5	80577	1340	79907	1481129	18.38
1960-1969	57	0.01853	0.01836	0.5	79237	1455	78510	1401222	17.68
1960-1969	58	0.02018	0.01998	0.5	77783	1554	77006	1322712	17.01
1960-1969	59	0.02202	0.02178	0.5	76229	1660	75398	1245706	16.34
1960-1969	60	0.02399	0.02371	0.5	74568	1768	73684	1170308	15.69
1960-1969	61	0.02571	0.02539	0.5	72800	1848	71876	1096623	15.06
1960-1969	62	0.02850	0.02810	0.5	70952	1994	69955	1024747	14.44
1960-1969	63	0.03059	0.03013	0.5	68958	2077	67920	954792	13.85
1960-1969	64	0.03282	0.03229	0.5	66881	2159	65801	886872	13.26
1960-1969	65	0.03645	0.03580	0.5	64722	2317	63563	821071	12.69
1960-1969	66	0.03796	0.03725	0.5	62405	2325	61242	757508	12.14
1960-1969	67	0.04222	0.04134	0.5	60080	2484	58838	696266	11.59
1960-1969	68	0.04517	0.04417	0.5	57596	2544	56324	637428	11.07
1960-1969	69	0.04833	0.04718	0.5	55052	2598	53753	581104	10.56
1960-1969	70	0.05343	0.05204	0.5	52454	2730	51089	527351	10.05
1960-1969	71	0.05629	0.05475	0.5	49724	2722	48363	476261	9.58
1960-1969	72	0.06327	0.06133	0.5	47002	2882	45561	427898	9.10
1960-1969	73	0.06673	0.06457	0.5	44120	2849	42695	382337	8.67
1960-1969	74	0.07293	0.07036	0.5	41271	2904	39819	339642	8.23
1960-1969	75	0.07867	0.07569	0.5	38367	2904	36915	299824	7.81
1960-1969	76	0.08336	0.08003	0.5	35463	2838	34044	262909	7.41
1960-1969	77	0.08986	0.08599	0.5	32625	2805	31222	228865	7.02
1960-1969	78	0.09730	0.09279	0.5	29819	2767	28436	197643	6.63
1960-1969	79	0.10486	0.09964	0.5	27052	2696	25705	169207	6.25
1960-1969	80	0.11678	0.11034	0.5	24357	2688	23013	143502	5.89
1960-1969	81	0.12340	0.11623	0.5	21669	2519	20410	120489	5.56
1960-1969	82	0.13655	0.12782	0.5	19151	2448	17927	100079	5.23
1960-1969	83	0.14958	0.13917	0.5	16703	2325	15541	82152	4.92
1960-1969	84	0.16203	0.14989	0.5	14378	2155	13301	66611	4.63
1960-1969	85	0.17686	0.16249	0.5	12223	1986	11230	53311	4.36
1960-1969	86	0.19060	0.17402	0.5	10237	1781	9346	42080	4.11
1960-1969	87	0.20746	0.18796	0.5	8456	1589	7661	32734	3.87
1960-1969	88	0.22387	0.20133	0.5	6866	1382	6175	25073	3.65
1960-1969	89	0.23990	0.21420	0.5	5484	1175	4897	18898	3.45
1960-1969	90	0.25890	0.22923	0.5	4309	988	3815	14001	3.25
1960-1969	91	0.27214	0.23954	0.5	3321	796	2924	10186	3.07
1960-1969	92	0.30255	0.26280	0.5	2526	664	2194	7263	2.88
1960-1969	93	0.32781	0.28164	0.5	1862	524	1600	5069	2.72
1960-1969	94	0.34768	0.29619	0.5	1338	396	1140	3469	2.59
1960-1969	95	0.36315	0.30734	0.5	941	289	797	2329	2.47
1960-1969	96	0.38617	0.32368	0.5	652	211	547	1533	2.35
1960-1969	97	0.40972	0.34006	0.5	441	150	366	986	2.24
1960-1969	98	0.43369	0.35641	0.5	291	104	239	620	2.13
1960-1969	99	0.45797	0.37264	0.5	187	70	152	381	2.03
1960-1969	100	0.48246	0.38869	0.5	118	46	95	228	1.94
1960-1969	101	0.50703	0.40449	0.5	72	29	57	134	1.86
1960-1969	102	0.53156	0.41995	0.5	43	18	34	76	1.79
1960-1969	103	0.55595	0.43502	0.5	25	11	19	43	1.72
1960-1969	104	0.58007	0.44965	0.5	14	6	11	23	1.65
1960-1969	105	0.60381	0.46379	0.5	8	4	6	12	1.60
1960-1969	106	0.62707	0.47739	0.5	4	2	3	6	1.54
1960-1969	107	0.64976	0.49043	0.5	2	1	2	3	1.50
1960-1969	108	0.67179	0.50287	0.5	1	1	1	2	1.46
1960-1969	109	0.69308	0.51471	0.5	1	0	0	1	1.42
1960-1969	110+	0.71359	1.00000	1.4	0	0	0	0	1.40
1970-1979	0	0.01895	0.01863	0.1	100000	1863	98315	6839220	68.39
1970-1979	1	0.00110	0.00110	0.5	98137	108	98083	6740905	68.69
1970-1979	2	0.00077	0.00077	0.5	98028	76	97991	6642822	67.76
1970-1979	3	0.00065	0.00065	0.5	97953	64	97921	6544832	66.82
1970-1979	4	0.00054	0.00054	0.5	97889	53	97863	6446911	65.86
1970-1979	5	0.00049	0.00049	0.5	97836	48	97812	6349048	64.89
1970-1979	6	0.00045	0.00045	0.5	97789	44	97767	6251236	63.93
1970-1979	7	0.00041	0.00041	0.5	97745	41	97724	6153469	62.95
1970-1979	8	0.00037	0.00037	0.5	97704	36	97686	6055745	61.98
1970-1979	9	0.00036	0.00036	0.5	97668	35	97650	5958059	61.00
1970-1979	10	0.00036	0.00036	0.5	97632	35	97615	5860409	60.03
1970-1979	11	0.00036	0.00036	0.5	97598	35	97580	5762794	59.05
1970-1979	12	0.00041	0.00041	0.5	97563	40	97543	5665214	58.07
1970-1979	13	0.00048	0.00048	0.5	97522	47	97499	5567672	57.09
1970-1979	14	0.00063	0.00063	0.5	97475	61	97445	5470173	56.12
1970-1979	15	0.00081	0.00081	0.5	97414	78	97375	5372728	55.15
1970-1979	16	0.00116	0.00116	0.5	97335	113	97279	5275353	54.20
1970-1979	17	0.00147	0.00147	0.5	97223	143	97151	5178074	53.26
1970-1979	18	0.00188	0.00188	0.5	97080	182	96989	5080923	52.34
1970-1979	19	0.00196	0.00196	0.5	96898	190	96803	4983934	51.44
1970-1979	20	0.00201	0.00201	0.5	96708	195	96611	4887132	50.54
1970-1979	21	0.00210	0.00210	0.5	96513	203	96412	4790521	49.64
1970-1979	22	0.00217	0.00217	0.5	96310	209	96206	4694109	48.74
1970-1979	23	0.00209	0.00209	0.5	96102	201	96001	4597903	47.84
1970-1979	24	0.00205	0.00205	0.5	95901	196	95803	4501901	46.94
1970-1979	25	0.00190	0.00190	0.5	95705	182	95614	4406099	46.04
1970-1979	26	0.00183	0.00183	0.5	95523	174	95436	4310485	45.13
