Div4: West North Central, Lifetables (period 1x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02174	0.02132	0.11	100000	2132	98099	7164054	71.64
1960-1969	1	0.00138	0.00138	0.5	97868	135	97800	7065954	72.20
1960-1969	2	0.00088	0.00088	0.5	97733	86	97690	6968154	71.30
1960-1969	3	0.00068	0.00068	0.5	97647	66	97614	6870464	70.36
1960-1969	4	0.00057	0.00057	0.5	97581	56	97553	6772850	69.41
1960-1969	5	0.00051	0.00051	0.5	97525	49	97501	6675297	68.45
1960-1969	6	0.00044	0.00044	0.5	97476	43	97455	6577796	67.48
1960-1969	7	0.00042	0.00042	0.5	97433	41	97413	6480341	66.51
1960-1969	8	0.00039	0.00039	0.5	97393	38	97374	6382928	65.54
1960-1969	9	0.00037	0.00037	0.5	97355	36	97337	6285554	64.56
1960-1969	10	0.00036	0.00036	0.5	97319	35	97302	6188217	63.59
1960-1969	11	0.00038	0.00038	0.5	97284	37	97266	6090915	62.61
1960-1969	12	0.00039	0.00039	0.5	97247	38	97228	5993649	61.63
1960-1969	13	0.00044	0.00044	0.5	97210	42	97188	5896421	60.66
1960-1969	14	0.00054	0.00054	0.5	97167	53	97141	5799233	59.68
1960-1969	15	0.00068	0.00068	0.5	97114	66	97082	5702092	58.72
1960-1969	16	0.00093	0.00093	0.5	97049	90	97004	5605010	57.75
1960-1969	17	0.00113	0.00113	0.5	96959	109	96904	5508006	56.81
1960-1969	18	0.00128	0.00128	0.5	96850	124	96788	5411102	55.87
1960-1969	19	0.00134	0.00134	0.5	96726	129	96661	5314314	54.94
1960-1969	20	0.00130	0.00129	0.5	96596	125	96534	5217653	54.01
1960-1969	21	0.00138	0.00138	0.5	96471	133	96405	5121119	53.08
1960-1969	22	0.00131	0.00131	0.5	96338	126	96275	5024715	52.16
1960-1969	23	0.00125	0.00125	0.5	96212	120	96152	4928439	51.22
1960-1969	24	0.00123	0.00123	0.5	96092	118	96033	4832287	50.29
1960-1969	25	0.00123	0.00123	0.5	95974	118	95915	4736254	49.35
1960-1969	26	0.00119	0.00118	0.5	95856	114	95799	4640339	48.41
1960-1969	27	0.00116	0.00116	0.5	95742	111	95686	4544540	47.47
1960-1969	28	0.00121	0.00121	0.5	95631	115	95573	4448854	46.52
