Div4: West North Central, Lifetables (period 5x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02676	0.02614	0.12	100000	2614	97691	6817456	68.17
1959	1-4	0.00108	0.00433	1.65	97386	421	388552	6719765	69.00
1959	5-9	0.00058	0.00289	2.38	96965	280	484088	6331213	65.29
1959	10-14	0.00060	0.00298	2.82	96684	288	482794	5847125	60.48
1959	15-19	0.00154	0.00765	2.79	96397	738	480356	5364331	55.65
1959	20-24	0.00177	0.00879	2.39	95659	841	476100	4883974	51.06
1959	25-29	0.00165	0.00821	2.49	94818	779	472139	4407874	46.49
1959	30-34	0.00181	0.00899	2.61	94040	845	468175	3935735	41.85
1959	35-39	0.00238	0.01184	2.62	93194	1103	463341	3467560	37.21
1959	40-44	0.00403	0.01998	2.69	92091	1840	456203	3004219	32.62
1959	45-49	0.00640	0.03153	2.67	90251	2845	444635	2548016	28.23
1959	50-54	0.01061	0.05176	2.69	87406	4524	426559	2103382	24.06
1959	55-59	0.01585	0.07640	2.65	82881	6332	399502	1676823	20.23
1959	60-64	0.02420	0.11436	2.6	76549	8754	361747	1277321	16.69
1959	65-69	0.03631	0.16704	2.61	67795	11324	311879	915574	13.51
1959	70-74	0.05333	0.23625	2.59	56471	13341	250144	603695	10.69
1959	75-79	0.08192	0.34066	2.53	43130	14692	179347	353551	8.20
1959	80-84	0.12637	0.47624	2.41	28437	13543	107170	174204	6.13
1959	85-89	0.19309	0.63485	2.3	14894	9456	48969	67034	4.50
1959	90-94	0.28010	0.77098	2.08	5439	4193	14970	18065	3.32
1959	95-99	0.38990	0.87418	1.85	1246	1089	2793	3095	2.49
1959	100-104	0.51102	0.93576	1.61	157	147	287	303	1.93
1959	105-109	0.63162	0.96721	1.41	10	10	15	16	1.58
1959	110+	0.72430	1.00000	1.38	0	0	0	0	1.38
1960	0	0.02696	0.02634	0.12	100000	2634	97675	6813604	68.14
1960	1-4	0.00105	0.00420	1.68	97366	408	388517	6715929	68.98
1960	5-9	0.00057	0.00284	2.39	96958	276	484070	6327412	65.26
1960	10-14	0.00057	0.00285	2.73	96682	275	482787	5843343	60.44
1960	15-19	0.00136	0.00680	2.87	96407	655	480641	5360556	55.60
1960	20-24	0.00185	0.00922	2.37	95752	883	476439	4879915	50.96
1960	25-29	0.00166	0.00828	2.44	94868	786	472329	4403475	46.42
1960	30-34	0.00178	0.00886	2.48	94083	834	468310	3931146	41.78
1960	35-39	0.00249	0.01235	2.68	93249	1152	463568	3462836	37.14
1960	40-44	0.00372	0.01847	2.7	92097	1701	456576	2999268	32.57
1960	45-49	0.00653	0.03216	2.7	90396	2907	445287	2542692	28.13
1960	50-54	0.01064	0.05191	2.67	87489	4541	426882	2097405	23.97
1960	55-59	0.01587	0.07651	2.65	82948	6346	399832	1670523	20.14
1960	60-64	0.02465	0.11646	2.63	76602	8921	361875	1270691	16.59
1960	65-69	0.03662	0.16823	2.58	67681	11386	310887	908816	13.43
1960	70-74	0.05419	0.23901	2.53	56294	13455	248302	597930	10.62
1960	75-79	0.08266	0.34267	2.51	42839	14680	177584	349627	8.16
1960	80-84	0.12669	0.47782	2.43	28160	13455	106202	172043	6.11
1960	85-89	0.19311	0.63299	2.28	14704	9308	48198	65841	4.48
1960	90-94	0.28596	0.77915	2.08	5397	4205	14704	17643	3.27
1960	95-99	0.39323	0.87658	1.84	1192	1045	2657	2939	2.47
1960	100-104	0.51551	0.93742	1.61	147	138	268	282	1.92
1960	105-109	0.63676	0.96817	1.41	9	9	14	14	1.56
1960	110+	0.72956	1.00000	1.37	0	0	0	0	1.37
1961	0	0.02621	0.02561	0.12	100000	2561	97734	6851935	68.52
1961	1-4	0.00101	0.00401	1.6	97439	391	388817	6754201	69.32
1961	5-9	0.00053	0.00263	2.42	97048	256	484580	6365384	65.59
1961	10-14	0.00052	0.00261	2.63	96792	253	483362	5880804	60.76
