Div5: South Atlantic, Lifetables (period 1x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03004	0.02928	0.13	100000	2928	97458	6883170	68.83
1960-1964	1	0.00200	0.00199	0.5	97072	194	96975	6785713	69.90
1960-1964	2	0.00119	0.00119	0.5	96879	115	96821	6688737	69.04
1960-1964	3	0.00091	0.00091	0.5	96764	88	96720	6591916	68.12
1960-1964	4	0.00071	0.00071	0.5	96675	69	96641	6495196	67.19
1960-1964	5	0.00065	0.00065	0.5	96607	63	96575	6398555	66.23
1960-1964	6	0.00058	0.00058	0.5	96544	56	96516	6301980	65.28
1960-1964	7	0.00052	0.00052	0.5	96489	50	96464	6205464	64.31
1960-1964	8	0.00044	0.00044	0.5	96438	43	96417	6109000	63.35
1960-1964	9	0.00042	0.00042	0.5	96396	41	96375	6012583	62.37
1960-1964	10	0.00040	0.00040	0.5	96355	39	96336	5916207	61.40
1960-1964	11	0.00043	0.00043	0.5	96316	41	96295	5819872	60.42
1960-1964	12	0.00045	0.00045	0.5	96275	43	96253	5723577	59.45
1960-1964	13	0.00052	0.00052	0.5	96231	50	96206	5627324	58.48
1960-1964	14	0.00061	0.00061	0.5	96181	59	96152	5531117	57.51
1960-1964	15	0.00069	0.00069	0.5	96122	66	96089	5434966	56.54
1960-1964	16	0.00090	0.00090	0.5	96056	86	96013	5338877	55.58
1960-1964	17	0.00100	0.00100	0.5	95970	96	95922	5242864	54.63
1960-1964	18	0.00116	0.00116	0.5	95873	111	95818	5146943	53.68
1960-1964	19	0.00126	0.00126	0.5	95763	121	95702	5051125	52.75
1960-1964	20	0.00130	0.00129	0.5	95641	124	95580	4955423	51.81
1960-1964	21	0.00134	0.00133	0.5	95518	127	95454	4859843	50.88
1960-1964	22	0.00136	0.00136	0.5	95390	130	95325	4764389	49.95
1960-1964	23	0.00136	0.00136	0.5	95260	130	95195	4669064	49.01
1960-1964	24	0.00137	0.00136	0.5	95130	130	95065	4573869	48.08
1960-1964	25	0.00149	0.00149	0.5	95000	142	94929	4478803	47.15
1960-1964	26	0.00152	0.00152	0.5	94859	144	94787	4383874	46.21
1960-1964	27	0.00155	0.00155	0.5	94715	147	94641	4289087	45.28
1960-1964	28	0.00160	0.00160	0.5	94568	151	94492	4194446	44.35
1960-1964	29	0.00168	0.00168	0.5	94417	158	94337	4099954	43.42
1960-1964	30	0.00182	0.00182	0.5	94258	171	94173	4005617	42.50
1960-1964	31	0.00185	0.00185	0.5	94087	174	94000	3911444	41.57
1960-1964	32	0.00198	0.00198	0.5	93913	186	93820	3817444	40.65
1960-1964	33	0.00213	0.00213	0.5	93727	200	93627	3723624	39.73
1960-1964	34	0.00233	0.00232	0.5	93527	217	93418	3629997	38.81
1960-1964	35	0.00252	0.00252	0.5	93310	235	93192	3536579	37.90
1960-1964	36	0.00273	0.00273	0.5	93074	254	92948	3443387	37.00
1960-1964	37	0.00287	0.00287	0.5	92821	266	92688	3350439	36.10
1960-1964	38	0.00324	0.00323	0.5	92554	299	92405	3257752	35.20
1960-1964	39	0.00345	0.00345	0.5	92255	318	92096	3165347	34.31
1960-1964	40	0.00377	0.00376	0.5	91937	346	91764	3073251	33.43
1960-1964	41	0.00398	0.00397	0.5	91591	364	91410	2981487	32.55
1960-1964	42	0.00466	0.00465	0.5	91228	425	91015	2890077	31.68
1960-1964	43	0.00494	0.00493	0.5	90803	447	90580	2799062	30.83
1960-1964	44	0.00532	0.00530	0.5	90356	479	90116	2708482	29.98
1960-1964	45	0.00577	0.00576	0.5	89877	517	89618	2618366	29.13
1960-1964	46	0.00622	0.00620	0.5	89359	554	89082	2528748	28.30
1960-1964	47	0.00705	0.00702	0.5	88805	624	88493	2439666	27.47
1960-1964	48	0.00756	0.00753	0.5	88181	664	87849	2351172	26.66
