Div6: East South Central, Lifetables (period 5x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03340	0.03246	0.14	100000	3246	97210	6892313	68.92
1959	1-4	0.00131	0.00521	1.54	96754	505	385772	6795103	70.23
1959	5-9	0.00054	0.00269	2.33	96249	259	480553	6409332	66.59
1959	10-14	0.00052	0.00258	2.73	95990	248	479386	5928779	61.76
1959	15-19	0.00119	0.00595	2.73	95742	569	477418	5449393	56.92
1959	20-24	0.00166	0.00824	2.5	95173	785	473899	4971976	52.24
1959	25-29	0.00171	0.00853	2.57	94388	805	469979	4498077	47.66
1959	30-34	0.00209	0.01040	2.65	93583	974	465629	4028098	43.04
1959	35-39	0.00299	0.01485	2.7	92609	1375	459889	3562469	38.47
1959	40-44	0.00420	0.02079	2.64	91234	1897	451685	3102580	34.01
1959	45-49	0.00635	0.03130	2.65	89337	2797	440101	2650895	29.67
1959	50-54	0.00967	0.04729	2.65	86541	4093	423094	2210794	25.55
1959	55-59	0.01441	0.06976	2.7	82448	5752	399016	1787700	21.68
1959	60-64	0.02012	0.09595	2.59	76696	7359	365771	1388684	18.11
1959	65-69	0.03080	0.14332	2.58	69337	9937	322671	1022913	14.75
1959	70-74	0.04512	0.20319	2.55	59400	12070	267481	700241	11.79
1959	75-79	0.06895	0.29496	2.55	47330	13960	202458	432760	9.14
1959	80-84	0.10964	0.42920	2.47	33370	14323	130631	230302	6.90
1959	85-89	0.16500	0.57234	2.32	19047	10902	66070	99671	5.23
1959	90-94	0.22053	0.67649	2.14	8146	5511	24988	33602	4.12
1959	95-99	0.28877	0.77756	2.03	2635	2049	7096	8614	3.27
1959	100-104	0.37476	0.86036	1.86	586	504	1346	1518	2.59
1959	105-109	0.46965	0.91696	1.68	82	75	160	172	2.10
1959	110+	0.54818	1.00000	1.82	7	7	12	12	1.82
1960	0	0.03330	0.03237	0.14	100000	3237	97218	6868929	68.69
1960	1-4	0.00136	0.00544	1.54	96763	526	385759	6771711	69.98
1960	5-9	0.00058	0.00289	2.28	96237	279	480426	6385952	66.36
1960	10-14	0.00053	0.00262	2.68	95958	252	479206	5905527	61.54
1960	15-19	0.00112	0.00557	2.83	95706	533	477373	5426321	56.70
1960	20-24	0.00152	0.00759	2.52	95173	723	474075	4948948	52.00
1960	25-29	0.00172	0.00855	2.51	94451	807	470245	4474873	47.38
1960	30-34	0.00202	0.01007	2.69	93643	943	466038	4004627	42.76
1960	35-39	0.00288	0.01431	2.7	92700	1327	460456	3538589	38.17
1960	40-44	0.00437	0.02164	2.65	91373	1977	452227	3078133	33.69
1960	45-49	0.00654	0.03223	2.67	89396	2881	440267	2625906	29.37
1960	50-54	0.00997	0.04869	2.62	86515	4212	422566	2185639	25.26
1960	55-59	0.01444	0.06979	2.63	82303	5744	397914	1763073	21.42
1960	60-64	0.02115	0.10066	2.61	76559	7706	364360	1365159	17.83
1960	65-69	0.03127	0.14533	2.58	68852	10006	320031	1000799	14.54
1960	70-74	0.04683	0.20996	2.54	58846	12356	263850	680768	11.57
1960	75-79	0.07173	0.30491	2.54	46490	14175	197629	416917	8.97
1960	80-84	0.11017	0.43079	2.47	32315	13921	126362	219288	6.79
1960	85-89	0.16917	0.58008	2.29	18394	10670	63071	92926	5.05
1960	90-94	0.23795	0.70640	2.12	7724	5456	22930	29854	3.87
1960	95-99	0.31104	0.80371	1.99	2268	1823	5860	6924	3.05
1960	100-104	0.40796	0.88437	1.8	445	394	965	1064	2.39
1960	105-109	0.51309	0.93529	1.6	51	48	94	99	1.93
1960	110+	0.59940	1.00000	1.67	3	3	6	6	1.67
1961	0	0.03210	0.03124	0.14	100000	3124	97305	6921589	69.22
1961	1-4	0.00129	0.00513	1.56	96876	497	386295	6824285	70.44
1961	5-9	0.00052	0.00258	2.32	96380	249	481233	6437989	66.80
1961	10-14	0.00051	0.00253	2.69	96131	243	480094	5956756	61.97
1961	15-19	0.00096	0.00481	2.81	95888	461	478428	5476662	57.12
1961	20-24	0.00144	0.00719	2.56	95427	686	475457	4998234	52.38
1961	25-29	0.00167	0.00833	2.56	94740	789	471779	4522777	47.74
1961	30-34	0.00206	0.01025	2.65	93951	963	467494	4050998	43.12
1961	35-39	0.00280	0.01389	2.64	92988	1291	461890	3583504	38.54
1961	40-44	0.00427	0.02115	2.66	91697	1940	453945	3121614	34.04
1961	45-49	0.00636	0.03131	2.65	89757	2810	442180	2667668	29.72
1961	50-54	0.00958	0.04685	2.64	86947	4073	425138	2225488	25.60
1961	55-59	0.01382	0.06687	2.6	82873	5542	401066	1800349	21.72
1961	60-64	0.02117	0.10075	2.62	77332	7792	368080	1399283	18.09
1961	65-69	0.03028	0.14100	2.56	69540	9805	323804	1031203	14.83
1961	70-74	0.04471	0.20150	2.55	59735	12037	269204	707399	11.84
1961	75-79	0.06774	0.29054	2.55	47699	13858	204580	438195	9.19
1961	80-84	0.10905	0.42758	2.48	33840	14469	132686	233614	6.90
1961	85-89	0.16408	0.56970	2.32	19371	11036	67257	100928	5.21
1961	90-94	0.22426	0.68164	2.12	8335	5682	25335	33671	4.04
1961	95-99	0.30132	0.79284	2.01	2654	2104	6982	8337	3.14
1961	100-104	0.39502	0.87566	1.82	550	481	1219	1355	2.46
1961	105-109	0.49761	0.92934	1.63	68	64	128	136	1.99
1961	110+	0.58223	1.00000	1.72	5	5	8	8	1.72
1962	0	0.03172	0.03088	0.14	100000	3088	97332	6891347	68.91
1962	1-4	0.00127	0.00505	1.52	96912	490	386435	6794015	70.10
1962	5-9	0.00050	0.00248	2.28	96422	239	481463	6407580	66.45
1962	10-14	0.00055	0.00272	2.73	96183	262	480322	5926117	61.61
1962	15-19	0.00111	0.00551	2.73	95921	529	478409	5445795	56.77
1962	20-24	0.00144	0.00718	2.59	95393	685	475316	4967386	52.07
1962	25-29	0.00162	0.00808	2.55	94708	766	471661	4492070	47.43
1962	30-34	0.00205	0.01022	2.67	93942	960	467473	4020410	42.80
1962	35-39	0.00296	0.01468	2.62	92982	1365	461669	3552936	38.21
1962	40-44	0.00433	0.02144	2.68	91617	1965	453537	3091267	33.74
1962	45-49	0.00663	0.03265	2.67	89653	2927	441435	2637730	29.42
1962	50-54	0.00983	0.04804	2.62	86726	4166	423723	2196294	25.32
1962	55-59	0.01414	0.06844	2.64	82560	5650	399486	1772572	21.47
1962	60-64	0.02132	0.10154	2.66	76909	7809	366262	1373086	17.85
1962	65-69	0.03108	0.14440	2.55	69100	9978	321034	1006825	14.57
1962	70-74	0.04679	0.21021	2.59	59122	12428	265600	685790	11.60
1962	75-79	0.06958	0.29738	2.56	46694	13886	199575	420191	9.00
1962	80-84	0.11105	0.43350	2.47	32808	14222	128071	220615	6.72
