Div7: West South Central, Lifetables (period 1x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03365	0.03270	0.14	100000	3270	97172	6674375	66.74
1959	1	0.00237	0.00237	0.5	96730	229	96615	6577203	68.00
1959	2	0.00134	0.00134	0.5	96501	130	96436	6480587	67.16
1959	3	0.00094	0.00094	0.5	96371	91	96326	6384151	66.25
1959	4	0.00078	0.00078	0.5	96280	75	96243	6287826	65.31
1959	5	0.00057	0.00057	0.5	96206	55	96178	6191582	64.36
1959	6	0.00058	0.00058	0.5	96151	56	96123	6095404	63.39
1959	7	0.00061	0.00061	0.5	96095	59	96066	5999281	62.43
1959	8	0.00051	0.00051	0.5	96036	49	96012	5903216	61.47
1959	9	0.00047	0.00047	0.5	95987	45	95964	5807204	60.50
1959	10	0.00054	0.00054	0.5	95942	52	95916	5711240	59.53
1959	11	0.00057	0.00057	0.5	95890	55	95863	5615324	58.56
1959	12	0.00068	0.00068	0.5	95836	65	95803	5519461	57.59
1959	13	0.00077	0.00077	0.5	95770	73	95734	5423658	56.63
1959	14	0.00095	0.00095	0.5	95697	91	95651	5327924	55.67
1959	15	0.00123	0.00123	0.5	95606	118	95547	5232273	54.73
1959	16	0.00145	0.00145	0.5	95488	138	95419	5136726	53.79
1959	17	0.00143	0.00142	0.5	95350	136	95282	5041307	52.87
1959	18	0.00159	0.00159	0.5	95214	152	95138	4946025	51.95
1959	19	0.00176	0.00176	0.5	95063	168	94979	4850886	51.03
1959	20	0.00227	0.00226	0.5	94895	215	94788	4755907	50.12
1959	21	0.00222	0.00221	0.5	94680	210	94575	4661120	49.23
1959	22	0.00225	0.00225	0.5	94471	213	94364	4566545	48.34
1959	23	0.00183	0.00183	0.5	94258	172	94172	4472180	47.45
1959	24	0.00202	0.00202	0.5	94085	190	93990	4378009	46.53
1959	25	0.00220	0.00219	0.5	93895	206	93792	4284018	45.63
1959	26	0.00223	0.00223	0.5	93689	209	93585	4190226	44.72
1959	27	0.00200	0.00200	0.5	93480	187	93387	4096641	43.82
1959	28	0.00194	0.00194	0.5	93294	181	93203	4003254	42.91
1959	29	0.00216	0.00216	0.5	93113	201	93012	3910051	41.99
1959	30	0.00198	0.00198	0.5	92912	184	92820	3817039	41.08
1959	31	0.00238	0.00238	0.5	92728	221	92618	3724219	40.16
1959	32	0.00229	0.00229	0.5	92507	212	92401	3631602	39.26
1959	33	0.00236	0.00236	0.5	92295	217	92187	3539200	38.35
1959	34	0.00249	0.00249	0.5	92078	229	91964	3447014	37.44
1959	35	0.00280	0.00280	0.5	91849	257	91720	3355050	36.53
1959	36	0.00261	0.00261	0.5	91592	239	91472	3263330	35.63
1959	37	0.00307	0.00307	0.5	91353	280	91213	3171857	34.72
1959	38	0.00364	0.00363	0.5	91073	331	90907	3080644	33.83
1959	39	0.00376	0.00376	0.5	90742	341	90572	2989737	32.95
1959	40	0.00370	0.00369	0.5	90401	334	90235	2899165	32.07
1959	41	0.00405	0.00404	0.5	90068	364	89886	2808931	31.19
1959	42	0.00498	0.00497	0.5	89704	446	89481	2719045	30.31
1959	43	0.00514	0.00512	0.5	89258	457	89029	2629564	29.46
1959	44	0.00561	0.00560	0.5	88801	497	88552	2540534	28.61
1959	45	0.00623	0.00621	0.5	88304	548	88029	2451982	27.77
1959	46	0.00637	0.00635	0.5	87755	557	87476	2363953	26.94
1959	47	0.00760	0.00757	0.5	87198	660	86868	2276476	26.11
1959	48	0.00823	0.00820	0.5	86537	710	86183	2189609	25.30
1959	49	0.00875	0.00871	0.5	85828	748	85454	2103426	24.51
1959	50	0.00982	0.00978	0.5	85080	832	84664	2017972	23.72
1959	51	0.01136	0.01129	0.5	84248	951	83773	1933308	22.95
1959	52	0.01207	0.01200	0.5	83297	999	82797	1849535	22.20
1959	53	0.01282	0.01273	0.5	82297	1048	81773	1766738	21.47
1959	54	0.01422	0.01411	0.5	81249	1147	80676	1684965	20.74
1959	55	0.01537	0.01525	0.5	80103	1222	79492	1604289	20.03
1959	56	0.01565	0.01553	0.5	78881	1225	78269	1524797	19.33
1959	57	0.01658	0.01645	0.5	77656	1277	77018	1446528	18.63
1959	58	0.01949	0.01930	0.5	76379	1474	75642	1369511	17.93
1959	59	0.02068	0.02047	0.5	74904	1533	74138	1293869	17.27
1959	60	0.02163	0.02140	0.5	73371	1570	72586	1219731	16.62
1959	61	0.02350	0.02322	0.5	71801	1667	70967	1147145	15.98
1959	62	0.02675	0.02640	0.5	70133	1851	69208	1076178	15.34
1959	63	0.02928	0.02885	0.5	68282	1970	67297	1006970	14.75
1959	64	0.02929	0.02887	0.5	66312	1914	65355	939673	14.17
