Div8: Mountain, Lifetables (period 1x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02491	0.02438	0.12	100000	2438	97849	7068327	70.68
1960-1969	1	0.00197	0.00197	0.5	97562	192	97466	6970478	71.45
1960-1969	2	0.00115	0.00115	0.5	97370	112	97314	6873011	70.59
1960-1969	3	0.00090	0.00089	0.5	97258	87	97215	6775697	69.67
1960-1969	4	0.00070	0.00070	0.5	97171	68	97137	6678482	68.73
1960-1969	5	0.00061	0.00061	0.5	97103	59	97074	6581345	67.78
1960-1969	6	0.00051	0.00051	0.5	97044	50	97019	6484271	66.82
1960-1969	7	0.00045	0.00045	0.5	96994	44	96973	6387252	65.85
1960-1969	8	0.00041	0.00041	0.5	96951	40	96931	6290280	64.88
1960-1969	9	0.00039	0.00039	0.5	96911	38	96892	6193349	63.91
1960-1969	10	0.00039	0.00039	0.5	96873	38	96854	6096457	62.93
1960-1969	11	0.00039	0.00039	0.5	96835	37	96816	5999603	61.96
1960-1969	12	0.00042	0.00042	0.5	96798	41	96777	5902786	60.98
1960-1969	13	0.00051	0.00051	0.5	96757	49	96732	5806009	60.01
1960-1969	14	0.00064	0.00064	0.5	96708	62	96677	5709277	59.04
1960-1969	15	0.00080	0.00080	0.5	96646	77	96607	5612600	58.07
1960-1969	16	0.00107	0.00107	0.5	96569	103	96517	5515992	57.12
1960-1969	17	0.00120	0.00120	0.5	96465	116	96407	5419475	56.18
1960-1969	18	0.00144	0.00144	0.5	96349	139	96280	5323068	55.25
1960-1969	19	0.00149	0.00149	0.5	96210	144	96138	5226788	54.33
1960-1969	20	0.00158	0.00158	0.5	96067	152	95991	5130650	53.41
1960-1969	21	0.00166	0.00166	0.5	95914	159	95835	5034660	52.49
1960-1969	22	0.00163	0.00163	0.5	95755	156	95677	4938825	51.58
1960-1969	23	0.00159	0.00159	0.5	95599	152	95523	4843147	50.66
1960-1969	24	0.00149	0.00149	0.5	95447	142	95376	4747624	49.74
1960-1969	25	0.00160	0.00160	0.5	95305	153	95228	4652248	48.81
1960-1969	26	0.00154	0.00154	0.5	95152	146	95079	4557020	47.89
1960-1969	27	0.00149	0.00149	0.5	95006	142	94935	4461941	46.96
1960-1969	28	0.00154	0.00154	0.5	94864	146	94791	4367006	46.03
1960-1969	29	0.00159	0.00159	0.5	94718	151	94642	4272215	45.10
1960-1969	30	0.00166	0.00166	0.5	94567	157	94489	4177572	44.18
1960-1969	31	0.00163	0.00163	0.5	94410	154	94333	4083084	43.25
1960-1969	32	0.00174	0.00174	0.5	94256	164	94174	3988751	42.32
1960-1969	33	0.00190	0.00190	0.5	94092	179	94003	3894576	41.39
1960-1969	34	0.00196	0.00196	0.5	93913	184	93821	3800574	40.47
1960-1969	35	0.00205	0.00205	0.5	93729	192	93633	3706753	39.55
1960-1969	36	0.00230	0.00229	0.5	93537	214	93430	3613120	38.63
1960-1969	37	0.00240	0.00239	0.5	93323	223	93211	3519690	37.72
1960-1969	38	0.00262	0.00262	0.5	93099	244	92978	3426478	36.80
1960-1969	39	0.00279	0.00279	0.5	92856	259	92726	3333501	35.90
1960-1969	40	0.00304	0.00303	0.5	92597	281	92456	3240775	35.00
1960-1969	41	0.00314	0.00314	0.5	92316	289	92171	3148318	34.10
1960-1969	42	0.00359	0.00359	0.5	92026	330	91861	3056147	33.21
1960-1969	43	0.00393	0.00392	0.5	91696	359	91517	2964286	32.33
1960-1969	44	0.00429	0.00428	0.5	91337	391	91142	2872769	31.45
1960-1969	45	0.00442	0.00441	0.5	90946	402	90745	2781628	30.59
1960-1969	46	0.00481	0.00480	0.5	90545	435	90327	2690882	29.72
1960-1969	47	0.00570	0.00569	0.5	90110	512	89854	2600555	28.86
1960-1969	48	0.00596	0.00594	0.5	89598	532	89331	2510701	28.02
1960-1969	49	0.00650	0.00648	0.5	89065	577	88777	2421370	27.19
1960-1969	50	0.00708	0.00705	0.5	88488	624	88176	2332593	26.36
1960-1969	51	0.00780	0.00777	0.5	87864	682	87523	2244417	25.54
1960-1969	52	0.00846	0.00842	0.5	87182	734	86815	2156893	24.74
1960-1969	53	0.00916	0.00911	0.5	86448	788	86054	2070079	23.95
1960-1969	54	0.01003	0.00998	0.5	85660	855	85233	1984025	23.16
1960-1969	55	0.01069	0.01064	0.5	84805	902	84355	1898792	22.39
1960-1969	56	0.01159	0.01153	0.5	83904	967	83420	1814437	21.63
1960-1969	57	0.01245	0.01238	0.5	82936	1026	82423	1731017	20.87
1960-1969	58	0.01321	0.01313	0.5	81910	1075	81372	1648594	20.13
1960-1969	59	0.01480	0.01470	0.5	80835	1188	80241	1567222	19.39
1960-1969	60	0.01595	0.01582	0.5	79647	1260	79017	1486981	18.67
1960-1969	61	0.01705	0.01690	0.5	78387	1325	77724	1407964	17.96
1960-1969	62	0.01857	0.01840	0.5	77062	1418	76353	1330240	17.26
1960-1969	63	0.02035	0.02014	0.5	75644	1524	74882	1253887	16.58
1960-1969	64	0.02165	0.02141	0.5	74120	1587	73326	1179005	15.91
1960-1969	65	0.02395	0.02367	0.5	72533	1717	71674	1105679	15.24
1960-1969	66	0.02553	0.02521	0.5	70816	1785	69923	1034004	14.60
1960-1969	67	0.02772	0.02734	0.5	69031	1888	68087	964081	13.97
1960-1969	68	0.03010	0.02966	0.5	67143	1991	66148	895994	13.34
1960-1969	69	0.03257	0.03205	0.5	65152	2088	64108	829846	12.74
