Div8: Mountain, Lifetables (period 5x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02305	0.02259	0.12	100000	2259	98007	7427991	74.28
1960-1964	1-4	0.00112	0.00445	1.56	97741	435	389903	7329984	74.99
1960-1964	5-9	0.00043	0.00217	2.15	97306	211	485930	6940081	71.32
1960-1964	10-14	0.00037	0.00184	2.57	97095	179	485042	6454151	66.47
1960-1964	15-19	0.00071	0.00354	2.72	96916	343	483801	5969109	61.59
1960-1964	20-24	0.00086	0.00427	2.44	96574	412	481811	5485308	56.80
1960-1964	25-29	0.00094	0.00468	2.54	96161	450	479698	5003497	52.03
1960-1964	30-34	0.00127	0.00633	2.65	95711	606	477136	4523799	47.27
1960-1964	35-39	0.00180	0.00898	2.65	95106	854	473527	4046663	42.55
1960-1964	40-44	0.00256	0.01272	2.69	94252	1199	468492	3573136	37.91
1960-1964	45-49	0.00396	0.01963	2.66	93053	1827	460983	3104644	33.36
1960-1964	50-54	0.00585	0.02883	2.66	91226	2630	449978	2643661	28.98
1960-1964	55-59	0.00821	0.04024	2.61	88596	3565	434464	2193683	24.76
1960-1964	60-64	0.01238	0.06017	2.69	85031	5117	413331	1759220	20.69
1960-1964	65-69	0.01920	0.09182	2.63	79914	7337	382171	1345889	16.84
1960-1964	70-74	0.03250	0.15100	2.66	72577	10959	337228	963717	13.28
1960-1964	75-79	0.05380	0.23841	2.62	61617	14690	273064	626489	10.17
1960-1964	80-84	0.08919	0.36531	2.52	46927	17143	192202	353425	7.53
1960-1964	85-89	0.15052	0.53931	2.37	29785	16063	106718	161223	5.41
1960-1964	90-94	0.22445	0.68971	2.21	13721	9464	42163	54505	3.97
1960-1964	95-99	0.32745	0.82342	1.98	4258	3506	10706	12342	2.90
1960-1964	100-104	0.45040	0.91069	1.73	752	685	1520	1635	2.17
1960-1964	105-109	0.58027	0.95672	1.5	67	64	111	115	1.71
1960-1964	110+	0.68339	1.00000	1.46	3	3	4	4	1.46
1965-1969	0	0.01908	0.01876	0.11	100000	1876	98324	7495124	74.95
1965-1969	1-4	0.00096	0.00385	1.56	98124	378	391576	7396800	75.38
1965-1969	5-9	0.00036	0.00181	2.21	97747	176	488241	7005224	71.67
1965-1969	10-14	0.00031	0.00155	2.7	97570	152	487502	6516982	66.79
1965-1969	15-19	0.00067	0.00337	2.71	97419	328	486341	6029481	61.89
1965-1969	20-24	0.00085	0.00422	2.53	97091	410	484442	5543140	57.09
1965-1969	25-29	0.00094	0.00471	2.55	96681	456	482287	5058698	52.32
1965-1969	30-34	0.00118	0.00587	2.61	96225	565	479776	4576411	47.56
1965-1969	35-39	0.00173	0.00863	2.63	95660	826	476343	4096635	42.82
1965-1969	40-44	0.00264	0.01312	2.64	94835	1244	471235	3620292	38.17
1965-1969	45-49	0.00385	0.01907	2.66	93590	1785	463775	3149057	33.65
1965-1969	50-54	0.00575	0.02836	2.66	91805	2603	452922	2685282	29.25
