Div8: Mountain, Lifetables (period 5x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03258	0.03168	0.13	100000	3168	97251	6681301	66.81
1959	1-4	0.00151	0.00602	1.6	96832	583	385930	6584050	67.99
1959	5-9	0.00062	0.00311	2.19	96249	300	480400	6198120	64.40
1959	10-14	0.00071	0.00352	2.73	95949	338	478978	5717720	59.59
1959	15-19	0.00171	0.00851	2.79	95611	813	476254	5238742	54.79
1959	20-24	0.00246	0.01222	2.43	94797	1159	471009	4762487	50.24
1959	25-29	0.00218	0.01082	2.42	93639	1013	465575	4291478	45.83
1959	30-34	0.00240	0.01192	2.51	92625	1104	460380	3825903	41.31
1959	35-39	0.00279	0.01386	2.63	91521	1269	454592	3365523	36.77
1959	40-44	0.00464	0.02293	2.55	90252	2069	446198	2910931	32.25
1959	45-49	0.00712	0.03506	2.78	88183	3092	434040	2464733	27.95
1959	50-54	0.01121	0.05463	2.68	85091	4649	414681	2030693	23.86
1959	55-59	0.01697	0.08161	2.67	80442	6565	386886	1616012	20.09
1959	60-64	0.02516	0.11870	2.62	73878	8769	348519	1229126	16.64
1959	65-69	0.03672	0.16860	2.58	65108	10978	298978	880606	13.53
1959	70-74	0.05300	0.23465	2.56	54131	12702	239652	581628	10.74
1959	75-79	0.08121	0.33830	2.53	41429	14015	172579	341976	8.25
1959	80-84	0.12635	0.47806	2.46	27414	13105	103722	169397	6.18
1959	85-89	0.19186	0.63170	2.3	14308	9039	47111	65675	4.59
1959	90-94	0.26219	0.74555	2.11	5270	3929	14985	18565	3.52
1959	95-99	0.36098	0.85118	1.9	1341	1141	3162	3580	2.67
1959	100-104	0.46948	0.91814	1.68	200	183	390	418	2.10
1959	105-109	0.58137	0.95602	1.49	16	16	27	28	1.71
1959	110+	0.67024	1.00000	1.49	1	1	1	1	1.49
1960	0	0.03226	0.03138	0.13	100000	3138	97275	6670722	66.71
1960	1-4	0.00151	0.00604	1.6	96862	585	386043	6573447	67.86
