Div9: Pacific, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02063	0.02025	0.11	100000	2025	98199	7474918	74.75
1959	1-4	0.00088	0.00352	1.71	97975	345	391109	7376719	75.29
1959	5-9	0.00038	0.00190	2.34	97630	186	487656	6985609	71.55
1959	10-14	0.00026	0.00132	2.56	97445	128	486910	6497953	66.68
1959	15-19	0.00048	0.00241	2.67	97316	235	486033	6011043	61.77
1959	20-24	0.00063	0.00317	2.6	97081	308	484669	5525010	56.91
1959	25-29	0.00082	0.00409	2.56	96774	396	482903	5040341	52.08
1959	30-34	0.00107	0.00536	2.61	96378	517	480656	4557438	47.29
1959	35-39	0.00154	0.00768	2.69	95861	737	477604	4076782	42.53
1959	40-44	0.00262	0.01304	2.66	95125	1240	472723	3599177	37.84
1959	45-49	0.00402	0.01992	2.66	93884	1870	465050	3126455	33.30
1959	50-54	0.00593	0.02922	2.64	92014	2688	453712	2661405	28.92
1959	55-59	0.00842	0.04127	2.64	89325	3686	437915	2207694	24.72
1959	60-64	0.01236	0.06008	2.68	85639	5145	416238	1769779	20.67
1959	65-69	0.01954	0.09341	2.65	80494	7519	384828	1353541	16.82
1959	70-74	0.03174	0.14772	2.66	72975	10780	339666	968713	13.27
1959	75-79	0.05532	0.24395	2.58	62195	15173	274287	629046	10.11
1959	80-84	0.08906	0.36548	2.55	47022	17186	192971	354760	7.54
1959	85-89	0.14767	0.53303	2.39	29837	15904	107697	161788	5.42
1959	90-94	0.23085	0.70101	2.2	13933	9767	42310	54092	3.88
1959	95-99	0.33641	0.83248	1.97	4166	3468	10309	11781	2.83
1959	100-104	0.46499	0.91807	1.7	698	641	1378	1473	2.11
1959	105-109	0.59913	0.96127	1.47	57	55	92	95	1.66
1959	110+	0.70420	1.00000	1.42	2	2	3	3	1.42
1960	0	0.02073	0.02035	0.11	100000	2035	98191	7456612	74.57
1960	1-4	0.00085	0.00339	1.62	97965	332	391068	7358421	75.11
1960	5-9	0.00034	0.00168	2.38	97633	164	487733	6967353	71.36
1960	10-14	0.00030	0.00148	2.62	97468	144	486999	6479620	66.48
1960	15-19	0.00053	0.00263	2.74	97324	256	486044	5992621	61.57
1960	20-24	0.00067	0.00334	2.53	97068	324	484542	5506577	56.73
1960	25-29	0.00078	0.00390	2.56	96744	378	482799	5022035	51.91
1960	30-34	0.00113	0.00563	2.61	96367	542	480536	4539236	47.10
1960	35-39	0.00166	0.00828	2.68	95824	793	477279	4058700	42.36
1960	40-44	0.00265	0.01316	2.7	95031	1250	472284	3581421	37.69
1960	45-49	0.00402	0.01993	2.63	93780	1869	464474	3109137	33.15
1960	50-54	0.00598	0.02946	2.61	91912	2708	453073	2644662	28.77
1960	55-59	0.00857	0.04199	2.65	89204	3746	437227	2191590	24.57
1960	60-64	0.01265	0.06141	2.65	85458	5248	414975	1754362	20.53
1960	65-69	0.02006	0.09578	2.65	80210	7683	383027	1339387	16.70
1960	70-74	0.03227	0.15000	2.65	72528	10879	337093	956360	13.19
1960	75-79	0.05594	0.24687	2.62	61649	15219	272069	619268	10.05
1960	80-84	0.09012	0.36848	2.53	46430	17108	189837	347198	7.48
1960	85-89	0.14778	0.53417	2.41	29321	15662	105983	157361	5.37
1960	90-94	0.23947	0.71127	2.15	13659	9715	40569	51378	3.76
1960	95-99	0.34834	0.84363	1.94	3944	3327	9551	10809	2.74
1960	100-104	0.48195	0.92578	1.67	617	571	1185	1258	2.04
1960	105-109	0.61912	0.96552	1.44	46	44	71	74	1.61
1960	110+	0.72484	1.00000	1.38	2	2	2	2	1.38
1961	0	0.02046	0.02009	0.11	100000	2009	98213	7484050	74.84
1961	1-4	0.00086	0.00344	1.6	97991	337	391156	7385838	75.37
1961	5-9	0.00036	0.00179	2.16	97654	175	487773	6994681	71.63
1961	10-14	0.00030	0.00149	2.56	97479	145	487042	6506908	66.75
1961	15-19	0.00050	0.00249	2.79	97334	242	486135	6019867	61.85
1961	20-24	0.00072	0.00361	2.55	97092	350	484599	5533731	56.99
1961	25-29	0.00076	0.00377	2.63	96741	365	482842	5049132	52.19
1961	30-34	0.00112	0.00559	2.6	96376	539	480592	4566290	47.38
1961	35-39	0.00164	0.00819	2.63	95838	785	477331	4085698	42.63
1961	40-44	0.00247	0.01230	2.69	95053	1169	472566	3608367	37.96
1961	45-49	0.00399	0.01976	2.68	93884	1855	465126	3135801	33.40
1961	50-54	0.00610	0.03005	2.65	92029	2765	453646	2670675	29.02
1961	55-59	0.00816	0.04002	2.61	89264	3573	437781	2217029	24.84
1961	60-64	0.01230	0.05978	2.65	85692	5123	416424	1779247	20.76
1961	65-69	0.01925	0.09205	2.62	80569	7416	385209	1362823	16.92
1961	70-74	0.03136	0.14604	2.65	73153	10683	340614	977614	13.36
1961	75-79	0.05314	0.23557	2.59	62470	14716	276932	637000	10.20
1961	80-84	0.08844	0.36346	2.55	47753	17357	196258	360068	7.54
1961	85-89	0.15005	0.53821	2.37	30397	16360	109028	163809	5.39
1961	90-94	0.22803	0.69445	2.19	14037	9748	42748	54781	3.90
1961	95-99	0.33941	0.83539	1.96	4289	3583	10557	12033	2.81
1961	100-104	0.46957	0.92025	1.7	706	650	1384	1476	2.09
1961	105-109	0.60480	0.96254	1.46	56	54	90	93	1.64
1961	110+	0.71026	1.00000	1.41	2	2	3	3	1.41
1962	0	0.01988	0.01953	0.11	100000	1953	98259	7482770	74.83
1962	1-4	0.00079	0.00317	1.62	98047	310	391449	7384511	75.32
1962	5-9	0.00035	0.00175	2.27	97737	171	488215	6993062	71.55
1962	10-14	0.00026	0.00129	2.55	97565	126	487517	6504847	66.67
1962	15-19	0.00051	0.00253	2.75	97439	246	486641	6017330	61.75
1962	20-24	0.00069	0.00344	2.5	97193	334	485128	5530689	56.90
1962	25-29	0.00080	0.00400	2.58	96859	387	483357	5045561	52.09
1962	30-34	0.00114	0.00570	2.67	96472	550	481075	4562204	47.29
1962	35-39	0.00171	0.00854	2.68	95922	819	477705	4081129	42.55
1962	40-44	0.00263	0.01306	2.73	95103	1242	472692	3603424	37.89
1962	45-49	0.00413	0.02043	2.69	93860	1918	464875	3130732	33.36
1962	50-54	0.00599	0.02953	2.65	91943	2715	453337	2665857	28.99
1962	55-59	0.00837	0.04101	2.61	89228	3659	437400	2212520	24.80
1962	60-64	0.01271	0.06175	2.68	85569	5284	415569	1775120	20.74
1962	65-69	0.01925	0.09203	2.62	80285	7388	383811	1359551	16.93
1962	70-74	0.03162	0.14720	2.66	72896	10730	339332	975740	13.39
1962	75-79	0.05364	0.23785	2.62	62166	14786	275667	636408	10.24
1962	80-84	0.08809	0.36227	2.55	47380	17164	194847	360742	7.61
1962	85-89	0.14580	0.52864	2.4	30216	15973	109553	165895	5.49
1962	90-94	0.22438	0.69058	2.22	14242	9835	43834	56342	3.96
1962	95-99	0.33495	0.83121	1.97	4407	3663	10936	12509	2.84
1962	100-104	0.46405	0.91770	1.71	744	683	1471	1573	2.11
1962	105-109	0.59890	0.96126	1.47	61	59	98	102	1.66
1962	110+	0.70454	1.00000	1.42	2	2	3	3	1.42
1963	0	0.01911	0.01879	0.11	100000	1879	98321	7477267	74.77
1963	1-4	0.00083	0.00331	1.64	98121	324	391719	7378946	75.20
1963	5-9	0.00034	0.00170	2.15	97796	167	488507	6987227	71.45
1963	10-14	0.00026	0.00129	2.7	97630	126	487859	6498721	66.56
1963	15-19	0.00051	0.00254	2.81	97504	248	486973	6010861	61.65
1963	20-24	0.00072	0.00357	2.56	97255	347	485431	5523888	56.80
1963	25-29	0.00083	0.00415	2.54	96908	402	483551	5038457	51.99
1963	30-34	0.00117	0.00584	2.59	96506	563	481169	4554907	47.20
1963	35-39	0.00175	0.00873	2.67	95942	837	477759	4073738	42.46
1963	40-44	0.00266	0.01320	2.71	95105	1255	472658	3595978	37.81
1963	45-49	0.00417	0.02065	2.66	93850	1938	464711	3123320	33.28
1963	50-54	0.00605	0.02982	2.66	91912	2741	453140	2658610	28.93
1963	55-59	0.00864	0.04235	2.63	89171	3777	436884	2205470	24.73
1963	60-64	0.01273	0.06181	2.64	85394	5279	414530	1768586	20.71
1963	65-69	0.01965	0.09383	2.61	80115	7517	382612	1354055	16.90
1963	70-74	0.03154	0.14666	2.62	72598	10647	337610	971444	13.38
1963	75-79	0.05217	0.23136	2.56	61951	14333	274757	633834	10.23
1963	80-84	0.08925	0.36647	2.56	47618	17451	195526	359077	7.54
1963	85-89	0.14668	0.52973	2.38	30167	15980	108945	163551	5.42
1963	90-94	0.23227	0.70190	2.18	14187	9958	42870	54607	3.85
1963	95-99	0.34348	0.83927	1.95	4229	3549	10333	11737	2.78
1963	100-104	0.47578	0.92311	1.69	680	627	1319	1404	2.07
1963	105-109	0.61243	0.96418	1.45	52	50	82	85	1.62
1963	110+	0.71834	1.00000	1.39	2	2	3	3	1.39
1964	0	0.01882	0.01851	0.11	100000	1851	98345	7482133	74.82
1964	1-4	0.00085	0.00339	1.61	98149	332	391804	7383788	75.23
1964	5-9	0.00036	0.00178	2.18	97817	174	488593	6991984	71.48
1964	10-14	0.00029	0.00144	2.53	97643	140	487866	6503392	66.60
1964	15-19	0.00055	0.00274	2.75	97502	267	486912	6015526	61.70
1964	20-24	0.00077	0.00383	2.68	97235	372	485314	5528614	56.86
1964	25-29	0.00087	0.00435	2.46	96863	421	483247	5043300	52.07
1964	30-34	0.00114	0.00569	2.58	96442	549	480884	4560053	47.28
1964	35-39	0.00169	0.00841	2.74	95893	806	477640	4079170	42.54
1964	40-44	0.00260	0.01290	2.64	95087	1226	472545	3601529	37.88
1964	45-49	0.00408	0.02020	2.66	93861	1896	464861	3128985	33.34
1964	50-54	0.00617	0.03042	2.65	91965	2798	453245	2664123	28.97
1964	55-59	0.00860	0.04217	2.66	89167	3760	437049	2210878	24.79
1964	60-64	0.01253	0.06086	2.66	85407	5197	414897	1773829	20.77
1964	65-69	0.01950	0.09321	2.64	80210	7476	383371	1358932	16.94
1964	70-74	0.03174	0.14771	2.65	72734	10743	338470	975560	13.41
1964	75-79	0.05134	0.22807	2.56	61990	14138	275391	637090	10.28
1964	80-84	0.08862	0.36412	2.55	47852	17424	196619	361699	7.56
1964	85-89	0.14817	0.53528	2.41	30428	16287	109923	165080	5.43
1964	90-94	0.22775	0.69638	2.21	14140	9847	43237	55158	3.90
1964	95-99	0.34328	0.83913	1.95	4293	3603	10495	11921	2.78
1964	100-104	0.47591	0.92319	1.69	691	638	1340	1426	2.06
1964	105-109	0.61290	0.96429	1.45	53	51	83	86	1.62
1964	110+	0.71901	1.00000	1.39	2	2	3	3	1.39
1965	0	0.01871	0.01841	0.11	100000	1841	98353	7506519	75.07
1965	1-4	0.00079	0.00316	1.7	98159	310	391926	7408165	75.47
1965	5-9	0.00034	0.00169	2.33	97850	166	488805	7016239	71.70
1965	10-14	0.00027	0.00133	2.67	97684	130	488116	6527434	66.82
1965	15-19	0.00053	0.00265	2.8	97554	258	487199	6039318	61.91
1965	20-24	0.00068	0.00340	2.51	97296	330	485654	5552119	57.06
1965	25-29	0.00080	0.00400	2.58	96965	388	483885	5066466	52.25
1965	30-34	0.00119	0.00593	2.67	96577	573	481548	4582581	47.45
1965	35-39	0.00168	0.00839	2.73	96004	805	478193	4101032	42.72
1965	40-44	0.00261	0.01295	2.69	95199	1233	473142	3622839	38.06
1965	45-49	0.00414	0.02049	2.68	93966	1925	465365	3149697	33.52
1965	50-54	0.00614	0.03023	2.62	92041	2783	453577	2684333	29.16
1965	55-59	0.00857	0.04199	2.63	89258	3748	437408	2230755	24.99
1965	60-64	0.01246	0.06054	2.64	85510	5177	415334	1793347	20.97
1965	65-69	0.01883	0.09014	2.65	80333	7242	384652	1378013	17.15
1965	70-74	0.03107	0.14470	2.63	73091	10576	340373	993361	13.59
1965	75-79	0.05098	0.22665	2.56	62515	14169	277954	652989	10.45
1965	80-84	0.08523	0.35273	2.56	48346	17053	200077	375034	7.76
1965	85-89	0.14298	0.52207	2.42	31293	16337	114258	174958	5.59
1965	90-94	0.21682	0.67652	2.22	14956	10118	46664	60699	4.06
1965	95-99	0.32668	0.82326	1.99	4838	3983	12192	14035	2.90
1965	100-104	0.45432	0.91306	1.73	855	781	1718	1844	2.16
1965	105-109	0.58890	0.95901	1.48	74	71	121	125	1.69
1965	110+	0.69510	1.00000	1.44	3	3	4	4	1.44
1966	0	0.01788	0.01760	0.1	100000	1760	98422	7493038	74.93
1966	1-4	0.00080	0.00320	1.62	98240	314	392214	7394616	75.27
1966	5-9	0.00035	0.00177	2.21	97926	173	489147	7002402	71.51
1966	10-14	0.00031	0.00155	2.51	97753	152	488386	6513255	66.63
1966	15-19	0.00055	0.00273	2.79	97601	267	487415	6024870	61.73
1966	20-24	0.00068	0.00338	2.53	97334	329	485857	5537455	56.89
1966	25-29	0.00090	0.00449	2.59	97005	436	483974	5051597	52.08
1966	30-34	0.00122	0.00609	2.61	96569	588	481440	4567624	47.30
1966	35-39	0.00170	0.00845	2.73	95982	811	478067	4086184	42.57
1966	40-44	0.00268	0.01334	2.7	95171	1269	472938	3608116	37.91
1966	45-49	0.00404	0.01999	2.65	93901	1877	465089	3135178	33.39
