Div9: Pacific, Lifetables (period 5x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02494	0.02440	0.11	100000	2440	97833	6775725	67.76
1960-1969	1-4	0.00100	0.00399	1.64	97560	390	389321	6677892	68.45
1960-1969	5-9	0.00048	0.00239	2.32	97170	233	485229	6288571	64.72
1960-1969	10-14	0.00046	0.00230	2.74	96938	223	484184	5803342	59.87
1960-1969	15-19	0.00133	0.00662	2.87	96715	640	482211	5319158	55.00
1960-1969	20-24	0.00185	0.00919	2.48	96075	883	478143	4836947	50.35
1960-1969	25-29	0.00174	0.00868	2.52	95192	826	473907	4358803	45.79
1960-1969	30-34	0.00197	0.00979	2.59	94365	923	469604	3884897	41.17
1960-1969	35-39	0.00271	0.01348	2.66	93442	1260	464266	3415292	36.55
1960-1969	40-44	0.00428	0.02118	2.69	92182	1952	456403	2951027	32.01
1960-1969	45-49	0.00686	0.03379	2.68	90230	3048	444067	2494624	27.65
1960-1969	50-54	0.01120	0.05457	2.67	87181	4757	424809	2050557	23.52
1960-1969	55-59	0.01758	0.08441	2.64	82424	6958	395685	1625748	19.72
1960-1969	60-64	0.02655	0.12483	2.61	75466	9420	354858	1230063	16.30
1960-1969	65-69	0.03939	0.17968	2.56	66046	11867	301270	875205	13.25
1960-1969	70-74	0.05713	0.25044	2.54	54179	13569	237525	573934	10.59
1960-1969	75-79	0.08238	0.34105	2.48	40610	13850	168133	336409	8.28
1960-1969	80-84	0.12299	0.46715	2.43	26760	12501	101638	168277	6.29
1960-1969	85-89	0.18475	0.61480	2.28	14259	8766	47450	66638	4.67
1960-1969	90-94	0.26490	0.74879	2.1	5493	4113	15526	19189	3.49
1960-1969	95-99	0.36301	0.85322	1.89	1380	1177	3243	3663	2.65
1960-1969	100-104	0.47512	0.92095	1.68	203	187	393	420	2.07
1960-1969	105-109	0.59028	0.95833	1.48	16	15	26	27	1.68
1960-1969	110+	0.68127	1.00000	1.47	1	1	1	1	1.47
1970-1979	0	0.01649	0.01625	0.09	100000	1625	98520	6974886	69.75
1970-1979	1-4	0.00083	0.00333	1.7	98375	327	392748	6876366	69.90
1970-1979	5-9	0.00041	0.00205	2.31	98048	201	489698	6483618	66.13
1970-1979	10-14	0.00041	0.00207	2.78	97847	202	488786	5993920	61.26
1970-1979	15-19	0.00149	0.00744	2.95	97645	726	486733	5505134	56.38
1970-1979	20-24	0.00210	0.01044	2.47	96919	1012	482032	5018401	51.78
1970-1979	25-29	0.00194	0.00965	2.48	95907	925	477201	4536369	47.30
