USA: United States of America, Lifetables (period 5x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02576	0.02519	0.12	100000	2519	97783	7007700	70.08
1960-1964	1-4	0.00101	0.00404	1.6	97481	394	388977	6909917	70.88
1960-1964	5-9	0.00046	0.00228	2.29	97087	221	484836	6520940	67.17
1960-1964	10-14	0.00042	0.00212	2.69	96866	205	483853	6036104	62.31
1960-1964	15-19	0.00091	0.00455	2.79	96660	440	482328	5552251	57.44
1960-1964	20-24	0.00124	0.00616	2.51	96220	593	479626	5069923	52.69
1960-1964	25-29	0.00130	0.00649	2.54	95628	621	476611	4590297	48.00
1960-1964	30-34	0.00163	0.00810	2.62	95007	769	473204	4113686	43.30
1960-1964	35-39	0.00237	0.01178	2.67	94238	1110	468598	3640482	38.63
1960-1964	40-44	0.00365	0.01812	2.68	93127	1687	461717	3171884	34.06
1960-1964	45-49	0.00582	0.02871	2.68	91440	2625	451100	2710167	29.64
1960-1964	50-54	0.00927	0.04534	2.65	88815	4027	434610	2259067	25.44
1960-1964	55-59	0.01381	0.06688	2.63	84788	5670	410525	1824456	21.52
1960-1964	60-64	0.02076	0.09892	2.62	79118	7826	376992	1413931	17.87
1960-1964	65-69	0.03119	0.14501	2.58	71291	10338	331412	1036940	14.55
1960-1964	70-74	0.04671	0.20978	2.57	60953	12787	273731	705528	11.57
1960-1964	75-79	0.06975	0.29732	2.52	48167	14321	205309	431797	8.96
1960-1964	80-84	0.11096	0.43307	2.47	33846	14658	132101	226488	6.69
1960-1964	85-89	0.17210	0.58848	2.31	19188	11292	65612	94387	4.92
1960-1964	90-94	0.25078	0.72925	2.13	7896	5758	22962	28775	3.64
1960-1964	95-99	0.35279	0.84552	1.92	2138	1808	5124	5813	2.72
1960-1964	100-104	0.47084	0.91968	1.69	330	304	645	690	2.09
1960-1964	105-109	0.59346	0.95946	1.47	27	25	43	44	1.68
