PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,f,1959,0,0.02354,0.02306,0.12,100000,2306,97968,7333992,73.34
USA,f,1959,1,0.00161,0.00161,0.5,97694,158,97615,7236024,74.07
USA,f,1959,2,0.00093,0.00093,0.5,97537,91,97491,7138408,73.19
USA,f,1959,3,0.00070,0.00070,0.5,97446,69,97411,7040917,72.25
USA,f,1959,4,0.00062,0.00062,0.5,97377,60,97347,6943506,71.31
USA,f,1959,5,0.00052,0.00052,0.5,97317,51,97292,6846159,70.35
USA,f,1959,6,0.00046,0.00046,0.5,97266,45,97244,6748867,69.39
USA,f,1959,7,0.00040,0.00040,0.5,97221,39,97202,6651623,68.42
USA,f,1959,8,0.00033,0.00033,0.5,97182,32,97166,6554421,67.44
USA,f,1959,9,0.00033,0.00033,0.5,97150,32,97134,6457255,66.47
USA,f,1959,10,0.00030,0.00030,0.5,97118,29,97104,6360121,65.49
USA,f,1959,11,0.00030,0.00030,0.5,97090,29,97075,6263017,64.51
USA,f,1959,12,0.00035,0.00035,0.5,97060,34,97043,6165942,63.53
USA,f,1959,13,0.00030,0.00030,0.5,97026,29,97011,6068899,62.55
USA,f,1959,14,0.00039,0.00039,0.5,96997,37,96978,5971888,61.57
USA,f,1959,15,0.00047,0.00047,0.5,96959,45,96936,5874910,60.59
USA,f,1959,16,0.00052,0.00052,0.5,96914,50,96889,5777974,59.62
USA,f,1959,17,0.00055,0.00055,0.5,96864,53,96837,5681085,58.65
USA,f,1959,18,0.00061,0.00061,0.5,96811,59,96781,5584248,57.68
USA,f,1959,19,0.00063,0.00063,0.5,96752,61,96722,5487467,56.72
USA,f,1959,20,0.00070,0.00070,0.5,96691,68,96657,5390745,55.75
USA,f,1959,21,0.00066,0.00066,0.5,96623,64,96592,5294088,54.79
USA,f,1959,22,0.00071,0.00071,0.5,96560,69,96525,5197496,53.83
USA,f,1959,23,0.00068,0.00068,0.5,96491,66,96458,5100971,52.86
USA,f,1959,24,0.00077,0.00077,0.5,96425,74,96388,5004513,51.90
USA,f,1959,25,0.00082,0.00082,0.5,96351,79,96311,4908125,50.94
USA,f,1959,26,0.00084,0.00084,0.5,96271,81,96231,4811814,49.98
USA,f,1959,27,0.00083,0.00083,0.5,96190,80,96150,4715583,49.02
USA,f,1959,28,0.00090,0.00090,0.5,96111,87,96067,4619433,48.06
USA,f,1959,29,0.00097,0.00097,0.5,96024,93,95977,4523365,47.11
USA,f,1959,30,0.00103,0.00103,0.5,95931,99,95881,4427388,46.15
USA,f,1959,31,0.00115,0.00115,0.5,95832,110,95777,4331507,45.20
USA,f,1959,32,0.00129,0.00128,0.5,95722,123,95660,4235730,44.25
USA,f,1959,33,0.00135,0.00135,0.5,95599,129,95534,4140070,43.31
USA,f,1959,34,0.00139,0.00139,0.5,95470,133,95404,4044536,42.36
USA,f,1959,35,0.00146,0.00146,0.5,95337,139,95268,3949132,41.42
USA,f,1959,36,0.00163,0.00163,0.5,95198,156,95120,3853864,40.48
USA,f,1959,37,0.00170,0.00169,0.5,95043,161,94962,3758744,39.55
USA,f,1959,38,0.00198,0.00198,0.5,94882,188,94788,3663782,38.61
USA,f,1959,39,0.00215,0.00214,0.5,94694,203,94592,3568994,37.69
USA,f,1959,40,0.00232,0.00232,0.5,94491,219,94381,3474401,36.77
USA,f,1959,41,0.00243,0.00243,0.5,94271,229,94157,3380020,35.85
USA,f,1959,42,0.00276,0.00276,0.5,94043,259,93913,3285863,34.94
USA,f,1959,43,0.00294,0.00294,0.5,93783,276,93646,3191950,34.04
USA,f,1959,44,0.00317,0.00317,0.5,93508,296,93360,3098305,33.13
USA,f,1959,45,0.00348,0.00348,0.5,93212,324,93050,3004945,32.24
USA,f,1959,46,0.00378,0.00378,0.5,92888,351,92712,2911895,31.35
USA,f,1959,47,0.00413,0.00412,0.5,92537,381,92346,2819183,30.47
USA,f,1959,48,0.00474,0.00473,0.5,92156,436,91938,2726836,29.59
USA,f,1959,49,0.00501,0.00500,0.5,91720,458,91490,2634899,28.73
USA,f,1959,50,0.00554,0.00553,0.5,91261,504,91009,2543408,27.87
