USA: United States of America, Lifetables (period 1x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02118	0.02079	0.11	100000	2079	98154	7386321	73.86
1960-1969	1	0.00145	0.00145	0.5	97921	142	97850	7288166	74.43
1960-1969	2	0.00087	0.00087	0.5	97779	85	97736	7190317	73.54
1960-1969	3	0.00066	0.00066	0.5	97694	64	97662	7092580	72.60
1960-1969	4	0.00055	0.00055	0.5	97630	53	97603	6994918	71.65
1960-1969	5	0.00048	0.00048	0.5	97576	47	97553	6897315	70.69
1960-1969	6	0.00041	0.00041	0.5	97529	40	97509	6799763	69.72
1960-1969	7	0.00037	0.00037	0.5	97489	36	97472	6702254	68.75
1960-1969	8	0.00033	0.00033	0.5	97454	32	97438	6604782	67.77
1960-1969	9	0.00029	0.00029	0.5	97422	29	97408	6507344	66.80
1960-1969	10	0.00028	0.00028	0.5	97393	27	97380	6409937	65.82
1960-1969	11	0.00029	0.00029	0.5	97366	28	97352	6312557	64.83
1960-1969	12	0.00030	0.00030	0.5	97338	29	97324	6215205	63.85
1960-1969	13	0.00032	0.00032	0.5	97309	31	97294	6117881	62.87
1960-1969	14	0.00036	0.00036	0.5	97278	35	97261	6020587	61.89
1960-1969	15	0.00043	0.00043	0.5	97244	42	97223	5923326	60.91
1960-1969	16	0.00050	0.00050	0.5	97202	49	97178	5826103	59.94
1960-1969	17	0.00057	0.00057	0.5	97153	56	97125	5728926	58.97
1960-1969	18	0.00064	0.00064	0.5	97097	63	97066	5631801	58.00
1960-1969	19	0.00067	0.00067	0.5	97035	65	97002	5534735	57.04
1960-1969	20	0.00067	0.00067	0.5	96969	65	96937	5437732	56.08
1960-1969	21	0.00071	0.00071	0.5	96904	69	96870	5340796	55.11
1960-1969	22	0.00072	0.00072	0.5	96835	69	96800	5243926	54.15
1960-1969	23	0.00072	0.00072	0.5	96766	70	96731	5147126	53.19
1960-1969	24	0.00076	0.00076	0.5	96696	74	96659	5050395	52.23
1960-1969	25	0.00081	0.00081	0.5	96622	78	96583	4953736	51.27
1960-1969	26	0.00081	0.00081	0.5	96544	78	96505	4857153	50.31
1960-1969	27	0.00086	0.00086	0.5	96466	83	96424	4760648	49.35
