PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Reg1,b,1960-1969,0,0.02290,0.02244,0.11,100000,2244,98007,7022998,70.23
Reg1,b,1960-1969,1,0.00123,0.00123,0.5,97756,121,97696,6924991,70.84
Reg1,b,1960-1969,2,0.00081,0.00081,0.5,97635,79,97596,6827296,69.93
Reg1,b,1960-1969,3,0.00065,0.00065,0.5,97556,63,97524,6729700,68.98
Reg1,b,1960-1969,4,0.00056,0.00056,0.5,97493,54,97466,6632176,68.03
Reg1,b,1960-1969,5,0.00050,0.00050,0.5,97439,48,97414,6534710,67.06
Reg1,b,1960-1969,6,0.00045,0.00045,0.5,97390,44,97368,6437296,66.10
Reg1,b,1960-1969,7,0.00040,0.00040,0.5,97347,39,97327,6339928,65.13
Reg1,b,1960-1969,8,0.00036,0.00036,0.5,97307,35,97290,6242601,64.15
Reg1,b,1960-1969,9,0.00033,0.00033,0.5,97273,32,97257,6145311,63.18
Reg1,b,1960-1969,10,0.00031,0.00031,0.5,97240,30,97225,6048054,62.20
Reg1,b,1960-1969,11,0.00032,0.00032,0.5,97210,31,97195,5950829,61.22
Reg1,b,1960-1969,12,0.00033,0.00033,0.5,97179,32,97163,5853634,60.24
Reg1,b,1960-1969,13,0.00038,0.00038,0.5,97147,37,97129,5756471,59.26
Reg1,b,1960-1969,14,0.00043,0.00043,0.5,97110,42,97090,5659343,58.28
Reg1,b,1960-1969,15,0.00053,0.00053,0.5,97069,51,97043,5562253,57.30
Reg1,b,1960-1969,16,0.00066,0.00066,0.5,97018,64,96986,5465210,56.33
Reg1,b,1960-1969,17,0.00081,0.00081,0.5,96954,79,96914,5368224,55.37
Reg1,b,1960-1969,18,0.00098,0.00098,0.5,96875,95,96828,5271310,54.41
Reg1,b,1960-1969,19,0.00106,0.00106,0.5,96780,102,96729,5174482,53.47
Reg1,b,1960-1969,20,0.00105,0.00105,0.5,96678,101,96627,5077753,52.52
Reg1,b,1960-1969,21,0.00112,0.00112,0.5,96576,109,96522,4981126,51.58
Reg1,b,1960-1969,22,0.00112,0.00112,0.5,96468,108,96414,4884604,50.63
Reg1,b,1960-1969,23,0.00109,0.00109,0.5,96360,105,96307,4788190,49.69
Reg1,b,1960-1969,24,0.00110,0.00110,0.5,96255,106,96202,4691883,48.74
Reg1,b,1960-1969,25,0.00113,0.00113,0.5,96149,108,96095,4595681,47.80
Reg1,b,1960-1969,26,0.00112,0.00112,0.5,96041,107,95987,4499586,46.85
Reg1,b,1960-1969,27,0.00117,0.00117,0.5,95933,112,95877,4403599,45.90
Reg1,b,1960-1969,28,0.00122,0.00122,0.5,95821,116,95763,4307722,44.96
Reg1,b,1960-1969,29,0.00124,0.00124,0.5,95705,119,95645,4211959,44.01
Reg1,b,1960-1969,30,0.00134,0.00134,0.5,95586,128,95522,4116314,43.06
Reg1,b,1960-1969,31,0.00139,0.00139,0.5,95458,133,95392,4020792,42.12
Reg1,b,1960-1969,32,0.00147,0.00147,0.5,95325,140,95255,3925401,41.18
Reg1,b,1960-1969,33,0.00156,0.00156,0.5,95185,148,95111,3830146,40.24
Reg1,b,1960-1969,34,0.00170,0.00170,0.5,95037,162,94956,3735034,39.30
Reg1,b,1960-1969,35,0.00189,0.00189,0.5,94875,179,94786,3640078,38.37
Reg1,b,1960-1969,36,0.00198,0.00198,0.5,94696,188,94602,3545293,37.44
Reg1,b,1960-1969,37,0.00219,0.00219,0.5,94508,207,94405,3450690,36.51
Reg1,b,1960-1969,38,0.00244,0.00244,0.5,94301,230,94186,3356285,35.59
Reg1,b,1960-1969,39,0.00264,0.00263,0.5,94071,248,93947,3262099,34.68
Reg1,b,1960-1969,40,0.00293,0.00293,0.5,93823,275,93686,3168152,33.77
Reg1,b,1960-1969,41,0.00310,0.00310,0.5,93549,290,93404,3074466,32.86
Reg1,b,1960-1969,42,0.00356,0.00355,0.5,93259,331,93093,2981062,31.97
Reg1,b,1960-1969,43,0.00380,0.00379,0.5,92928,352,92752,2887969,31.08
Reg1,b,1960-1969,44,0.00411,0.00411,0.5,92575,380,92385,2795217,30.19
Reg1,b,1960-1969,45,0.00467,0.00466,0.5,92195,430,91980,2702832,29.32
Reg1,b,1960-1969,46,0.00506,0.00505,0.5,91765,463,91534,2610851,28.45
Reg1,b,1960-1969,47,0.00565,0.00564,0.5,91302,515,91045,2519317,27.59
Reg1,b,1960-1969,48,0.00618,0.00616,0.5,90788,559,90508,2428272,26.75
Reg1,b,1960-1969,49,0.00679,0.00677,0.5,90229,611,89923,2337764,25.91
Reg1,b,1960-1969,50,0.00771,0.00768,0.5,89618,688,89274,2247841,25.08
Reg1,b,1960-1969,51,0.00815,0.00812,0.5,88930,722,88569,2158567,24.27
Reg1,b,1960-1969,52,0.00921,0.00917,0.5,88208,809,87803,2069998,23.47
Reg1,b,1960-1969,53,0.00996,0.00991,0.5,87399,867,86966,1982195,22.68
Reg1,b,1960-1969,54,0.01089,0.01083,0.5,86532,937,86064,1895229,21.90
Reg1,b,1960-1969,55,0.01176,0.01169,0.5,85596,1001,85095,1809165,21.14
Reg1,b,1960-1969,56,0.01284,0.01276,0.5,84595,1079,84055,1724070,20.38
Reg1,b,1960-1969,57,0.01404,0.01394,0.5,83516,1164,82934,1640015,19.64
Reg1,b,1960-1969,58,0.01541,0.01530,0.5,82352,1260,81722,1557081,18.91
Reg1,b,1960-1969,59,0.01667,0.01653,0.5,81092,1341,80422,1475359,18.19
Reg1,b,1960-1969,60,0.01828,0.01811,0.5,79751,1444,79029,1394938,17.49
Reg1,b,1960-1969,61,0.01933,0.01914,0.5,78307,1499,77557,1315909,16.80
Reg1,b,1960-1969,62,0.02221,0.02197,0.5,76808,1687,75964,1238351,16.12
Reg1,b,1960-1969,63,0.02331,0.02305,0.5,75121,1731,74255,1162387,15.47
Reg1,b,1960-1969,64,0.02507,0.02476,0.5,73389,1817,72481,1088132,14.83
Reg1,b,1960-1969,65,0.02846,0.02806,0.5,71572,2008,70568,1015651,14.19
Reg1,b,1960-1969,66,0.02922,0.02880,0.5,69564,2003,68562,945083,13.59
Reg1,b,1960-1969,67,0.03300,0.03247,0.5,67560,2193,66464,876521,12.97
Reg1,b,1960-1969,68,0.03548,0.03487,0.5,65367,2279,64228,810057,12.39
Reg1,b,1960-1969,69,0.03774,0.03704,0.5,63088,2337,61920,745830,11.82
Reg1,b,1960-1969,70,0.04265,0.04176,0.5,60751,2537,59483,683910,11.26
Reg1,b,1960-1969,71,0.04345,0.04252,0.5,58215,2475,56977,624427,10.73
Reg1,b,1960-1969,72,0.05108,0.04981,0.5,55739,2776,54351,567450,10.18
Reg1,b,1960-1969,73,0.05397,0.05255,0.5,52963,2783,51571,513099,9.69
Reg1,b,1960-1969,74,0.05854,0.05688,0.5,50180,2854,48753,461528,9.20
Reg1,b,1960-1969,75,0.06540,0.06333,0.5,47326,2997,45827,412775,8.72
Reg1,b,1960-1969,76,0.06832,0.06606,0.5,44328,2928,42864,366948,8.28
Reg1,b,1960-1969,77,0.07302,0.07045,0.5,41400,2917,39942,324084,7.83
Reg1,b,1960-1969,78,0.08180,0.07858,0.5,38483,3024,36971,284142,7.38
Reg1,b,1960-1969,79,0.08712,0.08349,0.5,35459,2960,33979,247171,6.97
Reg1,b,1960-1969,80,0.10091,0.09606,0.5,32499,3122,30938,213192,6.56
Reg1,b,1960-1969,81,0.10211,0.09715,0.5,29377,2854,27950,182254,6.20
