Reg2: , Lifetables (period 5x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02346	0.02298	0.11	100000	2298	97963	7069274	70.69
1960-1964	1-4	0.00090	0.00358	1.62	97702	350	389974	6971311	71.35
1960-1964	5-9	0.00043	0.00215	2.31	97352	209	486197	6581337	67.60
1960-1964	10-14	0.00041	0.00207	2.69	97143	201	485250	6095140	62.74
1960-1964	15-19	0.00090	0.00447	2.76	96942	434	483741	5609890	57.87
1960-1964	20-24	0.00117	0.00585	2.49	96508	564	481123	5126149	53.12
1960-1964	25-29	0.00116	0.00580	2.53	95944	557	478344	4645026	48.41
1960-1964	30-34	0.00145	0.00723	2.62	95388	690	475298	4166681	43.68
1960-1964	35-39	0.00213	0.01060	2.67	94698	1004	471148	3691384	38.98
1960-1964	40-44	0.00332	0.01648	2.68	93694	1544	464882	3220235	34.37
1960-1964	45-49	0.00536	0.02647	2.68	92150	2440	455097	2755353	29.90
1960-1964	50-54	0.00872	0.04271	2.66	89711	3832	439570	2300256	25.64
1960-1964	55-59	0.01317	0.06385	2.64	85879	5484	416477	1860687	21.67
1960-1964	60-64	0.01986	0.09482	2.62	80396	7623	383860	1444210	17.96
1960-1964	65-69	0.03016	0.14061	2.6	72772	10233	339252	1060350	14.57
1960-1964	70-74	0.04625	0.20801	2.58	62540	13009	281281	721097	11.53
1960-1964	75-79	0.07037	0.29969	2.53	49531	14844	210955	439816	8.88
1960-1964	80-84	0.11233	0.43734	2.47	34687	15170	135050	228862	6.60
1960-1964	85-89	0.17605	0.59760	2.31	19517	11663	66252	93812	4.81
1960-1964	90-94	0.26148	0.74588	2.12	7854	5858	22403	27560	3.51
1960-1964	95-99	0.37298	0.86252	1.88	1996	1721	4615	5157	2.58
1960-1964	100-104	0.49909	0.93185	1.64	274	256	512	542	1.98
1960-1964	105-109	0.62673	0.96660	1.42	19	18	29	30	1.59
1960-1964	110+	0.72522	1.00000	1.38	1	1	1	1	1.38
1965-1969	0	0.02173	0.02131	0.11	100000	2131	98100	7074615	70.75
1965-1969	1-4	0.00084	0.00334	1.65	97869	327	390707	6976515	71.28
1965-1969	5-9	0.00042	0.00210	2.31	97541	205	487156	6585808	67.52
1965-1969	10-14	0.00040	0.00200	2.71	97337	194	486238	6098653	62.66
1965-1969	15-19	0.00107	0.00533	2.86	97142	518	484604	5612414	57.78
1965-1969	20-24	0.00130	0.00649	2.49	96625	627	481548	5127811	53.07
1965-1969	25-29	0.00129	0.00643	2.52	95998	618	478459	4646263	48.40
1965-1969	30-34	0.00156	0.00777	2.61	95380	741	475129	4167804	43.70
1965-1969	35-39	0.00225	0.01121	2.67	94639	1061	470722	3692675	39.02
1965-1969	40-44	0.00351	0.01738	2.67	93578	1627	464104	3221953	34.43
1965-1969	45-49	0.00549	0.02708	2.66	91951	2490	453932	2757848	29.99
1965-1969	50-54	0.00866	0.04245	2.66	89461	3798	438434	2303917	25.75
1965-1969	55-59	0.01325	0.06426	2.64	85664	5505	415354	1865483	21.78
1965-1969	60-64	0.02010	0.09592	2.62	80159	7689	382464	1450129	18.09
1965-1969	65-69	0.02977	0.13893	2.6	72470	10068	338148	1067665	14.73
1965-1969	70-74	0.04521	0.20381	2.59	62402	12718	281315	729517	11.69
1965-1969	75-79	0.06958	0.29687	2.53	49683	14750	211991	448202	9.02
1965-1969	80-84	0.10845	0.42548	2.47	34934	14864	137061	236210	6.76
1965-1969	85-89	0.16937	0.58259	2.32	20070	11693	69035	99149	4.94
1965-1969	90-94	0.25435	0.73660	2.14	8377	6171	24261	30114	3.59
1965-1969	95-99	0.36228	0.85406	1.91	2207	1885	5202	5853	2.65
1965-1969	100-104	0.48704	0.92708	1.66	322	299	613	651	2.02
1965-1969	105-109	0.61489	0.96430	1.44	23	23	37	38	1.62
1965-1969	110+	0.71443	1.00000	1.4	1	1	1	1	1.40
1970-1974	0	0.01841	0.01811	0.1	100000	1811	98369	7159980	71.60
1970-1974	1-4	0.00075	0.00299	1.67	98189	293	392074	7061610	71.92
1970-1974	5-9	0.00039	0.00194	2.33	97896	190	488972	6669537	68.13
1970-1974	10-14	0.00039	0.00194	2.73	97706	189	488101	6180564	63.26
1970-1974	15-19	0.00107	0.00534	2.84	97517	521	486459	5692464	58.37
1970-1974	20-24	0.00138	0.00690	2.5	96996	669	483308	5206005	53.67
1970-1974	25-29	0.00128	0.00639	2.51	96326	615	480098	4722697	49.03
1970-1974	30-34	0.00150	0.00746	2.6	95711	714	476844	4242599	44.33
1970-1974	35-39	0.00215	0.01068	2.65	94998	1014	472607	3765755	39.64
1970-1974	40-44	0.00333	0.01651	2.68	93983	1552	466324	3293148	35.04
1970-1974	45-49	0.00532	0.02627	2.66	92432	2428	456480	2826824	30.58
1970-1974	50-54	0.00803	0.03940	2.66	90003	3546	441711	2370344	26.34
1970-1974	55-59	0.01254	0.06092	2.65	86457	5267	419893	1928632	22.31
1970-1974	60-64	0.01910	0.09138	2.63	81190	7419	388366	1508739	18.58
1970-1974	65-69	0.02850	0.13335	2.6	73771	9837	345205	1120373	15.19
1970-1974	70-74	0.04252	0.19279	2.58	63933	12325	289879	775168	12.12
1970-1974	75-79	0.06600	0.28390	2.54	51608	14652	221982	485289	9.40
1970-1974	80-84	0.10069	0.40171	2.48	36956	14846	147440	263307	7.12
1970-1974	85-89	0.15670	0.55379	2.35	22110	12245	78141	115868	5.24
1970-1974	90-94	0.23626	0.70930	2.18	9866	6998	29620	37727	3.82
1970-1974	95-99	0.33729	0.83231	1.96	2868	2387	7077	8107	2.83
1970-1974	100-104	0.45833	0.91434	1.71	481	440	959	1029	2.14
1970-1974	105-109	0.58614	0.95805	1.49	41	39	67	70	1.70
