Reg4: , Lifetables (period 1x5), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02760	0.02695	0.12	100000	2695	97626	6750033	67.50
1960-1964	1	0.00178	0.00177	0.5	97305	173	97219	6652407	68.37
1960-1964	2	0.00116	0.00116	0.5	97133	112	97076	6555188	67.49
1960-1964	3	0.00087	0.00087	0.5	97020	85	96978	6458112	66.56
1960-1964	4	0.00071	0.00071	0.5	96935	69	96901	6361134	65.62
1960-1964	5	0.00059	0.00059	0.5	96867	57	96838	6264233	64.67
1960-1964	6	0.00057	0.00057	0.5	96810	55	96782	6167395	63.71
1960-1964	7	0.00050	0.00050	0.5	96754	48	96730	6070613	62.74
1960-1964	8	0.00045	0.00045	0.5	96706	44	96684	5973883	61.77
1960-1964	9	0.00044	0.00044	0.5	96662	42	96641	5877199	60.80
1960-1964	10	0.00041	0.00041	0.5	96620	40	96600	5780558	59.83
1960-1964	11	0.00043	0.00043	0.5	96580	41	96559	5683958	58.85
1960-1964	12	0.00047	0.00047	0.5	96538	45	96516	5587399	57.88
1960-1964	13	0.00056	0.00056	0.5	96493	54	96466	5490884	56.90
1960-1964	14	0.00062	0.00062	0.5	96439	60	96409	5394418	55.94
1960-1964	15	0.00082	0.00081	0.5	96379	79	96340	5298009	54.97
1960-1964	16	0.00111	0.00111	0.5	96301	107	96247	5201669	54.01
1960-1964	17	0.00134	0.00134	0.5	96194	129	96129	5105422	53.07
1960-1964	18	0.00161	0.00160	0.5	96065	154	95988	5009292	52.14
1960-1964	19	0.00178	0.00178	0.5	95911	170	95826	4913304	51.23
1960-1964	20	0.00187	0.00187	0.5	95741	179	95651	4817478	50.32
1960-1964	21	0.00199	0.00198	0.5	95562	190	95467	4721827	49.41
1960-1964	22	0.00191	0.00190	0.5	95372	182	95281	4626360	48.51
1960-1964	23	0.00193	0.00193	0.5	95191	184	95099	4531078	47.60
1960-1964	24	0.00170	0.00170	0.5	95007	162	94926	4435979	46.69
1960-1964	25	0.00174	0.00173	0.5	94846	164	94763	4341053	45.77
1960-1964	26	0.00176	0.00175	0.5	94681	166	94598	4246290	44.85
1960-1964	27	0.00174	0.00174	0.5	94515	164	94433	4151691	43.93
1960-1964	28	0.00181	0.00181	0.5	94351	171	94265	4057258	43.00
1960-1964	29	0.00180	0.00180	0.5	94180	170	94095	3962993	42.08
1960-1964	30	0.00178	0.00178	0.5	94010	167	93927	3868898	41.15
1960-1964	31	0.00190	0.00190	0.5	93844	178	93755	3774971	40.23
1960-1964	32	0.00200	0.00199	0.5	93666	187	93572	3681216	39.30
1960-1964	33	0.00216	0.00216	0.5	93479	202	93378	3587644	38.38
1960-1964	34	0.00219	0.00218	0.5	93277	204	93175	3494266	37.46
1960-1964	35	0.00230	0.00230	0.5	93073	214	92966	3401091	36.54
1960-1964	36	0.00262	0.00261	0.5	92859	243	92738	3308125	35.63
1960-1964	37	0.00275	0.00275	0.5	92617	255	92490	3215387	34.72
1960-1964	38	0.00298	0.00297	0.5	92362	274	92225	3122897	33.81
1960-1964	39	0.00333	0.00333	0.5	92088	306	91935	3030672	32.91
1960-1964	40	0.00357	0.00356	0.5	91781	327	91618	2938737	32.02
1960-1964	41	0.00378	0.00378	0.5	91455	345	91282	2847119	31.13
1960-1964	42	0.00431	0.00430	0.5	91109	392	90913	2755838	30.25
1960-1964	43	0.00464	0.00463	0.5	90718	420	90507	2664924	29.38
1960-1964	44	0.00540	0.00538	0.5	90297	486	90054	2574417	28.51
1960-1964	45	0.00576	0.00574	0.5	89811	516	89553	2484362	27.66
1960-1964	46	0.00634	0.00632	0.5	89295	565	89013	2394809	26.82
1960-1964	47	0.00697	0.00694	0.5	88731	616	88423	2305796	25.99
1960-1964	48	0.00762	0.00759	0.5	88115	669	87780	2217373	25.16
