PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AK,f,1960-1969,0,0.02754,0.02689,0.13,100000,2689,97661,7303177,73.03
AK,f,1960-1969,1-4,0.00174,0.00694,1.53,97311,675,387577,7205516,74.05
AK,f,1960-1969,5-9,0.00070,0.00349,2.33,96636,337,482280,6817939,70.55
AK,f,1960-1969,10-14,0.00043,0.00216,2.3,96299,208,480935,6335659,65.79
AK,f,1960-1969,15-19,0.00069,0.00347,2.74,96091,333,479704,5854725,60.93
AK,f,1960-1969,20-24,0.00114,0.00567,2.73,95758,543,477555,5375020,56.13
AK,f,1960-1969,25-29,0.00115,0.00573,2.45,95215,546,474684,4897465,51.44
AK,f,1960-1969,30-34,0.00170,0.00845,2.52,94669,800,471362,4422781,46.72
AK,f,1960-1969,35-39,0.00216,0.01074,2.61,93869,1008,466931,3951419,42.10
AK,f,1960-1969,40-44,0.00333,0.01652,2.75,92861,1534,460849,3484488,37.52
AK,f,1960-1969,45-49,0.00474,0.02342,2.56,91327,2139,451423,3023639,33.11
AK,f,1960-1969,50-54,0.00625,0.03081,2.78,89188,2748,439842,2572216,28.84
AK,f,1960-1969,55-59,0.00903,0.04420,2.6,86441,3821,423043,2132374,24.67
AK,f,1960-1969,60-64,0.01325,0.06426,2.66,82620,5309,400685,1709331,20.69
AK,f,1960-1969,65-69,0.02125,0.10111,2.61,77311,7817,367881,1308645,16.93
AK,f,1960-1969,70-74,0.03453,0.16044,2.79,69494,11149,322850,940765,13.54
AK,f,1960-1969,75-79,0.05643,0.24778,2.54,58344,14457,256207,617914,10.59
AK,f,1960-1969,80-84,0.10050,0.39757,2.37,43888,17448,173608,361707,8.24
AK,f,1960-1969,85-89,0.12088,0.45695,2.33,26439,12081,99948,188099,7.11
AK,f,1960-1969,90-94,0.14468,0.51917,2.28,14358,7454,51522,88151,6.14
AK,f,1960-1969,95-99,0.17221,0.58255,2.22,6904,4022,23354,36629,5.31
AK,f,1960-1969,100-104,0.20368,0.64510,2.16,2882,1859,9128,13275,4.61
AK,f,1960-1969,105-109,0.23918,0.70480,2.09,1023,721,3014,4147,4.05
AK,f,1960-1969,110+,0.26645,1.00000,3.75,302,302,1133,1133,3.75
AK,f,1970-1979,0,0.01504,0.01483,0.1,100000,1483,98658,7584915,75.85
AK,f,1970-1979,1-4,0.00094,0.00375,1.54,98517,369,393158,7486257,75.99
AK,f,1970-1979,5-9,0.00038,0.00192,2.16,98147,188,490203,7093100,72.27
