PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AL,m,1959,0,0.03638,0.03528,0.14,100000,3528,96975,6511517,65.12
AL,m,1959,1-4,0.00141,0.00562,1.53,96472,542,384552,6414542,66.49
AL,m,1959,5-9,0.00057,0.00286,2.41,95930,274,478940,6029990,62.86
AL,m,1959,10-14,0.00070,0.00351,2.63,95656,336,477485,5551051,58.03
AL,m,1959,15-19,0.00182,0.00905,2.79,95320,863,474693,5073566,53.23
AL,m,1959,20-24,0.00257,0.01275,2.47,94458,1205,469242,4598873,48.69
AL,m,1959,25-29,0.00259,0.01288,2.54,93253,1201,463312,4129631,44.28
AL,m,1959,30-34,0.00305,0.01512,2.56,92052,1392,456868,3666319,39.83
AL,m,1959,35-39,0.00408,0.02019,2.66,90660,1830,449012,3209450,35.40
AL,m,1959,40-44,0.00572,0.02820,2.66,88830,2505,438282,2760439,31.08
AL,m,1959,45-49,0.00882,0.04317,2.62,86325,3727,422754,2322157,26.90
AL,m,1959,50-54,0.01347,0.06525,2.63,82598,5389,400233,1899403,23.00
AL,m,1959,55-59,0.02108,0.10048,2.68,77209,7758,368040,1499170,19.42
AL,m,1959,60-64,0.02875,0.13434,2.56,69451,9330,324482,1131130,16.29
AL,m,1959,65-69,0.04080,0.18549,2.56,60121,11152,273343,806648,13.42
AL,m,1959,70-74,0.05555,0.24303,2.43,48969,11901,214236,533305,10.89
AL,m,1959,75-79,0.07736,0.32502,2.54,37068,12048,155733,319070,8.61
AL,m,1959,80-84,0.12157,0.46254,2.42,25020,11573,95191,163337,6.53
AL,m,1959,85-89,0.17532,0.59716,2.33,13447,8030,45802,68146,5.07
AL,m,1959,90-94,0.22141,0.68015,2.17,5417,3684,16641,22344,4.12
AL,m,1959,95-99,0.28787,0.77533,2.02,1733,1343,4667,5703,3.29
AL,m,1959,100-104,0.36468,0.85137,1.87,389,331,909,1036,2.66
AL,m,1959,105-109,0.44900,0.90605,1.71,58,52,117,127,2.20
AL,m,1959,110+,0.51837,1.00000,1.93,5,5,10,10,1.93
AL,m,1960,0,0.03736,0.03621,0.15,100000,3621,96905,6458928,64.59
AL,m,1960,1-4,0.00145,0.00578,1.59,96379,557,384173,6362023,66.01
AL,m,1960,5-9,0.00059,0.00295,2.6,95822,283,478433,5977849,62.38
AL,m,1960,10-14,0.00064,0.00318,2.77,95539,304,477020,5499416,57.56
AL,m,1960,15-19,0.00172,0.00857,2.96,95236,817,474512,5022397,52.74
AL,m,1960,20-24,0.00264,0.01311,2.64,94419,1238,469174,4547885,48.17
AL,m,1960,25-29,0.00237,0.01179,2.55,93181,1098,463213,4078711,43.77
AL,m,1960,30-34,0.00326,0.01618,2.7,92083,1490,456981,3615498,39.26
AL,m,1960,35-39,0.00393,0.01949,2.68,90593,1766,448860,3158517,34.86
AL,m,1960,40-44,0.00576,0.02843,2.66,88827,2525,438221,2709657,30.50
AL,m,1960,45-49,0.00907,0.04440,2.62,86302,3832,422383,2271436,26.32
AL,m,1960,50-54,0.01410,0.06822,2.61,82470,5626,398924,1849053,22.42
AL,m,1960,55-59,0.02130,0.10134,2.62,76844,7787,365656,1450129,18.87
AL,m,1960,60-64,0.03025,0.14096,2.59,69057,9734,321805,1084473,15.70
AL,m,1960,65-69,0.04460,0.20093,2.54,59322,11919,267237,762668,12.86
AL,m,1960,70-74,0.06029,0.26152,2.47,47403,12397,205612,495431,10.45
AL,m,1960,75-79,0.08055,0.33581,2.52,35006,11755,145932,289819,8.28
AL,m,1960,80-84,0.13092,0.49089,2.45,23250,11413,87178,143887,6.19
AL,m,1960,85-89,0.18586,0.60960,2.18,11837,7216,38824,56709,4.79
AL,m,1960,90-94,0.23849,0.70794,2.13,4621,3272,13718,17885,3.87
AL,m,1960,95-99,0.30920,0.79976,1.98,1350,1079,3491,4167,3.09
AL,m,1960,100-104,0.38993,0.87054,1.82,270,235,603,676,2.50
AL,m,1960,105-109,0.47718,0.91961,1.66,35,32,67,73,2.07
AL,m,1960,110+,0.54866,1.00000,1.82,3,3,5,5,1.82
AL,m,1961,0,0.03401,0.03304,0.14,100000,3304,97146,6537541,65.38
AL,m,1961,1-4,0.00133,0.00532,1.52,96696,514,385510,6440394,66.60
AL,m,1961,5-9,0.00061,0.00307,2.25,96181,295,480097,6054885,62.95
AL,m,1961,10-14,0.00066,0.00328,2.74,95886,314,478720,5574788,58.14
AL,m,1961,15-19,0.00142,0.00708,2.95,95572,677,476471,5096068,53.32
AL,m,1961,20-24,0.00219,0.01090,2.5,94895,1034,471887,4619597,48.68
AL,m,1961,25-29,0.00256,0.01273,2.55,93861,1194,466377,4147709,44.19
AL,m,1961,30-34,0.00327,0.01621,2.65,92667,1503,459796,3681332,39.73
AL,m,1961,35-39,0.00398,0.01973,2.61,91164,1799,451517,3221536,35.34
AL,m,1961,40-44,0.00565,0.02789,2.67,89365,2493,441013,2770019,31.00
AL,m,1961,45-49,0.00863,0.04231,2.69,86873,3676,425866,2329006,26.81
AL,m,1961,50-54,0.01329,0.06442,2.61,83197,5359,403167,1903140,22.88
AL,m,1961,55-59,0.01929,0.09214,2.58,77837,7172,371861,1499974,19.27
AL,m,1961,60-64,0.03013,0.14072,2.66,70666,9944,330041,1128113,15.96
AL,m,1961,65-69,0.04213,0.19082,2.53,60722,11587,275006,798072,13.14
AL,m,1961,70-74,0.05721,0.25005,2.48,49135,12286,214758,523066,10.65
AL,m,1961,75-79,0.07920,0.33114,2.53,36848,12202,154065,308308,8.37
AL,m,1961,80-84,0.12524,0.47333,2.42,24646,11666,93146,154243,6.26
AL,m,1961,85-89,0.19071,0.61986,2.18,12980,8046,42190,61097,4.71
AL,m,1961,90-94,0.24038,0.71148,2.13,4934,3511,14605,18906,3.83
AL,m,1961,95-99,0.31611,0.80770,1.97,1424,1150,3638,4301,3.02
AL,m,1961,100-104,0.40282,0.87986,1.8,274,241,598,664,2.42
