AR: Arkansas, Lifetables (period 1x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02855	0.02785	0.13	100000	2785	97570	6990629	69.91
1960-1964	1	0.00226	0.00226	0.5	97215	219	97105	6893059	70.91
1960-1964	2	0.00147	0.00147	0.5	96995	142	96924	6795954	70.06
1960-1964	3	0.00091	0.00091	0.5	96853	89	96809	6699030	69.17
1960-1964	4	0.00091	0.00091	0.5	96764	88	96721	6602221	68.23
1960-1964	5	0.00073	0.00073	0.5	96677	70	96642	6505501	67.29
1960-1964	6	0.00058	0.00058	0.5	96607	56	96579	6408859	66.34
1960-1964	7	0.00055	0.00055	0.5	96551	54	96524	6312280	65.38
1960-1964	8	0.00057	0.00057	0.5	96497	55	96470	6215756	64.41
1960-1964	9	0.00054	0.00054	0.5	96442	52	96416	6119287	63.45
1960-1964	10	0.00046	0.00046	0.5	96391	44	96369	6022870	62.48
1960-1964	11	0.00045	0.00045	0.5	96346	43	96325	5926502	61.51
1960-1964	12	0.00050	0.00050	0.5	96304	48	96280	5830177	60.54
1960-1964	13	0.00066	0.00066	0.5	96256	64	96224	5733897	59.57
1960-1964	14	0.00072	0.00072	0.5	96192	70	96157	5637673	58.61
1960-1964	15	0.00088	0.00088	0.5	96122	85	96080	5541516	57.65
1960-1964	16	0.00103	0.00103	0.5	96038	98	95988	5445436	56.70
1960-1964	17	0.00120	0.00120	0.5	95939	115	95881	5349448	55.76
1960-1964	18	0.00136	0.00136	0.5	95824	131	95758	5253567	54.83
1960-1964	19	0.00127	0.00127	0.5	95693	122	95632	5157808	53.90
1960-1964	20	0.00137	0.00137	0.5	95571	131	95506	5062176	52.97
1960-1964	21	0.00174	0.00174	0.5	95441	166	95358	4966670	52.04
1960-1964	22	0.00132	0.00132	0.5	95274	125	95212	4871313	51.13
1960-1964	23	0.00163	0.00163	0.5	95149	155	95071	4776101	50.20
1960-1964	24	0.00160	0.00160	0.5	94994	152	94918	4681030	49.28
1960-1964	25	0.00152	0.00152	0.5	94842	144	94770	4586112	48.36
1960-1964	26	0.00152	0.00152	0.5	94698	144	94626	4491342	47.43
1960-1964	27	0.00159	0.00159	0.5	94554	150	94479	4396716	46.50
1960-1964	28	0.00166	0.00166	0.5	94403	157	94325	4302238	45.57
1960-1964	29	0.00173	0.00173	0.5	94247	163	94165	4207913	44.65
1960-1964	30	0.00186	0.00186	0.5	94083	175	93996	4113748	43.72
1960-1964	31	0.00195	0.00195	0.5	93908	183	93817	4019752	42.80
1960-1964	32	0.00194	0.00194	0.5	93725	182	93634	3925935	41.89
1960-1964	33	0.00179	0.00179	0.5	93543	167	93460	3832300	40.97
1960-1964	34	0.00208	0.00208	0.5	93376	194	93279	3738841	40.04
1960-1964	35	0.00228	0.00228	0.5	93182	212	93075	3645562	39.12
