AR: Arkansas, Lifetables (period 1x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03011	0.02933	0.13	100000	2933	97436	6729270	67.29
1959	1	0.00225	0.00224	0.5	97067	218	96958	6631835	68.32
1959	2	0.00153	0.00153	0.5	96849	148	96774	6534877	67.48
1959	3	0.00092	0.00092	0.5	96700	89	96656	6438103	66.58
1959	4	0.00056	0.00056	0.5	96612	54	96585	6341447	65.64
1959	5	0.00046	0.00046	0.5	96558	44	96535	6244862	64.68
1959	6	0.00036	0.00036	0.5	96513	35	96496	6148327	63.70
1959	7	0.00058	0.00058	0.5	96479	56	96450	6051831	62.73
1959	8	0.00027	0.00027	0.5	96422	26	96409	5955381	61.76
1959	9	0.00058	0.00058	0.5	96396	56	96368	5858971	60.78
1959	10	0.00052	0.00052	0.5	96340	50	96315	5762603	59.82
1959	11	0.00067	0.00067	0.5	96290	64	96258	5666288	58.85
1959	12	0.00057	0.00057	0.5	96226	54	96199	5570030	57.88
1959	13	0.00093	0.00093	0.5	96172	89	96127	5473831	56.92
1959	14	0.00120	0.00119	0.5	96083	115	96025	5377704	55.97
1959	15	0.00149	0.00149	0.5	95968	143	95896	5281678	55.04
1959	16	0.00189	0.00189	0.5	95825	181	95734	5185782	54.12
1959	17	0.00202	0.00201	0.5	95643	193	95547	5090048	53.22
1959	18	0.00189	0.00189	0.5	95451	181	95361	4994501	52.33
1959	19	0.00183	0.00183	0.5	95270	174	95183	4899140	51.42
1959	20	0.00257	0.00257	0.5	95096	244	94974	4803957	50.52
1959	21	0.00262	0.00262	0.5	94852	249	94728	4708983	49.65
1959	22	0.00252	0.00252	0.5	94603	238	94484	4614256	48.77
1959	23	0.00225	0.00224	0.5	94365	212	94259	4519772	47.90
1959	24	0.00252	0.00252	0.5	94153	237	94035	4425513	47.00
1959	25	0.00246	0.00246	0.5	93916	231	93800	4331478	46.12
1959	26	0.00207	0.00206	0.5	93685	193	93588	4237678	45.23
1959	27	0.00247	0.00247	0.5	93491	231	93376	4144090	44.33
1959	28	0.00223	0.00222	0.5	93260	207	93157	4050714	43.43
1959	29	0.00283	0.00282	0.5	93053	263	92922	3957557	42.53
1959	30	0.00229	0.00228	0.5	92790	212	92684	3864635	41.65
1959	31	0.00315	0.00314	0.5	92578	291	92433	3771951	40.74
1959	32	0.00234	0.00234	0.5	92287	216	92180	3679518	39.87
1959	33	0.00327	0.00326	0.5	92072	300	91922	3587338	38.96
1959	34	0.00241	0.00240	0.5	91771	220	91661	3495417	38.09
1959	35	0.00295	0.00294	0.5	91551	270	91416	3403756	37.18
1959	36	0.00329	0.00329	0.5	91281	300	91131	3312340	36.29
1959	37	0.00304	0.00303	0.5	90981	276	90843	3221209	35.41
1959	38	0.00450	0.00449	0.5	90705	407	90502	3130365	34.51
1959	39	0.00348	0.00347	0.5	90298	313	90142	3039863	33.66
1959	40	0.00404	0.00404	0.5	89985	363	89803	2949721	32.78
1959	41	0.00339	0.00338	0.5	89622	303	89470	2859918	31.91
1959	42	0.00646	0.00643	0.5	89318	575	89031	2770448	31.02
1959	43	0.00575	0.00573	0.5	88744	509	88489	2681417	30.22
1959	44	0.00493	0.00492	0.5	88235	434	88018	2592927	29.39
1959	45	0.00760	0.00757	0.5	87801	665	87468	2504909	28.53
1959	46	0.00617	0.00615	0.5	87136	536	86868	2417441	27.74
1959	47	0.00710	0.00708	0.5	86600	613	86294	2330573	26.91
1959	48	0.00783	0.00780	0.5	85987	671	85652	2244280	26.10
1959	49	0.00868	0.00864	0.5	85316	737	84947	2158628	25.30
1959	50	0.00932	0.00927	0.5	84579	784	84187	2073681	24.52
1959	51	0.01036	0.01030	0.5	83794	863	83363	1989494	23.74
1959	52	0.01044	0.01038	0.5	82931	861	82501	1906131	22.98
1959	53	0.01202	0.01195	0.5	82070	981	81580	1823631	22.22
1959	54	0.01322	0.01313	0.5	81090	1065	80557	1742051	21.48
1959	55	0.01214	0.01207	0.5	80025	966	79542	1661494	20.76
1959	56	0.01237	0.01230	0.5	79059	972	78573	1581952	20.01
1959	57	0.01579	0.01566	0.5	78087	1223	77476	1503379	19.25
1959	58	0.01787	0.01771	0.5	76864	1361	76183	1425903	18.55
1959	59	0.01898	0.01880	0.5	75503	1420	74793	1349720	17.88
1959	60	0.01972	0.01953	0.5	74083	1447	73360	1274927	17.21
1959	61	0.02451	0.02421	0.5	72636	1759	71757	1201567	16.54
1959	62	0.02456	0.02426	0.5	70877	1720	70018	1129811	15.94
1959	63	0.02747	0.02710	0.5	69158	1874	68221	1059793	15.32
1959	64	0.02629	0.02595	0.5	67284	1746	66411	991572	14.74
1959	65	0.03096	0.03049	0.5	65538	1998	64539	925161	14.12
1959	66	0.03379	0.03323	0.5	63540	2112	62484	860622	13.54
1959	67	0.03924	0.03849	0.5	61428	2364	60246	798138	12.99
1959	68	0.04032	0.03952	0.5	59064	2334	57897	737892	12.49
1959	69	0.03733	0.03664	0.5	56730	2079	55690	679995	11.99
1959	70	0.04274	0.04185	0.5	54651	2287	53507	624304	11.42
1959	71	0.04105	0.04022	0.5	52364	2106	51311	570797	10.90
1959	72	0.05128	0.05000	0.5	50258	2513	49001	519486	10.34
1959	73	0.05845	0.05679	0.5	47745	2712	46389	470485	9.85
1959	74	0.06085	0.05905	0.5	45033	2659	43704	424096	9.42
1959	75	0.06562	0.06354	0.5	42374	2692	41028	380392	8.98
1959	76	0.05820	0.05655	0.5	39682	2244	38560	339364	8.55
1959	77	0.07378	0.07115	0.5	37438	2664	36106	300804	8.03
1959	78	0.07691	0.07406	0.5	34774	2575	33486	264698	7.61
1959	79	0.08712	0.08349	0.5	32199	2688	30855	231212	7.18
1959	80	0.10465	0.09945	0.5	29510	2935	28043	200357	6.79
1959	81	0.10637	0.10100	0.5	26576	2684	25234	172314	6.48
1959	82	0.10773	0.10222	0.5	23892	2442	22670	147081	6.16
1959	83	0.12200	0.11498	0.5	21449	2466	20216	124410	5.80
1959	84	0.14688	0.13683	0.5	18983	2598	17684	104194	5.49
1959	85	0.14689	0.13684	0.5	16386	2242	15264	86510	5.28
1959	86	0.17215	0.15851	0.5	14143	2242	13022	71245	5.04
1959	87	0.17088	0.15743	0.5	11902	1874	10965	58223	4.89
1959	88	0.17179	0.15820	0.5	10028	1586	9235	47258	4.71
1959	89	0.18197	0.16680	0.5	8441	1408	7737	38024	4.50
1959	90	0.19262	0.17570	0.5	7033	1236	6416	30286	4.31
1959	91	0.20373	0.18490	0.5	5798	1072	5262	23871	4.12
1959	92	0.21532	0.19439	0.5	4726	919	4266	18609	3.94
1959	93	0.22737	0.20416	0.5	3807	777	3418	14343	3.77
1959	94	0.23990	0.21420	0.5	3030	649	2705	10924	3.61
1959	95	0.25288	0.22450	0.5	2381	534	2114	8219	3.45
1959	96	0.26633	0.23503	0.5	1846	434	1629	6105	3.31
1959	97	0.28022	0.24578	0.5	1412	347	1239	4476	3.17
1959	98	0.29454	0.25673	0.5	1065	273	928	3237	3.04
1959	99	0.30929	0.26786	0.5	792	212	686	2309	2.92
1959	100	0.32443	0.27915	0.5	580	162	499	1623	2.80
1959	101	0.33994	0.29056	0.5	418	121	357	1124	2.69
1959	102	0.35581	0.30207	0.5	296	90	252	767	2.59
1959	103	0.37200	0.31366	0.5	207	65	174	515	2.49
1959	104	0.38849	0.32530	0.5	142	46	119	341	2.40
1959	105	0.40523	0.33696	0.5	96	32	80	222	2.32
1959	106	0.42220	0.34861	0.5	64	22	52	142	2.24
1959	107	0.43935	0.36022	0.5	41	15	34	90	2.17
1959	108	0.45665	0.37177	0.5	26	10	22	56	2.11
1959	109	0.47405	0.38322	0.5	17	6	13	34	2.06
1959	110+	0.49152	1.00000	2.03	10	10	21	21	2.03
1960	0	0.03176	0.03091	0.13	100000	3091	97312	6655637	66.56
1960	1	0.00269	0.00268	0.5	96909	260	96779	6558326	67.68
1960	2	0.00138	0.00138	0.5	96649	133	96582	6461547	66.86
1960	3	0.00072	0.00072	0.5	96516	69	96481	6364964	65.95
1960	4	0.00117	0.00117	0.5	96447	113	96390	6268483	64.99
1960	5	0.00102	0.00102	0.5	96334	98	96285	6172093	64.07
1960	6	0.00097	0.00097	0.5	96236	93	96189	6075809	63.13
1960	7	0.00072	0.00072	0.5	96143	69	96108	5979620	62.20
1960	8	0.00058	0.00058	0.5	96073	56	96045	5883512	61.24
1960	9	0.00076	0.00076	0.5	96017	73	95981	5787466	60.28
1960	10	0.00064	0.00064	0.5	95944	61	95914	5691486	59.32
1960	11	0.00031	0.00031	0.5	95883	30	95868	5595572	58.36
1960	12	0.00062	0.00062	0.5	95853	60	95823	5499704	57.38
1960	13	0.00130	0.00130	0.5	95793	124	95731	5403881	56.41
1960	14	0.00094	0.00094	0.5	95669	90	95624	5308149	55.48
1960	15	0.00144	0.00144	0.5	95580	138	95511	5212525	54.54
1960	16	0.00151	0.00151	0.5	95442	144	95370	5117014	53.61
1960	17	0.00211	0.00210	0.5	95297	200	95197	5021645	52.69
1960	18	0.00169	0.00169	0.5	95097	160	95017	4926447	51.80
1960	19	0.00174	0.00174	0.5	94937	165	94854	4831430	50.89
1960	20	0.00193	0.00193	0.5	94771	183	94680	4736576	49.98
1960	21	0.00239	0.00238	0.5	94589	226	94476	4641896	49.07
1960	22	0.00152	0.00152	0.5	94363	143	94291	4547420	48.19
1960	23	0.00296	0.00296	0.5	94220	279	94080	4453129	47.26
1960	24	0.00292	0.00292	0.5	93941	274	93804	4359048	46.40
1960	25	0.00187	0.00187	0.5	93667	175	93579	4265245	45.54
1960	26	0.00224	0.00224	0.5	93492	209	93387	4171665	44.62
1960	27	0.00310	0.00309	0.5	93283	288	93139	4078278	43.72
1960	28	0.00200	0.00200	0.5	92994	186	92901	3985139	42.85
1960	29	0.00328	0.00327	0.5	92809	304	92657	3892238	41.94
1960	30	0.00215	0.00215	0.5	92505	198	92406	3799581	41.07
1960	31	0.00263	0.00262	0.5	92307	242	92185	3707175	40.16
1960	32	0.00169	0.00168	0.5	92064	155	91987	3614990	39.27
1960	33	0.00202	0.00202	0.5	91909	185	91817	3523003	38.33
1960	34	0.00266	0.00265	0.5	91724	243	91602	3431186	37.41
1960	35	0.00301	0.00300	0.5	91481	275	91343	3339584	36.51
1960	36	0.00285	0.00284	0.5	91206	259	91076	3248241	35.61
1960	37	0.00278	0.00277	0.5	90947	252	90820	3157164	34.71
1960	38	0.00294	0.00293	0.5	90694	266	90561	3066344	33.81
1960	39	0.00340	0.00340	0.5	90428	307	90275	2975783	32.91
1960	40	0.00454	0.00453	0.5	90121	408	89917	2885508	32.02
1960	41	0.00376	0.00375	0.5	89713	336	89545	2795591	31.16
1960	42	0.00540	0.00538	0.5	89377	481	89136	2706046	30.28
1960	43	0.00504	0.00503	0.5	88895	447	88672	2616910	29.44
1960	44	0.00577	0.00575	0.5	88449	509	88194	2528238	28.58
1960	45	0.00624	0.00622	0.5	87940	547	87666	2440044	27.75
1960	46	0.00617	0.00615	0.5	87393	538	87124	2352377	26.92
1960	47	0.00648	0.00646	0.5	86856	561	86575	2265253	26.08
1960	48	0.00742	0.00740	0.5	86295	638	85976	2178678	25.25
1960	49	0.00817	0.00813	0.5	85656	697	85308	2092702	24.43
1960	50	0.01124	0.01118	0.5	84960	950	84485	2007394	23.63
1960	51	0.00968	0.00963	0.5	84010	809	83605	1922909	22.89
1960	52	0.01361	0.01351	0.5	83201	1124	82639	1839304	22.11
1960	53	0.01336	0.01327	0.5	82077	1089	81532	1756665	21.40
1960	54	0.01276	0.01267	0.5	80988	1027	80474	1675133	20.68
1960	55	0.01463	0.01453	0.5	79961	1162	79380	1594659	19.94
1960	56	0.01391	0.01381	0.5	78800	1088	78256	1515278	19.23
1960	57	0.01668	0.01654	0.5	77711	1286	77069	1437023	18.49
1960	58	0.01787	0.01771	0.5	76426	1354	75749	1359954	17.79
1960	59	0.02166	0.02143	0.5	75072	1609	74268	1284205	17.11
1960	60	0.02334	0.02307	0.5	73464	1695	72616	1209937	16.47
1960	61	0.02283	0.02257	0.5	71769	1620	70959	1137321	15.85
1960	62	0.02658	0.02624	0.5	70149	1840	69229	1066362	15.20
