PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AZ,f,1959,0,0.03003,0.02927,0.14,100000,2927,97474,7380171,73.80
AZ,f,1959,1,0.00272,0.00272,0.5,97073,264,96941,7282697,75.02
AZ,f,1959,2,0.00149,0.00149,0.5,96809,144,96736,7185757,74.23
AZ,f,1959,3,0.00113,0.00113,0.5,96664,109,96610,7089020,73.34
AZ,f,1959,4,0.00094,0.00094,0.5,96555,91,96510,6992411,72.42
AZ,f,1959,5,0.00083,0.00083,0.5,96464,80,96424,6895901,71.49
AZ,f,1959,6,0.00093,0.00092,0.5,96385,89,96340,6799476,70.55
AZ,f,1959,7,0.00041,0.00041,0.5,96296,40,96276,6703136,69.61
AZ,f,1959,8,0.00014,0.00014,0.5,96256,14,96249,6606861,68.64
AZ,f,1959,9,0.00029,0.00029,0.5,96242,28,96228,6510612,67.65
AZ,f,1959,10,0.00029,0.00029,0.5,96214,27,96201,6414384,66.67
AZ,f,1959,11,0.00043,0.00043,0.5,96187,42,96166,6318183,65.69
AZ,f,1959,12,0.00015,0.00015,0.5,96145,15,96138,6222017,64.71
AZ,f,1959,13,0.00035,0.00035,0.5,96131,33,96114,6125879,63.72
AZ,f,1959,14,0.00076,0.00076,0.5,96097,73,96061,6029765,62.75
AZ,f,1959,15,0.00113,0.00113,0.5,96025,108,95970,5933704,61.79
AZ,f,1959,16,0.00048,0.00048,0.5,95916,46,95893,5837733,60.86
AZ,f,1959,17,0.00040,0.00040,0.5,95871,38,95851,5741840,59.89
AZ,f,1959,18,0.00119,0.00119,0.5,95832,114,95775,5645989,58.92
AZ,f,1959,19,0.00079,0.00079,0.5,95718,76,95680,5550213,57.98
AZ,f,1959,20,0.00115,0.00115,0.5,95642,110,95587,5454533,57.03
AZ,f,1959,21,0.00035,0.00035,0.5,95532,34,95515,5358946,56.10
AZ,f,1959,22,0.00110,0.00110,0.5,95498,105,95446,5263431,55.12
AZ,f,1959,23,0.00086,0.00086,0.5,95393,82,95352,5167985,54.18
AZ,f,1959,24,0.00074,0.00074,0.5,95311,70,95276,5072633,53.22
AZ,f,1959,25,0.00138,0.00138,0.5,95241,131,95175,4977357,52.26
AZ,f,1959,26,0.00122,0.00122,0.5,95110,116,95052,4882182,51.33
AZ,f,1959,27,0.00180,0.00180,0.5,94994,171,94909,4787130,50.39
AZ,f,1959,28,0.00060,0.00060,0.5,94823,57,94795,4692222,49.48
AZ,f,1959,29,0.00081,0.00081,0.5,94767,77,94728,4597427,48.51
AZ,f,1959,30,0.00106,0.00106,0.5,94690,100,94640,4502698,47.55
AZ,f,1959,31,0.00165,0.00164,0.5,94590,155,94512,4408058,46.60
