AZ: Arizona, Lifetables (period 5x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02361	0.02313	0.12	100000	2313	97962	7461401	74.61
1960-1969	1-4	0.00131	0.00523	1.46	97687	511	389449	7363439	75.38
1960-1969	5-9	0.00043	0.00215	2.23	97176	209	485300	6973990	71.77
1960-1969	10-14	0.00035	0.00176	2.66	96967	171	484436	6488690	66.92
1960-1969	15-19	0.00072	0.00361	2.7	96796	349	483178	6004254	62.03
1960-1969	20-24	0.00091	0.00454	2.53	96447	438	481156	5521075	57.24
1960-1969	25-29	0.00106	0.00528	2.49	96009	507	478774	5039919	52.49
1960-1969	30-34	0.00137	0.00682	2.68	95502	652	476002	4561145	47.76
1960-1969	35-39	0.00197	0.00979	2.6	94850	929	472022	4085144	43.07
1960-1969	40-44	0.00291	0.01443	2.67	93922	1356	466444	3613122	38.47
1960-1969	45-49	0.00422	0.02090	2.63	92566	1934	458237	3146678	33.99
1960-1969	50-54	0.00629	0.03099	2.65	90632	2809	446564	2688441	29.66
1960-1969	55-59	0.00855	0.04191	2.6	87823	3680	430273	2241877	25.53
1960-1969	60-64	0.01199	0.05831	2.65	84143	4906	409162	1811603	21.53
1960-1969	65-69	0.01876	0.08970	2.57	79236	7108	378931	1402442	17.70
1960-1969	70-74	0.02948	0.13781	2.64	72129	9940	337162	1023511	14.19
1960-1969	75-79	0.04908	0.21953	2.6	62189	13652	278153	686349	11.04
1960-1969	80-84	0.07788	0.32662	2.53	48536	15853	203549	408196	8.41
1960-1969	85-89	0.12254	0.46600	2.43	32684	15231	124285	204646	6.26
1960-1969	90-94	0.18693	0.61998	2.28	17453	10821	57885	80361	4.60
1960-1969	95-99	0.27364	0.76182	2.09	6632	5053	18465	22476	3.39
1960-1969	100-104	0.38094	0.86776	1.86	1580	1371	3599	4011	2.54
1960-1969	105-109	0.50124	0.93214	1.63	209	195	388	412	1.97
1960-1969	110+	0.60100	1.00000	1.66	14	14	24	24	1.66
1970-1979	0	0.01414	0.01396	0.09	100000	1396	98733	7721677	77.22
1970-1979	1-4	0.00090	0.00359	1.55	98604	354	393550	7622944	77.31
1970-1979	5-9	0.00037	0.00183	2.28	98250	180	490762	7229394	73.58
1970-1979	10-14	0.00030	0.00152	2.67	98071	149	490005	6738632	68.71
1970-1979	15-19	0.00070	0.00352	2.79	97921	344	488844	6248627	63.81
1970-1979	20-24	0.00083	0.00415	2.42	97577	405	486841	5759782	59.03
1970-1979	25-29	0.00091	0.00456	2.52	97172	443	484758	5272941	54.26
1970-1979	30-34	0.00114	0.00568	2.63	96729	550	482343	4788183	49.50
1970-1979	35-39	0.00164	0.00817	2.61	96179	786	479017	4305840	44.77
1970-1979	40-44	0.00260	0.01292	2.71	95394	1233	474141	3826823	40.12
1970-1979	45-49	0.00371	0.01837	2.59	94161	1730	466635	3352683	35.61
1970-1979	50-54	0.00519	0.02565	2.6	92431	2371	456462	2886048	31.22
1970-1979	55-59	0.00752	0.03693	2.66	90061	3326	442506	2429586	26.98
1970-1979	60-64	0.01091	0.05320	2.65	86735	4614	422854	1987080	22.91
1970-1979	65-69	0.01551	0.07481	2.65	82121	6143	396139	1564225	19.05
1970-1979	70-74	0.02402	0.11357	2.61	75978	8629	359298	1168086	15.37
1970-1979	75-79	0.03986	0.18203	2.62	67349	12259	307577	808788	12.01
1970-1979	80-84	0.06482	0.28026	2.59	55090	15440	238176	501210	9.10
1970-1979	85-89	0.10915	0.42818	2.48	39650	16977	155545	263034	6.63
1970-1979	90-94	0.17710	0.60105	2.33	22673	13628	76950	107489	4.74
1970-1979	95-99	0.27297	0.76286	2.11	9045	6900	25278	30539	3.38
1970-1979	100-104	0.39470	0.87911	1.85	2145	1886	4778	5261	2.45
1970-1979	105-109	0.53119	0.94361	1.58	259	245	461	483	1.86
1970-1979	110+	0.64325	1.00000	1.55	15	15	23	23	1.55
1980-1989	0	0.00909	0.00902	0.08	100000	902	99169	7911921	79.12
1980-1989	1-4	0.00063	0.00250	1.51	99098	248	395774	7812752	78.84
1980-1989	5-9	0.00026	0.00130	2.39	98850	128	493916	7416978	75.03
1980-1989	10-14	0.00025	0.00123	2.82	98722	121	493345	6923062	70.13
1980-1989	15-19	0.00059	0.00293	2.7	98601	289	492338	6429718	65.21
1980-1989	20-24	0.00066	0.00330	2.55	98312	325	490764	5937379	60.39
1980-1989	25-29	0.00069	0.00344	2.52	97987	337	489101	5446615	55.59
1980-1989	30-34	0.00082	0.00407	2.65	97650	398	487316	4957514	50.77
1980-1989	35-39	0.00113	0.00563	2.62	97252	547	484957	4470198	45.96
1980-1989	40-44	0.00179	0.00890	2.67	96705	860	481519	3985241	41.21
1980-1989	45-49	0.00271	0.01345	2.68	95845	1289	476234	3503722	36.56
1980-1989	50-54	0.00436	0.02160	2.69	94556	2042	468070	3027488	32.02
1980-1989	55-59	0.00686	0.03377	2.7	92514	3125	455378	2559418	27.67
1980-1989	60-64	0.01016	0.04959	2.63	89389	4433	436432	2104039	23.54
1980-1989	65-69	0.01465	0.07077	2.61	84956	6012	410408	1667608	19.63
1980-1989	70-74	0.02268	0.10765	2.64	78944	8499	374700	1257199	15.93
1980-1989	75-79	0.03558	0.16393	2.6	70446	11548	324541	882499	12.53
1980-1989	80-84	0.06020	0.26295	2.6	58898	15487	257277	557959	9.47
1980-1989	85-89	0.10196	0.40631	2.5	43410	17638	172990	300682	6.93
1980-1989	90-94	0.16669	0.57825	2.35	25772	14903	89407	127692	4.95
1980-1989	95-99	0.25924	0.74440	2.14	10869	8091	31211	38285	3.52
1980-1989	100-104	0.37857	0.86781	1.88	2778	2411	6369	7074	2.55
1980-1989	105-109	0.51463	0.93817	1.61	367	345	669	706	1.92
1980-1989	110+	0.62753	1.00000	1.59	23	23	36	36	1.59
1990-1999	0	0.00710	0.00706	0.07	100000	706	99346	7990155	79.90
1990-1999	1-4	0.00043	0.00173	1.5	99294	172	396748	7890809	79.47
1990-1999	5-9	0.00017	0.00086	2.33	99123	86	495384	7494061	75.60
1990-1999	10-14	0.00022	0.00110	2.74	99037	109	494939	6998677	70.67
1990-1999	15-19	0.00046	0.00232	2.78	98928	229	494133	6503738	65.74
1990-1999	20-24	0.00053	0.00267	2.59	98699	263	492861	6009606	60.89
1990-1999	25-29	0.00057	0.00287	2.65	98436	282	491516	5516745	56.04
1990-1999	30-34	0.00082	0.00411	2.67	98153	404	489824	5025229	51.20
1990-1999	35-39	0.00118	0.00591	2.67	97749	577	487403	4535405	46.40
1990-1999	40-44	0.00172	0.00856	2.61	97172	832	483874	4048002	41.66
1990-1999	45-49	0.00246	0.01221	2.67	96340	1176	478960	3564129	37.00
1990-1999	50-54	0.00391	0.01938	2.65	95164	1844	471485	3085168	32.42
1990-1999	55-59	0.00601	0.02964	2.68	93320	2766	460172	2613684	28.01
1990-1999	60-64	0.00921	0.04504	2.62	90554	4079	443080	2153511	23.78
1990-1999	65-69	0.01347	0.06524	2.62	86475	5642	418951	1710432	19.78
1990-1999	70-74	0.02138	0.10178	2.65	80833	8227	384791	1291481	15.98
1990-1999	75-79	0.03393	0.15687	2.6	72606	11390	335705	906690	12.49
1990-1999	80-84	0.06053	0.26427	2.6	61216	16177	267270	570985	9.33
1990-1999	85-89	0.10485	0.41557	2.51	45039	18717	178511	303714	6.74
1990-1999	90-94	0.17503	0.59732	2.34	26322	15723	89831	125203	4.76
1990-1999	95-99	0.27601	0.76769	2.11	10599	8137	29482	35372	3.34
1990-1999	100-104	0.40529	0.88681	1.83	2462	2184	5388	5891	2.39
1990-1999	105-109	0.54949	0.94954	1.55	279	265	482	503	1.80
1990-1999	110+	0.66664	1.00000	1.5	14	14	21	21	1.50
2000-2009	0	0.00620	0.00616	0.07	100000	616	99427	8062590	80.63
2000-2009	1-4	0.00034	0.00138	1.58	99384	137	397203	7963163	80.13
2000-2009	5-9	0.00015	0.00074	2.43	99247	73	496045	7565960	76.23
2000-2009	10-14	0.00016	0.00081	2.93	99173	80	495701	7069915	71.29
2000-2009	15-19	0.00047	0.00232	2.76	99093	230	494952	6574213	66.34
2000-2009	20-24	0.00052	0.00257	2.45	98863	254	493667	6079262	61.49
2000-2009	25-29	0.00056	0.00281	2.59	98609	278	492376	5585595	56.64
2000-2009	30-34	0.00078	0.00390	2.59	98331	383	490732	5093219	51.80
2000-2009	35-39	0.00116	0.00576	2.67	97948	564	488427	4602487	46.99
2000-2009	40-44	0.00176	0.00877	2.72	97384	854	484976	4114061	42.25
2000-2009	45-49	0.00262	0.01303	2.65	96530	1257	479701	3629085	37.60
2000-2009	50-54	0.00371	0.01839	2.64	95273	1752	472231	3149384	33.06
2000-2009	55-59	0.00523	0.02584	2.62	93521	2416	461864	2677153	28.63
2000-2009	60-64	0.00792	0.03888	2.66	91105	3542	447227	2215289	24.32
2000-2009	65-69	0.01185	0.05765	2.64	87562	5048	425886	1768062	20.19
2000-2009	70-74	0.01897	0.09080	2.65	82514	7492	395001	1342176	16.27
2000-2009	75-79	0.03160	0.14708	2.65	75022	11034	349214	947175	12.63
2000-2009	80-84	0.05793	0.25471	2.63	63988	16298	281338	597960	9.34
2000-2009	85-89	0.10519	0.41719	2.52	47689	19896	189144	316622	6.64
2000-2009	90-94	0.18212	0.61350	2.34	27794	17051	93626	127478	4.59
2000-2009	95-99	0.29460	0.79171	2.08	10742	8505	28869	33852	3.15
2000-2009	100-104	0.43792	0.90676	1.77	2237	2029	4633	4982	2.23
2000-2009	105-109	0.59326	0.96104	1.48	209	200	338	349	1.67
2000-2009	110+	0.71516	1.00000	1.4	8	8	11	11	1.40
2010-2017	0	0.00526	0.00524	0.07	100000	524	99512	8193061	81.93
2010-2017	1-4	0.00027	0.00108	1.59	99476	108	397645	8093549	81.36
2010-2017	5-9	0.00010	0.00052	2.24	99368	51	496700	7695904	77.45
2010-2017	10-14	0.00013	0.00066	2.9	99317	66	496446	7199205	72.49
2010-2017	15-19	0.00028	0.00141	2.88	99251	140	495959	6702759	67.53
2010-2017	20-24	0.00050	0.00249	2.64	99111	247	494973	6206801	62.62
2010-2017	25-29	0.00066	0.00329	2.62	98865	325	493548	5711828	57.77
2010-2017	30-34	0.00089	0.00445	2.61	98539	438	491649	5218280	52.96
2010-2017	35-39	0.00117	0.00585	2.6	98101	574	489130	4726630	48.18
2010-2017	40-44	0.00163	0.00813	2.64	97527	793	485765	4237500	43.45
2010-2017	45-49	0.00246	0.01222	2.69	96734	1182	480934	3751735	38.78
2010-2017	50-54	0.00365	0.01809	2.63	95551	1729	473652	3270800	34.23
2010-2017	55-59	0.00530	0.02616	2.63	93823	2454	463294	2797148	29.81
2010-2017	60-64	0.00731	0.03595	2.63	91368	3285	449068	2333855	25.54
2010-2017	65-69	0.01028	0.05020	2.66	88083	4422	430077	1884787	21.40
2010-2017	70-74	0.01617	0.07791	2.68	83662	6518	403156	1454710	17.39
2010-2017	75-79	0.02689	0.12652	2.67	77144	9760	362972	1051554	13.63
2010-2017	80-84	0.04694	0.21145	2.66	67384	14248	303551	688582	10.22
