AZ: Arizona, Lifetables (period 1x5), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03426	0.03327	0.14	100000	3327	97128	6552271	65.52
1960-1964	1	0.00302	0.00301	0.5	96673	291	96527	6455142	66.77
1960-1964	2	0.00177	0.00177	0.5	96382	171	96296	6358615	65.97
1960-1964	3	0.00119	0.00119	0.5	96211	114	96154	6262319	65.09
1960-1964	4	0.00093	0.00093	0.5	96096	90	96052	6166165	64.17
1960-1964	5	0.00075	0.00075	0.5	96007	72	95971	6070114	63.23
1960-1964	6	0.00063	0.00063	0.5	95935	61	95904	5974143	62.27
1960-1964	7	0.00063	0.00063	0.5	95874	61	95843	5878239	61.31
1960-1964	8	0.00043	0.00043	0.5	95813	41	95793	5782395	60.35
1960-1964	9	0.00060	0.00060	0.5	95772	57	95744	5686603	59.38
1960-1964	10	0.00042	0.00042	0.5	95715	41	95695	5590859	58.41
1960-1964	11	0.00049	0.00049	0.5	95674	47	95651	5495164	57.44
1960-1964	12	0.00061	0.00061	0.5	95627	58	95598	5399513	56.46
1960-1964	13	0.00068	0.00068	0.5	95569	65	95537	5303915	55.50
1960-1964	14	0.00074	0.00074	0.5	95504	71	95469	5208378	54.54
1960-1964	15	0.00097	0.00097	0.5	95433	93	95387	5112909	53.58
1960-1964	16	0.00146	0.00146	0.5	95341	139	95271	5017522	52.63
1960-1964	17	0.00174	0.00174	0.5	95202	165	95119	4922251	51.70
1960-1964	18	0.00172	0.00172	0.5	95036	163	94955	4827132	50.79
1960-1964	19	0.00231	0.00231	0.5	94873	219	94764	4732178	49.88
1960-1964	20	0.00259	0.00258	0.5	94654	245	94532	4637414	48.99
1960-1964	21	0.00212	0.00212	0.5	94409	200	94309	4542883	48.12
1960-1964	22	0.00269	0.00268	0.5	94209	253	94083	4448573	47.22
1960-1964	23	0.00260	0.00259	0.5	93956	244	93834	4354491	46.35
1960-1964	24	0.00214	0.00214	0.5	93712	201	93612	4260657	45.47
1960-1964	25	0.00216	0.00216	0.5	93512	202	93411	4167044	44.56
1960-1964	26	0.00203	0.00203	0.5	93310	189	93215	4073633	43.66
1960-1964	27	0.00231	0.00230	0.5	93121	215	93013	3980418	42.74
1960-1964	28	0.00255	0.00255	0.5	92906	236	92788	3887404	41.84
1960-1964	29	0.00289	0.00289	0.5	92670	268	92536	3794616	40.95
1960-1964	30	0.00285	0.00285	0.5	92402	263	92271	3702080	40.06
1960-1964	31	0.00218	0.00217	0.5	92139	200	92039	3609810	39.18
1960-1964	32	0.00270	0.00270	0.5	91939	248	91815	3517771	38.26
1960-1964	33	0.00279	0.00279	0.5	91691	256	91563	3425957	37.36
1960-1964	34	0.00331	0.00330	0.5	91435	302	91284	3334394	36.47
1960-1964	35	0.00256	0.00255	0.5	91132	233	91016	3243110	35.59
1960-1964	36	0.00369	0.00368	0.5	90900	335	90732	3152094	34.68
1960-1964	37	0.00353	0.00353	0.5	90565	319	90405	3061362	33.80
1960-1964	38	0.00390	0.00389	0.5	90246	351	90070	2970956	32.92
1960-1964	39	0.00335	0.00334	0.5	89895	301	89744	2880886	32.05
