CA: California, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02053	0.02017	0.11	100000	2017	98206	7476384	74.76
1959	1-4	0.00091	0.00364	1.72	97983	356	391121	7378178	75.30
1959	5-9	0.00036	0.00181	2.35	97627	177	487667	6987057	71.57
1959	10-14	0.00025	0.00124	2.61	97450	121	486963	6499391	66.69
1959	15-19	0.00049	0.00245	2.69	97329	239	486095	6012428	61.77
1959	20-24	0.00061	0.00302	2.75	97091	293	484792	5526333	56.92
1959	25-29	0.00084	0.00417	2.58	96797	403	483009	5041541	52.08
1959	30-34	0.00113	0.00564	2.59	96394	544	480657	4558532	47.29
1959	35-39	0.00158	0.00787	2.72	95850	754	477530	4077875	42.54
1959	40-44	0.00269	0.01338	2.67	95096	1272	472517	3600345	37.86
1959	45-49	0.00415	0.02054	2.66	93823	1927	464606	3127828	33.34
1959	50-54	0.00601	0.02961	2.62	91897	2721	453015	2663222	28.98
1959	55-59	0.00843	0.04133	2.65	89176	3686	437209	2210206	24.78
1959	60-64	0.01234	0.05996	2.68	85490	5126	415561	1772998	20.74
1959	65-69	0.01957	0.09355	2.66	80364	7518	384194	1357437	16.89
1959	70-74	0.03147	0.14651	2.65	72846	10672	339110	973243	13.36
1959	75-79	0.05483	0.24208	2.58	62173	15051	274480	634133	10.20
1959	80-84	0.08769	0.36101	2.55	47122	17012	194008	359653	7.63
1959	85-89	0.14389	0.52386	2.4	30111	15774	109620	165645	5.50
1959	90-94	0.22948	0.69998	2.21	14337	10036	43731	56026	3.91
1959	95-99	0.33231	0.82867	1.98	4301	3564	10726	12295	2.86
1959	100-104	0.46061	0.91606	1.71	737	675	1466	1569	2.13
1959	105-109	0.59504	0.96039	1.47	62	59	100	103	1.67
1959	110+	0.70065	1.00000	1.43	2	2	3	3	1.43
1960	0	0.02031	0.01995	0.11	100000	1995	98224	7454447	74.54
1960	1-4	0.00083	0.00330	1.59	98005	324	391240	7356223	75.06
1960	5-9	0.00034	0.00169	2.27	97681	165	487954	6964983	71.30
1960	10-14	0.00028	0.00138	2.62	97516	135	487257	6477029	66.42
1960	15-19	0.00056	0.00278	2.74	97381	270	486293	5989773	61.51
1960	20-24	0.00065	0.00322	2.55	97110	313	484783	5503480	56.67
1960	25-29	0.00081	0.00405	2.59	96797	392	483043	5018696	51.85
1960	30-34	0.00116	0.00577	2.6	96405	557	480691	4535654	47.05
1960	35-39	0.00168	0.00837	2.67	95849	802	477371	4054962	42.31
1960	40-44	0.00273	0.01354	2.72	95047	1287	472294	3577591	37.64
1960	45-49	0.00413	0.02047	2.62	93759	1919	464221	3105297	33.12
1960	50-54	0.00613	0.03020	2.61	91841	2773	452585	2641076	28.76
1960	55-59	0.00866	0.04242	2.64	89067	3778	436434	2188491	24.57
1960	60-64	0.01266	0.06149	2.65	85289	5245	414134	1752057	20.54
1960	65-69	0.02015	0.09620	2.65	80044	7701	382106	1337923	16.71
1960	70-74	0.03226	0.14999	2.66	72344	10851	336364	955817	13.21
1960	75-79	0.05553	0.24519	2.62	61493	15077	271513	619453	10.07
1960	80-84	0.08944	0.36618	2.53	46416	16996	190022	347940	7.50
