PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CA,m,1960-1964,0,0.02636,0.02576,0.12,100000,2576,97722,6756027,67.56
CA,m,1960-1964,1,0.00155,0.00155,0.5,97424,151,97349,6658305,68.34
CA,m,1960-1964,2,0.00107,0.00107,0.5,97273,104,97221,6560956,67.45
CA,m,1960-1964,3,0.00080,0.00080,0.5,97169,78,97130,6463735,66.52
CA,m,1960-1964,4,0.00066,0.00066,0.5,97091,64,97059,6366604,65.57
CA,m,1960-1964,5,0.00055,0.00055,0.5,97027,53,97000,6269545,64.62
CA,m,1960-1964,6,0.00057,0.00057,0.5,96974,55,96946,6172545,63.65
CA,m,1960-1964,7,0.00049,0.00049,0.5,96919,47,96895,6075599,62.69
CA,m,1960-1964,8,0.00044,0.00044,0.5,96872,43,96850,5978703,61.72
CA,m,1960-1964,9,0.00041,0.00041,0.5,96829,40,96809,5881853,60.74
CA,m,1960-1964,10,0.00036,0.00036,0.5,96789,34,96772,5785044,59.77
CA,m,1960-1964,11,0.00036,0.00036,0.5,96755,35,96737,5688272,58.79
CA,m,1960-1964,12,0.00038,0.00038,0.5,96720,37,96701,5591535,57.81
CA,m,1960-1964,13,0.00049,0.00049,0.5,96682,48,96658,5494834,56.83
CA,m,1960-1964,14,0.00054,0.00054,0.5,96635,52,96609,5398176,55.86
CA,m,1960-1964,15,0.00070,0.00070,0.5,96583,67,96549,5301567,54.89
CA,m,1960-1964,16,0.00100,0.00100,0.5,96515,96,96467,5205018,53.93
CA,m,1960-1964,17,0.00119,0.00119,0.5,96419,115,96362,5108551,52.98
CA,m,1960-1964,18,0.00148,0.00148,0.5,96304,142,96233,5012189,52.05
CA,m,1960-1964,19,0.00170,0.00170,0.5,96162,163,96080,4915956,51.12
CA,m,1960-1964,20,0.00168,0.00168,0.5,95999,161,95918,4819876,50.21
CA,m,1960-1964,21,0.00186,0.00186,0.5,95837,178,95748,4723958,49.29
CA,m,1960-1964,22,0.00174,0.00174,0.5,95659,166,95576,4628210,48.38
CA,m,1960-1964,23,0.00182,0.00182,0.5,95493,174,95406,4532633,47.47
CA,m,1960-1964,24,0.00161,0.00161,0.5,95320,153,95243,4437227,46.55
CA,m,1960-1964,25,0.00159,0.00159,0.5,95167,151,95091,4341984,45.63
CA,m,1960-1964,26,0.00167,0.00166,0.5,95015,158,94936,4246893,44.70
CA,m,1960-1964,27,0.00166,0.00166,0.5,94857,158,94779,4151957,43.77
CA,m,1960-1964,28,0.00172,0.00172,0.5,94700,163,94618,4057178,42.84
CA,m,1960-1964,29,0.00170,0.00170,0.5,94537,161,94456,3962560,41.92
CA,m,1960-1964,30,0.00168,0.00168,0.5,94376,159,94297,3868103,40.99
CA,m,1960-1964,31,0.00182,0.00181,0.5,94218,171,94132,3773807,40.05
CA,m,1960-1964,32,0.00196,0.00196,0.5,94047,184,93955,3679675,39.13
CA,m,1960-1964,33,0.00211,0.00210,0.5,93863,198,93764,3585720,38.20
CA,m,1960-1964,34,0.00209,0.00209,0.5,93665,196,93567,3491956,37.28
CA,m,1960-1964,35,0.00225,0.00225,0.5,93469,210,93365,3398389,36.36
CA,m,1960-1964,36,0.00251,0.00250,0.5,93260,234,93143,3305024,35.44
CA,m,1960-1964,37,0.00272,0.00271,0.5,93026,252,92900,3211881,34.53
CA,m,1960-1964,38,0.00288,0.00288,0.5,92774,267,92640,3118981,33.62
CA,m,1960-1964,39,0.00328,0.00327,0.5,92507,303,92355,3026341,32.71
CA,m,1960-1964,40,0.00347,0.00346,0.5,92204,319,92044,2933986,31.82
CA,m,1960-1964,41,0.00370,0.00369,0.5,91885,339,91715,2841942,30.93
CA,m,1960-1964,42,0.00425,0.00424,0.5,91545,388,91351,2750227,30.04
CA,m,1960-1964,43,0.00460,0.00459,0.5,91157,419,90948,2658876,29.17
CA,m,1960-1964,44,0.00547,0.00546,0.5,90739,495,90491,2567928,28.30
CA,m,1960-1964,45,0.00594,0.00592,0.5,90243,534,89976,2477437,27.45
CA,m,1960-1964,46,0.00658,0.00656,0.5,89709,588,89415,2387460,26.61
CA,m,1960-1964,47,0.00696,0.00693,0.5,89121,618,88812,2298045,25.79
CA,m,1960-1964,48,0.00784,0.00781,0.5,88503,692,88158,2209233,24.96
CA,m,1960-1964,49,0.00870,0.00866,0.5,87812,760,87432,2121075,24.15
CA,m,1960-1964,50,0.00951,0.00947,0.5,87052,824,86639,2033643,23.36
CA,m,1960-1964,51,0.01077,0.01071,0.5,86227,924,85765,1947004,22.58
CA,m,1960-1964,52,0.01160,0.01153,0.5,85303,984,84811,1861238,21.82
CA,m,1960-1964,53,0.01268,0.01260,0.5,84319,1063,83788,1776427,21.07
CA,m,1960-1964,54,0.01413,0.01403,0.5,83257,1168,82673,1692639,20.33
CA,m,1960-1964,55,0.01521,0.01510,0.5,82088,1239,81469,1609966,19.61
CA,m,1960-1964,56,0.01665,0.01652,0.5,80849,1335,80181,1528498,18.91
CA,m,1960-1964,57,0.01833,0.01816,0.5,79514,1444,78792,1448316,18.21
CA,m,1960-1964,58,0.01989,0.01969,0.5,78070,1537,77301,1369525,17.54
CA,m,1960-1964,59,0.02083,0.02061,0.5,76532,1577,75744,1292224,16.88
CA,m,1960-1964,60,0.02243,0.02218,0.5,74955,1663,74123,1216480,16.23
CA,m,1960-1964,61,0.02402,0.02374,0.5,73292,1740,72422,1142357,15.59
CA,m,1960-1964,62,0.02693,0.02658,0.5,71552,1902,70602,1069935,14.95
CA,m,1960-1964,63,0.02925,0.02883,0.5,69651,2008,68647,999333,14.35
CA,m,1960-1964,64,0.03211,0.03160,0.5,67643,2138,66574,930686,13.76
CA,m,1960-1964,65,0.03577,0.03514,0.5,65505,2302,64354,864112,13.19
CA,m,1960-1964,66,0.03774,0.03705,0.5,63203,2341,62033,799758,12.65
CA,m,1960-1964,67,0.04064,0.03983,0.5,60862,2424,59650,737725,12.12
CA,m,1960-1964,68,0.04286,0.04196,0.5,58438,2452,57211,678076,11.60
CA,m,1960-1964,69,0.04579,0.04476,0.5,55985,2506,54732,620864,11.09
CA,m,1960-1964,70,0.04993,0.04871,0.5,53479,2605,52177,566132,10.59
CA,m,1960-1964,71,0.05165,0.05035,0.5,50874,2562,49593,513955,10.10
CA,m,1960-1964,72,0.05735,0.05576,0.5,48312,2694,46966,464362,9.61
CA,m,1960-1964,73,0.06188,0.06002,0.5,45619,2738,44250,417397,9.15
CA,m,1960-1964,74,0.06730,0.06511,0.5,42881,2792,41485,373147,8.70
CA,m,1960-1964,75,0.07203,0.06953,0.5,40089,2787,38695,331662,8.27
CA,m,1960-1964,76,0.07721,0.07434,0.5,37301,2773,35915,292967,7.85
CA,m,1960-1964,77,0.08331,0.07998,0.5,34529,2762,33148,257052,7.44
CA,m,1960-1964,78,0.08681,0.08320,0.5,31767,2643,30445,223905,7.05
CA,m,1960-1964,79,0.09588,0.09150,0.5,29124,2665,27792,193459,6.64
CA,m,1960-1964,80,0.10652,0.10113,0.5,26459,2676,25121,165668,6.26
CA,m,1960-1964,81,0.11397,0.10782,0.5,23783,2564,22501,140546,5.91
CA,m,1960-1964,82,0.12415,0.11689,0.5,21219,2480,19979,118045,5.56
CA,m,1960-1964,83,0.13646,0.12774,0.5,18739,2394,17542,98066,5.23
CA,m,1960-1964,84,0.15188,0.14116,0.5,16345,2307,15191,80524,4.93
CA,m,1960-1964,85,0.16092,0.14894,0.5,14038,2091,12992,65333,4.65
CA,m,1960-1964,86,0.17418,0.16023,0.5,11947,1914,10990,52341,4.38
CA,m,1960-1964,87,0.19327,0.17624,0.5,10033,1768,9149,41351,4.12
CA,m,1960-1964,88,0.20745,0.18795,0.5,8264,1553,7488,32203,3.90
CA,m,1960-1964,89,0.22416,0.20157,0.5,6711,1353,6035,24715,3.68
CA,m,1960-1964,90,0.24189,0.21579,0.5,5358,1156,4780,18680,3.49
CA,m,1960-1964,91,0.24728,0.22007,0.5,4202,925,3740,13900,3.31
CA,m,1960-1964,92,0.27786,0.24397,0.5,3277,800,2878,10160,3.10
CA,m,1960-1964,93,0.29792,0.25930,0.5,2478,642,2157,7283,2.94
CA,m,1960-1964,94,0.30912,0.26774,0.5,1835,491,1590,5126,2.79
CA,m,1960-1964,95,0.33752,0.28878,0.5,1344,388,1150,3536,2.63
CA,m,1960-1964,96,0.35960,0.30479,0.5,956,291,810,2387,2.50
CA,m,1960-1964,97,0.38228,0.32094,0.5,664,213,558,1576,2.37
CA,m,1960-1964,98,0.40550,0.33714,0.5,451,152,375,1019,2.26
CA,m,1960-1964,99,0.42914,0.35333,0.5,299,106,246,643,2.15
CA,m,1960-1964,100,0.45311,0.36942,0.5,193,71,158,397,2.05
CA,m,1960-1964,101,0.47731,0.38534,0.5,122,47,98,239,1.96
CA,m,1960-1964,102,0.50160,0.40103,0.5,75,30,60,141,1.88
CA,m,1960-1964,103,0.52589,0.41640,0.5,45,19,36,81,1.80
CA,m,1960-1964,104,0.55006,0.43141,0.5,26,11,21,45,1.73
CA,m,1960-1964,105,0.57400,0.44600,0.5,15,7,12,25,1.67
CA,m,1960-1964,106,0.59759,0.46011,0.5,8,4,6,13,1.61
CA,m,1960-1964,107,0.62074,0.47371,0.5,4,2,3,7,1.56
CA,m,1960-1964,108,0.64335,0.48677,0.5,2,1,2,4,1.52
CA,m,1960-1964,109,0.66534,0.49926,0.5,1,1,1,2,1.48
CA,m,1960-1964,110+,0.68664,1.00000,1.46,1,1,1,1,1.46
CA,m,1965-1969,0,0.02319,0.02272,0.11,100000,2272,97972,6775627,67.76
CA,m,1965-1969,1,0.00141,0.00141,0.5,97728,138,97660,6677655,68.33
CA,m,1965-1969,2,0.00102,0.00101,0.5,97591,99,97541,6579996,67.42
CA,m,1965-1969,3,0.00077,0.00077,0.5,97492,75,97454,6482455,66.49
CA,m,1965-1969,4,0.00063,0.00063,0.5,97417,61,97386,6385000,65.54
CA,m,1965-1969,5,0.00056,0.00056,0.5,97356,55,97328,6287614,64.58
CA,m,1965-1969,6,0.00048,0.00048,0.5,97301,47,97278,6190286,63.62
CA,m,1965-1969,7,0.00044,0.00044,0.5,97254,42,97233,6093008,62.65
CA,m,1965-1969,8,0.00042,0.00042,0.5,97212,40,97191,5995776,61.68
CA,m,1965-1969,9,0.00038,0.00038,0.5,97171,37,97153,5898584,60.70
CA,m,1965-1969,10,0.00035,0.00035,0.5,97135,34,97117,5801431,59.73
CA,m,1965-1969,11,0.00037,0.00037,0.5,97100,36,97082,5704314,58.75
CA,m,1965-1969,12,0.00040,0.00040,0.5,97064,39,97044,5607232,57.77
CA,m,1965-1969,13,0.00050,0.00050,0.5,97025,48,97001,5510188,56.79
CA,m,1965-1969,14,0.00059,0.00059,0.5,96976,57,96948,5413187,55.82
CA,m,1965-1969,15,0.00077,0.00077,0.5,96919,75,96882,5316239,54.85
CA,m,1965-1969,16,0.00116,0.00116,0.5,96845,112,96789,5219357,53.89
CA,m,1965-1969,17,0.00138,0.00137,0.5,96733,133,96666,5122569,52.96
CA,m,1965-1969,18,0.00177,0.00177,0.5,96600,171,96514,5025903,52.03
CA,m,1965-1969,19,0.00186,0.00186,0.5,96429,179,96339,4929388,51.12
CA,m,1965-1969,20,0.00195,0.00195,0.5,96249,187,96156,4833049,50.21
CA,m,1965-1969,21,0.00204,0.00204,0.5,96062,196,95964,4736894,49.31
CA,m,1965-1969,22,0.00198,0.00198,0.5,95866,190,95771,4640930,48.41
CA,m,1965-1969,23,0.00196,0.00196,0.5,95676,187,95583,4545159,47.51
CA,m,1965-1969,24,0.00186,0.00186,0.5,95489,177,95400,4449576,46.60
CA,m,1965-1969,25,0.00191,0.00191,0.5,95312,182,95221,4354176,45.68
CA,m,1965-1969,26,0.00176,0.00176,0.5,95130,167,95046,4258955,44.77
CA,m,1965-1969,27,0.00181,0.00180,0.5,94963,171,94877,4163909,43.85
CA,m,1965-1969,28,0.00184,0.00184,0.5,94792,175,94704,4069031,42.93
CA,m,1965-1969,29,0.00197,0.00197,0.5,94617,186,94524,3974327,42.00
CA,m,1965-1969,30,0.00191,0.00191,0.5,94431,180,94341,3879803,41.09
CA,m,1965-1969,31,0.00196,0.00195,0.5,94251,184,94158,3785462,40.16
CA,m,1965-1969,32,0.00199,0.00199,0.5,94066,187,93973,3691304,39.24
CA,m,1965-1969,33,0.00219,0.00218,0.5,93880,205,93777,3597331,38.32
