CA: California, Lifetables (period 5x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02484	0.02431	0.11	100000	2431	97841	6765032	67.65
1960-1969	1-4	0.00099	0.00395	1.65	97569	385	389372	6667192	68.33
1960-1969	5-9	0.00047	0.00236	2.32	97184	229	485308	6277820	64.60
1960-1969	10-14	0.00044	0.00218	2.75	96955	211	484301	5792512	59.74
1960-1969	15-19	0.00131	0.00654	2.9	96744	633	482395	5308211	54.87
1960-1969	20-24	0.00186	0.00928	2.47	96111	892	478301	4825816	50.21
1960-1969	25-29	0.00177	0.00882	2.52	95219	839	474016	4347515	45.66
1960-1969	30-34	0.00200	0.00996	2.6	94380	940	469646	3873499	41.04
1960-1969	35-39	0.00276	0.01371	2.66	93440	1281	464199	3403853	36.43
1960-1969	40-44	0.00434	0.02148	2.7	92159	1980	456247	2939654	31.90
1960-1969	45-49	0.00702	0.03452	2.68	90179	3113	443667	2483408	27.54
1960-1969	50-54	0.01142	0.05561	2.67	87066	4841	424032	2039741	23.43
1960-1969	55-59	0.01795	0.08611	2.63	82225	7080	394376	1615708	19.65
1960-1969	60-64	0.02685	0.12615	2.61	75145	9480	353082	1221333	16.25
1960-1969	65-69	0.03987	0.18166	2.56	65665	11929	299209	868250	13.22
1960-1969	70-74	0.05752	0.25192	2.54	53737	13537	235336	569041	10.59
1960-1969	75-79	0.08237	0.34094	2.48	40199	13706	166399	333705	8.30
1960-1969	80-84	0.12255	0.46585	2.43	26494	12342	100713	167306	6.31
1960-1969	85-89	0.18332	0.61212	2.29	14152	8663	47255	66593	4.71
1960-1969	90-94	0.26250	0.74566	2.1	5489	4093	15593	19339	3.52
1960-1969	95-99	0.35878	0.84964	1.9	1396	1186	3306	3746	2.68
1960-1969	100-104	0.46940	0.91830	1.69	210	193	411	440	2.10
1960-1969	105-109	0.58355	0.95668	1.49	17	16	28	29	1.70
1960-1969	110+	0.67410	1.00000	1.48	1	1	1	1	1.48
1970-1979	0	0.01623	0.01600	0.09	100000	1600	98542	6965332	69.65
1970-1979	1-4	0.00085	0.00338	1.7	98400	333	392836	6866790	69.78
1970-1979	5-9	0.00040	0.00200	2.29	98068	196	489806	6473953	66.02
1970-1979	10-14	0.00040	0.00197	2.78	97872	193	488929	5984147	61.14
1970-1979	15-19	0.00149	0.00742	2.98	97678	725	486924	5495218	56.26
1970-1979	20-24	0.00214	0.01064	2.48	96953	1032	482166	5008294	51.66
1970-1979	25-29	0.00199	0.00988	2.48	95922	948	477218	4526128	47.19
1970-1979	30-34	0.00199	0.00988	2.54	94974	938	472559	4048910	42.63
1970-1979	35-39	0.00253	0.01255	2.63	94036	1180	467380	3576351	38.03
1970-1979	40-44	0.00377	0.01871	2.66	92856	1737	460219	3108971	33.48
1970-1979	45-49	0.00599	0.02953	2.67	91118	2690	449332	2648752	29.07
1970-1979	50-54	0.00934	0.04572	2.65	88428	4043	432635	2199420	24.87
1970-1979	55-59	0.01457	0.07043	2.64	84385	5943	407928	1766785	20.94
1970-1979	60-64	0.02281	0.10821	2.63	78442	8489	372082	1358858	17.32
1970-1979	65-69	0.03400	0.15710	2.59	69954	10990	323271	986776	14.11
1970-1979	70-74	0.05071	0.22561	2.56	58964	13303	262354	663505	11.25
1970-1979	75-79	0.07597	0.31931	2.5	45661	14580	191913	401150	8.79
1970-1979	80-84	0.11203	0.43538	2.44	31081	13532	120787	209238	6.73
1970-1979	85-89	0.16726	0.57731	2.32	17549	10131	60571	88450	5.04
1970-1979	90-94	0.24343	0.71930	2.16	7418	5336	21918	27879	3.76
1970-1979	95-99	0.33370	0.82740	1.95	2082	1723	5163	5961	2.86
1970-1979	100-104	0.44102	0.90432	1.74	359	325	737	799	2.22
1970-1979	105-109	0.55445	0.94900	1.53	34	33	59	62	1.79
1970-1979	110+	0.64579	1.00000	1.55	2	2	3	3	1.55
1980-1989	0	0.01091	0.01080	0.07	100000	1080	99000	7178921	71.79
1980-1989	1-4	0.00060	0.00240	1.63	98920	238	395115	7079922	71.57
1980-1989	5-9	0.00030	0.00152	2.39	98682	150	493018	6684806	67.74
1980-1989	10-14	0.00033	0.00162	2.82	98532	160	492312	6191788	62.84
1980-1989	15-19	0.00124	0.00619	2.95	98372	609	490614	5699476	57.94
1980-1989	20-24	0.00175	0.00870	2.5	97763	851	486693	5208863	53.28
1980-1989	25-29	0.00180	0.00897	2.52	96913	869	482407	4722170	48.73
1980-1989	30-34	0.00213	0.01062	2.56	96043	1020	477731	4239763	44.14
1980-1989	35-39	0.00262	0.01302	2.57	95024	1237	472110	3762033	39.59
1980-1989	40-44	0.00338	0.01678	2.6	93787	1574	465163	3289923	35.08
1980-1989	45-49	0.00492	0.02433	2.64	92213	2243	455771	2824759	30.63
1980-1989	50-54	0.00777	0.03817	2.66	89970	3434	441829	2368988	26.33
1980-1989	55-59	0.01221	0.05933	2.64	86536	5134	420576	1927159	22.27
1980-1989	60-64	0.01877	0.08984	2.63	81402	7313	389669	1506583	18.51
1980-1989	65-69	0.02813	0.13183	2.62	74088	9767	347206	1116915	15.08
1980-1989	70-74	0.04361	0.19727	2.59	64321	12689	290980	769708	11.97
1980-1989	75-79	0.06658	0.28593	2.53	51632	14763	221754	478728	9.27
