CO: Colorado, Lifetables (period 1x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02011	0.01976	0.11	100000	1976	98240	7453812	74.54
1960-1969	1	0.00132	0.00132	0.5	98024	130	97959	7355572	75.04
1960-1969	2	0.00087	0.00087	0.5	97894	85	97852	7257612	74.14
1960-1969	3	0.00063	0.00063	0.5	97810	62	97779	7159760	73.20
1960-1969	4	0.00056	0.00056	0.5	97748	55	97720	7061982	72.25
1960-1969	5	0.00054	0.00054	0.5	97693	53	97666	6964261	71.29
1960-1969	6	0.00041	0.00041	0.5	97640	40	97620	6866595	70.33
1960-1969	7	0.00030	0.00030	0.5	97599	29	97585	6768976	69.35
1960-1969	8	0.00029	0.00029	0.5	97570	28	97556	6671391	68.38
1960-1969	9	0.00025	0.00025	0.5	97543	24	97530	6573834	67.39
1960-1969	10	0.00028	0.00028	0.5	97518	27	97505	6476304	66.41
1960-1969	11	0.00028	0.00028	0.5	97491	27	97478	6378799	65.43
1960-1969	12	0.00030	0.00030	0.5	97464	29	97449	6281321	64.45
1960-1969	13	0.00029	0.00028	0.5	97435	28	97421	6183872	63.47
1960-1969	14	0.00030	0.00030	0.5	97407	29	97392	6086452	62.48
1960-1969	15	0.00048	0.00048	0.5	97378	47	97354	5989059	61.50
1960-1969	16	0.00056	0.00056	0.5	97331	55	97303	5891705	60.53
1960-1969	17	0.00060	0.00060	0.5	97276	58	97247	5794402	59.57
1960-1969	18	0.00077	0.00077	0.5	97218	75	97180	5697155	58.60
1960-1969	19	0.00073	0.00073	0.5	97143	71	97107	5599974	57.65
1960-1969	20	0.00074	0.00074	0.5	97072	72	97036	5502867	56.69
1960-1969	21	0.00083	0.00083	0.5	97000	81	96959	5405832	55.73
1960-1969	22	0.00078	0.00078	0.5	96919	75	96881	5308872	54.78
1960-1969	23	0.00077	0.00077	0.5	96844	74	96806	5211991	53.82
1960-1969	24	0.00071	0.00071	0.5	96769	69	96735	5115185	52.86
1960-1969	25	0.00079	0.00079	0.5	96700	76	96662	5018450	51.90
1960-1969	26	0.00088	0.00088	0.5	96625	85	96582	4921787	50.94
1960-1969	27	0.00073	0.00073	0.5	96539	70	96504	4825205	49.98
1960-1969	28	0.00076	0.00076	0.5	96469	74	96432	4728701	49.02
1960-1969	29	0.00098	0.00098	0.5	96395	94	96348	4632269	48.05
1960-1969	30	0.00095	0.00095	0.5	96301	92	96255	4535921	47.10
1960-1969	31	0.00111	0.00111	0.5	96209	107	96156	4439666	46.15
1960-1969	32	0.00112	0.00112	0.5	96102	108	96049	4343510	45.20
1960-1969	33	0.00120	0.00120	0.5	95995	115	95937	4247461	44.25
1960-1969	34	0.00143	0.00143	0.5	95880	137	95811	4151524	43.30
1960-1969	35	0.00141	0.00141	0.5	95742	135	95675	4055713	42.36
1960-1969	36	0.00149	0.00149	0.5	95607	142	95536	3960038	41.42
1960-1969	37	0.00166	0.00166	0.5	95465	158	95386	3864502	40.48
1960-1969	38	0.00179	0.00179	0.5	95307	171	95221	3769116	39.55
1960-1969	39	0.00190	0.00190	0.5	95136	181	95046	3673895	38.62
1960-1969	40	0.00208	0.00208	0.5	94955	197	94857	3578849	37.69
1960-1969	41	0.00215	0.00215	0.5	94758	204	94656	3483993	36.77
1960-1969	42	0.00256	0.00256	0.5	94554	242	94433	3389337	35.85
1960-1969	43	0.00277	0.00276	0.5	94312	261	94182	3294904	34.94
1960-1969	44	0.00298	0.00297	0.5	94051	280	93911	3200722	34.03
1960-1969	45	0.00322	0.00321	0.5	93772	301	93621	3106811	33.13
1960-1969	46	0.00350	0.00350	0.5	93470	327	93307	3013190	32.24
1960-1969	47	0.00385	0.00384	0.5	93143	358	92964	2919883	31.35
1960-1969	48	0.00440	0.00439	0.5	92786	407	92582	2826918	30.47
1960-1969	49	0.00454	0.00453	0.5	92378	418	92169	2734336	29.60
1960-1969	50	0.00481	0.00480	0.5	91960	441	91739	2642167	28.73
1960-1969	51	0.00508	0.00507	0.5	91518	464	91286	2550428	27.87
1960-1969	52	0.00555	0.00553	0.5	91054	504	90802	2459142	27.01
1960-1969	53	0.00635	0.00633	0.5	90550	573	90264	2368340	26.15
1960-1969	54	0.00687	0.00684	0.5	89977	616	89669	2278076	25.32
1960-1969	55	0.00707	0.00704	0.5	89361	629	89046	2188408	24.49
1960-1969	56	0.00771	0.00768	0.5	88732	681	88391	2099361	23.66
1960-1969	57	0.00801	0.00798	0.5	88050	703	87699	2010970	22.84
1960-1969	58	0.00891	0.00887	0.5	87348	775	86960	1923271	22.02
1960-1969	59	0.00993	0.00988	0.5	86573	856	86145	1836311	21.21
1960-1969	60	0.01037	0.01032	0.5	85717	884	85275	1750166	20.42
1960-1969	61	0.01149	0.01142	0.5	84833	969	84348	1664892	19.63
1960-1969	62	0.01244	0.01236	0.5	83864	1037	83345	1580543	18.85
1960-1969	63	0.01435	0.01425	0.5	82827	1180	82237	1497198	18.08
1960-1969	64	0.01506	0.01495	0.5	81647	1221	81037	1414961	17.33
1960-1969	65	0.01616	0.01603	0.5	80426	1289	79782	1333925	16.59
1960-1969	66	0.01833	0.01816	0.5	79137	1437	78418	1254143	15.85
1960-1969	67	0.02079	0.02058	0.5	77700	1599	76900	1175725	15.13
1960-1969	68	0.02215	0.02191	0.5	76101	1667	75267	1098825	14.44
1960-1969	69	0.02487	0.02456	0.5	74433	1828	73519	1023558	13.75
1960-1969	70	0.02772	0.02734	0.5	72605	1985	71613	950038	13.08
1960-1969	71	0.02951	0.02908	0.5	70620	2054	69593	878426	12.44
1960-1969	72	0.03373	0.03317	0.5	68566	2274	67429	808833	11.80
1960-1969	73	0.03837	0.03765	0.5	66292	2496	65044	741403	11.18
1960-1969	74	0.04204	0.04117	0.5	63796	2627	62483	676359	10.60
1960-1969	75	0.04832	0.04718	0.5	61170	2886	59727	613876	10.04
1960-1969	76	0.05286	0.05150	0.5	58284	3002	56783	554149	9.51
1960-1969	77	0.05645	0.05490	0.5	55282	3035	53765	497366	9.00
1960-1969	78	0.06647	0.06433	0.5	52247	3361	50567	443602	8.49
1960-1969	79	0.07570	0.07294	0.5	48886	3566	47103	393035	8.04
1960-1969	80	0.06858	0.06630	0.5	45320	3005	43818	345932	7.63
1960-1969	81	0.07645	0.07363	0.5	42315	3116	40758	302114	7.14
1960-1969	82	0.08585	0.08232	0.5	39200	3227	37586	261356	6.67
1960-1969	83	0.09959	0.09487	0.5	35973	3413	34267	223770	6.22
1960-1969	84	0.10617	0.10082	0.5	32560	3283	30919	189503	5.82
1960-1969	85	0.12323	0.11608	0.5	29278	3399	27578	158584	5.42
1960-1969	86	0.13504	0.12650	0.5	25879	3274	24242	131006	5.06
