CO: Colorado, Lifetables (period 1x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02879	0.02808	0.12	100000	2808	97536	6858160	68.58
1960-1969	1	0.00179	0.00179	0.5	97192	174	97106	6760624	69.56
1960-1969	2	0.00110	0.00110	0.5	97019	107	96965	6663518	68.68
1960-1969	3	0.00088	0.00088	0.5	96912	85	96869	6566553	67.76
1960-1969	4	0.00072	0.00072	0.5	96827	70	96792	6469684	66.82
1960-1969	5	0.00059	0.00059	0.5	96757	57	96728	6372892	65.86
1960-1969	6	0.00052	0.00052	0.5	96700	50	96675	6276163	64.90
1960-1969	7	0.00047	0.00047	0.5	96650	45	96627	6179489	63.94
1960-1969	8	0.00046	0.00046	0.5	96604	44	96582	6082862	62.97
1960-1969	9	0.00046	0.00046	0.5	96560	44	96538	5986279	62.00
1960-1969	10	0.00047	0.00047	0.5	96516	45	96493	5889742	61.02
1960-1969	11	0.00044	0.00044	0.5	96470	42	96449	5793249	60.05
1960-1969	12	0.00054	0.00054	0.5	96428	52	96402	5696799	59.08
1960-1969	13	0.00058	0.00058	0.5	96376	56	96348	5600397	58.11
1960-1969	14	0.00076	0.00076	0.5	96320	73	96284	5504049	57.14
1960-1969	15	0.00106	0.00105	0.5	96247	102	96196	5407765	56.19
1960-1969	16	0.00126	0.00126	0.5	96146	121	96085	5311568	55.24
1960-1969	17	0.00152	0.00152	0.5	96025	146	95952	5215483	54.31
1960-1969	18	0.00172	0.00172	0.5	95879	165	95797	5119531	53.40
1960-1969	19	0.00177	0.00176	0.5	95714	169	95630	5023734	52.49
1960-1969	20	0.00189	0.00189	0.5	95546	181	95455	4928104	51.58
1960-1969	21	0.00216	0.00216	0.5	95365	206	95262	4832649	50.68
1960-1969	22	0.00200	0.00199	0.5	95159	190	95064	4737387	49.78
1960-1969	23	0.00194	0.00194	0.5	94969	184	94878	4642323	48.88
1960-1969	24	0.00171	0.00171	0.5	94786	162	94705	4547445	47.98
1960-1969	25	0.00185	0.00185	0.5	94623	175	94536	4452741	47.06
1960-1969	26	0.00190	0.00190	0.5	94449	179	94359	4358205	46.14
1960-1969	27	0.00152	0.00152	0.5	94270	143	94198	4263845	45.23
1960-1969	28	0.00185	0.00184	0.5	94127	174	94040	4169647	44.30
1960-1969	29	0.00190	0.00190	0.5	93953	179	93864	4075607	43.38
1960-1969	30	0.00173	0.00173	0.5	93775	162	93693	3981743	42.46
1960-1969	31	0.00173	0.00173	0.5	93612	162	93532	3888050	41.53
1960-1969	32	0.00195	0.00195	0.5	93451	182	93360	3794518	40.60
1960-1969	33	0.00202	0.00202	0.5	93269	188	93174	3701159	39.68
1960-1969	34	0.00228	0.00228	0.5	93080	212	92974	3607984	38.76
1960-1969	35	0.00224	0.00224	0.5	92868	208	92765	3515010	37.85
1960-1969	36	0.00249	0.00249	0.5	92661	231	92545	3422245	36.93
1960-1969	37	0.00270	0.00270	0.5	92430	249	92305	3329700	36.02
1960-1969	38	0.00302	0.00302	0.5	92181	278	92042	3237395	35.12
1960-1969	39	0.00342	0.00342	0.5	91903	314	91746	3145353	34.22
1960-1969	40	0.00359	0.00359	0.5	91588	329	91424	3053608	33.34
1960-1969	41	0.00383	0.00382	0.5	91260	349	91086	2962184	32.46
1960-1969	42	0.00399	0.00398	0.5	90911	362	90730	2871098	31.58
1960-1969	43	0.00451	0.00450	0.5	90549	408	90345	2780368	30.71
1960-1969	44	0.00509	0.00507	0.5	90141	457	89913	2690023	29.84
1960-1969	45	0.00551	0.00549	0.5	89684	493	89438	2600110	28.99
1960-1969	46	0.00576	0.00574	0.5	89191	512	88935	2510672	28.15
1960-1969	47	0.00677	0.00674	0.5	88679	598	88380	2421737	27.31
1960-1969	48	0.00755	0.00752	0.5	88081	662	87750	2333357	26.49
1960-1969	49	0.00819	0.00816	0.5	87419	713	87062	2245607	25.69
1960-1969	50	0.00829	0.00826	0.5	86706	716	86348	2158544	24.90
1960-1969	51	0.00949	0.00945	0.5	85990	812	85583	2072197	24.10
1960-1969	52	0.01031	0.01026	0.5	85177	874	84740	1986613	23.32
1960-1969	53	0.01134	0.01127	0.5	84303	950	83828	1901873	22.56
1960-1969	54	0.01239	0.01231	0.5	83353	1026	82840	1818045	21.81
1960-1969	55	0.01304	0.01295	0.5	82327	1066	81793	1735205	21.08
1960-1969	56	0.01445	0.01435	0.5	81260	1166	80677	1653412	20.35
1960-1969	57	0.01491	0.01480	0.5	80094	1186	79501	1572734	19.64
1960-1969	58	0.01647	0.01633	0.5	78909	1289	78264	1493233	18.92
1960-1969	59	0.01838	0.01821	0.5	77620	1414	76913	1414968	18.23
1960-1969	60	0.01956	0.01937	0.5	76206	1476	75468	1338055	17.56
1960-1969	61	0.02109	0.02087	0.5	74730	1560	73951	1262587	16.90
1960-1969	62	0.02328	0.02301	0.5	73171	1684	72329	1188636	16.24
1960-1969	63	0.02447	0.02417	0.5	71487	1728	70623	1116307	15.62
1960-1969	64	0.02548	0.02516	0.5	69759	1755	68882	1045684	14.99
1960-1969	65	0.02854	0.02814	0.5	68004	1913	67047	976803	14.36
1960-1969	66	0.03037	0.02992	0.5	66091	1977	65102	909755	13.77
1960-1969	67	0.03139	0.03091	0.5	64114	1982	63123	844653	13.17
1960-1969	68	0.03452	0.03394	0.5	62132	2108	61078	781530	12.58
1960-1969	69	0.03842	0.03770	0.5	60023	2263	58892	720452	12.00
1960-1969	70	0.04136	0.04052	0.5	57761	2341	56591	661560	11.45
1960-1969	71	0.04381	0.04287	0.5	55420	2376	54232	604970	10.92
1960-1969	72	0.04753	0.04643	0.5	53044	2463	51813	550737	10.38
1960-1969	73	0.04863	0.04748	0.5	50582	2401	49381	498924	9.86
1960-1969	74	0.05518	0.05370	0.5	48180	2587	46886	449544	9.33
