PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CO,m,1959,0,0.03252,0.03163,0.13,100000,3163,97256,6762576,67.63
CO,m,1959,1-4,0.00121,0.00483,1.64,96837,467,386246,6665321,68.83
CO,m,1959,5-9,0.00058,0.00288,2.33,96370,278,481108,6279074,65.16
CO,m,1959,10-14,0.00078,0.00388,2.96,96092,373,479700,5797966,60.34
CO,m,1959,15-19,0.00122,0.00610,2.71,95719,584,477260,5318266,55.56
CO,m,1959,20-24,0.00186,0.00926,2.5,95135,881,473476,4841006,50.89
CO,m,1959,25-29,0.00187,0.00931,2.42,94255,877,469009,4367530,46.34
CO,m,1959,30-34,0.00214,0.01065,2.59,93378,994,464491,3898521,41.75
CO,m,1959,35-39,0.00273,0.01355,2.65,92383,1252,458979,3434030,37.17
CO,m,1959,40-44,0.00411,0.02035,2.58,91131,1854,451167,2975051,32.65
CO,m,1959,45-49,0.00664,0.03271,2.81,89277,2920,439997,2523884,28.27
CO,m,1959,50-54,0.01132,0.05514,2.63,86356,4762,420487,2083887,24.13
CO,m,1959,55-59,0.01661,0.08002,2.73,81595,6529,393139,1663400,20.39
CO,m,1959,60-64,0.02389,0.11302,2.61,75066,8484,355076,1270260,16.92
CO,m,1959,65-69,0.03546,0.16335,2.59,66582,10876,306751,915184,13.75
CO,m,1959,70-74,0.05296,0.23422,2.54,55706,13047,246374,608433,10.92
CO,m,1959,75-79,0.07477,0.31591,2.55,42659,13477,180230,362059,8.49
CO,m,1959,80-84,0.12410,0.47136,2.45,29182,13755,110838,181829,6.23
CO,m,1959,85-89,0.18934,0.62812,2.32,15427,9690,51177,70991,4.60
CO,m,1959,90-94,0.26831,0.75405,2.1,5737,4326,16123,19815,3.45
CO,m,1959,95-99,0.36882,0.85790,1.88,1411,1210,3282,3692,2.62
CO,m,1959,100-104,0.48206,0.92399,1.66,200,185,384,410,2.04
CO,m,1959,105-109,0.59770,0.96005,1.47,15,15,24,25,1.66
CO,m,1959,110+,0.68868,1.00000,1.45,1,1,1,1,1.45
CO,m,1960,0,0.03182,0.03096,0.13,100000,3096,97308,6777216,67.77
CO,m,1960,1-4,0.00121,0.00482,1.69,96904,467,386538,6679908,68.93
CO,m,1960,5-9,0.00046,0.00230,2.35,96437,222,481596,6293370,65.26
CO,m,1960,10-14,0.00070,0.00349,2.61,96215,336,480269,5811774,60.40
CO,m,1960,15-19,0.00142,0.00707,2.48,95879,678,477687,5331505,55.61
CO,m,1960,20-24,0.00185,0.00922,2.53,95201,877,473836,4853818,50.99
CO,m,1960,25-29,0.00202,0.01006,2.56,94323,948,469304,4379982,46.44
CO,m,1960,30-34,0.00183,0.00913,2.86,93375,852,465047,3910678,41.88
CO,m,1960,35-39,0.00256,0.01271,2.51,92522,1176,459681,3445631,37.24
CO,m,1960,40-44,0.00413,0.02046,2.95,91347,1869,452896,2985950,32.69
CO,m,1960,45-49,0.00664,0.03271,2.73,89478,2927,440738,2533054,28.31
CO,m,1960,50-54,0.01036,0.05052,2.59,86551,4372,422224,2092316,24.17
CO,m,1960,55-59,0.01566,0.07552,2.65,82178,6206,396295,1670092,20.32
CO,m,1960,60-64,0.02363,0.11180,2.6,75972,8493,359443,1273798,16.77
CO,m,1960,65-69,0.03737,0.17145,2.6,67479,11570,309634,914354,13.55
CO,m,1960,70-74,0.05344,0.23696,2.61,55910,13248,247911,604720,10.82
CO,m,1960,75-79,0.07722,0.32267,2.45,42661,13765,178259,356810,8.36
