PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CT,b,1959,0,0.02244,0.02200,0.11,100000,2200,98046,7108985,71.09
CT,b,1959,1-4,0.00080,0.00319,1.67,97800,312,390474,7010940,71.69
CT,b,1959,5-9,0.00043,0.00215,2.32,97488,210,486877,6620466,67.91
CT,b,1959,10-14,0.00037,0.00184,2.66,97278,179,485972,6133589,63.05
CT,b,1959,15-19,0.00061,0.00304,2.96,97099,296,484895,5647618,58.16
CT,b,1959,20-24,0.00089,0.00442,2.22,96804,428,482830,5162723,53.33
CT,b,1959,25-29,0.00085,0.00423,2.55,96376,408,480880,4679893,48.56
CT,b,1959,30-34,0.00116,0.00576,2.53,95968,553,478472,4199013,43.75
CT,b,1959,35-39,0.00175,0.00872,2.75,95415,832,475202,3720541,38.99
CT,b,1959,40-44,0.00298,0.01479,2.73,94583,1399,469734,3245339,34.31
CT,b,1959,45-49,0.00495,0.02448,2.74,93184,2281,460753,2775604,29.79
CT,b,1959,50-54,0.00815,0.04002,2.72,90903,3638,446201,2314851,25.47
CT,b,1959,55-59,0.01304,0.06324,2.64,87265,5519,423293,1868650,21.41
CT,b,1959,60-64,0.02061,0.09832,2.66,81746,8037,389939,1445358,17.68
CT,b,1959,65-69,0.03249,0.15060,2.58,73709,11101,341640,1055418,14.32
CT,b,1959,70-74,0.04741,0.21277,2.59,62609,13322,280969,713778,11.40
CT,b,1959,75-79,0.07403,0.31241,2.5,49287,15398,208005,432809,8.78
CT,b,1959,80-84,0.11311,0.44146,2.52,33889,14961,132269,224804,6.63
CT,b,1959,85-89,0.17282,0.58790,2.28,18928,11128,64392,92535,4.89
CT,b,1959,90-94,0.25377,0.73469,2.13,7800,5731,22583,28143,3.61
CT,b,1959,95-99,0.35749,0.84960,1.91,2069,1758,4918,5560,2.69
CT,b,1959,100-104,0.47718,0.92257,1.68,311,287,602,642,2.06
CT,b,1959,105-109,0.60092,0.96118,1.46,24,23,39,40,1.66
CT,b,1959,110+,0.69837,1.00000,1.43,1,1,1,1,1.43
CT,b,1960,0,0.02143,0.02103,0.11,100000,2103,98124,7105343,71.05
CT,b,1960,1-4,0.00074,0.00294,1.52,97897,288,390874,7007219,71.58
CT,b,1960,5-9,0.00037,0.00186,2.09,97609,181,487520,6616346,67.78
CT,b,1960,10-14,0.00037,0.00185,2.7,97428,180,486725,6128825,62.91
CT,b,1960,15-19,0.00065,0.00327,2.78,97248,318,485534,5642100,58.02
CT,b,1960,20-24,0.00101,0.00505,2.46,96930,490,483404,5156566,53.20
CT,b,1960,25-29,0.00103,0.00514,2.49,96440,495,480958,4673162,48.46
CT,b,1960,30-34,0.00115,0.00575,2.6,95945,552,478401,4192204,43.69
CT,b,1960,35-39,0.00188,0.00935,2.65,95393,892,474865,3713802,38.93
CT,b,1960,40-44,0.00307,0.01522,2.74,94501,1439,469257,3238937,34.27
CT,b,1960,45-49,0.00519,0.02562,2.69,93062,2384,459805,2769679,29.76
CT,b,1960,50-54,0.00830,0.04071,2.64,90678,3691,444674,2309874,25.47
CT,b,1960,55-59,0.01261,0.06124,2.65,86986,5327,422391,1865200,21.44
CT,b,1960,60-64,0.02073,0.09882,2.64,81660,8070,389245,1442809,17.67
CT,b,1960,65-69,0.03191,0.14830,2.62,73590,10913,342022,1053564,14.32
CT,b,1960,70-74,0.05078,0.22546,2.51,62677,14131,278249,711542,11.35
CT,b,1960,75-79,0.07477,0.31623,2.56,48546,15352,205321,433293,8.93
CT,b,1960,80-84,0.10775,0.42436,2.5,33194,14086,130730,227972,6.87
