PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
DC,b,1960-1964,0,0.03708,0.03595,0.15,100000,3595,96947,6627143,66.27
DC,b,1960-1964,1-4,0.00102,0.00406,1.54,96405,391,384660,6530196,67.74
DC,b,1960-1964,5-9,0.00056,0.00278,2.27,96014,267,479341,6145536,64.01
DC,b,1960-1964,10-14,0.00039,0.00194,2.7,95747,186,478304,5666195,59.18
DC,b,1960-1964,15-19,0.00080,0.00400,2.9,95560,382,477001,5187891,54.29
DC,b,1960-1964,20-24,0.00131,0.00652,2.55,95179,620,474373,4710890,49.50
DC,b,1960-1964,25-29,0.00189,0.00940,2.65,94558,888,470700,4236517,44.80
DC,b,1960-1964,30-34,0.00288,0.01431,2.76,93670,1341,465350,3765817,40.20
DC,b,1960-1964,35-39,0.00491,0.02426,2.69,92329,2240,456477,3300466,35.75
DC,b,1960-1964,40-44,0.00708,0.03483,2.63,90090,3137,443006,2843990,31.57
DC,b,1960-1964,45-49,0.00990,0.04836,2.62,86952,4205,424757,2400983,27.61
DC,b,1960-1964,50-54,0.01404,0.06791,2.6,82747,5620,400271,1976226,23.88
DC,b,1960-1964,55-59,0.01906,0.09117,2.62,77128,7032,368928,1575955,20.43
DC,b,1960-1964,60-64,0.02531,0.11932,2.6,70096,8364,330432,1207027,17.22
DC,b,1960-1964,65-69,0.03433,0.15822,2.52,61732,9767,284473,876595,14.20
DC,b,1960-1964,70-74,0.04818,0.21508,2.51,51965,11176,231973,592122,11.39
DC,b,1960-1964,75-79,0.06983,0.29688,2.48,40788,12109,173419,360150,8.83
DC,b,1960-1964,80-84,0.12049,0.45887,2.4,28679,13160,109221,186731,6.51
DC,b,1960-1964,85-89,0.17162,0.58589,2.29,15519,9093,52983,77510,4.99
DC,b,1960-1964,90-94,0.23959,0.71149,2.15,6427,4572,19085,24527,3.82
DC,b,1960-1964,95-99,0.32506,0.81824,1.97,1854,1517,4667,5442,2.94
DC,b,1960-1964,100-104,0.42525,0.89507,1.77,337,302,709,775,2.30
DC,b,1960-1964,105-109,0.53335,0.94235,1.57,35,33,62,66,1.86
DC,b,1960-1964,110+,0.62184,1.00000,1.61,2,2,3,3,1.61
DC,b,1965-1969,0,0.03127,0.03045,0.14,100000,3045,97366,6573428,65.73
DC,b,1965-1969,1-4,0.00110,0.00438,1.65,96955,425,386822,6476062,66.79
DC,b,1965-1969,5-9,0.00049,0.00246,2.36,96530,237,482027,6089239,63.08
DC,b,1965-1969,10-14,0.00038,0.00190,2.66,96293,183,481037,5607213,58.23
DC,b,1965-1969,15-19,0.00096,0.00480,2.73,96110,462,479502,5126175,53.34
DC,b,1965-1969,20-24,0.00170,0.00849,2.69,95648,812,476366,4646674,48.58
DC,b,1965-1969,25-29,0.00235,0.01170,2.52,94836,1109,471435,4170307,43.97
DC,b,1965-1969,30-34,0.00357,0.01768,2.63,93727,1657,464705,3698872,39.46
DC,b,1965-1969,35-39,0.00564,0.02782,2.66,92070,2562,454358,3234168,35.13
