DE: Delaware, Lifetables (period 1x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02576	0.02519	0.12	100000	2519	97782	6965331	69.65
1959	1	0.00151	0.00150	0.5	97481	147	97408	6867549	70.45
1959	2	0.00091	0.00091	0.5	97334	88	97290	6770142	69.56
1959	3	0.00093	0.00093	0.5	97246	91	97201	6672851	68.62
1959	4	0.00057	0.00057	0.5	97155	55	97128	6575651	67.68
1959	5	0.00059	0.00059	0.5	97100	57	97071	6478523	66.72
1959	6	0.00041	0.00041	0.5	97043	40	97023	6381451	65.76
1959	7	0.00022	0.00022	0.5	97003	21	96993	6284428	64.79
1959	8	0.00000	0.00000	0.5	96982	0	96982	6187436	63.80
1959	9	0.00012	0.00012	0.5	96982	12	96976	6090454	62.80
1959	10	0.00047	0.00047	0.5	96970	46	96947	5993477	61.81
1959	11	0.00035	0.00035	0.5	96925	34	96908	5896530	60.84
1959	12	0.00036	0.00036	0.5	96891	35	96873	5799622	59.86
1959	13	0.00014	0.00014	0.5	96856	13	96849	5702749	58.88
1959	14	0.00046	0.00046	0.5	96842	45	96820	5605899	57.89
1959	15	0.00061	0.00061	0.5	96798	59	96768	5509079	56.91
1959	16	0.00062	0.00062	0.5	96738	60	96708	5412312	55.95
1959	17	0.00205	0.00204	0.5	96678	198	96579	5315604	54.98
1959	18	0.00094	0.00094	0.5	96480	91	96435	5219024	54.09
1959	19	0.00111	0.00111	0.5	96390	107	96336	5122590	53.14
1959	20	0.00072	0.00072	0.5	96282	69	96248	5026254	52.20
1959	21	0.00165	0.00165	0.5	96213	158	96134	4930006	51.24
1959	22	0.00095	0.00095	0.5	96055	91	96009	4833872	50.32
1959	23	0.00057	0.00057	0.5	95963	54	95936	4737863	49.37
1959	24	0.00108	0.00108	0.5	95909	104	95857	4641927	48.40
1959	25	0.00105	0.00104	0.5	95805	100	95755	4546070	47.45
1959	26	0.00134	0.00134	0.5	95705	128	95641	4450315	46.50
1959	27	0.00162	0.00162	0.5	95577	155	95499	4354674	45.56
1959	28	0.00112	0.00112	0.5	95422	107	95368	4259174	44.64
1959	29	0.00124	0.00124	0.5	95315	118	95256	4163806	43.68
1959	30	0.00138	0.00138	0.5	95197	131	95131	4068550	42.74
1959	31	0.00154	0.00154	0.5	95066	147	94992	3973419	41.80
1959	32	0.00141	0.00141	0.5	94919	134	94852	3878426	40.86
1959	33	0.00093	0.00093	0.5	94786	88	94742	3783574	39.92
1959	34	0.00089	0.00089	0.5	94698	85	94656	3688832	38.95
1959	35	0.00192	0.00192	0.5	94613	181	94523	3594177	37.99
1959	36	0.00206	0.00205	0.5	94432	194	94335	3499654	37.06
1959	37	0.00234	0.00234	0.5	94238	220	94128	3405319	36.14
1959	38	0.00297	0.00297	0.5	94018	279	93878	3311191	35.22
1959	39	0.00182	0.00182	0.5	93739	170	93653	3217313	34.32
1959	40	0.00230	0.00230	0.5	93568	215	93460	3123660	33.38
1959	41	0.00384	0.00384	0.5	93353	358	93174	3030199	32.46
1959	42	0.00372	0.00371	0.5	92995	345	92822	2937026	31.58
1959	43	0.00316	0.00316	0.5	92649	292	92503	2844204	30.70
1959	44	0.00606	0.00604	0.5	92357	558	92078	2751701	29.79
1959	45	0.00471	0.00469	0.5	91799	431	91583	2659623	28.97
1959	46	0.00452	0.00451	0.5	91368	412	91162	2568040	28.11
1959	47	0.00637	0.00635	0.5	90956	577	90667	2476878	27.23
1959	48	0.00738	0.00735	0.5	90379	664	90047	2386211	26.40
1959	49	0.00620	0.00618	0.5	89715	554	89437	2296164	25.59
1959	50	0.00913	0.00909	0.5	89160	811	88755	2206726	24.75
1959	51	0.00570	0.00568	0.5	88350	502	88099	2117971	23.97
1959	52	0.01248	0.01240	0.5	87848	1089	87303	2029873	23.11
1959	53	0.01145	0.01139	0.5	86759	988	86264	1942569	22.39
1959	54	0.01264	0.01256	0.5	85770	1078	85232	1856305	21.64
1959	55	0.01229	0.01222	0.5	84693	1035	84176	1771073	20.91
1959	56	0.01240	0.01232	0.5	83658	1031	83143	1686898	20.16
1959	57	0.01537	0.01525	0.5	82627	1260	81997	1603755	19.41
1959	58	0.01924	0.01906	0.5	81367	1551	80592	1521758	18.70
1959	59	0.01854	0.01837	0.5	79817	1466	79084	1441166	18.06
1959	60	0.02004	0.01984	0.5	78351	1555	77573	1362082	17.38
1959	61	0.02386	0.02358	0.5	76796	1811	75890	1284509	16.73
1959	62	0.01471	0.01460	0.5	74985	1095	74437	1208619	16.12
1959	63	0.02384	0.02356	0.5	73890	1741	73019	1134182	15.35
1959	64	0.02666	0.02631	0.5	72149	1898	71200	1061162	14.71
1959	65	0.02532	0.02501	0.5	70251	1757	69372	989963	14.09
1959	66	0.02678	0.02643	0.5	68494	1810	67589	920590	13.44
1959	67	0.03579	0.03516	0.5	66684	2345	65512	853001	12.79
1959	68	0.03954	0.03877	0.5	64339	2494	63092	787490	12.24
1959	69	0.03758	0.03689	0.5	61845	2281	60704	724398	11.71
1959	70	0.04331	0.04239	0.5	59563	2525	58301	663694	11.14
1959	71	0.04904	0.04787	0.5	57039	2730	55673	605393	10.61
1959	72	0.05850	0.05684	0.5	54308	3087	52765	549719	10.12
1959	73	0.05283	0.05147	0.5	51221	2637	49903	496955	9.70
1959	74	0.06797	0.06573	0.5	48585	3194	46988	447052	9.20
1959	75	0.06108	0.05927	0.5	45391	2690	44046	400064	8.81
1959	76	0.07097	0.06854	0.5	42701	2927	41237	356018	8.34
1959	77	0.06780	0.06558	0.5	39774	2608	38470	314780	7.91
1959	78	0.08664	0.08304	0.5	37166	3086	35622	276311	7.43
1959	79	0.08825	0.08452	0.5	34079	2881	32639	240688	7.06
1959	80	0.09287	0.08875	0.5	31199	2769	29814	208049	6.67
1959	81	0.10193	0.09699	0.5	28430	2757	27051	178235	6.27
1959	82	0.11185	0.10593	0.5	25672	2719	24313	151184	5.89
1959	83	0.12270	0.11561	0.5	22953	2654	21626	126871	5.53
1959	84	0.13454	0.12606	0.5	20299	2559	19020	105245	5.18
1959	85	0.14745	0.13732	0.5	17740	2436	16522	86225	4.86
1959	86	0.16146	0.14940	0.5	15304	2286	14161	69703	4.55
1959	87	0.17665	0.16232	0.5	13018	2113	11961	55542	4.27
1959	88	0.19306	0.17607	0.5	10905	1920	9945	43580	4.00
1959	89	0.21073	0.19064	0.5	8985	1713	8128	33636	3.74
1959	90	0.22966	0.20601	0.5	7272	1498	6523	25507	3.51
1959	91	0.24988	0.22212	0.5	5774	1283	5133	18984	3.29
1959	92	0.27135	0.23894	0.5	4491	1073	3955	13852	3.08
1959	93	0.29405	0.25636	0.5	3418	876	2980	9897	2.90
1959	94	0.31791	0.27431	0.5	2542	697	2193	6917	2.72
1959	95	0.34285	0.29268	0.5	1845	540	1575	4724	2.56
1959	96	0.36874	0.31134	0.5	1305	406	1102	3149	2.41
1959	97	0.39546	0.33018	0.5	899	297	750	2047	2.28
1959	98	0.42285	0.34905	0.5	602	210	497	1297	2.16
1959	99	0.45074	0.36784	0.5	392	144	320	800	2.04
1959	100	0.47893	0.38640	0.5	248	96	200	481	1.94
1959	101	0.50723	0.40462	0.5	152	61	121	281	1.85
1959	102	0.53546	0.42238	0.5	90	38	71	160	1.76
1959	103	0.56341	0.43958	0.5	52	23	41	88	1.69
1959	104	0.59090	0.45614	0.5	29	13	23	47	1.62
1959	105	0.61777	0.47198	0.5	16	8	12	25	1.56
1959	106	0.64387	0.48707	0.5	8	4	6	13	1.50
1959	107	0.66907	0.50135	0.5	4	2	3	6	1.45
1959	108	0.69326	0.51481	0.5	2	1	2	3	1.41
1959	109	0.71636	0.52744	0.5	1	1	1	1	1.38
1959	110+	0.73831	1.00000	1.35	0	0	1	1	1.35
1960	0	0.02445	0.02393	0.12	100000	2393	97888	6908481	69.08
1960	1	0.00133	0.00133	0.5	97607	130	97542	6810594	69.78
1960	2	0.00053	0.00053	0.5	97477	52	97451	6713052	68.87
1960	3	0.00072	0.00072	0.5	97425	70	97390	6615601	67.90
1960	4	0.00028	0.00028	0.5	97355	27	97341	6518210	66.95
1960	5	0.00047	0.00047	0.5	97328	46	97305	6420869	65.97
1960	6	0.00108	0.00108	0.5	97282	105	97229	6323564	65.00
1960	7	0.00061	0.00061	0.5	97177	60	97147	6226335	64.07
1960	8	0.00032	0.00032	0.5	97117	32	97101	6129188	63.11
1960	9	0.00000	0.00000	0.5	97086	0	97086	6032087	62.13
1960	10	0.00000	0.00000	0.5	97086	0	97086	5935001	61.13
1960	11	0.00071	0.00071	0.5	97086	69	97051	5837916	60.13
1960	12	0.00023	0.00023	0.5	97017	22	97006	5740864	59.17
1960	13	0.00072	0.00072	0.5	96994	70	96959	5643859	58.19
1960	14	0.00097	0.00097	0.5	96924	94	96877	5546899	57.23
1960	15	0.00046	0.00046	0.5	96830	45	96808	5450022	56.28
1960	16	0.00076	0.00076	0.5	96785	74	96748	5353214	55.31
1960	17	0.00062	0.00062	0.5	96712	60	96682	5256466	54.35
1960	18	0.00152	0.00152	0.5	96652	147	96578	5159784	53.39
1960	19	0.00130	0.00130	0.5	96505	126	96442	5063206	52.47
1960	20	0.00165	0.00165	0.5	96379	159	96299	4966764	51.53
1960	21	0.00107	0.00107	0.5	96220	103	96168	4870465	50.62
1960	22	0.00164	0.00164	0.5	96117	158	96038	4774296	49.67
1960	23	0.00076	0.00076	0.5	95959	73	95923	4678259	48.75
1960	24	0.00188	0.00188	0.5	95886	180	95796	4582336	47.79
