DE: Delaware, Lifetables (period 1x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02321	0.02274	0.11	100000	2274	97982	6955573	69.56
1960-1969	1	0.00136	0.00136	0.5	97726	133	97660	6857591	70.17
1960-1969	2	0.00088	0.00088	0.5	97593	86	97550	6759932	69.27
1960-1969	3	0.00076	0.00076	0.5	97507	74	97470	6662382	68.33
1960-1969	4	0.00052	0.00052	0.5	97433	51	97408	6564911	67.38
1960-1969	5	0.00051	0.00051	0.5	97382	50	97358	6467503	66.41
1960-1969	6	0.00058	0.00058	0.5	97333	56	97304	6370146	65.45
1960-1969	7	0.00047	0.00047	0.5	97276	45	97254	6272841	64.48
1960-1969	8	0.00042	0.00042	0.5	97231	41	97211	6175588	63.51
1960-1969	9	0.00040	0.00040	0.5	97190	39	97171	6078377	62.54
1960-1969	10	0.00028	0.00028	0.5	97151	27	97138	5981206	61.57
1960-1969	11	0.00034	0.00034	0.5	97124	33	97108	5884068	60.58
1960-1969	12	0.00032	0.00032	0.5	97092	31	97076	5786960	59.60
1960-1969	13	0.00053	0.00053	0.5	97060	52	97034	5689885	58.62
1960-1969	14	0.00051	0.00051	0.5	97009	49	96984	5592850	57.65
1960-1969	15	0.00068	0.00068	0.5	96959	66	96926	5495866	56.68
1960-1969	16	0.00079	0.00079	0.5	96894	76	96855	5398940	55.72
1960-1969	17	0.00096	0.00096	0.5	96817	93	96771	5302085	54.76
1960-1969	18	0.00099	0.00099	0.5	96724	96	96676	5205314	53.82
1960-1969	19	0.00105	0.00105	0.5	96628	101	96578	5108638	52.87
1960-1969	20	0.00126	0.00126	0.5	96527	122	96466	5012060	51.92
1960-1969	21	0.00120	0.00120	0.5	96406	116	96348	4915594	50.99
1960-1969	22	0.00123	0.00123	0.5	96290	118	96231	4819246	50.05
1960-1969	23	0.00123	0.00123	0.5	96172	118	96112	4723015	49.11
1960-1969	24	0.00103	0.00103	0.5	96053	99	96004	4626903	48.17
1960-1969	25	0.00140	0.00140	0.5	95954	134	95887	4530899	47.22
