DE: Delaware, Lifetables (period 1x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02085	0.02047	0.11	100000	2047	98181	7310351	73.10
1960-1964	1	0.00148	0.00148	0.5	97953	145	97881	7212170	73.63
1960-1964	2	0.00061	0.00061	0.5	97809	60	97779	7114289	72.74
1960-1964	3	0.00089	0.00089	0.5	97749	87	97705	7016510	71.78
1960-1964	4	0.00065	0.00065	0.5	97662	64	97630	6918804	70.84
1960-1964	5	0.00048	0.00048	0.5	97598	47	97575	6821174	69.89
1960-1964	6	0.00052	0.00052	0.5	97552	51	97526	6723600	68.92
1960-1964	7	0.00035	0.00035	0.5	97501	34	97484	6626073	67.96
1960-1964	8	0.00028	0.00028	0.5	97467	27	97453	6528590	66.98
1960-1964	9	0.00033	0.00033	0.5	97440	33	97423	6431137	66.00
1960-1964	10	0.00022	0.00022	0.5	97407	21	97396	6333713	65.02
1960-1964	11	0.00031	0.00031	0.5	97386	30	97371	6236317	64.04
1960-1964	12	0.00023	0.00023	0.5	97355	22	97344	6138946	63.06
1960-1964	13	0.00042	0.00042	0.5	97333	41	97313	6041602	62.07
1960-1964	14	0.00029	0.00029	0.5	97292	28	97278	5944289	61.10
1960-1964	15	0.00040	0.00040	0.5	97264	39	97245	5847011	60.11
1960-1964	16	0.00042	0.00042	0.5	97225	41	97205	5749766	59.14
1960-1964	17	0.00033	0.00033	0.5	97184	32	97168	5652561	58.16
1960-1964	18	0.00023	0.00023	0.5	97152	23	97140	5555394	57.18
1960-1964	19	0.00061	0.00061	0.5	97129	59	97099	5458253	56.20
1960-1964	20	0.00074	0.00074	0.5	97070	72	97034	5361154	55.23
1960-1964	21	0.00045	0.00045	0.5	96998	43	96976	5264120	54.27
1960-1964	22	0.00073	0.00073	0.5	96954	71	96919	5167144	53.29
1960-1964	23	0.00041	0.00041	0.5	96883	40	96864	5070225	52.33
1960-1964	24	0.00035	0.00035	0.5	96844	33	96827	4973362	51.35
1960-1964	25	0.00090	0.00090	0.5	96810	87	96767	4876535	50.37
1960-1964	26	0.00138	0.00138	0.5	96723	134	96656	4779768	49.42
1960-1964	27	0.00068	0.00068	0.5	96589	66	96556	4683112	48.48
1960-1964	28	0.00114	0.00114	0.5	96523	110	96468	4586556	47.52
1960-1964	29	0.00066	0.00065	0.5	96413	63	96382	4490087	46.57
1960-1964	30	0.00108	0.00108	0.5	96350	104	96298	4393706	45.60
1960-1964	31	0.00106	0.00106	0.5	96246	102	96195	4297407	44.65
