FL: Florida, Lifetables (period 1x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03223	0.03136	0.14	100000	3136	97297	7033843	70.34
1959	1	0.00260	0.00259	0.5	96864	251	96738	6936546	71.61
1959	2	0.00148	0.00148	0.5	96613	143	96541	6839808	70.80
1959	3	0.00083	0.00083	0.5	96469	80	96429	6743267	69.90
1959	4	0.00060	0.00060	0.5	96389	58	96360	6646838	68.96
1959	5	0.00063	0.00063	0.5	96331	60	96301	6550478	68.00
1959	6	0.00058	0.00058	0.5	96271	56	96243	6454178	67.04
1959	7	0.00045	0.00045	0.5	96215	43	96193	6357935	66.08
1959	8	0.00055	0.00055	0.5	96171	53	96145	6261742	65.11
1959	9	0.00062	0.00062	0.5	96118	60	96088	6165597	64.15
1959	10	0.00041	0.00041	0.5	96059	39	96039	6069509	63.19
1959	11	0.00044	0.00044	0.5	96019	42	95998	5973470	62.21
1959	12	0.00056	0.00056	0.5	95977	53	95951	5877471	61.24
1959	13	0.00047	0.00047	0.5	95924	45	95902	5781521	60.27
1959	14	0.00059	0.00059	0.5	95879	56	95851	5685619	59.30
1959	15	0.00068	0.00067	0.5	95823	65	95791	5589768	58.33
1959	16	0.00084	0.00084	0.5	95759	81	95718	5493977	57.37
1959	17	0.00115	0.00115	0.5	95678	110	95623	5398259	56.42
1959	18	0.00121	0.00120	0.5	95568	115	95511	5302636	55.49
1959	19	0.00118	0.00118	0.5	95453	113	95397	5207125	54.55
1959	20	0.00142	0.00142	0.5	95340	135	95273	5111728	53.62
1959	21	0.00135	0.00135	0.5	95205	129	95141	5016455	52.69
1959	22	0.00178	0.00177	0.5	95076	169	94992	4921315	51.76
1959	23	0.00152	0.00152	0.5	94908	145	94835	4826323	50.85
1959	24	0.00151	0.00151	0.5	94763	143	94691	4731488	49.93
1959	25	0.00149	0.00149	0.5	94620	141	94549	4636796	49.00
1959	26	0.00158	0.00158	0.5	94479	149	94404	4542247	48.08
1959	27	0.00145	0.00145	0.5	94330	136	94262	4447843	47.15
1959	28	0.00144	0.00144	0.5	94193	136	94126	4353581	46.22
1959	29	0.00154	0.00154	0.5	94058	145	93985	4259456	45.29
1959	30	0.00166	0.00166	0.5	93913	156	93835	4165471	44.35
1959	31	0.00176	0.00176	0.5	93757	165	93675	4071636	43.43
1959	32	0.00192	0.00192	0.5	93592	180	93502	3977961	42.50
1959	33	0.00211	0.00211	0.5	93412	197	93314	3884459	41.58
1959	34	0.00211	0.00211	0.5	93216	196	93117	3791145	40.67
1959	35	0.00234	0.00234	0.5	93019	218	92910	3698028	39.76
1959	36	0.00227	0.00227	0.5	92802	211	92696	3605117	38.85
1959	37	0.00264	0.00264	0.5	92591	244	92469	3512421	37.93
1959	38	0.00300	0.00299	0.5	92347	276	92208	3419952	37.03
1959	39	0.00328	0.00327	0.5	92070	301	91919	3327744	36.14
1959	40	0.00351	0.00350	0.5	91769	321	91608	3235824	35.26
1959	41	0.00368	0.00367	0.5	91448	336	91280	3144216	34.38
1959	42	0.00415	0.00414	0.5	91112	377	90923	3052937	33.51
1959	43	0.00405	0.00404	0.5	90734	367	90551	2962014	32.64
1959	44	0.00502	0.00500	0.5	90367	452	90141	2871463	31.78
1959	45	0.00525	0.00524	0.5	89915	471	89680	2781322	30.93
1959	46	0.00570	0.00569	0.5	89444	509	89190	2691642	30.09
1959	47	0.00658	0.00656	0.5	88935	583	88644	2602452	29.26
1959	48	0.00770	0.00767	0.5	88352	678	88013	2513809	28.45
1959	49	0.00769	0.00766	0.5	87674	672	87338	2425796	27.67
1959	50	0.00879	0.00875	0.5	87003	761	86622	2338457	26.88
1959	51	0.00868	0.00864	0.5	86241	745	85869	2251835	26.11
1959	52	0.00998	0.00993	0.5	85496	849	85072	2165967	25.33
1959	53	0.01016	0.01011	0.5	84647	856	84219	2080895	24.58
1959	54	0.01118	0.01111	0.5	83791	931	83326	1996675	23.83
1959	55	0.01198	0.01190	0.5	82860	986	82367	1913350	23.09
1959	56	0.01322	0.01313	0.5	81874	1075	81336	1830983	22.36
1959	57	0.01284	0.01275	0.5	80799	1030	80283	1749647	21.65
1959	58	0.01398	0.01388	0.5	79768	1108	79214	1669363	20.93
1959	59	0.01538	0.01527	0.5	78661	1201	78060	1590149	20.22
1959	60	0.01835	0.01819	0.5	77460	1409	76756	1512088	19.52
1959	61	0.01732	0.01718	0.5	76051	1306	75398	1435333	18.87
1959	62	0.01927	0.01909	0.5	74745	1427	74032	1359935	18.19
1959	63	0.01932	0.01913	0.5	73318	1403	72617	1285903	17.54
1959	64	0.01894	0.01876	0.5	71915	1349	71241	1213287	16.87
1959	65	0.02194	0.02171	0.5	70566	1532	69800	1142046	16.18
1959	66	0.02139	0.02116	0.5	69034	1461	68304	1072245	15.53
1959	67	0.02528	0.02497	0.5	67573	1687	66730	1003942	14.86
1959	68	0.02723	0.02686	0.5	65886	1770	65001	937212	14.22
1959	69	0.02989	0.02945	0.5	64116	1888	63172	872210	13.60
1959	70	0.03204	0.03153	0.5	62228	1962	61247	809038	13.00
1959	71	0.03222	0.03171	0.5	60266	1911	59310	747791	12.41
1959	72	0.03695	0.03628	0.5	58355	2117	57297	688480	11.80
1959	73	0.04134	0.04050	0.5	56238	2278	55099	631184	11.22
1959	74	0.04322	0.04230	0.5	53961	2283	52819	576085	10.68
1959	75	0.04989	0.04868	0.5	51678	2516	50420	523265	10.13
1959	76	0.05107	0.04980	0.5	49162	2448	47938	472845	9.62
1959	77	0.05293	0.05157	0.5	46714	2409	45510	424907	9.10
1959	78	0.06101	0.05920	0.5	44305	2623	42994	379397	8.56
1959	79	0.07235	0.06982	0.5	41682	2910	40227	336404	8.07
1959	80	0.07683	0.07398	0.5	38772	2869	37337	296177	7.64
1959	81	0.07799	0.07506	0.5	35903	2695	34556	258839	7.21
1959	82	0.08974	0.08588	0.5	33208	2852	31782	224284	6.75
1959	83	0.09990	0.09515	0.5	30356	2888	28912	192502	6.34
1959	84	0.11492	0.10868	0.5	27468	2985	25975	163590	5.96
1959	85	0.12609	0.11861	0.5	24483	2904	23031	137615	5.62
1959	86	0.13378	0.12539	0.5	21579	2706	20226	114584	5.31
1959	87	0.14203	0.13262	0.5	18873	2503	17621	94358	5.00
1959	88	0.16637	0.15360	0.5	16370	2514	15113	76737	4.69
1959	89	0.16764	0.15468	0.5	13856	2143	12784	61624	4.45
1959	90	0.19211	0.17527	0.5	11713	2053	10686	48840	4.17
1959	91	0.19993	0.18176	0.5	9660	1756	8782	38154	3.95
1959	92	0.21670	0.19551	0.5	7904	1545	7131	29372	3.72
1959	93	0.23449	0.20988	0.5	6359	1335	5691	22241	3.50
1959	94	0.25330	0.22483	0.5	5024	1130	4459	16550	3.29
1959	95	0.27311	0.24030	0.5	3894	936	3427	12090	3.10
1959	96	0.29389	0.25623	0.5	2959	758	2580	8664	2.93
1959	97	0.31559	0.27258	0.5	2201	600	1901	6084	2.76
1959	98	0.33816	0.28925	0.5	1601	463	1369	4184	2.61
1959	99	0.36153	0.30618	0.5	1138	348	964	2814	2.47
1959	100	0.38560	0.32327	0.5	789	255	662	1851	2.34
1959	101	0.41028	0.34044	0.5	534	182	443	1189	2.23
1959	102	0.43545	0.35759	0.5	352	126	289	746	2.12
1959	103	0.46099	0.37464	0.5	226	85	184	456	2.02
1959	104	0.48677	0.39149	0.5	142	55	114	272	1.92
1959	105	0.51265	0.40806	0.5	86	35	69	159	1.84
1959	106	0.53849	0.42426	0.5	51	22	40	90	1.77
1959	107	0.56416	0.44003	0.5	29	13	23	50	1.70
1959	108	0.58951	0.45530	0.5	16	7	13	27	1.64
1959	109	0.61441	0.47002	0.5	9	4	7	14	1.59
1959	110+	0.63876	1.00000	1.57	5	5	7	7	1.57
1960	0	0.03060	0.02981	0.13	100000	2981	97416	6987008	69.87
1960	1	0.00254	0.00254	0.5	97019	246	96896	6889592	71.01
1960	2	0.00141	0.00141	0.5	96772	136	96704	6792696	70.19
1960	3	0.00099	0.00099	0.5	96636	96	96588	6695992	69.29
1960	4	0.00075	0.00075	0.5	96540	72	96504	6599404	68.36
1960	5	0.00053	0.00053	0.5	96468	51	96442	6502900	67.41
1960	6	0.00063	0.00063	0.5	96416	61	96386	6406458	66.45
1960	7	0.00055	0.00055	0.5	96355	53	96329	6310072	65.49
1960	8	0.00046	0.00046	0.5	96303	44	96281	6213743	64.52
1960	9	0.00051	0.00051	0.5	96259	49	96234	6117463	63.55
