FL: Florida, Lifetables (period 1x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02742	0.02678	0.13	100000	2678	97670	7440233	74.40
1959	1	0.00219	0.00219	0.5	97322	213	97215	7342563	75.45
1959	2	0.00136	0.00136	0.5	97109	132	97043	7245348	74.61
1959	3	0.00065	0.00065	0.5	96977	63	96946	7148305	73.71
1959	4	0.00054	0.00054	0.5	96914	53	96888	7051359	72.76
1959	5	0.00057	0.00057	0.5	96861	55	96834	6954472	71.80
1959	6	0.00047	0.00047	0.5	96806	45	96783	6857638	70.84
1959	7	0.00032	0.00032	0.5	96761	31	96745	6760855	69.87
1959	8	0.00033	0.00033	0.5	96730	32	96714	6664110	68.89
1959	9	0.00043	0.00043	0.5	96698	41	96677	6567396	67.92
1959	10	0.00025	0.00025	0.5	96657	24	96645	6470718	66.95
1959	11	0.00027	0.00027	0.5	96633	26	96620	6374073	65.96
1959	12	0.00039	0.00039	0.5	96607	38	96588	6277453	64.98
1959	13	0.00038	0.00038	0.5	96569	37	96551	6180865	64.00
1959	14	0.00039	0.00039	0.5	96533	37	96514	6084314	63.03
1959	15	0.00064	0.00064	0.5	96495	62	96464	5987800	62.05
1959	16	0.00069	0.00069	0.5	96433	67	96400	5891336	61.09
1959	17	0.00062	0.00062	0.5	96366	60	96336	5794936	60.13
1959	18	0.00066	0.00066	0.5	96306	63	96275	5698600	59.17
1959	19	0.00070	0.00070	0.5	96243	67	96210	5602325	58.21
1959	20	0.00075	0.00075	0.5	96176	72	96140	5506116	57.25
1959	21	0.00078	0.00078	0.5	96104	75	96067	5409976	56.29
1959	22	0.00098	0.00098	0.5	96029	94	95982	5313909	55.34
1959	23	0.00086	0.00086	0.5	95935	82	95894	5217927	54.39
1959	24	0.00079	0.00079	0.5	95853	76	95815	5122033	53.44
1959	25	0.00071	0.00071	0.5	95777	68	95743	5026218	52.48
1959	26	0.00117	0.00117	0.5	95709	112	95653	4930474	51.52
1959	27	0.00086	0.00086	0.5	95598	82	95557	4834821	50.57
1959	28	0.00094	0.00094	0.5	95516	90	95471	4739264	49.62
1959	29	0.00116	0.00116	0.5	95426	111	95370	4643794	48.66
1959	30	0.00105	0.00104	0.5	95315	100	95265	4548424	47.72
1959	31	0.00140	0.00140	0.5	95215	133	95148	4453159	46.77
1959	32	0.00154	0.00153	0.5	95082	146	95009	4358011	45.83
1959	33	0.00156	0.00156	0.5	94936	148	94862	4263002	44.90
1959	34	0.00168	0.00168	0.5	94788	159	94709	4168140	43.97
1959	35	0.00141	0.00141	0.5	94629	133	94563	4073431	43.05
1959	36	0.00206	0.00206	0.5	94496	194	94399	3978869	42.11
1959	37	0.00216	0.00215	0.5	94301	203	94200	3884470	41.19
1959	38	0.00245	0.00245	0.5	94098	230	93983	3790270	40.28
1959	39	0.00299	0.00298	0.5	93868	280	93728	3696287	39.38
