FL: Florida, Lifetables (period 1x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.03087	0.03006	0.13	100000	3006	97378	6661572	66.62
1960-1969	1	0.00238	0.00238	0.5	96994	231	96879	6564193	67.68
1960-1969	2	0.00148	0.00148	0.5	96763	143	96692	6467315	66.84
1960-1969	3	0.00105	0.00105	0.5	96621	102	96570	6370623	65.93
1960-1969	4	0.00082	0.00082	0.5	96519	79	96479	6274053	65.00
1960-1969	5	0.00073	0.00073	0.5	96440	71	96405	6177573	64.06
1960-1969	6	0.00064	0.00064	0.5	96369	62	96338	6081169	63.10
1960-1969	7	0.00054	0.00054	0.5	96308	52	96281	5984831	62.14
1960-1969	8	0.00054	0.00054	0.5	96255	52	96230	5888549	61.18
1960-1969	9	0.00053	0.00053	0.5	96204	51	96178	5792320	60.21
1960-1969	10	0.00048	0.00048	0.5	96153	46	96129	5696141	59.24
1960-1969	11	0.00052	0.00052	0.5	96106	50	96081	5600012	58.27
1960-1969	12	0.00060	0.00060	0.5	96056	57	96027	5503931	57.30
1960-1969	13	0.00072	0.00072	0.5	95999	69	95964	5407903	56.33
1960-1969	14	0.00089	0.00089	0.5	95930	85	95887	5311939	55.37
1960-1969	15	0.00105	0.00105	0.5	95845	100	95795	5216052	54.42
1960-1969	16	0.00139	0.00139	0.5	95745	133	95678	5120257	53.48
1960-1969	17	0.00167	0.00167	0.5	95612	160	95532	5024579	52.55
1960-1969	18	0.00183	0.00183	0.5	95452	175	95364	4929047	51.64
1960-1969	19	0.00190	0.00190	0.5	95277	181	95186	4833683	50.73
1960-1969	20	0.00206	0.00206	0.5	95096	196	94998	4738496	49.83
1960-1969	21	0.00207	0.00207	0.5	94900	197	94802	4643498	48.93
1960-1969	22	0.00205	0.00205	0.5	94704	194	94607	4548696	48.03
1960-1969	23	0.00202	0.00202	0.5	94510	191	94414	4454089	47.13
1960-1969	24	0.00211	0.00211	0.5	94319	199	94219	4359675	46.22
1960-1969	25	0.00215	0.00214	0.5	94120	202	94019	4265456	45.32
1960-1969	26	0.00208	0.00208	0.5	93918	195	93821	4171437	44.42
1960-1969	27	0.00220	0.00220	0.5	93723	206	93620	4077616	43.51
1960-1969	28	0.00211	0.00211	0.5	93517	197	93418	3983996	42.60
1960-1969	29	0.00224	0.00224	0.5	93320	209	93215	3890578	41.69
1960-1969	30	0.00227	0.00226	0.5	93111	211	93006	3797363	40.78
1960-1969	31	0.00226	0.00226	0.5	92900	210	92795	3704357	39.87
1960-1969	32	0.00241	0.00241	0.5	92690	223	92579	3611562	38.96
1960-1969	33	0.00260	0.00260	0.5	92467	240	92347	3518983	38.06
1960-1969	34	0.00257	0.00257	0.5	92227	237	92109	3426636	37.15
1960-1969	35	0.00308	0.00307	0.5	91990	283	91849	3334528	36.25
1960-1969	36	0.00327	0.00326	0.5	91708	299	91558	3242679	35.36
1960-1969	37	0.00340	0.00339	0.5	91409	310	91253	3151120	34.47
1960-1969	38	0.00367	0.00366	0.5	91098	334	90931	3059867	33.59
1960-1969	39	0.00376	0.00375	0.5	90765	341	90594	2968936	32.71
1960-1969	40	0.00441	0.00440	0.5	90424	398	90225	2878341	31.83
1960-1969	41	0.00475	0.00474	0.5	90026	427	89812	2788116	30.97
1960-1969	42	0.00541	0.00539	0.5	89599	483	89357	2698304	30.12
1960-1969	43	0.00597	0.00595	0.5	89116	530	88851	2608947	29.28
1960-1969	44	0.00617	0.00615	0.5	88586	545	88313	2520096	28.45
1960-1969	45	0.00695	0.00693	0.5	88041	610	87735	2431783	27.62
1960-1969	46	0.00760	0.00757	0.5	87430	662	87099	2344048	26.81
1960-1969	47	0.00839	0.00836	0.5	86768	725	86406	2256948	26.01
1960-1969	48	0.00920	0.00916	0.5	86043	788	85649	2170542	25.23
1960-1969	49	0.01004	0.00999	0.5	85255	851	84830	2084893	24.45
1960-1969	50	0.01132	0.01125	0.5	84404	950	83929	2000064	23.70
1960-1969	51	0.01179	0.01172	0.5	83454	978	82965	1916135	22.96
1960-1969	52	0.01315	0.01306	0.5	82476	1077	81937	1833170	22.23
1960-1969	53	0.01460	0.01449	0.5	81399	1179	80809	1751232	21.51
1960-1969	54	0.01559	0.01547	0.5	80219	1241	79599	1670423	20.82
1960-1969	55	0.01720	0.01706	0.5	78978	1347	78305	1590824	20.14
1960-1969	56	0.01800	0.01784	0.5	77631	1385	76939	1512520	19.48
1960-1969	57	0.01900	0.01882	0.5	76246	1435	75529	1435581	18.83
1960-1969	58	0.02051	0.02030	0.5	74811	1519	74052	1360053	18.18
1960-1969	59	0.02123	0.02101	0.5	73292	1540	72522	1286001	17.55
1960-1969	60	0.02373	0.02345	0.5	71752	1683	70911	1213479	16.91
1960-1969	61	0.02333	0.02306	0.5	70069	1616	69262	1142568	16.31
1960-1969	62	0.02626	0.02592	0.5	68454	1775	67567	1073306	15.68
1960-1969	63	0.02790	0.02752	0.5	66679	1835	65762	1005740	15.08
1960-1969	64	0.03004	0.02960	0.5	64844	1919	63885	939978	14.50
1960-1969	65	0.03344	0.03289	0.5	62925	2070	61890	876093	13.92
1960-1969	66	0.03485	0.03426	0.5	60856	2085	59813	814203	13.38
1960-1969	67	0.03742	0.03673	0.5	58771	2159	57691	754390	12.84
1960-1969	68	0.04040	0.03960	0.5	56612	2242	55491	696698	12.31
1960-1969	69	0.04209	0.04122	0.5	54370	2241	53249	641207	11.79
1960-1969	70	0.04648	0.04542	0.5	52129	2368	50945	587958	11.28
1960-1969	71	0.04715	0.04606	0.5	49761	2292	48615	537013	10.79
1960-1969	72	0.05273	0.05137	0.5	47469	2439	46250	488398	10.29
1960-1969	73	0.05500	0.05353	0.5	45030	2411	43825	442148	9.82
1960-1969	74	0.05952	0.05780	0.5	42620	2463	41388	398323	9.35
1960-1969	75	0.06473	0.06270	0.5	40156	2518	38898	356935	8.89
1960-1969	76	0.06847	0.06621	0.5	37639	2492	36393	318037	8.45
1960-1969	77	0.07183	0.06934	0.5	35147	2437	33928	281645	8.01
1960-1969	78	0.07787	0.07495	0.5	32710	2452	31484	247716	7.57
1960-1969	79	0.08368	0.08032	0.5	30258	2430	29043	216232	7.15
1960-1969	80	0.09656	0.09211	0.5	27828	2563	26546	187189	6.73
1960-1969	81	0.10125	0.09637	0.5	25265	2435	24047	160643	6.36
1960-1969	82	0.11141	0.10553	0.5	22830	2409	21625	136595	5.98
1960-1969	83	0.12256	0.11549	0.5	20421	2358	19242	114970	5.63
1960-1969	84	0.13559	0.12698	0.5	18062	2294	16916	95728	5.30
1960-1969	85	0.14556	0.13569	0.5	15769	2140	14699	78813	5.00
1960-1969	86	0.15613	0.14483	0.5	13629	1974	12642	64114	4.70
1960-1969	87	0.17734	0.16290	0.5	11655	1899	10706	51472	4.42
1960-1969	88	0.18823	0.17204	0.5	9757	1679	8917	40766	4.18
1960-1969	89	0.20700	0.18758	0.5	8078	1515	7320	31848	3.94
1960-1969	90	0.22217	0.19996	0.5	6563	1312	5907	24528	3.74
1960-1969	91	0.23293	0.20863	0.5	5251	1095	4703	18621	3.55
1960-1969	92	0.25055	0.22266	0.5	4155	925	3693	13918	3.35
1960-1969	93	0.26905	0.23715	0.5	3230	766	2847	10226	3.17
1960-1969	94	0.28839	0.25204	0.5	2464	621	2153	7379	2.99
1960-1969	95	0.30853	0.26729	0.5	1843	493	1597	5225	2.84
1960-1969	96	0.32942	0.28284	0.5	1350	382	1159	3629	2.69
1960-1969	97	0.35101	0.29861	0.5	968	289	824	2469	2.55
1960-1969	98	0.37323	0.31453	0.5	679	214	572	1646	2.42
1960-1969	99	0.39600	0.33055	0.5	466	154	389	1073	2.30
1960-1969	100	0.41923	0.34658	0.5	312	108	258	684	2.20
1960-1969	101	0.44282	0.36255	0.5	204	74	167	427	2.10
1960-1969	102	0.46667	0.37838	0.5	130	49	105	260	2.00
1960-1969	103	0.49067	0.39401	0.5	81	32	65	155	1.92
1960-1969	104	0.51472	0.40937	0.5	49	20	39	90	1.84
1960-1969	105	0.53870	0.42439	0.5	29	12	23	51	1.77
